 Element: Ar
 Maximum L = 10
 No. of velocities = 100
------------------------------------

   v               |<i|e^(ivz)|i>|^2
   0.1000000E-04   0.9999897E+00
   0.1008000E-03   0.9989558E+00
   0.1916000E-03   0.9962327E+00
   0.2824000E-03   0.9918345E+00
   0.3732000E-03   0.9857844E+00
   0.4640000E-03   0.9781138E+00
   0.5548000E-03   0.9688625E+00
   0.6457000E-03   0.9580654E+00
   0.7365000E-03   0.9458015E+00
   0.8273000E-03   0.9321216E+00
   0.9181000E-03   0.9170943E+00
   0.1009000E-02   0.9007754E+00
   0.1100000E-02   0.8832406E+00
   0.1191000E-02   0.8645918E+00
   0.1281000E-02   0.8451390E+00
   0.1372000E-02   0.8245408E+00
   0.1463000E-02   0.8031022E+00
   0.1554000E-02   0.7809189E+00
   0.1645000E-02   0.7580880E+00
   0.1735000E-02   0.7349662E+00
   0.1826000E-02   0.7111357E+00
   0.1917000E-02   0.6869464E+00
   0.2008000E-02   0.6624924E+00
   0.2099000E-02   0.6378657E+00
   0.2189000E-02   0.6134269E+00
   0.2280000E-02   0.5887182E+00
   0.2371000E-02   0.5640929E+00
   0.2462000E-02   0.5396289E+00
   0.2553000E-02   0.5153999E+00
   0.2643000E-02   0.4917357E+00
   0.2734000E-02   0.4681736E+00
   0.2825000E-02   0.4450372E+00
   0.2916000E-02   0.4223800E+00
   0.3007000E-02   0.4002500E+00
   0.3097000E-02   0.3789238E+00
   0.3188000E-02   0.3579646E+00
   0.3279000E-02   0.3376449E+00
   0.3370000E-02   0.3179918E+00
   0.3461000E-02   0.2990276E+00
   0.3552000E-02   0.2807695E+00
   0.3642000E-02   0.2634192E+00
   0.3733000E-02   0.2465994E+00
   0.3824000E-02   0.2305113E+00
   0.3915000E-02   0.2151552E+00
   0.4006000E-02   0.2005281E+00
   0.4096000E-02   0.1867726E+00
   0.4187000E-02   0.1735736E+00
   0.4278000E-02   0.1610761E+00
   0.4369000E-02   0.1492654E+00
   0.4460000E-02   0.1381251E+00
   0.4550000E-02   0.1277485E+00
   0.4641000E-02   0.1178853E+00
   0.4732000E-02   0.1086331E+00
   0.4823000E-02   0.9996958E-01
   0.4914000E-02   0.9187157E-01
   0.5004000E-02   0.8439552E-01
   0.5095000E-02   0.7735136E-01
   0.5186000E-02   0.7080074E-01
   0.5277000E-02   0.6471925E-01
   0.5368000E-02   0.5908260E-01
   0.5458000E-02   0.5392186E-01
   0.5549000E-02   0.4909889E-01
   0.5640000E-02   0.4465013E-01
   0.5731000E-02   0.4055295E-01
   0.5822000E-02   0.3678541E-01
   0.5913000E-02   0.3332626E-01
   0.6003000E-02   0.3018841E-01
   0.6094000E-02   0.2728266E-01
   0.6185000E-02   0.2462661E-01
   0.6276000E-02   0.2220233E-01
   0.6367000E-02   0.1999278E-01
   0.6457000E-02   0.1800287E-01
   0.6548000E-02   0.1617322E-01
   0.6639000E-02   0.1451260E-01
   0.6730000E-02   0.1300746E-01
   0.6821000E-02   0.1164507E-01
   0.6911000E-02   0.1042642E-01
   0.7002000E-02   0.9313416E-02
   0.7093000E-02   0.8309951E-02
   0.7184000E-02   0.7406412E-02
   0.7275000E-02   0.6593887E-02
   0.7365000E-02   0.5871726E-02
   0.7456000E-02   0.5216335E-02
   0.7547000E-02   0.4629155E-02
   0.7638000E-02   0.4103729E-02
   0.7729000E-02   0.3634130E-02
   0.7819000E-02   0.3219276E-02
   0.7910000E-02   0.2845026E-02
   0.8001000E-02   0.2511718E-02
   0.8092000E-02   0.2215216E-02
   0.8183000E-02   0.1951755E-02
   0.8274000E-02   0.1717919E-02
   0.8364000E-02   0.1512753E-02
   0.8455000E-02   0.1328915E-02
   0.8546000E-02   0.1166287E-02
   0.8637000E-02   0.1022578E-02
   0.8728000E-02   0.8957231E-03
   0.8818000E-02   0.7850180E-03
   0.8909000E-02   0.6863477E-03
   0.9000000E-02   0.5995223E-03
