 Element: Ar
 Info: 6s,6p,5d
 Maximum L = 10
 No. of velocities = 100
------------------------------------

v/c            P
1.0000e-05     3.0682e-09
1.0080e-04     3.1143e-07
1.9160e-04     1.1222e-06
2.8240e-04     2.4274e-06
3.7320e-04     4.2140e-06
4.6400e-04     6.4645e-06
5.5480e-04     9.1568e-06
6.4570e-04     1.2268e-05
7.3650e-04     1.5762e-05
8.2730e-04     1.9607e-05
9.1810e-04     2.3766e-05
1.0090e-03     2.8206e-05
1.1000e-03     3.2886e-05
1.1910e-03     3.7757e-05
1.2810e-03     4.2718e-05
1.3720e-03     4.7836e-05
1.4630e-03     5.3010e-05
1.5540e-03     5.8195e-05
1.6450e-03     6.3346e-05
1.7350e-03     6.8366e-05
1.8260e-03     7.3325e-05
1.9170e-03     7.8127e-05
2.0080e-03     8.2735e-05
2.0990e-03     8.7116e-05
2.1890e-03     9.1195e-05
2.2800e-03     9.5035e-05
2.3710e-03     9.8564e-05
2.4620e-03     1.0176e-04
2.5530e-03     1.0461e-04
2.6430e-03     1.0707e-04
2.7340e-03     1.0920e-04
2.8250e-03     1.1094e-04
2.9160e-03     1.1230e-04
3.0070e-03     1.1328e-04
3.0970e-03     1.1388e-04
3.1880e-03     1.1412e-04
3.2790e-03     1.1400e-04
3.3700e-03     1.1353e-04
3.4610e-03     1.1273e-04
3.5520e-03     1.1161e-04
3.6420e-03     1.1021e-04
3.7330e-03     1.0851e-04
3.8240e-03     1.0656e-04
3.9150e-03     1.0436e-04
4.0060e-03     1.0195e-04
4.0960e-03     9.9382e-05
4.1870e-03     9.6612e-05
4.2780e-03     9.3695e-05
4.3690e-03     9.0652e-05
4.4600e-03     8.7507e-05
4.5500e-03     8.4316e-05
4.6410e-03     8.1030e-05
4.7320e-03     7.7702e-05
4.8230e-03     7.4352e-05
4.9140e-03     7.0996e-05
5.0040e-03     6.7689e-05
5.0950e-03     6.4371e-05
5.1860e-03     6.1094e-05
5.2770e-03     5.7869e-05
5.3680e-03     5.4709e-05
5.4580e-03     5.1656e-05
5.5490e-03     4.8651e-05
5.6400e-03     4.5736e-05
5.7310e-03     4.2917e-05
5.8220e-03     4.0200e-05
5.9130e-03     3.7588e-05
6.0030e-03     3.5111e-05
6.0940e-03     3.2717e-05
6.1850e-03     3.0434e-05
6.2760e-03     2.8263e-05
6.3670e-03     2.6203e-05
6.4570e-03     2.4275e-05
6.5480e-03     2.2434e-05
6.6390e-03     2.0699e-05
6.7300e-03     1.9069e-05
6.8210e-03     1.7540e-05
6.9110e-03     1.6124e-05
7.0020e-03     1.4787e-05
7.0930e-03     1.3540e-05
7.1840e-03     1.2380e-05
7.2750e-03     1.1304e-05
7.3650e-03     1.0316e-05
7.4560e-03     9.3927e-06
7.5470e-03     8.5398e-06
7.6380e-03     7.7537e-06
7.7290e-03     7.0304e-06
7.8190e-03     6.3731e-06
7.9100e-03     5.7633e-06
8.0010e-03     5.2051e-06
8.0920e-03     4.6949e-06
8.1830e-03     4.2293e-06
8.2740e-03     3.8051e-06
8.3640e-03     3.4233e-06
8.4550e-03     3.0724e-06
8.5460e-03     2.7541e-06
8.6370e-03     2.4658e-06
8.7280e-03     2.2051e-06
8.8180e-03     1.9722e-06
8.9090e-03     1.7596e-06
9.0000e-03     1.5681e-06
