 Element: Ar
 Info: 6s,6p,5d
 Maximum L = 10
 No. of velocities = 100
------------------------------------

v/c            P
1.0000e-05     7.8254e-10
1.0080e-04     7.9474e-08
1.9160e-04     2.8678e-07
2.8240e-04     6.2172e-07
3.7320e-04     1.0827e-06
4.6400e-04     1.6675e-06
5.5480e-04     2.3733e-06
6.4570e-04     3.1976e-06
7.3650e-04     4.1342e-06
8.2730e-04     5.1792e-06
9.1810e-04     6.3269e-06
1.0090e-03     7.5725e-06
1.1000e-03     8.9092e-06
1.1910e-03     1.0328e-05
1.2810e-03     1.1803e-05
1.3720e-03     1.3359e-05
1.4630e-03     1.4969e-05
1.5540e-03     1.6623e-05
1.6450e-03     1.8311e-05
1.7350e-03     2.0001e-05
1.8260e-03     2.1721e-05
1.9170e-03     2.3439e-05
2.0080e-03     2.5142e-05
2.0990e-03     2.6820e-05
2.1890e-03     2.8442e-05
2.2800e-03     3.0032e-05
2.3710e-03     3.1561e-05
2.4620e-03     3.3018e-05
2.5530e-03     3.4392e-05
2.6430e-03     3.5660e-05
2.7340e-03     3.6842e-05
2.8250e-03     3.7915e-05
2.9160e-03     3.8871e-05
3.0070e-03     3.9706e-05
3.0970e-03     4.0408e-05
3.1880e-03     4.0988e-05
3.2790e-03     4.1435e-05
3.3700e-03     4.1749e-05
3.4610e-03     4.1929e-05
3.5520e-03     4.1977e-05
3.6420e-03     4.1896e-05
3.7330e-03     4.1688e-05
3.8240e-03     4.1358e-05
3.9150e-03     4.0910e-05
4.0060e-03     4.0351e-05
4.0960e-03     3.9695e-05
4.1870e-03     3.8935e-05
4.2780e-03     3.8086e-05
4.3690e-03     3.7155e-05
4.4600e-03     3.6151e-05
4.5500e-03     3.5095e-05
4.6410e-03     3.3972e-05
4.7320e-03     3.2802e-05
4.8230e-03     3.1595e-05
4.9140e-03     3.0357e-05
5.0040e-03     2.9112e-05
5.0950e-03     2.7840e-05
5.1860e-03     2.6561e-05
5.2770e-03     2.5283e-05
5.3680e-03     2.4013e-05
5.4580e-03     2.2769e-05
5.5490e-03     2.1530e-05
5.6400e-03     2.0315e-05
5.7310e-03     1.9128e-05
5.8220e-03     1.7972e-05
5.9130e-03     1.6852e-05
6.0030e-03     1.5782e-05
6.0940e-03     1.4740e-05
6.1850e-03     1.3739e-05
6.2760e-03     1.2782e-05
6.3670e-03     1.1870e-05
6.4570e-03     1.1011e-05
6.5480e-03     1.0187e-05
6.6390e-03     9.4085e-06
6.7300e-03     8.6738e-06
6.8210e-03     7.9827e-06
6.9110e-03     7.3411e-06
7.0020e-03     6.7335e-06
7.0930e-03     6.1662e-06
7.1840e-03     5.6375e-06
7.2750e-03     5.1460e-06
7.3650e-03     4.6949e-06
7.4560e-03     4.2725e-06
7.5470e-03     3.8823e-06
7.6380e-03     3.5226e-06
7.7290e-03     3.1916e-06
7.8190e-03     2.8908e-06
7.9100e-03     2.6119e-06
8.0010e-03     2.3567e-06
8.0920e-03     2.1236e-06
8.1830e-03     1.9110e-06
8.2740e-03     1.7175e-06
8.3640e-03     1.5436e-06
8.4550e-03     1.3839e-06
8.5460e-03     1.2392e-06
8.6370e-03     1.1083e-06
8.7280e-03     9.9013e-07
8.8180e-03     8.8464e-07
8.9090e-03     7.8853e-07
9.0000e-03     7.0209e-07
