 Element: Ar
 Info: 6s,6p,5d
 Maximum L = 10
 No. of velocities = 100
------------------------------------

v/c            P
1.0000e-05     2.6226e-06
1.0080e-04     2.6615e-04
1.9160e-04     9.5851e-04
2.8240e-04     2.0714e-03
3.7320e-04     3.5916e-03
4.6400e-04     5.5009e-03
5.5480e-04     7.7768e-03
6.4570e-04     1.0396e-02
7.3650e-04     1.3321e-02
8.2730e-04     1.6522e-02
9.1810e-04     1.9961e-02
1.0090e-03     2.3605e-02
1.1000e-03     2.7413e-02
1.1910e-03     3.1339e-02
1.2810e-03     3.5297e-02
1.3720e-03     3.9332e-02
1.4630e-03     4.3358e-02
1.5540e-03     4.7337e-02
1.6450e-03     5.1227e-02
1.7350e-03     5.4952e-02
1.8260e-03     5.8559e-02
1.9170e-03     6.1977e-02
2.0080e-03     6.5174e-02
2.0990e-03     6.8128e-02
2.1890e-03     7.0786e-02
2.2800e-03     7.3192e-02
2.3710e-03     7.5299e-02
2.4620e-03     7.7098e-02
2.5530e-03     7.8580e-02
2.6430e-03     7.9731e-02
2.7340e-03     8.0577e-02
2.8250e-03     8.1108e-02
2.9160e-03     8.1327e-02
3.0070e-03     8.1246e-02
3.0970e-03     8.0880e-02
3.1880e-03     8.0235e-02
3.2790e-03     7.9329e-02
3.3700e-03     7.8179e-02
3.4610e-03     7.6804e-02
3.5520e-03     7.5222e-02
3.6420e-03     7.3474e-02
3.7330e-03     7.1542e-02
3.8240e-03     6.9464e-02
3.9150e-03     6.7261e-02
4.0060e-03     6.4954e-02
4.0960e-03     6.2588e-02
4.1870e-03     6.0129e-02
4.2780e-03     5.7623e-02
4.3690e-03     5.5087e-02
4.4600e-03     5.2536e-02
4.5500e-03     5.0013e-02
4.6410e-03     4.7477e-02
4.7320e-03     4.4968e-02
4.8230e-03     4.2498e-02
4.9140e-03     4.0076e-02
5.0040e-03     3.7738e-02
5.0950e-03     3.5439e-02
5.1860e-03     3.3212e-02
5.2770e-03     3.1062e-02
5.3680e-03     2.8995e-02
5.4580e-03     2.7033e-02
5.5490e-03     2.5138e-02
5.6400e-03     2.3331e-02
5.7310e-03     2.1614e-02
5.8220e-03     1.9988e-02
5.9130e-03     1.8451e-02
6.0030e-03     1.7018e-02
6.0940e-03     1.5655e-02
6.1850e-03     1.4377e-02
6.2760e-03     1.3182e-02
6.3670e-03     1.2066e-02
6.4570e-03     1.1037e-02
6.5480e-03     1.0071e-02
6.6390e-03     9.1747e-03
6.7300e-03     8.3454e-03
6.8210e-03     7.5796e-03
6.9110e-03     6.8812e-03
7.0020e-03     6.2313e-03
7.0930e-03     5.6347e-03
7.1840e-03     5.0880e-03
7.2750e-03     4.5878e-03
7.3650e-03     4.1359e-03
7.4560e-03     3.7192e-03
7.5470e-03     3.3400e-03
7.6380e-03     2.9954e-03
7.7290e-03     2.6829e-03
7.8190e-03     2.4029e-03
7.9100e-03     2.1468e-03
8.0010e-03     1.9156e-03
8.0920e-03     1.7071e-03
8.1830e-03     1.5195e-03
8.2740e-03     1.3509e-03
8.3640e-03     1.2012e-03
8.4550e-03     1.0654e-03
8.5460e-03     9.4391e-04
8.6370e-03     8.3531e-04
8.7280e-03     7.3837e-04
8.8180e-03     6.5286e-04
8.9090e-03     5.7583e-04
9.0000e-03     5.0735e-04
