 Element: Ar
 Info: 6s,6p,5d
 Maximum L = 10
 No. of velocities = 100
------------------------------------

v/c            P
1.0000e-05     5.2811e-18
1.0080e-04     5.5302e-12
1.9160e-04     2.5964e-10
2.8240e-04     2.6422e-09
3.7320e-04     1.3931e-08
4.6400e-04     5.0788e-08
5.5480e-04     1.4607e-07
6.4570e-04     3.5629e-07
7.3650e-04     7.6791e-07
8.2730e-04     1.5055e-06
9.1810e-04     2.7371e-06
1.0090e-03     4.6806e-06
1.1000e-03     7.6050e-06
1.1910e-03     1.1825e-05
1.2810e-03     1.7629e-05
1.3720e-03     2.5543e-05
1.4630e-03     3.5948e-05
1.5540e-03     4.9294e-05
1.6450e-03     6.6039e-05
1.7350e-03     8.6381e-05
1.8260e-03     1.1119e-04
1.9170e-03     1.4064e-04
2.0080e-03     1.7503e-04
2.0990e-03     2.1462e-04
2.1890e-03     2.5903e-04
2.2800e-03     3.0929e-04
2.3710e-03     3.6488e-04
2.4620e-03     4.2562e-04
2.5530e-03     4.9122e-04
2.6430e-03     5.6048e-04
2.7340e-03     6.3442e-04
2.8250e-03     7.1167e-04
2.9160e-03     7.9154e-04
3.0070e-03     8.7324e-04
3.0970e-03     9.5501e-04
3.1880e-03     1.0378e-03
3.2790e-03     1.1198e-03
3.3700e-03     1.2001e-03
3.4610e-03     1.2778e-03
3.5520e-03     1.3520e-03
3.6420e-03     1.4212e-03
3.7330e-03     1.4862e-03
3.8240e-03     1.5455e-03
3.9150e-03     1.5985e-03
4.0060e-03     1.6448e-03
4.0960e-03     1.6835e-03
4.1870e-03     1.7153e-03
4.2780e-03     1.7396e-03
4.3690e-03     1.7561e-03
4.4600e-03     1.7650e-03
4.5500e-03     1.7664e-03
4.6410e-03     1.7606e-03
4.7320e-03     1.7477e-03
4.8230e-03     1.7281e-03
4.9140e-03     1.7024e-03
5.0040e-03     1.6712e-03
5.0950e-03     1.6344e-03
5.1860e-03     1.5928e-03
5.2770e-03     1.5471e-03
5.3680e-03     1.4977e-03
5.4580e-03     1.4458e-03
5.5490e-03     1.3909e-03
5.6400e-03     1.3340e-03
5.7310e-03     1.2756e-03
5.8220e-03     1.2162e-03
5.9130e-03     1.1564e-03
6.0030e-03     1.0971e-03
6.0940e-03     1.0375e-03
6.1850e-03     9.7860e-04
6.2760e-03     9.2067e-04
6.3670e-03     8.6403e-04
6.4570e-03     8.0950e-04
6.5480e-03     7.5608e-04
6.6390e-03     7.0456e-04
6.7300e-03     6.5507e-04
6.8210e-03     6.0771e-04
6.9110e-03     5.6306e-04
7.0020e-03     5.2015e-04
7.0930e-03     4.7953e-04
7.1840e-03     4.4120e-04
7.2750e-03     4.0514e-04
7.3650e-03     3.7168e-04
7.4560e-03     3.4002e-04
7.5470e-03     3.1050e-04
7.6380e-03     2.8303e-04
7.7290e-03     2.5754e-04
7.8190e-03     2.3420e-04
7.9100e-03     2.1240e-04
8.0010e-03     1.9232e-04
8.0920e-03     1.7385e-04
8.1830e-03     1.5692e-04
8.2740e-03     1.4142e-04
8.3640e-03     1.2741e-04
8.4550e-03     1.1449e-04
8.5460e-03     1.0273e-04
8.6370e-03     9.2054e-05
8.7280e-03     8.2374e-05
8.8180e-03     7.3704e-05
8.9090e-03     6.5780e-05
9.0000e-03     5.8632e-05
