 Element: Ar
 Info: 4s,4p
 Maximum L = 10
 Maximum kappa = 12
 No. of transitions =   539
 No. of channels = 52672
 No. of energies =  50
 No. of velocities =  50
------------------------------------

e energy (keV) v/c            dP/dE
1.0000e-04     1.0000e-05     8.9753e-10
1.0000e-04     1.9350e-04     1.2533e-04
1.0000e-04     3.7690e-04     1.7842e-03
1.0000e-04     5.6040e-04     8.5631e-03
1.0000e-04     7.4390e-04     2.5923e-02
1.0000e-04     9.2730e-04     6.0584e-02
1.0000e-04     1.1110e-03     1.1995e-01
1.0000e-04     1.2940e-03     2.1058e-01
1.0000e-04     1.4780e-03     3.3930e-01
1.0000e-04     1.6610e-03     5.0868e-01
1.0000e-04     1.8450e-03     7.2209e-01
1.0000e-04     2.0280e-03     9.7580e-01
1.0000e-04     2.2120e-03     1.2682e+00
1.0000e-04     2.3950e-03     1.5887e+00
1.0000e-04     2.5790e-03     1.9310e+00
1.0000e-04     2.7620e-03     2.2798e+00
1.0000e-04     2.9460e-03     2.6258e+00
1.0000e-04     3.1290e-03     2.9522e+00
1.0000e-04     3.3120e-03     3.2487e+00
1.0000e-04     3.4960e-03     3.5054e+00
1.0000e-04     3.6790e-03     3.7105e+00
1.0000e-04     3.8630e-03     3.8599e+00
1.0000e-04     4.0460e-03     3.9482e+00
1.0000e-04     4.2300e-03     3.9756e+00
1.0000e-04     4.4130e-03     3.9437e+00
1.0000e-04     4.5970e-03     3.8565e+00
1.0000e-04     4.7800e-03     3.7208e+00
1.0000e-04     4.9640e-03     3.5429e+00
1.0000e-04     5.1470e-03     3.3330e+00
1.0000e-04     5.3310e-03     3.0974e+00
1.0000e-04     5.5140e-03     2.8473e+00
1.0000e-04     5.6980e-03     2.5878e+00
1.0000e-04     5.8810e-03     2.3288e+00
1.0000e-04     6.0640e-03     2.0751e+00
1.0000e-04     6.2480e-03     1.8302e+00
1.0000e-04     6.4310e-03     1.6005e+00
1.0000e-04     6.6150e-03     1.3864e+00
1.0000e-04     6.7980e-03     1.1918e+00
1.0000e-04     6.9820e-03     1.0154e+00
1.0000e-04     7.1650e-03     8.5913e-01
1.0000e-04     7.3490e-03     7.2086e-01
1.0000e-04     7.5320e-03     6.0111e-01
1.0000e-04     7.7160e-03     4.9733e-01
1.0000e-04     7.8990e-03     4.0919e-01
1.0000e-04     8.0830e-03     3.3419e-01
1.0000e-04     8.2660e-03     2.7158e-01
1.0000e-04     8.4500e-03     2.1917e-01
1.0000e-04     8.6330e-03     1.7609e-01
1.0000e-04     8.8170e-03     1.4054e-01
1.0000e-04     9.0000e-03     1.1173e-01
1.2830e-04     1.0000e-05     8.8782e-10
1.2830e-04     1.9350e-04     1.2398e-04
1.2830e-04     3.7690e-04     1.7650e-03
1.2830e-04     5.6040e-04     8.4714e-03
1.2830e-04     7.4390e-04     2.5647e-02
1.2830e-04     9.2730e-04     5.9946e-02
1.2830e-04     1.1110e-03     1.1870e-01
1.2830e-04     1.2940e-03     2.0842e-01
1.2830e-04     1.4780e-03     3.3586e-01
1.2830e-04     1.6610e-03     5.0361e-01
1.2830e-04     1.8450e-03     7.1501e-01
1.2830e-04     2.0280e-03     9.6642e-01
1.2830e-04     2.2120e-03     1.2562e+00
1.2830e-04     2.3950e-03     1.5741e+00
1.2830e-04     2.5790e-03     1.9137e+00
1.2830e-04     2.7620e-03     2.2598e+00
1.2830e-04     2.9460e-03     2.6034e+00
1.2830e-04     3.1290e-03     2.9278e+00
1.2830e-04     3.3120e-03     3.2226e+00
1.2830e-04     3.4960e-03     3.4781e+00
1.2830e-04     3.6790e-03     3.6825e+00
1.2830e-04     3.8630e-03     3.8317e+00
1.2830e-04     4.0460e-03     3.9203e+00
1.2830e-04     4.2300e-03     3.9485e+00
1.2830e-04     4.4130e-03     3.9178e+00
1.2830e-04     4.5970e-03     3.8320e+00
1.2830e-04     4.7800e-03     3.6980e+00
1.2830e-04     4.9640e-03     3.5220e+00
1.2830e-04     5.1470e-03     3.3140e+00
1.2830e-04     5.3310e-03     3.0805e+00
1.2830e-04     5.5140e-03     2.8322e+00
1.2830e-04     5.6980e-03     2.5746e+00
1.2830e-04     5.8810e-03     2.3174e+00
1.2830e-04     6.0640e-03     2.0653e+00
1.2830e-04     6.2480e-03     1.8219e+00
1.2830e-04     6.4310e-03     1.5935e+00
1.2830e-04     6.6150e-03     1.3806e+00
1.2830e-04     6.7980e-03     1.1869e+00
1.2830e-04     6.9820e-03     1.0114e+00
1.2830e-04     7.1650e-03     8.5587e-01
1.2830e-04     7.3490e-03     7.1821e-01
1.2830e-04     7.5320e-03     5.9898e-01
1.2830e-04     7.7160e-03     4.9562e-01
1.2830e-04     7.8990e-03     4.0783e-01
1.2830e-04     8.0830e-03     3.3311e-01
1.2830e-04     8.2660e-03     2.7073e-01
1.2830e-04     8.4500e-03     2.1850e-01
1.2830e-04     8.6330e-03     1.7557e-01
1.2830e-04     8.8170e-03     1.4014e-01
1.2830e-04     9.0000e-03     1.1141e-01
1.6460e-04     1.0000e-05     8.7546e-10
1.6460e-04     1.9350e-04     1.2225e-04
1.6460e-04     3.7690e-04     1.7405e-03
1.6460e-04     5.6040e-04     8.3545e-03
1.6460e-04     7.4390e-04     2.5296e-02
1.6460e-04     9.2730e-04     5.9131e-02
1.6460e-04     1.1110e-03     1.1710e-01
1.6460e-04     1.2940e-03     2.0565e-01
1.6460e-04     1.4780e-03     3.3147e-01
1.6460e-04     1.6610e-03     4.9712e-01
1.6460e-04     1.8450e-03     7.0597e-01
1.6460e-04     2.0280e-03     9.5444e-01
1.6460e-04     2.2120e-03     1.2410e+00
1.6460e-04     2.3950e-03     1.5554e+00
1.6460e-04     2.5790e-03     1.8915e+00
1.6460e-04     2.7620e-03     2.2343e+00
1.6460e-04     2.9460e-03     2.5748e+00
1.6460e-04     3.1290e-03     2.8965e+00
1.6460e-04     3.3120e-03     3.1891e+00
1.6460e-04     3.4960e-03     3.4430e+00
1.6460e-04     3.6790e-03     3.6466e+00
1.6460e-04     3.8630e-03     3.7955e+00
1.6460e-04     4.0460e-03     3.8845e+00
1.6460e-04     4.2300e-03     3.9136e+00
1.6460e-04     4.4130e-03     3.8844e+00
1.6460e-04     4.5970e-03     3.8004e+00
1.6460e-04     4.7800e-03     3.6687e+00
1.6460e-04     4.9640e-03     3.4950e+00
1.6460e-04     5.1470e-03     3.2896e+00
1.6460e-04     5.3310e-03     3.0586e+00
1.6460e-04     5.5140e-03     2.8128e+00
1.6460e-04     5.6980e-03     2.5576e+00
1.6460e-04     5.8810e-03     2.3027e+00
1.6460e-04     6.0640e-03     2.0526e+00
1.6460e-04     6.2480e-03     1.8111e+00
1.6460e-04     6.4310e-03     1.5845e+00
1.6460e-04     6.6150e-03     1.3730e+00
1.6460e-04     6.7980e-03     1.1806e+00
1.6460e-04     6.9820e-03     1.0062e+00
1.6460e-04     7.1650e-03     8.5163e-01
1.6460e-04     7.3490e-03     7.1477e-01
1.6460e-04     7.5320e-03     5.9621e-01
1.6460e-04     7.7160e-03     4.9340e-01
1.6460e-04     7.8990e-03     4.0606e-01
1.6460e-04     8.0830e-03     3.3170e-01
1.6460e-04     8.2660e-03     2.6962e-01
1.6460e-04     8.4500e-03     2.1763e-01
1.6460e-04     8.6330e-03     1.7488e-01
1.6460e-04     8.8170e-03     1.3961e-01
1.6460e-04     9.0000e-03     1.1100e-01
2.1110e-04     1.0000e-05     8.5975e-10
2.1110e-04     1.9350e-04     1.2006e-04
2.1110e-04     3.7690e-04     1.7094e-03
2.1110e-04     5.6040e-04     8.2059e-03
2.1110e-04     7.4390e-04     2.4849e-02
2.1110e-04     9.2730e-04     5.8096e-02
2.1110e-04     1.1110e-03     1.1508e-01
2.1110e-04     1.2940e-03     2.0213e-01
2.1110e-04     1.4780e-03     3.2588e-01
2.1110e-04     1.6610e-03     4.8887e-01
2.1110e-04     1.8450e-03     6.9445e-01
2.1110e-04     2.0280e-03     9.3917e-01
2.1110e-04     2.2120e-03     1.2215e+00
2.1110e-04     2.3950e-03     1.5316e+00
2.1110e-04     2.5790e-03     1.8632e+00
2.1110e-04     2.7620e-03     2.2017e+00
2.1110e-04     2.9460e-03     2.5382e+00
2.1110e-04     3.1290e-03     2.8565e+00
2.1110e-04     3.3120e-03     3.1463e+00
2.1110e-04     3.4960e-03     3.3982e+00
2.1110e-04     3.6790e-03     3.6005e+00
2.1110e-04     3.8630e-03     3.7491e+00
2.1110e-04     4.0460e-03     3.8385e+00
2.1110e-04     4.2300e-03     3.8688e+00
2.1110e-04     4.4130e-03     3.8414e+00
2.1110e-04     4.5970e-03     3.7598e+00
2.1110e-04     4.7800e-03     3.6309e+00
2.1110e-04     4.9640e-03     3.4603e+00
2.1110e-04     5.1470e-03     3.2580e+00
2.1110e-04     5.3310e-03     3.0303e+00
2.1110e-04     5.5140e-03     2.7877e+00
2.1110e-04     5.6980e-03     2.5356e+00
2.1110e-04     5.8810e-03     2.2836e+00
2.1110e-04     6.0640e-03     2.0362e+00
2.1110e-04     6.2480e-03     1.7971e+00
2.1110e-04     6.4310e-03     1.5727e+00
2.1110e-04     6.6150e-03     1.3631e+00
2.1110e-04     6.7980e-03     1.1725e+00
2.1110e-04     6.9820e-03     9.9945e-01
2.1110e-04     7.1650e-03     8.4611e-01
2.1110e-04     7.3490e-03     7.1029e-01
2.1110e-04     7.5320e-03     5.9259e-01
2.1110e-04     7.7160e-03     4.9050e-01
2.1110e-04     7.8990e-03     4.0374e-01
2.1110e-04     8.0830e-03     3.2987e-01
2.1110e-04     8.2660e-03     2.6817e-01
2.1110e-04     8.4500e-03     2.1649e-01
2.1110e-04     8.6330e-03     1.7399e-01
2.1110e-04     8.8170e-03     1.3891e-01
2.1110e-04     9.0000e-03     1.1047e-01
2.7090e-04     1.0000e-05     8.3980e-10
2.7090e-04     1.9350e-04     1.1728e-04
2.7090e-04     3.7690e-04     1.6699e-03
2.7090e-04     5.6040e-04     8.0172e-03
2.7090e-04     7.4390e-04     2.4281e-02
2.7090e-04     9.2730e-04     5.6781e-02
2.7090e-04     1.1110e-03     1.1250e-01
2.7090e-04     1.2940e-03     1.9766e-01
2.7090e-04     1.4780e-03     3.1876e-01
2.7090e-04     1.6610e-03     4.7836e-01
2.7090e-04     1.8450e-03     6.7978e-01
2.7090e-04     2.0280e-03     9.1970e-01
2.7090e-04     2.2120e-03     1.1967e+00
2.7090e-04     2.3950e-03     1.5012e+00
2.7090e-04     2.5790e-03     1.8271e+00
2.7090e-04     2.7620e-03     2.1600e+00
2.7090e-04     2.9460e-03     2.4914e+00
2.7090e-04     3.1290e-03     2.8052e+00
2.7090e-04     3.3120e-03     3.0914e+00
2.7090e-04     3.4960e-03     3.3406e+00
2.7090e-04     3.6790e-03     3.5414e+00
2.7090e-04     3.8630e-03     3.6894e+00
2.7090e-04     4.0460e-03     3.7793e+00
2.7090e-04     4.2300e-03     3.8111e+00
2.7090e-04     4.4130e-03     3.7860e+00
2.7090e-04     4.5970e-03     3.7075e+00
2.7090e-04     4.7800e-03     3.5820e+00
2.7090e-04     4.9640e-03     3.4153e+00
2.7090e-04     5.1470e-03     3.2172e+00
2.7090e-04     5.3310e-03     2.9936e+00
2.7090e-04     5.5140e-03     2.7552e+00
2.7090e-04     5.6980e-03     2.5071e+00
2.7090e-04     5.8810e-03     2.2588e+00
2.7090e-04     6.0640e-03     2.0149e+00
2.7090e-04     6.2480e-03     1.7789e+00
2.7090e-04     6.4310e-03     1.5573e+00
2.7090e-04     6.6150e-03     1.3502e+00
2.7090e-04     6.7980e-03     1.1618e+00
2.7090e-04     6.9820e-03     9.9063e-01
2.7090e-04     7.1650e-03     8.3888e-01
2.7090e-04     7.3490e-03     7.0442e-01
2.7090e-04     7.5320e-03     5.8784e-01
2.7090e-04     7.7160e-03     4.8668e-01
2.7090e-04     7.8990e-03     4.0069e-01
2.7090e-04     8.0830e-03     3.2745e-01
2.7090e-04     8.2660e-03     2.6626e-01
2.7090e-04     8.4500e-03     2.1499e-01
2.7090e-04     8.6330e-03     1.7282e-01
2.7090e-04     8.8170e-03     1.3800e-01
2.7090e-04     9.0000e-03     1.0975e-01
3.4750e-04     1.0000e-05     8.1469e-10
3.4750e-04     1.9350e-04     1.1378e-04
3.4750e-04     3.7690e-04     1.6202e-03
3.4750e-04     5.6040e-04     7.7796e-03
3.4750e-04     7.4390e-04     2.3566e-02
3.4750e-04     9.2730e-04     5.5122e-02
3.4750e-04     1.1110e-03     1.0924e-01
3.4750e-04     1.2940e-03     1.9201e-01
3.4750e-04     1.4780e-03     3.0978e-01
3.4750e-04     1.6610e-03     4.6509e-01
3.4750e-04     1.8450e-03     6.6124e-01
3.4750e-04     2.0280e-03     8.9508e-01
