 Element: Ar
 Info: 6s,6p,5d
 Maximum L = 10
 No. of velocities = 100
------------------------------------

v/c            P
1.0000e-05     3.5287e-06
1.0080e-04     3.5811e-04
1.9160e-04     1.2897e-03
2.8240e-04     2.7874e-03
3.7320e-04     4.8334e-03
4.6400e-04     7.4037e-03
5.5480e-04     1.0468e-02
6.4570e-04     1.3995e-02
7.3650e-04     1.7937e-02
8.2730e-04     2.2251e-02
9.1810e-04     2.6889e-02
1.0090e-03     3.1805e-02
1.1000e-03     3.6944e-02
1.1910e-03     4.2245e-02
1.2810e-03     4.7593e-02
1.3720e-03     5.3048e-02
1.4630e-03     5.8495e-02
1.5540e-03     6.3881e-02
1.6450e-03     6.9151e-02
1.7350e-03     7.4200e-02
1.8260e-03     7.9095e-02
1.9170e-03     8.3735e-02
2.0080e-03     8.8081e-02
2.0990e-03     9.2098e-02
2.1890e-03     9.5718e-02
2.2800e-03     9.8997e-02
2.3710e-03     1.0187e-01
2.4620e-03     1.0433e-01
2.5530e-03     1.0636e-01
2.6430e-03     1.0794e-01
2.7340e-03     1.0910e-01
2.8250e-03     1.0984e-01
2.9160e-03     1.1015e-01
3.0070e-03     1.1005e-01
3.0970e-03     1.0956e-01
3.1880e-03     1.0869e-01
3.2790e-03     1.0746e-01
3.3700e-03     1.0590e-01
3.4610e-03     1.0403e-01
3.5520e-03     1.0188e-01
3.6420e-03     9.9499e-02
3.7330e-03     9.6864e-02
3.8240e-03     9.4030e-02
3.9150e-03     9.1024e-02
4.0060e-03     8.7873e-02
4.0960e-03     8.4643e-02
4.1870e-03     8.1286e-02
4.2780e-03     7.7864e-02
4.3690e-03     7.4400e-02
4.4600e-03     7.0917e-02
4.5500e-03     6.7473e-02
4.6410e-03     6.4012e-02
4.7320e-03     6.0589e-02
4.8230e-03     5.7220e-02
4.9140e-03     5.3919e-02
5.0040e-03     5.0733e-02
5.0950e-03     4.7602e-02
5.1860e-03     4.4571e-02
5.2770e-03     4.1648e-02
5.3680e-03     3.8838e-02
5.4580e-03     3.6175e-02
5.5490e-03     3.3603e-02
5.6400e-03     3.1155e-02
5.7310e-03     2.8831e-02
5.8220e-03     2.6631e-02
5.9130e-03     2.4554e-02
6.0030e-03     2.2620e-02
6.0940e-03     2.0783e-02
6.1850e-03     1.9063e-02
6.2760e-03     1.7455e-02
6.3670e-03     1.5957e-02
6.4570e-03     1.4578e-02
6.5480e-03     1.3283e-02
6.6390e-03     1.2085e-02
6.7300e-03     1.0977e-02
6.8210e-03     9.9562e-03
6.9110e-03     9.0264e-03
7.0020e-03     8.1626e-03
7.0930e-03     7.3707e-03
7.1840e-03     6.6462e-03
7.2750e-03     5.9844e-03
7.3650e-03     5.3875e-03
7.4560e-03     4.8379e-03
7.5470e-03     4.3386e-03
7.6380e-03     3.8856e-03
7.7290e-03     3.4755e-03
7.8190e-03     3.1086e-03
7.9100e-03     2.7735e-03
8.0010e-03     2.4715e-03
8.0920e-03     2.1997e-03
8.1830e-03     1.9555e-03
8.2740e-03     1.7363e-03
8.3640e-03     1.5420e-03
8.4550e-03     1.3660e-03
8.5460e-03     1.2088e-03
8.6370e-03     1.0685e-03
8.7280e-03     9.4341e-04
8.8180e-03     8.3325e-04
8.9090e-03     7.3417e-04
9.0000e-03     6.4619e-04
