 Element: Ar
 Maximum L = 10
 Maximum kappa = 12
 No. of energies = 30
 No. of velocities = 100


------------------------------------

e energy (keV) v/c            dP/dE
5.6000e-01     1.0000e-05     3.3939e-09
5.6000e-01     1.0080e-04     3.4484e-07
5.6000e-01     1.9160e-04     1.2459e-06
5.6000e-01     2.8240e-04     2.7066e-06
5.6000e-01     3.7320e-04     4.7270e-06
5.6000e-01     4.6400e-04     7.3069e-06
5.6000e-01     5.5480e-04     1.0447e-05
5.6000e-01     6.4570e-04     1.4150e-05
5.6000e-01     7.3650e-04     1.8410e-05
5.6000e-01     8.2730e-04     2.3229e-05
5.6000e-01     9.1810e-04     2.8608e-05
5.6000e-01     1.0090e-03     3.4553e-05
5.6000e-01     1.1000e-03     4.1066e-05
5.6000e-01     1.1910e-03     4.8142e-05
5.6000e-01     1.2810e-03     5.5693e-05
5.6000e-01     1.3720e-03     6.3887e-05
5.6000e-01     1.4630e-03     7.2642e-05
5.6000e-01     1.5540e-03     8.1960e-05
5.6000e-01     1.6450e-03     9.1840e-05
5.6000e-01     1.7350e-03     1.0216e-04
5.6000e-01     1.8260e-03     1.1316e-04
5.6000e-01     1.9170e-03     1.2472e-04
5.6000e-01     2.0080e-03     1.3685e-04
5.6000e-01     2.0990e-03     1.4953e-04
5.6000e-01     2.1890e-03     1.6263e-04
5.6000e-01     2.2800e-03     1.7643e-04
5.6000e-01     2.3710e-03     1.9079e-04
5.6000e-01     2.4620e-03     2.0572e-04
5.6000e-01     2.5530e-03     2.2121e-04
5.6000e-01     2.6430e-03     2.3708e-04
5.6000e-01     2.7340e-03     2.5369e-04
5.6000e-01     2.8250e-03     2.7086e-04
5.6000e-01     2.9160e-03     2.8859e-04
5.6000e-01     3.0070e-03     3.0688e-04
5.6000e-01     3.0970e-03     3.2553e-04
5.6000e-01     3.1880e-03     3.4494e-04
5.6000e-01     3.2790e-03     3.6491e-04
5.6000e-01     3.3700e-03     3.8545e-04
5.6000e-01     3.4610e-03     4.0655e-04
5.6000e-01     3.5520e-03     4.2821e-04
5.6000e-01     3.6420e-03     4.5018e-04
5.6000e-01     3.7330e-03     4.7296e-04
5.6000e-01     3.8240e-03     4.9630e-04
5.6000e-01     3.9150e-03     5.2020e-04
5.6000e-01     4.0060e-03     5.4467e-04
5.6000e-01     4.0960e-03     5.6942e-04
5.6000e-01     4.1870e-03     5.9500e-04
5.6000e-01     4.2780e-03     6.2114e-04
5.6000e-01     4.3690e-03     6.4785e-04
5.6000e-01     4.4600e-03     6.7512e-04
5.6000e-01     4.5500e-03     7.0264e-04
5.6000e-01     4.6410e-03     7.3103e-04
5.6000e-01     4.7320e-03     7.5998e-04
5.6000e-01     4.8230e-03     7.8949e-04
5.6000e-01     4.9140e-03     8.1957e-04
5.6000e-01     5.0040e-03     8.4986e-04
5.6000e-01     5.0950e-03     8.8105e-04
5.6000e-01     5.1860e-03     9.1281e-04
5.6000e-01     5.2770e-03     9.4512e-04
5.6000e-01     5.3680e-03     9.7800e-04
5.6000e-01     5.4580e-03     1.0111e-03
5.6000e-01     5.5490e-03     1.0451e-03
5.6000e-01     5.6400e-03     1.0796e-03
5.6000e-01     5.7310e-03     1.1147e-03
5.6000e-01     5.8220e-03     1.1504e-03
5.6000e-01     5.9130e-03     1.1867e-03
5.6000e-01     6.0030e-03     1.2231e-03
5.6000e-01     6.0940e-03     1.2604e-03
5.6000e-01     6.1850e-03     1.2984e-03
5.6000e-01     6.2760e-03     1.3369e-03
5.6000e-01     6.3670e-03     1.3759e-03
5.6000e-01     6.4570e-03     1.4151e-03
5.6000e-01     6.5480e-03     1.4552e-03
5.6000e-01     6.6390e-03     1.4960e-03
5.6000e-01     6.7300e-03     1.5373e-03
5.6000e-01     6.8210e-03     1.5791e-03
5.6000e-01     6.9110e-03     1.6211e-03
5.6000e-01     7.0020e-03     1.6640e-03
5.6000e-01     7.0930e-03     1.7076e-03
5.6000e-01     7.1840e-03     1.7517e-03
5.6000e-01     7.2750e-03     1.7963e-03
5.6000e-01     7.3650e-03     1.8410e-03
5.6000e-01     7.4560e-03     1.8868e-03
5.6000e-01     7.5470e-03     1.9332e-03
5.6000e-01     7.6380e-03     1.9801e-03
5.6000e-01     7.7290e-03     2.0275e-03
5.6000e-01     7.8190e-03     2.0750e-03
5.6000e-01     7.9100e-03     2.1236e-03
5.6000e-01     8.0010e-03     2.1727e-03
5.6000e-01     8.0920e-03     2.2224e-03
5.6000e-01     8.1830e-03     2.2727e-03
5.6000e-01     8.2740e-03     2.3235e-03
5.6000e-01     8.3640e-03     2.3744e-03
5.6000e-01     8.4550e-03     2.4263e-03
5.6000e-01     8.5460e-03     2.4788e-03
