 Element: Ar
 Maximum L = 10
 Maximum kappa = 12
 No. of energies = 30
 No. of velocities = 100


------------------------------------

e energy (keV) v/c            dP/dE
5.6000e-01     1.0000e-05     2.6815e-08
5.6000e-01     1.0080e-04     2.7246e-06
5.6000e-01     1.9160e-04     9.8446e-06
5.6000e-01     2.8240e-04     2.1388e-05
5.6000e-01     3.7320e-04     3.7356e-05
5.6000e-01     4.6400e-04     5.7751e-05
5.6000e-01     5.5480e-04     8.2576e-05
5.6000e-01     6.4570e-04     1.1187e-04
5.6000e-01     7.3650e-04     1.4557e-04
5.6000e-01     8.2730e-04     1.8372e-04
5.6000e-01     9.1810e-04     2.2632e-04
5.6000e-01     1.0090e-03     2.7342e-04
5.6000e-01     1.1000e-03     3.2506e-04
5.6000e-01     1.1910e-03     3.8118e-04
5.6000e-01     1.2810e-03     4.4112e-04
5.6000e-01     1.3720e-03     5.0620e-04
5.6000e-01     1.4630e-03     5.7580e-04
5.6000e-01     1.5540e-03     6.4993e-04
5.6000e-01     1.6450e-03     7.2859e-04
5.6000e-01     1.7350e-03     8.1087e-04
5.6000e-01     1.8260e-03     8.9859e-04
5.6000e-01     1.9170e-03     9.9090e-04
5.6000e-01     2.0080e-03     1.0878e-03
5.6000e-01     2.0990e-03     1.1893e-03
5.6000e-01     2.1890e-03     1.2942e-03
5.6000e-01     2.2800e-03     1.4049e-03
5.6000e-01     2.3710e-03     1.5203e-03
5.6000e-01     2.4620e-03     1.6403e-03
5.6000e-01     2.5530e-03     1.7650e-03
5.6000e-01     2.6430e-03     1.8929e-03
5.6000e-01     2.7340e-03     2.0270e-03
5.6000e-01     2.8250e-03     2.1658e-03
5.6000e-01     2.9160e-03     2.3094e-03
5.6000e-01     3.0070e-03     2.4578e-03
5.6000e-01     3.0970e-03     2.6092e-03
5.6000e-01     3.1880e-03     2.7672e-03
5.6000e-01     3.2790e-03     2.9300e-03
5.6000e-01     3.3700e-03     3.0976e-03
5.6000e-01     3.4610e-03     3.2702e-03
5.6000e-01     3.5520e-03     3.4477e-03
5.6000e-01     3.6420e-03     3.6281e-03
5.6000e-01     3.7330e-03     3.8155e-03
5.6000e-01     3.8240e-03     4.0079e-03
5.6000e-01     3.9150e-03     4.2053e-03
5.6000e-01     4.0060e-03     4.4077e-03
5.6000e-01     4.0960e-03     4.6130e-03
5.6000e-01     4.1870e-03     4.8256e-03
5.6000e-01     4.2780e-03     5.0434e-03
5.6000e-01     4.3690e-03     5.2663e-03
