 Element: Ar
 Maximum L = 10
 Maximum kappa = 12
 No. of energies = 30
 No. of velocities = 100


------------------------------------

e energy (keV) v/c            dP/dE
5.6000e-01     1.0000e-05     5.3280e-08
5.6000e-01     1.0080e-04     5.4136e-06
5.6000e-01     1.9160e-04     1.9560e-05
5.6000e-01     2.8240e-04     4.2496e-05
5.6000e-01     3.7320e-04     7.4223e-05
5.6000e-01     4.6400e-04     1.1475e-04
5.6000e-01     5.5480e-04     1.6407e-04
5.6000e-01     6.4570e-04     2.2228e-04
5.6000e-01     7.3650e-04     2.8925e-04
5.6000e-01     8.2730e-04     3.6504e-04
5.6000e-01     9.1810e-04     4.4968e-04
5.6000e-01     1.0090e-03     5.4328e-04
5.6000e-01     1.1000e-03     6.4588e-04
5.6000e-01     1.1910e-03     7.5740e-04
5.6000e-01     1.2810e-03     8.7650e-04
5.6000e-01     1.3720e-03     1.0058e-03
5.6000e-01     1.4630e-03     1.1441e-03
5.6000e-01     1.5540e-03     1.2914e-03
5.6000e-01     1.6450e-03     1.4477e-03
5.6000e-01     1.7350e-03     1.6112e-03
5.6000e-01     1.8260e-03     1.7856e-03
5.6000e-01     1.9170e-03     1.9690e-03
5.6000e-01     2.0080e-03     2.1615e-03
5.6000e-01     2.0990e-03     2.3632e-03
5.6000e-01     2.1890e-03     2.5718e-03
5.6000e-01     2.2800e-03     2.7917e-03
5.6000e-01     2.3710e-03     3.0210e-03
5.6000e-01     2.4620e-03     3.2595e-03
5.6000e-01     2.5530e-03     3.5073e-03
5.6000e-01     2.6430e-03     3.7617e-03
5.6000e-01     2.7340e-03     4.0281e-03
5.6000e-01     2.8250e-03     4.3040e-03
5.6000e-01     2.9160e-03     4.5894e-03
5.6000e-01     3.0070e-03     4.8843e-03
5.6000e-01     3.0970e-03     5.1854e-03
5.6000e-01     3.1880e-03     5.4993e-03
5.6000e-01     3.2790e-03     5.8230e-03
5.6000e-01     3.3700e-03     6.1563e-03
5.6000e-01     3.4610e-03     6.4993e-03
5.6000e-01     3.5520e-03     6.8522e-03
5.6000e-01     3.6420e-03     7.2108e-03
5.6000e-01     3.7330e-03     7.5833e-03
5.6000e-01     3.8240e-03     7.9658e-03
5.6000e-01     3.9150e-03     8.3582e-03
5.6000e-01     4.0060e-03     8.7608e-03
5.6000e-01     4.0960e-03     9.1689e-03
5.6000e-01     4.1870e-03     9.5916e-03
5.6000e-01     4.2780e-03     1.0025e-02
5.6000e-01     4.3690e-03     1.0468e-02
5.6000e-01     4.4600e-03     1.0922e-02
5.6000e-01     4.5500e-03     1.1381e-02
5.6000e-01     4.6410e-03     1.1855e-02
5.6000e-01     4.7320e-03     1.2340e-02
5.6000e-01     4.8230e-03     1.2836e-02
5.6000e-01     4.9140e-03     1.3343e-02
5.6000e-01     5.0040e-03     1.3854e-02
5.6000e-01     5.0950e-03     1.4382e-02
5.6000e-01     5.1860e-03     1.4921e-02
5.6000e-01     5.2770e-03     1.5471e-02
5.6000e-01     5.3680e-03     1.6032e-02
5.6000e-01     5.4580e-03     1.6598e-02
5.6000e-01     5.5490e-03     1.7182e-02
5.6000e-01     5.6400e-03     1.7776e-02
5.6000e-01     5.7310e-03     1.8383e-02
5.6000e-01     5.8220e-03     1.9000e-02
5.6000e-01     5.9130e-03     1.9630e-02
5.6000e-01     6.0030e-03     2.0264e-02
5.6000e-01     6.0940e-03     2.0916e-02
5.6000e-01     6.1850e-03     2.1581e-02
5.6000e-01     6.2760e-03     2.2257e-02
5.6000e-01     6.3670e-03     2.2946e-02
5.6000e-01     6.4570e-03     2.3638e-02
5.6000e-01     6.5480e-03     2.4351e-02
5.6000e-01     6.6390e-03     2.5076e-02
5.6000e-01     6.7300e-03     2.5814e-02
5.6000e-01     6.8210e-03     2.6564e-02
5.6000e-01     6.9110e-03     2.7318e-02
5.6000e-01     7.0020e-03     2.8094e-02
5.6000e-01     7.0930e-03     2.8882e-02
5.6000e-01     7.1840e-03     2.9683e-02
5.6000e-01     7.2750e-03     3.0497e-02
5.6000e-01     7.3650e-03     3.1315e-02
5.6000e-01     7.4560e-03     3.2156e-02
5.6000e-01     7.5470e-03     3.3010e-02
5.6000e-01     7.6380e-03     3.3877e-02
5.6000e-01     7.7290e-03     3.4758e-02
5.6000e-01     7.8190e-03     3.5643e-02
5.6000e-01     7.9100e-03     3.6552e-02
5.6000e-01     8.0010e-03     3.7474e-02
5.6000e-01     8.0920e-03     3.8411e-02
5.6000e-01     8.1830e-03     3.9361e-02
5.6000e-01     8.2740e-03     4.0326e-02
5.6000e-01     8.3640e-03     4.1295e-02
5.6000e-01     8.4550e-03     4.2289e-02
5.6000e-01     8.5460e-03     4.3298e-02
5.6000e-01     8.6370e-03     4.4321e-02
5.6000e-01     8.7280e-03     4.5360e-02
5.6000e-01     8.8180e-03     4.6402e-02
5.6000e-01     8.9090e-03     4.7471e-02
5.6000e-01     9.0000e-03     4.8555e-02
6.3350e-01     1.0000e-05     3.8054e-08
6.3350e-01     1.0080e-04     3.8665e-06
6.3350e-01     1.9160e-04     1.3970e-05
6.3350e-01     2.8240e-04     3.0351e-05
6.3350e-01     3.7320e-04     5.3012e-05
6.3350e-01     4.6400e-04     8.1955e-05
6.3350e-01     5.5480e-04     1.1719e-04
6.3350e-01     6.4570e-04     1.5876e-04
6.3350e-01     7.3650e-04     2.0659e-04
6.3350e-01     8.2730e-04     2.6073e-04
6.3350e-01     9.1810e-04     3.2118e-04
6.3350e-01     1.0090e-03     3.8803e-04
6.3350e-01     1.1000e-03     4.6132e-04
6.3350e-01     1.1910e-03     5.4098e-04
6.3350e-01     1.2810e-03     6.2604e-04
6.3350e-01     1.3720e-03     7.1842e-04
6.3350e-01     1.4630e-03     8.1720e-04
6.3350e-01     1.5540e-03     9.2242e-04
6.3350e-01     1.6450e-03     1.0341e-03
