 Element: Ar
 Maximum L = 10
 Maximum kappa = 12
 No. of energies = 30
 No. of velocities = 100


------------------------------------

e energy (keV) v/c            dP/dE
5.6000e-01     1.0000e-05     1.2749e-07
5.6000e-01     1.0080e-04     1.2954e-05
5.6000e-01     1.9160e-04     4.6804e-05
5.6000e-01     2.8240e-04     1.0168e-04
5.6000e-01     3.7320e-04     1.7760e-04
5.6000e-01     4.6400e-04     2.7456e-04
5.6000e-01     5.5480e-04     3.9257e-04
5.6000e-01     6.4570e-04     5.3182e-04
5.6000e-01     7.3650e-04     6.9202e-04
5.6000e-01     8.2730e-04     8.7333e-04
5.6000e-01     9.1810e-04     1.0758e-03
5.6000e-01     1.0090e-03     1.2996e-03
5.6000e-01     1.1000e-03     1.5450e-03
5.6000e-01     1.1910e-03     1.8117e-03
5.6000e-01     1.2810e-03     2.0964e-03
5.6000e-01     1.3720e-03     2.4056e-03
5.6000e-01     1.4630e-03     2.7362e-03
5.6000e-01     1.5540e-03     3.0883e-03
5.6000e-01     1.6450e-03     3.4618e-03
5.6000e-01     1.7350e-03     3.8525e-03
5.6000e-01     1.8260e-03     4.2690e-03
5.6000e-01     1.9170e-03     4.7071e-03
5.6000e-01     2.0080e-03     5.1670e-03
5.6000e-01     2.0990e-03     5.6486e-03
5.6000e-01     2.1890e-03     6.1464e-03
5.6000e-01     2.2800e-03     6.6715e-03
5.6000e-01     2.3710e-03     7.2186e-03
5.6000e-01     2.4620e-03     7.7877e-03
5.6000e-01     2.5530e-03     8.3789e-03
5.6000e-01     2.6430e-03     8.9854e-03
5.6000e-01     2.7340e-03     9.6208e-03
5.6000e-01     2.8250e-03     1.0278e-02
5.6000e-01     2.9160e-03     1.0959e-02
5.6000e-01     3.0070e-03     1.1661e-02
5.6000e-01     3.0970e-03     1.2378e-02
5.6000e-01     3.1880e-03     1.3126e-02
5.6000e-01     3.2790e-03     1.3896e-02
5.6000e-01     3.3700e-03     1.4690e-02
5.6000e-01     3.4610e-03     1.5506e-02
5.6000e-01     3.5520e-03     1.6345e-02
5.6000e-01     3.6420e-03     1.7198e-02
5.6000e-01     3.7330e-03     1.8084e-02
5.6000e-01     3.8240e-03     1.8993e-02
5.6000e-01     3.9150e-03     1.9925e-02
5.6000e-01     4.0060e-03     2.0881e-02
5.6000e-01     4.0960e-03     2.1850e-02
5.6000e-01     4.1870e-03     2.2853e-02
5.6000e-01     4.2780e-03     2.3881e-02
5.6000e-01     4.3690e-03     2.4932e-02
5.6000e-01     4.4600e-03     2.6008e-02
5.6000e-01     4.5500e-03     2.7095e-02
5.6000e-01     4.6410e-03     2.8220e-02
5.6000e-01     4.7320e-03     2.9369e-02
5.6000e-01     4.8230e-03     3.0542e-02
5.6000e-01     4.9140e-03     3.1741e-02
5.6000e-01     5.0040e-03     3.2951e-02
5.6000e-01     5.0950e-03     3.4200e-02
5.6000e-01     5.1860e-03     3.5474e-02
5.6000e-01     5.2770e-03     3.6774e-02
5.6000e-01     5.3680e-03     3.8099e-02
5.6000e-01     5.4580e-03     3.9435e-02
5.6000e-01     5.5490e-03     4.0812e-02
5.6000e-01     5.6400e-03     4.2215e-02
5.6000e-01     5.7310e-03     4.3644e-02
5.6000e-01     5.8220e-03     4.5100e-02
5.6000e-01     5.9130e-03     4.6583e-02
5.6000e-01     6.0030e-03     4.8076e-02
5.6000e-01     6.0940e-03     4.9612e-02
5.6000e-01     6.1850e-03     5.1175e-02
5.6000e-01     6.2760e-03     5.2766e-02
5.6000e-01     6.3670e-03     5.4385e-02
5.6000e-01     6.4570e-03     5.6013e-02
5.6000e-01     6.5480e-03     5.7687e-02
5.6000e-01     6.6390e-03     5.9390e-02
5.6000e-01     6.7300e-03     6.1120e-02
5.6000e-01     6.8210e-03     6.2880e-02
5.6000e-01     6.9110e-03     6.4648e-02
5.6000e-01     7.0020e-03     6.6465e-02
5.6000e-01     7.0930e-03     6.8311e-02
5.6000e-01     7.1840e-03     7.0187e-02
5.6000e-01     7.2750e-03     7.2092e-02
5.6000e-01     7.3650e-03     7.4006e-02
5.6000e-01     7.4560e-03     7.5971e-02
5.6000e-01     7.5470e-03     7.7966e-02
5.6000e-01     7.6380e-03     7.9992e-02
5.6000e-01     7.7290e-03     8.2049e-02
5.6000e-01     7.8190e-03     8.4114e-02
5.6000e-01     7.9100e-03     8.6233e-02
5.6000e-01     8.0010e-03     8.8383e-02
5.6000e-01     8.0920e-03     9.0566e-02
5.6000e-01     8.1830e-03     9.2780e-02
5.6000e-01     8.2740e-03     9.5027e-02
5.6000e-01     8.3640e-03     9.7281e-02
5.6000e-01     8.4550e-03     9.9593e-02
5.6000e-01     8.5460e-03     1.0194e-01
5.6000e-01     8.6370e-03     1.0432e-01
5.6000e-01     8.7280e-03     1.0673e-01
5.6000e-01     8.8180e-03     1.0915e-01
5.6000e-01     8.9090e-03     1.1163e-01
5.6000e-01     9.0000e-03     1.1414e-01
6.3350e-01     1.0000e-05     9.2851e-08
6.3350e-01     1.0080e-04     9.4343e-06
6.3350e-01     1.9160e-04     3.4088e-05
6.3350e-01     2.8240e-04     7.4055e-05
6.3350e-01     3.7320e-04     1.2934e-04
6.3350e-01     4.6400e-04     1.9996e-04
6.3350e-01     5.5480e-04     2.8591e-04
6.3350e-01     6.4570e-04     3.8732e-04
6.3350e-01     7.3650e-04     5.0399e-04
6.3350e-01     8.2730e-04     6.3604e-04
6.3350e-01     9.1810e-04     7.8347e-04
6.3350e-01     1.0090e-03     9.4649e-04
6.3350e-01     1.1000e-03     1.1252e-03
6.3350e-01     1.1910e-03     1.3194e-03
6.3350e-01     1.2810e-03     1.5268e-03
6.3350e-01     1.3720e-03     1.7519e-03
6.3350e-01     1.4630e-03     1.9927e-03
6.3350e-01     1.5540e-03     2.2490e-03
6.3350e-01     1.6450e-03     2.5210e-03
6.3350e-01     1.7350e-03     2.8055e-03
6.3350e-01     1.8260e-03     3.1088e-03
6.3350e-01     1.9170e-03     3.4278e-03
6.3350e-01     2.0080e-03     3.7626e-03
6.3350e-01     2.0990e-03     4.1133e-03
6.3350e-01     2.1890e-03     4.4758e-03
6.3350e-01     2.2800e-03     4.8581e-03
6.3350e-01     2.3710e-03     5.2564e-03
6.3350e-01     2.4620e-03     5.6707e-03
6.3350e-01     2.5530e-03     6.1011e-03
6.3350e-01     2.6430e-03     6.5426e-03
6.3350e-01     2.7340e-03     7.0052e-03
6.3350e-01     2.8250e-03     7.4840e-03
6.3350e-01     2.9160e-03     7.9790e-03
6.3350e-01     3.0070e-03     8.4905e-03
6.3350e-01     3.0970e-03     9.0125e-03
6.3350e-01     3.1880e-03     9.5566e-03
6.3350e-01     3.2790e-03     1.0117e-02
6.3350e-01     3.3700e-03     1.0695e-02
6.3350e-01     3.4610e-03     1.1289e-02
6.3350e-01     3.5520e-03     1.1900e-02
6.3350e-01     3.6420e-03     1.2520e-02
6.3350e-01     3.7330e-03     1.3165e-02
6.3350e-01     3.8240e-03     1.3826e-02
6.3350e-01     3.9150e-03     1.4505e-02
6.3350e-01     4.0060e-03     1.5200e-02
6.3350e-01     4.0960e-03     1.5905e-02
6.3350e-01     4.1870e-03     1.6635e-02
6.3350e-01     4.2780e-03     1.7383e-02
6.3350e-01     4.3690e-03     1.8147e-02
6.3350e-01     4.4600e-03     1.8930e-02
6.3350e-01     4.5500e-03     1.9721e-02
6.3350e-01     4.6410e-03     2.0539e-02
6.3350e-01     4.7320e-03     2.1375e-02
6.3350e-01     4.8230e-03     2.2229e-02
6.3350e-01     4.9140e-03     2.3100e-02
6.3350e-01     5.0040e-03     2.3981e-02
6.3350e-01     5.0950e-03     2.4889e-02
6.3350e-01     5.1860e-03     2.5815e-02
6.3350e-01     5.2770e-03     2.6760e-02
6.3350e-01     5.3680e-03     2.7724e-02
6.3350e-01     5.4580e-03     2.8695e-02
6.3350e-01     5.5490e-03     2.9697e-02
6.3350e-01     5.6400e-03     3.0717e-02
6.3350e-01     5.7310e-03     3.1756e-02
6.3350e-01     5.8220e-03     3.2814e-02
6.3350e-01     5.9130e-03     3.3892e-02
6.3350e-01     6.0030e-03     3.4977e-02
6.3350e-01     6.0940e-03     3.6094e-02
6.3350e-01     6.1850e-03     3.7231e-02
6.3350e-01     6.2760e-03     3.8387e-02
6.3350e-01     6.3670e-03     3.9563e-02
6.3350e-01     6.4570e-03     4.0747e-02
6.3350e-01     6.5480e-03     4.1963e-02
6.3350e-01     6.6390e-03     4.3200e-02
6.3350e-01     6.7300e-03     4.4458e-02
6.3350e-01     6.8210e-03     4.5736e-02
6.3350e-01     6.9110e-03     4.7021e-02
6.3350e-01     7.0020e-03     4.8342e-02
6.3350e-01     7.0930e-03     4.9683e-02
6.3350e-01     7.1840e-03     5.1045e-02
6.3350e-01     7.2750e-03     5.2430e-02
6.3350e-01     7.3650e-03     5.3820e-02
6.3350e-01     7.4560e-03     5.5247e-02
6.3350e-01     7.5470e-03     5.6697e-02
6.3350e-01     7.6380e-03     5.8169e-02
6.3350e-01     7.7290e-03     5.9663e-02
6.3350e-01     7.8190e-03     6.1162e-02
6.3350e-01     7.9100e-03     6.2701e-02
6.3350e-01     8.0010e-03     6.4263e-02
6.3350e-01     8.0920e-03     6.5848e-02
6.3350e-01     8.1830e-03     6.7456e-02
6.3350e-01     8.2740e-03     6.9087e-02
6.3350e-01     8.3640e-03     7.0724e-02
6.3350e-01     8.4550e-03     7.2403e-02
6.3350e-01     8.5460e-03     7.4105e-02
6.3350e-01     8.6370e-03     7.5832e-02
6.3350e-01     8.7280e-03     7.7583e-02
6.3350e-01     8.8180e-03     7.9339e-02
6.3350e-01     8.9090e-03     8.1139e-02
6.3350e-01     9.0000e-03     8.2965e-02
7.1660e-01     1.0000e-05     6.7019e-08
7.1660e-01     1.0080e-04     6.8097e-06
7.1660e-01     1.9160e-04     2.4604e-05
7.1660e-01     2.8240e-04     5.3453e-05
7.1660e-01     3.7320e-04     9.3359e-05
7.1660e-01     4.6400e-04     1.4433e-04
7.1660e-01     5.5480e-04     2.0636e-04
7.1660e-01     6.4570e-04     2.7956e-04
7.1660e-01     7.3650e-04     3.6377e-04
7.1660e-01     8.2730e-04     4.5908e-04
7.1660e-01     9.1810e-04     5.6548e-04
7.1660e-01     1.0090e-03     6.8315e-04
7.1660e-01     1.1000e-03     8.1211e-04
7.1660e-01     1.1910e-03     9.5228e-04
7.1660e-01     1.2810e-03     1.1019e-03
7.1660e-01     1.3720e-03     1.2644e-03
7.1660e-01     1.4630e-03     1.4382e-03
7.1660e-01     1.5540e-03     1.6232e-03
7.1660e-01     1.6450e-03     1.8195e-03
7.1660e-01     1.7350e-03     2.0247e-03
7.1660e-01     1.8260e-03     2.2436e-03
7.1660e-01     1.9170e-03     2.4738e-03
7.1660e-01     2.0080e-03     2.7154e-03
7.1660e-01     2.0990e-03     2.9684e-03
7.1660e-01     2.1890e-03     3.2299e-03
7.1660e-01     2.2800e-03     3.5057e-03
7.1660e-01     2.3710e-03     3.7931e-03
7.1660e-01     2.4620e-03     4.0920e-03
7.1660e-01     2.5530e-03     4.4025e-03
7.1660e-01     2.6430e-03     4.7210e-03
7.1660e-01     2.7340e-03     5.0546e-03
7.1660e-01     2.8250e-03     5.4000e-03
7.1660e-01     2.9160e-03     5.7571e-03
7.1660e-01     3.0070e-03     6.1260e-03
7.1660e-01     3.0970e-03     6.5024e-03
7.1660e-01     3.1880e-03     6.8949e-03
7.1660e-01     3.2790e-03     7.2992e-03
7.1660e-01     3.3700e-03     7.7156e-03
7.1660e-01     3.4610e-03     8.1439e-03
7.1660e-01     3.5520e-03     8.5844e-03
7.1660e-01     3.6420e-03     9.0319e-03
7.1660e-01     3.7330e-03     9.4964e-03
7.1660e-01     3.8240e-03     9.9732e-03
7.1660e-01     3.9150e-03     1.0462e-02
7.1660e-01     4.0060e-03     1.0964e-02
7.1660e-01     4.0960e-03     1.1472e-02
7.1660e-01     4.1870e-03     1.1998e-02
7.1660e-01     4.2780e-03     1.2537e-02
7.1660e-01     4.3690e-03     1.3088e-02
7.1660e-01     4.4600e-03     1.3652e-02
7.1660e-01     4.5500e-03     1.4222e-02
7.1660e-01     4.6410e-03     1.4811e-02
7.1660e-01     4.7320e-03     1.5413e-02
7.1660e-01     4.8230e-03     1.6029e-02
7.1660e-01     4.9140e-03     1.6657e-02
7.1660e-01     5.0040e-03     1.7291e-02
7.1660e-01     5.0950e-03     1.7945e-02
7.1660e-01     5.1860e-03     1.8612e-02
7.1660e-01     5.2770e-03     1.9293e-02
7.1660e-01     5.3680e-03     1.9987e-02
7.1660e-01     5.4580e-03     2.0686e-02
7.1660e-01     5.5490e-03     2.1407e-02
7.1660e-01     5.6400e-03     2.2141e-02
7.1660e-01     5.7310e-03     2.2890e-02
7.1660e-01     5.8220e-03     2.3652e-02
7.1660e-01     5.9130e-03     2.4427e-02
7.1660e-01     6.0030e-03     2.5209e-02
7.1660e-01     6.0940e-03     2.6012e-02
7.1660e-01     6.1850e-03     2.6830e-02
7.1660e-01     6.2760e-03     2.7662e-02
7.1660e-01     6.3670e-03     2.8509e-02
7.1660e-01     6.4570e-03     2.9360e-02
7.1660e-01     6.5480e-03     3.0235e-02
7.1660e-01     6.6390e-03     3.1125e-02
7.1660e-01     6.7300e-03     3.2030e-02
7.1660e-01     6.8210e-03     3.2950e-02
7.1660e-01     6.9110e-03     3.3874e-02
7.1660e-01     7.0020e-03     3.4823e-02
7.1660e-01     7.0930e-03     3.5788e-02
7.1660e-01     7.1840e-03     3.6767e-02
7.1660e-01     7.2750e-03     3.7763e-02
7.1660e-01     7.3650e-03     3.8762e-02
7.1660e-01     7.4560e-03     3.9788e-02
7.1660e-01     7.5470e-03     4.0830e-02
7.1660e-01     7.6380e-03     4.1888e-02
7.1660e-01     7.7290e-03     4.2962e-02
7.1660e-01     7.8190e-03     4.4040e-02
7.1660e-01     7.9100e-03     4.5145e-02
7.1660e-01     8.0010e-03     4.6268e-02
7.1660e-01     8.0920e-03     4.7406e-02
7.1660e-01     8.1830e-03     4.8562e-02
7.1660e-01     8.2740e-03     4.9734e-02
7.1660e-01     8.3640e-03     5.0909e-02
7.1660e-01     8.4550e-03     5.2115e-02
7.1660e-01     8.5460e-03     5.3338e-02
7.1660e-01     8.6370e-03     5.4578e-02
7.1660e-01     8.7280e-03     5.5835e-02
7.1660e-01     8.8180e-03     5.7096e-02
7.1660e-01     8.9090e-03     5.8389e-02
7.1660e-01     9.0000e-03     5.9699e-02
8.1070e-01     1.0000e-05     4.7952e-08
8.1070e-01     1.0080e-04     4.8723e-06
8.1070e-01     1.9160e-04     1.7604e-05
8.1070e-01     2.8240e-04     3.8245e-05
8.1070e-01     3.7320e-04     6.6797e-05
8.1070e-01     4.6400e-04     1.0326e-04
8.1070e-01     5.5480e-04     1.4765e-04
8.1070e-01     6.4570e-04     2.0002e-04
8.1070e-01     7.3650e-04     2.6027e-04
8.1070e-01     8.2730e-04     3.2845e-04
8.1070e-01     9.1810e-04     4.0458e-04
8.1070e-01     1.0090e-03     4.8876e-04
8.1070e-01     1.1000e-03     5.8102e-04
8.1070e-01     1.1910e-03     6.8130e-04
8.1070e-01     1.2810e-03     7.8835e-04
8.1070e-01     1.3720e-03     9.0459e-04
8.1070e-01     1.4630e-03     1.0289e-03
8.1070e-01     1.5540e-03     1.1612e-03
8.1070e-01     1.6450e-03     1.3016e-03
8.1070e-01     1.7350e-03     1.4484e-03
8.1070e-01     1.8260e-03     1.6050e-03
8.1070e-01     1.9170e-03     1.7696e-03
8.1070e-01     2.0080e-03     1.9424e-03
8.1070e-01     2.0990e-03     2.1234e-03
8.1070e-01     2.1890e-03     2.3104e-03
8.1070e-01     2.2800e-03     2.5076e-03
8.1070e-01     2.3710e-03     2.7131e-03
8.1070e-01     2.4620e-03     2.9268e-03
8.1070e-01     2.5530e-03     3.1488e-03
8.1070e-01     2.6430e-03     3.3765e-03
8.1070e-01     2.7340e-03     3.6151e-03
8.1070e-01     2.8250e-03     3.8620e-03
8.1070e-01     2.9160e-03     4.1172e-03
8.1070e-01     3.0070e-03     4.3809e-03
8.1070e-01     3.0970e-03     4.6500e-03
8.1070e-01     3.1880e-03     4.9305e-03
8.1070e-01     3.2790e-03     5.2195e-03
8.1070e-01     3.3700e-03     5.5170e-03
8.1070e-01     3.4610e-03     5.8231e-03
8.1070e-01     3.5520e-03     6.1378e-03
8.1070e-01     3.6420e-03     6.4576e-03
8.1070e-01     3.7330e-03     6.7895e-03
8.1070e-01     3.8240e-03     7.1301e-03
8.1070e-01     3.9150e-03     7.4795e-03
8.1070e-01     4.0060e-03     7.8377e-03
8.1070e-01     4.0960e-03     8.2006e-03
8.1070e-01     4.1870e-03     8.5764e-03
8.1070e-01     4.2780e-03     8.9610e-03
8.1070e-01     4.3690e-03     9.3547e-03
8.1070e-01     4.4600e-03     9.7573e-03
8.1070e-01     4.5500e-03     1.0164e-02
8.1070e-01     4.6410e-03     1.0585e-02
8.1070e-01     4.7320e-03     1.1015e-02
8.1070e-01     4.8230e-03     1.1454e-02
8.1070e-01     4.9140e-03     1.1902e-02
8.1070e-01     5.0040e-03     1.2355e-02
8.1070e-01     5.0950e-03     1.2821e-02
8.1070e-01     5.1860e-03     1.3298e-02
8.1070e-01     5.2770e-03     1.3783e-02
8.1070e-01     5.3680e-03     1.4278e-02
8.1070e-01     5.4580e-03     1.4777e-02
8.1070e-01     5.5490e-03     1.5292e-02
8.1070e-01     5.6400e-03     1.5815e-02
8.1070e-01     5.7310e-03     1.6349e-02
8.1070e-01     5.8220e-03     1.6892e-02
8.1070e-01     5.9130e-03     1.7445e-02
8.1070e-01     6.0030e-03     1.8002e-02
8.1070e-01     6.0940e-03     1.8575e-02
8.1070e-01     6.1850e-03     1.9158e-02
8.1070e-01     6.2760e-03     1.9751e-02
8.1070e-01     6.3670e-03     2.0354e-02
8.1070e-01     6.4570e-03     2.0961e-02
8.1070e-01     6.5480e-03     2.1585e-02
8.1070e-01     6.6390e-03     2.2219e-02
8.1070e-01     6.7300e-03     2.2863e-02
8.1070e-01     6.8210e-03     2.3518e-02
8.1070e-01     6.9110e-03     2.4176e-02
8.1070e-01     7.0020e-03     2.4852e-02
8.1070e-01     7.0930e-03     2.5539e-02
8.1070e-01     7.1840e-03     2.6237e-02
8.1070e-01     7.2750e-03     2.6945e-02
8.1070e-01     7.3650e-03     2.7657e-02
8.1070e-01     7.4560e-03     2.8387e-02
8.1070e-01     7.5470e-03     2.9129e-02
8.1070e-01     7.6380e-03     2.9881e-02
8.1070e-01     7.7290e-03     3.0645e-02
8.1070e-01     7.8190e-03     3.1412e-02
8.1070e-01     7.9100e-03     3.2199e-02
8.1070e-01     8.0010e-03     3.2997e-02
8.1070e-01     8.0920e-03     3.3806e-02
8.1070e-01     8.1830e-03     3.4628e-02
8.1070e-01     8.2740e-03     3.5461e-02
8.1070e-01     8.3640e-03     3.6297e-02
8.1070e-01     8.4550e-03     3.7154e-02
8.1070e-01     8.5460e-03     3.8023e-02
8.1070e-01     8.6370e-03     3.8905e-02
8.1070e-01     8.7280e-03     3.9798e-02
8.1070e-01     8.8180e-03     4.0694e-02
8.1070e-01     8.9090e-03     4.1612e-02
8.1070e-01     9.0000e-03     4.2543e-02
9.1700e-01     1.0000e-05     3.4084e-08
9.1700e-01     1.0080e-04     3.4632e-06
9.1700e-01     1.9160e-04     1.2513e-05
9.1700e-01     2.8240e-04     2.7185e-05
9.1700e-01     3.7320e-04     4.7479e-05
9.1700e-01     4.6400e-04     7.3399e-05
9.1700e-01     5.5480e-04     1.0495e-04
9.1700e-01     6.4570e-04     1.4217e-04
9.1700e-01     7.3650e-04     1.8499e-04
9.1700e-01     8.2730e-04     2.3345e-04
9.1700e-01     9.1810e-04     2.8756e-04
9.1700e-01     1.0090e-03     3.4739e-04
9.1700e-01     1.1000e-03     4.1296e-04
9.1700e-01     1.1910e-03     4.8422e-04
9.1700e-01     1.2810e-03     5.6030e-04
9.1700e-01     1.3720e-03     6.4291e-04
9.1700e-01     1.4630e-03     7.3122e-04
9.1700e-01     1.5540e-03     8.2526e-04
9.1700e-01     1.6450e-03     9.2503e-04
9.1700e-01     1.7350e-03     1.0294e-03
9.1700e-01     1.8260e-03     1.1406e-03
9.1700e-01     1.9170e-03     1.2575e-03
9.1700e-01     2.0080e-03     1.3803e-03
9.1700e-01     2.0990e-03     1.5089e-03
9.1700e-01     2.1890e-03     1.6417e-03
9.1700e-01     2.2800e-03     1.7818e-03
9.1700e-01     2.3710e-03     1.9278e-03
9.1700e-01     2.4620e-03     2.0796e-03
9.1700e-01     2.5530e-03     2.2373e-03
9.1700e-01     2.6430e-03     2.3990e-03
9.1700e-01     2.7340e-03     2.5684e-03
9.1700e-01     2.8250e-03     2.7437e-03
9.1700e-01     2.9160e-03     2.9249e-03
9.1700e-01     3.0070e-03     3.1122e-03
9.1700e-01     3.0970e-03     3.3032e-03
9.1700e-01     3.1880e-03     3.5023e-03
9.1700e-01     3.2790e-03     3.7075e-03
9.1700e-01     3.3700e-03     3.9187e-03
9.1700e-01     3.4610e-03     4.1359e-03
9.1700e-01     3.5520e-03     4.3593e-03
9.1700e-01     3.6420e-03     4.5862e-03
9.1700e-01     3.7330e-03     4.8217e-03
9.1700e-01     3.8240e-03     5.0634e-03
9.1700e-01     3.9150e-03     5.3113e-03
9.1700e-01     4.0060e-03     5.5653e-03
9.1700e-01     4.0960e-03     5.8228e-03
9.1700e-01     4.1870e-03     6.0893e-03
9.1700e-01     4.2780e-03     6.3621e-03
9.1700e-01     4.3690e-03     6.6413e-03
9.1700e-01     4.4600e-03     6.9268e-03
9.1700e-01     4.5500e-03     7.2154e-03
9.1700e-01     4.6410e-03     7.5137e-03
9.1700e-01     4.7320e-03     7.8184e-03
9.1700e-01     4.8230e-03     8.1295e-03
9.1700e-01     4.9140e-03     8.4472e-03
9.1700e-01     5.0040e-03     8.7679e-03
9.1700e-01     5.0950e-03     9.0986e-03
9.1700e-01     5.1860e-03     9.4360e-03
9.1700e-01     5.2770e-03     9.7800e-03
9.1700e-01     5.3680e-03     1.0131e-02
9.1700e-01     5.4580e-03     1.0484e-02
9.1700e-01     5.5490e-03     1.0848e-02
9.1700e-01     5.6400e-03     1.1219e-02
9.1700e-01     5.7310e-03     1.1597e-02
9.1700e-01     5.8220e-03     1.1982e-02
9.1700e-01     5.9130e-03     1.2373e-02
9.1700e-01     6.0030e-03     1.2767e-02
9.1700e-01     6.0940e-03     1.3173e-02
9.1700e-01     6.1850e-03     1.3585e-02
9.1700e-01     6.2760e-03     1.4005e-02
9.1700e-01     6.3670e-03     1.4432e-02
9.1700e-01     6.4570e-03     1.4861e-02
9.1700e-01     6.5480e-03     1.5302e-02
9.1700e-01     6.6390e-03     1.5750e-02
9.1700e-01     6.7300e-03     1.6206e-02
9.1700e-01     6.8210e-03     1.6669e-02
9.1700e-01     6.9110e-03     1.7134e-02
9.1700e-01     7.0020e-03     1.7612e-02
9.1700e-01     7.0930e-03     1.8097e-02
9.1700e-01     7.1840e-03     1.8590e-02
9.1700e-01     7.2750e-03     1.9091e-02
9.1700e-01     7.3650e-03     1.9593e-02
9.1700e-01     7.4560e-03     2.0109e-02
9.1700e-01     7.5470e-03     2.0633e-02
9.1700e-01     7.6380e-03     2.1164e-02
9.1700e-01     7.7290e-03     2.1703e-02
9.1700e-01     7.8190e-03     2.2245e-02
9.1700e-01     7.9100e-03     2.2800e-02
9.1700e-01     8.0010e-03     2.3363e-02
9.1700e-01     8.0920e-03     2.3935e-02
9.1700e-01     8.1830e-03     2.4514e-02
9.1700e-01     8.2740e-03     2.5102e-02
9.1700e-01     8.3640e-03     2.5691e-02
9.1700e-01     8.4550e-03     2.6296e-02
9.1700e-01     8.5460e-03     2.6909e-02
9.1700e-01     8.6370e-03     2.7530e-02
9.1700e-01     8.7280e-03     2.8160e-02
9.1700e-01     8.8180e-03     2.8791e-02
9.1700e-01     8.9090e-03     2.9438e-02
9.1700e-01     9.0000e-03     3.0094e-02
1.0370e+00     1.0000e-05     2.4107e-08
1.0370e+00     1.0080e-04     2.4494e-06
1.0370e+00     1.9160e-04     8.8501e-06
1.0370e+00     2.8240e-04     1.9227e-05
1.0370e+00     3.7320e-04     3.3580e-05
1.0370e+00     4.6400e-04     5.1912e-05
1.0370e+00     5.5480e-04     7.4224e-05
1.0370e+00     6.4570e-04     1.0055e-04
1.0370e+00     7.3650e-04     1.3083e-04
1.0370e+00     8.2730e-04     1.6511e-04
1.0370e+00     9.1810e-04     2.0337e-04
1.0370e+00     1.0090e-03     2.4568e-04
1.0370e+00     1.1000e-03     2.9205e-04
1.0370e+00     1.1910e-03     3.4244e-04
1.0370e+00     1.2810e-03     3.9624e-04
1.0370e+00     1.3720e-03     4.5464e-04
1.0370e+00     1.4630e-03     5.1709e-04
1.0370e+00     1.5540e-03     5.8358e-04
1.0370e+00     1.6450e-03     6.5412e-04
1.0370e+00     1.7350e-03     7.2787e-04
1.0370e+00     1.8260e-03     8.0649e-04
1.0370e+00     1.9170e-03     8.8918e-04
1.0370e+00     2.0080e-03     9.7596e-04
1.0370e+00     2.0990e-03     1.0668e-03
1.0370e+00     2.1890e-03     1.1607e-03
1.0370e+00     2.2800e-03     1.2597e-03
1.0370e+00     2.3710e-03     1.3629e-03
1.0370e+00     2.4620e-03     1.4702e-03
1.0370e+00     2.5530e-03     1.5816e-03
1.0370e+00     2.6430e-03     1.6959e-03
1.0370e+00     2.7340e-03     1.8155e-03
1.0370e+00     2.8250e-03     1.9394e-03
1.0370e+00     2.9160e-03     2.0674e-03
1.0370e+00     3.0070e-03     2.1997e-03
1.0370e+00     3.0970e-03     2.3346e-03
1.0370e+00     3.1880e-03     2.4753e-03
1.0370e+00     3.2790e-03     2.6201e-03
1.0370e+00     3.3700e-03     2.7693e-03
1.0370e+00     3.4610e-03     2.9227e-03
1.0370e+00     3.5520e-03     3.0804e-03
1.0370e+00     3.6420e-03     3.2405e-03
1.0370e+00     3.7330e-03     3.4068e-03
