 Element: Ar
 Maximum L = 10
 Maximum kappa = 20
 No. of transitions =  1
 No. of channels =    46
 No. of energies = 100
 No. of velocities = 100
------------------------------------

e energy (keV) v/c            dP/dE
1.0000e-04     1.0000e-05     1.4497e-06
1.0000e-04     1.0080e-04     1.4715e-04
1.0000e-04     1.9160e-04     5.3025e-04
1.0000e-04     2.8240e-04     1.1470e-03
1.0000e-04     3.7320e-04     1.9913e-03
1.0000e-04     4.6400e-04     3.0550e-03
1.0000e-04     5.5480e-04     4.3277e-03
1.0000e-04     6.4570e-04     5.7989e-03
1.0000e-04     7.3650e-04     7.4510e-03
1.0000e-04     8.2730e-04     9.2700e-03
1.0000e-04     9.1810e-04     1.1238e-02
1.0000e-04     1.0090e-03     1.3340e-02
1.0000e-04     1.1000e-03     1.5557e-02
1.0000e-04     1.1910e-03     1.7865e-02
1.0000e-04     1.2810e-03     2.0217e-02
1.0000e-04     1.3720e-03     2.2645e-02
1.0000e-04     1.4630e-03     2.5101e-02
1.0000e-04     1.5540e-03     2.7565e-02
1.0000e-04     1.6450e-03     3.0015e-02
1.0000e-04     1.7350e-03     3.2404e-02
1.0000e-04     1.8260e-03     3.4768e-02
1.0000e-04     1.9170e-03     3.7060e-02
1.0000e-04     2.0080e-03     3.9263e-02
1.0000e-04     2.0990e-03     4.1361e-02
1.0000e-04     2.1890e-03     4.3319e-02
1.0000e-04     2.2800e-03     4.5166e-02
1.0000e-04     2.3710e-03     4.6870e-02
1.0000e-04     2.4620e-03     4.8419e-02
1.0000e-04     2.5530e-03     4.9807e-02
1.0000e-04     2.6430e-03     5.1013e-02
1.0000e-04     2.7340e-03     5.2060e-02
1.0000e-04     2.8250e-03     5.2931e-02
1.0000e-04     2.9160e-03     5.3624e-02
1.0000e-04     3.0070e-03     5.4138e-02
1.0000e-04     3.0970e-03     5.4474e-02
1.0000e-04     3.1880e-03     5.4640e-02
1.0000e-04     3.2790e-03     5.4636e-02
1.0000e-04     3.3700e-03     5.4469e-02
1.0000e-04     3.4610e-03     5.4144e-02
1.0000e-04     3.5520e-03     5.3668e-02
1.0000e-04     3.6420e-03     5.3057e-02
1.0000e-04     3.7330e-03     5.2307e-02
1.0000e-04     3.8240e-03     5.1433e-02
1.0000e-04     3.9150e-03     5.0444e-02
1.0000e-04     4.0060e-03     4.9352e-02
1.0000e-04     4.0960e-03     4.8179e-02
1.0000e-04     4.1870e-03     4.6911e-02
1.0000e-04     4.2780e-03     4.5570e-02
1.0000e-04     4.3690e-03     4.4166e-02
1.0000e-04     4.4600e-03     4.2710e-02
1.0000e-04     4.5500e-03     4.1228e-02
1.0000e-04     4.6410e-03     3.9697e-02
1.0000e-04     4.7320e-03     3.8143e-02
1.0000e-04     4.8230e-03     3.6573e-02
1.0000e-04     4.9140e-03     3.4997e-02
1.0000e-04     5.0040e-03     3.3439e-02
1.0000e-04     5.0950e-03     3.1872e-02
1.0000e-04     5.1860e-03     3.0320e-02
1.0000e-04     5.2770e-03     2.8788e-02
1.0000e-04     5.3680e-03     2.7282e-02
1.0000e-04     5.4580e-03     2.5824e-02
1.0000e-04     5.5490e-03     2.4384e-02
1.0000e-04     5.6400e-03     2.2984e-02
1.0000e-04     5.7310e-03     2.1625e-02
1.0000e-04     5.8220e-03     2.0311e-02
1.0000e-04     5.9130e-03     1.9045e-02
1.0000e-04     6.0030e-03     1.7840e-02
1.0000e-04     6.0940e-03     1.6671e-02
1.0000e-04     6.1850e-03     1.5554e-02
1.0000e-04     6.2760e-03     1.4487e-02
1.0000e-04     6.3670e-03     1.3472e-02
1.0000e-04     6.4570e-03     1.2518e-02
1.0000e-04     6.5480e-03     1.1605e-02
1.0000e-04     6.6390e-03     1.0741e-02
1.0000e-04     6.7300e-03     9.9262e-03
1.0000e-04     6.8210e-03     9.1594e-03
1.0000e-04     6.9110e-03     8.4468e-03
1.0000e-04     7.0020e-03     7.7712e-03
1.0000e-04     7.0930e-03     7.1391e-03
1.0000e-04     7.1840e-03     6.5489e-03
1.0000e-04     7.2750e-03     5.9990e-03
1.0000e-04     7.3650e-03     5.4928e-03
1.0000e-04     7.4560e-03     5.0174e-03
1.0000e-04     7.5470e-03     4.5768e-03
1.0000e-04     7.6380e-03     4.1692e-03
1.0000e-04     7.7290e-03     3.7927e-03
1.0000e-04     7.8190e-03     3.4493e-03
1.0000e-04     7.9100e-03     3.1295e-03
1.0000e-04     8.0010e-03     2.8356e-03
1.0000e-04     8.0920e-03     2.5659e-03
1.0000e-04     8.1830e-03     2.3190e-03
1.0000e-04     8.2740e-03     2.0931e-03
1.0000e-04     8.3640e-03     1.8890e-03
1.0000e-04     8.4550e-03     1.7007e-03
1.0000e-04     8.5460e-03     1.5294e-03
1.0000e-04     8.6370e-03     1.3736e-03
1.0000e-04     8.7280e-03     1.2322e-03
1.0000e-04     8.8180e-03     1.1053e-03
1.0000e-04     8.9090e-03     9.8916e-04
1.0000e-04     9.0000e-03     8.8418e-04
1.1310e-04     1.0000e-05     1.4514e-06
1.1310e-04     1.0080e-04     1.4733e-04
1.1310e-04     1.9160e-04     5.3090e-04
1.1310e-04     2.8240e-04     1.1484e-03
1.1310e-04     3.7320e-04     1.9938e-03
1.1310e-04     4.6400e-04     3.0588e-03
1.1310e-04     5.5480e-04     4.3330e-03
1.1310e-04     6.4570e-04     5.8059e-03
1.1310e-04     7.3650e-04     7.4601e-03
1.1310e-04     8.2730e-04     9.2813e-03
1.1310e-04     9.1810e-04     1.1252e-02
1.1310e-04     1.0090e-03     1.3357e-02
1.1310e-04     1.1000e-03     1.5576e-02
1.1310e-04     1.1910e-03     1.7886e-02
1.1310e-04     1.2810e-03     2.0242e-02
1.1310e-04     1.3720e-03     2.2672e-02
1.1310e-04     1.4630e-03     2.5132e-02
1.1310e-04     1.5540e-03     2.7598e-02
1.1310e-04     1.6450e-03     3.0051e-02
1.1310e-04     1.7350e-03     3.2443e-02
1.1310e-04     1.8260e-03     3.4809e-02
1.1310e-04     1.9170e-03     3.7104e-02
1.1310e-04     2.0080e-03     3.9309e-02
1.1310e-04     2.0990e-03     4.1410e-02
1.1310e-04     2.1890e-03     4.3369e-02
1.1310e-04     2.2800e-03     4.5219e-02
1.1310e-04     2.3710e-03     4.6924e-02
1.1310e-04     2.4620e-03     4.8475e-02
1.1310e-04     2.5530e-03     4.9864e-02
1.1310e-04     2.6430e-03     5.1072e-02
1.1310e-04     2.7340e-03     5.2120e-02
1.1310e-04     2.8250e-03     5.2991e-02
1.1310e-04     2.9160e-03     5.3684e-02
1.1310e-04     3.0070e-03     5.4199e-02
1.1310e-04     3.0970e-03     5.4535e-02
1.1310e-04     3.1880e-03     5.4701e-02
1.1310e-04     3.2790e-03     5.4697e-02
1.1310e-04     3.3700e-03     5.4529e-02
1.1310e-04     3.4610e-03     5.4203e-02
1.1310e-04     3.5520e-03     5.3726e-02
1.1310e-04     3.6420e-03     5.3114e-02
1.1310e-04     3.7330e-03     5.2363e-02
1.1310e-04     3.8240e-03     5.1488e-02
1.1310e-04     3.9150e-03     5.0498e-02
1.1310e-04     4.0060e-03     4.9404e-02
1.1310e-04     4.0960e-03     4.8230e-02
1.1310e-04     4.1870e-03     4.6959e-02
1.1310e-04     4.2780e-03     4.5616e-02
1.1310e-04     4.3690e-03     4.4211e-02
1.1310e-04     4.4600e-03     4.2753e-02
1.1310e-04     4.5500e-03     4.1270e-02
1.1310e-04     4.6410e-03     3.9737e-02
1.1310e-04     4.7320e-03     3.8181e-02
1.1310e-04     4.8230e-03     3.6609e-02
1.1310e-04     4.9140e-03     3.5031e-02
1.1310e-04     5.0040e-03     3.3472e-02
1.1310e-04     5.0950e-03     3.1903e-02
1.1310e-04     5.1860e-03     3.0349e-02
1.1310e-04     5.2770e-03     2.8815e-02
1.1310e-04     5.3680e-03     2.7308e-02
1.1310e-04     5.4580e-03     2.5848e-02
1.1310e-04     5.5490e-03     2.4407e-02
1.1310e-04     5.6400e-03     2.3005e-02
