 Element: Ar
 Maximum L = 10
 Maximum kappa = 12
 No. of transitions =  1
 No. of channels =    46
 No. of energies = 100
 No. of velocities = 100
------------------------------------

e energy (keV) v/c            dP/dE
1.0000e-04     1.0000e-05     1.4497e-06
1.0000e-04     1.0710e-05     1.6628e-06
1.0000e-04     1.1470e-05     1.9072e-06
1.0000e-04     1.2290e-05     2.1896e-06
1.0000e-04     1.3160e-05     2.5106e-06
1.0000e-04     1.4100e-05     2.8821e-06
1.0000e-04     1.5100e-05     3.3053e-06
1.0000e-04     1.6180e-05     3.7951e-06
1.0000e-04     1.7330e-05     4.3537e-06
1.0000e-04     1.8560e-05     4.9936e-06
1.0000e-04     1.9880e-05     5.7291e-06
1.0000e-04     2.1290e-05     6.5706e-06
1.0000e-04     2.2810e-05     7.5422e-06
1.0000e-04     2.4430e-05     8.6515e-06
1.0000e-04     2.6170e-05     9.9277e-06
1.0000e-04     2.8030e-05     1.1389e-05
1.0000e-04     3.0020e-05     1.3063e-05
1.0000e-04     3.2160e-05     1.4992e-05
1.0000e-04     3.4450e-05     1.7203e-05
1.0000e-04     3.6900e-05     1.9736e-05
1.0000e-04     3.9520e-05     2.2638e-05
1.0000e-04     4.2330e-05     2.5971e-05
1.0000e-04     4.5340e-05     2.9795e-05
1.0000e-04     4.8570e-05     3.4191e-05
1.0000e-04     5.2020e-05     3.9219e-05
1.0000e-04     5.5720e-05     4.4995e-05
1.0000e-04     5.9680e-05     5.1615e-05
1.0000e-04     6.3930e-05     5.9225e-05
1.0000e-04     6.8480e-05     6.7951e-05
1.0000e-04     7.3350e-05     7.7954e-05
1.0000e-04     7.8560e-05     8.9415e-05
1.0000e-04     8.4150e-05     1.0258e-04
1.0000e-04     9.0140e-05     1.1769e-04
1.0000e-04     9.6550e-05     1.3501e-04
1.0000e-04     1.0340e-04     1.5483e-04
1.0000e-04     1.1080e-04     1.7776e-04
1.0000e-04     1.1870e-04     2.0397e-04
1.0000e-04     1.2710e-04     2.3381e-04
1.0000e-04     1.3610e-04     2.6803e-04
1.0000e-04     1.4580e-04     3.0752e-04
1.0000e-04     1.5620e-04     3.5284e-04
1.0000e-04     1.6730e-04     4.0463e-04
1.0000e-04     1.7920e-04     4.6405e-04
1.0000e-04     1.9190e-04     5.3190e-04
1.0000e-04     2.0560e-04     6.1023e-04
1.0000e-04     2.2020e-04     6.9954e-04
1.0000e-04     2.3590e-04     8.0228e-04
1.0000e-04     2.5260e-04     9.1914e-04
1.0000e-04     2.7060e-04     1.0538e-03
1.0000e-04     2.8990e-04     1.2082e-03
1.0000e-04     3.1050e-04     1.3843e-03
1.0000e-04     3.3260e-04     1.5861e-03
1.0000e-04     3.5620e-04     1.8163e-03
1.0000e-04     3.8160e-04     2.0807e-03
1.0000e-04     4.0870e-04     2.3816e-03
1.0000e-04     4.3780e-04     2.7261e-03
1.0000e-04     4.6890e-04     3.1185e-03
1.0000e-04     5.0230e-04     3.5670e-03
1.0000e-04     5.3800e-04     4.0770e-03
1.0000e-04     5.7620e-04     4.6568e-03
1.0000e-04     6.1720e-04     5.3172e-03
1.0000e-04     6.6110e-04     6.0666e-03
1.0000e-04     7.0820e-04     6.9174e-03
1.0000e-04     7.5850e-04     7.8771e-03
1.0000e-04     8.1250e-04     8.9628e-03
1.0000e-04     8.7030e-04     1.0185e-02
1.0000e-04     9.3220e-04     1.1556e-02
1.0000e-04     9.9850e-04     1.3092e-02
1.0000e-04     1.0690e-03     1.4790e-02
1.0000e-04     1.1460e-03     1.6713e-02
1.0000e-04     1.2270e-03     1.8799e-02
1.0000e-04     1.3140e-03     2.1093e-02
1.0000e-04     1.4080e-03     2.3615e-02
1.0000e-04     1.5080e-03     2.6320e-02
1.0000e-04     1.6150e-03     2.9210e-02
1.0000e-04     1.7300e-03     3.2273e-02
1.0000e-04     1.8530e-03     3.5456e-02
1.0000e-04     1.9850e-03     3.8715e-02
1.0000e-04     2.1260e-03     4.1961e-02
1.0000e-04     2.2770e-03     4.5107e-02
1.0000e-04     2.4390e-03     4.8043e-02
1.0000e-04     2.6130e-03     5.0630e-02
1.0000e-04     2.7990e-03     5.2700e-02
1.0000e-04     2.9980e-03     5.4095e-02
1.0000e-04     3.2110e-03     5.4655e-02
1.0000e-04     3.4390e-03     5.4236e-02
1.0000e-04     3.6840e-03     5.2727e-02
1.0000e-04     3.9460e-03     5.0084e-02
1.0000e-04     4.2270e-03     4.6330e-02
1.0000e-04     4.5270e-03     4.1610e-02
1.0000e-04     4.8490e-03     3.6123e-02
1.0000e-04     5.1940e-03     3.0184e-02
1.0000e-04     5.5640e-03     2.4151e-02
1.0000e-04     5.9590e-03     1.8423e-02
1.0000e-04     6.3830e-03     1.3299e-02
1.0000e-04     6.8370e-03     9.0294e-03
1.0000e-04     7.3240e-03     5.7188e-03
1.0000e-04     7.8440e-03     3.3587e-03
1.0000e-04     8.4020e-03     1.8082e-03
1.0000e-04     9.0000e-03     8.8418e-04
1.1310e-04     1.0000e-05     1.4514e-06
1.1310e-04     1.0710e-05     1.6649e-06
1.1310e-04     1.1470e-05     1.9095e-06
1.1310e-04     1.2290e-05     2.1923e-06
1.1310e-04     1.3160e-05     2.5137e-06
1.1310e-04     1.4100e-05     2.8856e-06
1.1310e-04     1.5100e-05     3.3094e-06
1.1310e-04     1.6180e-05     3.7997e-06
1.1310e-04     1.7330e-05     4.3590e-06
1.1310e-04     1.8560e-05     4.9997e-06
1.1310e-04     1.9880e-05     5.7361e-06
1.1310e-04     2.1290e-05     6.5786e-06
1.1310e-04     2.2810e-05     7.5515e-06
1.1310e-04     2.4430e-05     8.6621e-06
1.1310e-04     2.6170e-05     9.9399e-06
1.1310e-04     2.8030e-05     1.1403e-05
1.1310e-04     3.0020e-05     1.3079e-05
1.1310e-04     3.2160e-05     1.5010e-05
1.1310e-04     3.4450e-05     1.7224e-05
1.1310e-04     3.6900e-05     1.9760e-05
1.1310e-04     3.9520e-05     2.2666e-05
1.1310e-04     4.2330e-05     2.6003e-05
1.1310e-04     4.5340e-05     2.9832e-05
1.1310e-04     4.8570e-05     3.4232e-05
1.1310e-04     5.2020e-05     3.9267e-05
1.1310e-04     5.5720e-05     4.5050e-05
1.1310e-04     5.9680e-05     5.1678e-05
1.1310e-04     6.3930e-05     5.9298e-05
1.1310e-04     6.8480e-05     6.8034e-05
1.1310e-04     7.3350e-05     7.8050e-05
1.1310e-04     7.8560e-05     8.9524e-05
1.1310e-04     8.4150e-05     1.0271e-04
1.1310e-04     9.0140e-05     1.1784e-04
1.1310e-04     9.6550e-05     1.3518e-04
1.1310e-04     1.0340e-04     1.5502e-04
1.1310e-04     1.1080e-04     1.7797e-04
1.1310e-04     1.1870e-04     2.0422e-04
1.1310e-04     1.2710e-04     2.3410e-04
1.1310e-04     1.3610e-04     2.6836e-04
1.1310e-04     1.4580e-04     3.0789e-04
1.1310e-04     1.5620e-04     3.5327e-04
1.1310e-04     1.6730e-04     4.0512e-04
1.1310e-04     1.7920e-04     4.6461e-04
1.1310e-04     1.9190e-04     5.3255e-04
1.1310e-04     2.0560e-04     6.1098e-04
1.1310e-04     2.2020e-04     7.0040e-04
1.1310e-04     2.3590e-04     8.0326e-04
1.1310e-04     2.5260e-04     9.2027e-04
1.1310e-04     2.7060e-04     1.0551e-03
1.1310e-04     2.8990e-04     1.2097e-03
1.1310e-04     3.1050e-04     1.3860e-03
1.1310e-04     3.3260e-04     1.5881e-03
1.1310e-04     3.5620e-04     1.8185e-03
1.1310e-04     3.8160e-04     2.0832e-03
1.1310e-04     4.0870e-04     2.3845e-03
1.1310e-04     4.3780e-04     2.7295e-03
1.1310e-04     4.6890e-04     3.1223e-03
1.1310e-04     5.0230e-04     3.5714e-03
1.1310e-04     5.3800e-04     4.0820e-03
1.1310e-04     5.7620e-04     4.6625e-03
1.1310e-04     6.1720e-04     5.3237e-03
1.1310e-04     6.6110e-04     6.0740e-03
1.1310e-04     7.0820e-04     6.9259e-03
1.1310e-04     7.5850e-04     7.8867e-03
1.1310e-04     8.1250e-04     8.9737e-03
1.1310e-04     8.7030e-04     1.0197e-02
1.1310e-04     9.3220e-04     1.1570e-02
1.1310e-04     9.9850e-04     1.3107e-02
1.1310e-04     1.0690e-03     1.4808e-02
1.1310e-04     1.1460e-03     1.6734e-02
1.1310e-04     1.2270e-03     1.8821e-02
1.1310e-04     1.3140e-03     2.1119e-02
1.1310e-04     1.4080e-03     2.3643e-02
1.1310e-04     1.5080e-03     2.6352e-02
1.1310e-04     1.6150e-03     2.9245e-02
1.1310e-04     1.7300e-03     3.2311e-02
1.1310e-04     1.8530e-03     3.5498e-02
1.1310e-04     1.9850e-03     3.8761e-02
1.1310e-04     2.1260e-03     4.2010e-02
1.1310e-04     2.2770e-03     4.5160e-02
1.1310e-04     2.4390e-03     4.8098e-02
1.1310e-04     2.6130e-03     5.0688e-02
1.1310e-04     2.7990e-03     5.2760e-02
1.1310e-04     2.9980e-03     5.4156e-02
1.1310e-04     3.2110e-03     5.4715e-02
1.1310e-04     3.4390e-03     5.4296e-02
1.1310e-04     3.6840e-03     5.2784e-02
1.1310e-04     3.9460e-03     5.0136e-02
1.1310e-04     4.2270e-03     4.6377e-02
1.1310e-04     4.5270e-03     4.1652e-02
1.1310e-04     4.8490e-03     3.6159e-02
1.1310e-04     5.1940e-03     3.0213e-02
1.1310e-04     5.5640e-03     2.4173e-02
1.1310e-04     5.9590e-03     1.8439e-02
1.1310e-04     6.3830e-03     1.3310e-02
1.1310e-04     6.8370e-03     9.0371e-03
1.1310e-04     7.3240e-03     5.7236e-03
1.1310e-04     7.8440e-03     3.3615e-03
1.1310e-04     8.4020e-03     1.8098e-03
1.1310e-04     9.0000e-03     8.8492e-04
1.2800e-04     1.0000e-05     1.4534e-06
1.2800e-04     1.0710e-05     1.6671e-06
1.2800e-04     1.1470e-05     1.9121e-06
1.2800e-04     1.2290e-05     2.1953e-06
1.2800e-04     1.3160e-05     2.5171e-06
