 Element: Ar
 Maximum L =  1
 Maximum kappa = 20
 No. of transitions =  1
 No. of channels =    10
 No. of energies = 100
 No. of velocities =   1
------------------------------------

e energy (keV) v/c            dP/dE
1.0000e-04     1.0000e-03     1.4497e-02
1.1310e-04     1.0000e-03     1.4515e-02
1.2800e-04     1.0000e-03     1.4534e-02
1.4480e-04     1.0000e-03     1.4556e-02
1.6380e-04     1.0000e-03     1.4579e-02
1.8520e-04     1.0000e-03     1.4605e-02
2.0950e-04     1.0000e-03     1.4633e-02
2.3700e-04     1.0000e-03     1.4663e-02
2.6810e-04     1.0000e-03     1.4695e-02
3.0330e-04     1.0000e-03     1.4729e-02
3.4310e-04     1.0000e-03     1.4764e-02
3.8820e-04     1.0000e-03     1.4800e-02
4.3910e-04     1.0000e-03     1.4836e-02
4.9670e-04     1.0000e-03     1.4871e-02
5.6190e-04     1.0000e-03     1.4904e-02
6.3560e-04     1.0000e-03     1.4933e-02
7.1900e-04     1.0000e-03     1.4955e-02
8.1340e-04     1.0000e-03     1.4969e-02
9.2010e-04     1.0000e-03     1.4971e-02
1.0410e-03     1.0000e-03     1.4957e-02
1.1770e-03     1.0000e-03     1.4924e-02
1.3320e-03     1.0000e-03     1.4868e-02
1.5070e-03     1.0000e-03     1.4784e-02
1.7040e-03     1.0000e-03     1.4670e-02
1.9280e-03     1.0000e-03     1.4521e-02
2.1810e-03     1.0000e-03     1.4336e-02
2.4670e-03     1.0000e-03     1.4114e-02
2.7910e-03     1.0000e-03     1.3856e-02
3.1570e-03     1.0000e-03     1.3564e-02
3.5710e-03     1.0000e-03     1.3242e-02
4.0400e-03     1.0000e-03     1.2896e-02
4.5700e-03     1.0000e-03     1.2533e-02
5.1700e-03     1.0000e-03     1.2159e-02
5.8480e-03     1.0000e-03     1.1783e-02
6.6150e-03     1.0000e-03     1.1412e-02
7.4830e-03     1.0000e-03     1.1050e-02
8.4650e-03     1.0000e-03     1.0703e-02
9.5760e-03     1.0000e-03     1.0375e-02
1.0830e-02     1.0000e-03     1.0068e-02
1.2250e-02     1.0000e-03     9.7827e-03
1.3860e-02     1.0000e-03     9.5178e-03
1.5680e-02     1.0000e-03     9.2722e-03
1.7740e-02     1.0000e-03     9.0428e-03
2.0070e-02     1.0000e-03     8.8261e-03
2.2700e-02     1.0000e-03     8.6175e-03
2.5680e-02     1.0000e-03     8.4106e-03
2.9050e-02     1.0000e-03     8.2001e-03
3.2860e-02     1.0000e-03     7.9796e-03
3.7170e-02     1.0000e-03     7.7429e-03
4.2050e-02     1.0000e-03     7.4838e-03
4.7570e-02     1.0000e-03     7.1975e-03
5.3810e-02     1.0000e-03     6.8801e-03
6.0870e-02     1.0000e-03     6.5297e-03
6.8850e-02     1.0000e-03     6.1460e-03
7.7890e-02     1.0000e-03     5.7298e-03
8.8110e-02     1.0000e-03     5.2861e-03
9.9670e-02     1.0000e-03     4.8216e-03
1.1270e-01     1.0000e-03     4.3448e-03
1.2750e-01     1.0000e-03     3.8617e-03
1.4430e-01     1.0000e-03     3.3826e-03
1.6320e-01     1.0000e-03     2.9211e-03
1.8460e-01     1.0000e-03     2.4835e-03
2.0890e-01     1.0000e-03     2.0766e-03
2.3630e-01     1.0000e-03     1.7088e-03
2.6730e-01     1.0000e-03     1.3821e-03
3.0230e-01     1.0000e-03     1.0994e-03
3.4200e-01     1.0000e-03     8.5880e-04
3.8690e-01     1.0000e-03     6.5884e-04
4.3760e-01     1.0000e-03     4.9715e-04
4.9510e-01     1.0000e-03     3.6824e-04
5.6000e-01     1.0000e-03     2.6815e-04
6.3350e-01     1.0000e-03     1.9188e-04
7.1660e-01     1.0000e-03     1.3504e-04
8.1070e-01     1.0000e-03     9.3460e-05
9.1700e-01     1.0000e-03     6.3723e-05
1.0370e+00     1.0000e-03     4.2792e-05
1.1730e+00     1.0000e-03     2.8304e-05
1.3270e+00     1.0000e-03     1.8474e-05
1.5020e+00     1.0000e-03     1.1861e-05
1.6990e+00     1.0000e-03     7.5453e-06
1.9220e+00     1.0000e-03     4.7376e-06
2.1740e+00     1.0000e-03     2.9468e-06
2.4590e+00     1.0000e-03     1.8125e-06
2.7820e+00     1.0000e-03     1.1038e-06
3.1470e+00     1.0000e-03     6.6687e-07
3.5600e+00     1.0000e-03     3.9872e-07
4.0270e+00     1.0000e-03     2.3743e-07
4.5550e+00     1.0000e-03     1.4011e-07
5.1530e+00     1.0000e-03     8.1848e-08
5.8290e+00     1.0000e-03     4.7613e-08
6.5940e+00     1.0000e-03     2.7542e-08
7.4590e+00     1.0000e-03     1.5840e-08
8.4370e+00     1.0000e-03     9.0014e-09
9.5450e+00     1.0000e-03     5.1406e-09
1.0800e+01     1.0000e-03     2.8822e-09
1.2210e+01     1.0000e-03     1.6129e-09
1.3820e+01     1.0000e-03     9.0035e-10
1.5630e+01     1.0000e-03     4.9983e-10
1.7680e+01     1.0000e-03     2.7475e-10
2.0000e+01     1.0000e-03     1.5212e-10
