 Element: Ar
 Maximum L = 10
 Maximum kappa = 20
 No. of transitions =  1
 No. of channels =    88
 No. of energies = 100
 No. of velocities = 100
------------------------------------

e energy (keV) v/c            dP/dE
1.0000e-04     1.0000e-05     3.5053e-06
1.0000e-04     1.0080e-04     3.5580e-04
1.0000e-04     1.9160e-04     1.2821e-03
1.0000e-04     2.8240e-04     2.7733e-03
1.0000e-04     3.7320e-04     4.8146e-03
1.0000e-04     4.6400e-04     7.3862e-03
1.0000e-04     5.5480e-04     1.0463e-02
1.0000e-04     6.4570e-04     1.4018e-02
1.0000e-04     7.3650e-04     1.8011e-02
1.0000e-04     8.2730e-04     2.2406e-02
1.0000e-04     9.1810e-04     2.7162e-02
1.0000e-04     1.0090e-03     3.2239e-02
1.0000e-04     1.1000e-03     3.7592e-02
1.0000e-04     1.1910e-03     4.3164e-02
1.0000e-04     1.2810e-03     4.8842e-02
1.0000e-04     1.3720e-03     5.4700e-02
1.0000e-04     1.4630e-03     6.0624e-02
1.0000e-04     1.5540e-03     6.6564e-02
1.0000e-04     1.6450e-03     7.2468e-02
1.0000e-04     1.7350e-03     7.8224e-02
1.0000e-04     1.8260e-03     8.3914e-02
1.0000e-04     1.9170e-03     8.9429e-02
1.0000e-04     2.0080e-03     9.4726e-02
1.0000e-04     2.0990e-03     9.9766e-02
1.0000e-04     2.1890e-03     1.0447e-01
1.0000e-04     2.2800e-03     1.0890e-01
1.0000e-04     2.3710e-03     1.1298e-01
1.0000e-04     2.4620e-03     1.1668e-01
1.0000e-04     2.5530e-03     1.1999e-01
1.0000e-04     2.6430e-03     1.2287e-01
1.0000e-04     2.7340e-03     1.2535e-01
1.0000e-04     2.8250e-03     1.2741e-01
1.0000e-04     2.9160e-03     1.2904e-01
1.0000e-04     3.0070e-03     1.3024e-01
1.0000e-04     3.0970e-03     1.3100e-01
1.0000e-04     3.1880e-03     1.3136e-01
1.0000e-04     3.2790e-03     1.3130e-01
1.0000e-04     3.3700e-03     1.3086e-01
1.0000e-04     3.4610e-03     1.3003e-01
1.0000e-04     3.5520e-03     1.2884e-01
1.0000e-04     3.6420e-03     1.2732e-01
1.0000e-04     3.7330e-03     1.2548e-01
1.0000e-04     3.8240e-03     1.2333e-01
1.0000e-04     3.9150e-03     1.2091e-01
1.0000e-04     4.0060e-03     1.1825e-01
1.0000e-04     4.0960e-03     1.1539e-01
1.0000e-04     4.1870e-03     1.1230e-01
1.0000e-04     4.2780e-03     1.0905e-01
1.0000e-04     4.3690e-03     1.0564e-01
1.0000e-04     4.4600e-03     1.0212e-01
1.0000e-04     4.5500e-03     9.8532e-02
1.0000e-04     4.6410e-03     9.4832e-02
1.0000e-04     4.7320e-03     9.1078e-02
1.0000e-04     4.8230e-03     8.7292e-02
1.0000e-04     4.9140e-03     8.3493e-02
1.0000e-04     5.0040e-03     7.9742e-02
1.0000e-04     5.0950e-03     7.5971e-02
1.0000e-04     5.1860e-03     7.2239e-02
1.0000e-04     5.2770e-03     6.8559e-02
1.0000e-04     5.3680e-03     6.4945e-02
1.0000e-04     5.4580e-03     6.1446e-02
1.0000e-04     5.5490e-03     5.7996e-02
1.0000e-04     5.6400e-03     5.4641e-02
1.0000e-04     5.7310e-03     5.1389e-02
