 Element: Ar
 Maximum L = 10
 Maximum kappa = 12
 No. of transitions =  1
 No. of channels =    88
 No. of energies = 100
 No. of velocities = 100
------------------------------------

e energy (keV) v/c            dP/dE
1.0000e-04     1.0000e-05     3.5053e-06
1.0000e-04     1.0710e-05     4.0207e-06
1.0000e-04     1.1470e-05     4.6116e-06
1.0000e-04     1.2290e-05     5.2945e-06
1.0000e-04     1.3160e-05     6.0706e-06
1.0000e-04     1.4100e-05     6.9688e-06
1.0000e-04     1.5100e-05     7.9923e-06
1.0000e-04     1.6180e-05     9.1764e-06
1.0000e-04     1.7330e-05     1.0527e-05
1.0000e-04     1.8560e-05     1.2074e-05
1.0000e-04     1.9880e-05     1.3853e-05
1.0000e-04     2.1290e-05     1.5888e-05
1.0000e-04     2.2810e-05     1.8237e-05
1.0000e-04     2.4430e-05     2.0919e-05
1.0000e-04     2.6170e-05     2.4005e-05
1.0000e-04     2.8030e-05     2.7538e-05
1.0000e-04     3.0020e-05     3.1587e-05
1.0000e-04     3.2160e-05     3.6250e-05
1.0000e-04     3.4450e-05     4.1596e-05
1.0000e-04     3.6900e-05     4.7722e-05
1.0000e-04     3.9520e-05     5.4738e-05
1.0000e-04     4.2330e-05     6.2798e-05
1.0000e-04     4.5340e-05     7.2044e-05
1.0000e-04     4.8570e-05     8.2672e-05
1.0000e-04     5.2020e-05     9.4831e-05
1.0000e-04     5.5720e-05     1.0880e-04
1.0000e-04     5.9680e-05     1.2480e-04
1.0000e-04     6.3930e-05     1.4321e-04
1.0000e-04     6.8480e-05     1.6430e-04
1.0000e-04     7.3350e-05     1.8849e-04
1.0000e-04     7.8560e-05     2.1620e-04
1.0000e-04     8.4150e-05     2.4804e-04
1.0000e-04     9.0140e-05     2.8458e-04
1.0000e-04     9.6550e-05     3.2646e-04
1.0000e-04     1.0340e-04     3.7437e-04
1.0000e-04     1.1080e-04     4.2981e-04
1.0000e-04     1.1870e-04     4.9319e-04
1.0000e-04     1.2710e-04     5.6535e-04
1.0000e-04     1.3610e-04     6.4810e-04
1.0000e-04     1.4580e-04     7.4356e-04
1.0000e-04     1.5620e-04     8.5316e-04
1.0000e-04     1.6730e-04     9.7837e-04
1.0000e-04     1.7920e-04     1.1220e-03
1.0000e-04     1.9190e-04     1.2861e-03
1.0000e-04     2.0560e-04     1.4755e-03
1.0000e-04     2.2020e-04     1.6914e-03
1.0000e-04     2.3590e-04     1.9398e-03
1.0000e-04     2.5260e-04     2.2224e-03
1.0000e-04     2.7060e-04     2.5480e-03
1.0000e-04     2.8990e-04     2.9213e-03
1.0000e-04     3.1050e-04     3.3471e-03
1.0000e-04     3.3260e-04     3.8350e-03
1.0000e-04     3.5620e-04     4.3914e-03
1.0000e-04     3.8160e-04     5.0306e-03
1.0000e-04     4.0870e-04     5.7582e-03
1.0000e-04     4.3780e-04     6.5911e-03
1.0000e-04     4.6890e-04     7.5395e-03
1.0000e-04     5.0230e-04     8.6239e-03
1.0000e-04     5.3800e-04     9.8567e-03
1.0000e-04     5.7620e-04     1.1258e-02
1.0000e-04     6.1720e-04     1.2854e-02
1.0000e-04     6.6110e-04     1.4666e-02
1.0000e-04     7.0820e-04     1.6722e-02
1.0000e-04     7.5850e-04     1.9041e-02
1.0000e-04     8.1250e-04     2.1664e-02
1.0000e-04     8.7030e-04     2.4616e-02
1.0000e-04     9.3220e-04     2.7930e-02
1.0000e-04     9.9850e-04     3.1638e-02
1.0000e-04     1.0690e-03     3.5741e-02
1.0000e-04     1.1460e-03     4.0384e-02
1.0000e-04     1.2270e-03     4.5418e-02
1.0000e-04     1.3140e-03     5.0955e-02
1.0000e-04     1.4080e-03     5.7038e-02
1.0000e-04     1.5080e-03     6.3563e-02
1.0000e-04     1.6150e-03     7.0528e-02
1.0000e-04     1.7300e-03     7.7907e-02
1.0000e-04     1.8530e-03     8.5571e-02
1.0000e-04     1.9850e-03     9.3410e-02
1.0000e-04     2.1260e-03     1.0121e-01
1.0000e-04     2.2770e-03     1.0875e-01
1.0000e-04     2.4390e-03     1.1578e-01
1.0000e-04     2.6130e-03     1.2195e-01
1.0000e-04     2.7990e-03     1.2687e-01
1.0000e-04     2.9980e-03     1.3014e-01
1.0000e-04     3.2110e-03     1.3138e-01
1.0000e-04     3.4390e-03     1.3026e-01
1.0000e-04     3.6840e-03     1.2651e-01
1.0000e-04     3.9460e-03     1.2003e-01
1.0000e-04     4.2270e-03     1.1089e-01
1.0000e-04     4.5270e-03     9.9456e-02
1.0000e-04     4.8490e-03     8.6207e-02
1.0000e-04     5.1940e-03     7.1913e-02
1.0000e-04     5.5640e-03     5.7436e-02
1.0000e-04     5.9590e-03     4.3734e-02
1.0000e-04     6.3830e-03     3.1512e-02
1.0000e-04     6.8370e-03     2.1358e-02
1.0000e-04     7.3240e-03     1.3506e-02
