 Element: Ar
 Maximum L = 10
 Maximum kappa = 20
 No. of transitions =  1
 No. of channels =    46
 No. of energies = 100
 No. of velocities = 100
------------------------------------

e energy (keV) v/c            dP/dE
1.0000e-04     1.0000e-05     3.4774e-07
1.0000e-04     1.0080e-04     3.5315e-05
1.0000e-04     1.9160e-04     1.2744e-04
1.0000e-04     2.8240e-04     2.7628e-04
1.0000e-04     3.7320e-04     4.8115e-04
1.0000e-04     4.6400e-04     7.4107e-04
1.0000e-04     5.5480e-04     1.0548e-03
1.0000e-04     6.4570e-04     1.4212e-03
1.0000e-04     7.3650e-04     1.8378e-03
1.0000e-04     8.2730e-04     2.3028e-03
1.0000e-04     9.1810e-04     2.8138e-03
1.0000e-04     1.0090e-03     3.3688e-03
1.0000e-04     1.1000e-03     3.9650e-03
1.0000e-04     1.1910e-03     4.5986e-03
1.0000e-04     1.2810e-03     5.2586e-03
1.0000e-04     1.3720e-03     5.9559e-03
1.0000e-04     1.4630e-03     6.6793e-03
1.0000e-04     1.5540e-03     7.4247e-03
1.0000e-04     1.6450e-03     8.1875e-03
1.0000e-04     1.7350e-03     8.9545e-03
1.0000e-04     1.8260e-03     9.7380e-03
1.0000e-04     1.9170e-03     1.0525e-02
1.0000e-04     2.0080e-03     1.1309e-02
1.0000e-04     2.0990e-03     1.2087e-02
1.0000e-04     2.1890e-03     1.2845e-02
1.0000e-04     2.2800e-03     1.3594e-02
1.0000e-04     2.3710e-03     1.4322e-02
1.0000e-04     2.4620e-03     1.5023e-02
1.0000e-04     2.5530e-03     1.5693e-02
1.0000e-04     2.6430e-03     1.6320e-02
1.0000e-04     2.7340e-03     1.6916e-02
1.0000e-04     2.8250e-03     1.7468e-02
1.0000e-04     2.9160e-03     1.7973e-02
1.0000e-04     3.0070e-03     1.8429e-02
1.0000e-04     3.0970e-03     1.8828e-02
1.0000e-04     3.1880e-03     1.9177e-02
1.0000e-04     3.2790e-03     1.9470e-02
1.0000e-04     3.3700e-03     1.9706e-02
1.0000e-04     3.4610e-03     1.9883e-02
1.0000e-04     3.5520e-03     2.0002e-02
1.0000e-04     3.6420e-03     2.0063e-02
1.0000e-04     3.7330e-03     2.0066e-02
1.0000e-04     3.8240e-03     2.0013e-02
1.0000e-04     3.9150e-03     1.9905e-02
1.0000e-04     4.0060e-03     1.9743e-02
1.0000e-04     4.0960e-03     1.9533e-02
1.0000e-04     4.1870e-03     1.9272e-02
1.0000e-04     4.2780e-03     1.8966e-02
1.0000e-04     4.3690e-03     1.8616e-02
1.0000e-04     4.4600e-03     1.8228e-02
1.0000e-04     4.5500e-03     1.7808e-02
1.0000e-04     4.6410e-03     1.7352e-02
1.0000e-04     4.7320e-03     1.6867e-02
1.0000e-04     4.8230e-03     1.6356e-02
1.0000e-04     4.9140e-03     1.5825e-02
1.0000e-04     5.0040e-03     1.5282e-02
1.0000e-04     5.0950e-03     1.4718e-02
1.0000e-04     5.1860e-03     1.4144e-02
1.0000e-04     5.2770e-03     1.3563e-02
1.0000e-04     5.3680e-03     1.2977e-02
1.0000e-04     5.4580e-03     1.2397e-02
1.0000e-04     5.5490e-03     1.1813e-02
1.0000e-04     5.6400e-03     1.1232e-02
1.0000e-04     5.7310e-03     1.0659e-02
1.0000e-04     5.8220e-03     1.0094e-02
1.0000e-04     5.9130e-03     9.5407e-03
1.0000e-04     6.0030e-03     9.0060e-03
1.0000e-04     6.0940e-03     8.4796e-03
1.0000e-04     6.1850e-03     7.9690e-03
1.0000e-04     6.2760e-03     7.4752e-03
1.0000e-04     6.3670e-03     6.9992e-03
1.0000e-04     6.4570e-03     6.5467e-03
1.0000e-04     6.5480e-03     6.1081e-03
1.0000e-04     6.6390e-03     5.6889e-03
1.0000e-04     6.7300e-03     5.2894e-03
1.0000e-04     6.8210e-03     4.9096e-03
1.0000e-04     6.9110e-03     4.5533e-03
1.0000e-04     7.0020e-03     4.2124e-03
1.0000e-04     7.0930e-03     3.8908e-03
1.0000e-04     7.1840e-03     3.5880e-03
1.0000e-04     7.2750e-03     3.3036e-03
1.0000e-04     7.3650e-03     3.0399e-03
1.0000e-04     7.4560e-03     2.7904e-03
1.0000e-04     7.5470e-03     2.5575e-03
1.0000e-04     7.6380e-03     2.3406e-03
1.0000e-04     7.7290e-03     2.1390e-03
1.0000e-04     7.8190e-03     1.9540e-03
1.0000e-04     7.9100e-03     1.7807e-03
1.0000e-04     8.0010e-03     1.6204e-03
1.0000e-04     8.0920e-03     1.4726e-03
1.0000e-04     8.1830e-03     1.3365e-03
1.0000e-04     8.2740e-03     1.2114e-03
1.0000e-04     8.3640e-03     1.0977e-03
1.0000e-04     8.4550e-03     9.9237e-04
1.0000e-04     8.5460e-03     8.9600e-04
1.0000e-04     8.6370e-03     8.0798e-04
1.0000e-04     8.7280e-03     7.2770e-04
1.0000e-04     8.8180e-03     6.5538e-04
1.0000e-04     8.9090e-03     5.8886e-04
1.0000e-04     9.0000e-03     5.2846e-04
1.1310e-04     1.0000e-05     3.4723e-07
1.1310e-04     1.0080e-04     3.5264e-05
1.1310e-04     1.9160e-04     1.2725e-04
1.1310e-04     2.8240e-04     2.7588e-04
1.1310e-04     3.7320e-04     4.8044e-04
1.1310e-04     4.6400e-04     7.3996e-04
1.1310e-04     5.5480e-04     1.0532e-03
1.1310e-04     6.4570e-04     1.4191e-03
1.1310e-04     7.3650e-04     1.8349e-03
1.1310e-04     8.2730e-04     2.2991e-03
1.1310e-04     9.1810e-04     2.8092e-03
1.1310e-04     1.0090e-03     3.3632e-03
1.1310e-04     1.1000e-03     3.9583e-03
1.1310e-04     1.1910e-03     4.5906e-03
1.1310e-04     1.2810e-03     5.2493e-03
1.1310e-04     1.3720e-03     5.9451e-03
1.1310e-04     1.4630e-03     6.6670e-03
1.1310e-04     1.5540e-03     7.4107e-03
1.1310e-04     1.6450e-03     8.1718e-03
1.1310e-04     1.7350e-03     8.9370e-03
1.1310e-04     1.8260e-03     9.7187e-03
1.1310e-04     1.9170e-03     1.0503e-02
1.1310e-04     2.0080e-03     1.1286e-02
1.1310e-04     2.0990e-03     1.2062e-02
1.1310e-04     2.1890e-03     1.2818e-02
1.1310e-04     2.2800e-03     1.3566e-02
1.1310e-04     2.3710e-03     1.4291e-02
1.1310e-04     2.4620e-03     1.4991e-02
1.1310e-04     2.5530e-03     1.5659e-02
1.1310e-04     2.6430e-03     1.6285e-02
1.1310e-04     2.7340e-03     1.6879e-02
1.1310e-04     2.8250e-03     1.7430e-02
1.1310e-04     2.9160e-03     1.7934e-02
1.1310e-04     3.0070e-03     1.8389e-02
1.1310e-04     3.0970e-03     1.8787e-02
1.1310e-04     3.1880e-03     1.9136e-02
1.1310e-04     3.2790e-03     1.9429e-02
1.1310e-04     3.3700e-03     1.9664e-02
1.1310e-04     3.4610e-03     1.9842e-02
1.1310e-04     3.5520e-03     1.9961e-02
1.1310e-04     3.6420e-03     2.0022e-02
1.1310e-04     3.7330e-03     2.0026e-02
1.1310e-04     3.8240e-03     1.9974e-02
1.1310e-04     3.9150e-03     1.9866e-02
1.1310e-04     4.0060e-03     1.9705e-02
1.1310e-04     4.0960e-03     1.9496e-02
1.1310e-04     4.1870e-03     1.9237e-02
1.1310e-04     4.2780e-03     1.8932e-02
1.1310e-04     4.3690e-03     1.8584e-02
1.1310e-04     4.4600e-03     1.8197e-02
1.1310e-04     4.5500e-03     1.7779e-02
1.1310e-04     4.6410e-03     1.7324e-02
1.1310e-04     4.7320e-03     1.6840e-02
1.1310e-04     4.8230e-03     1.6332e-02
1.1310e-04     4.9140e-03     1.5802e-02
1.1310e-04     5.0040e-03     1.5260e-02
1.1310e-04     5.0950e-03     1.4698e-02
1.1310e-04     5.1860e-03     1.4126e-02
1.1310e-04     5.2770e-03     1.3546e-02
1.1310e-04     5.3680e-03     1.2962e-02
1.1310e-04     5.4580e-03     1.2383e-02
1.1310e-04     5.5490e-03     1.1799e-02
1.1310e-04     5.6400e-03     1.1220e-02
1.1310e-04     5.7310e-03     1.0648e-02
1.1310e-04     5.8220e-03     1.0084e-02
1.1310e-04     5.9130e-03     9.5318e-03
1.1310e-04     6.0030e-03     8.9980e-03
1.1310e-04     6.0940e-03     8.4725e-03
1.1310e-04     6.1850e-03     7.9627e-03
1.1310e-04     6.2760e-03     7.4697e-03
1.1310e-04     6.3670e-03     6.9943e-03
1.1310e-04     6.4570e-03     6.5424e-03
1.1310e-04     6.5480e-03     6.1043e-03
1.1310e-04     6.6390e-03     5.6856e-03
1.1310e-04     6.7300e-03     5.2865e-03
1.1310e-04     6.8210e-03     4.9071e-03
1.1310e-04     6.9110e-03     4.5512e-03
1.1310e-04     7.0020e-03     4.2107e-03
1.1310e-04     7.0930e-03     3.8893e-03
1.1310e-04     7.1840e-03     3.5867e-03
1.1310e-04     7.2750e-03     3.3025e-03
1.1310e-04     7.3650e-03     3.0390e-03
1.1310e-04     7.4560e-03     2.7896e-03
1.1310e-04     7.5470e-03     2.5569e-03
1.1310e-04     7.6380e-03     2.3402e-03
1.1310e-04     7.7290e-03     2.1387e-03
1.1310e-04     7.8190e-03     1.9537e-03
1.1310e-04     7.9100e-03     1.7804e-03
1.1310e-04     8.0010e-03     1.6203e-03
1.1310e-04     8.0920e-03     1.4725e-03
1.1310e-04     8.1830e-03     1.3364e-03
1.1310e-04     8.2740e-03     1.2113e-03
1.1310e-04     8.3640e-03     1.0977e-03
1.1310e-04     8.4550e-03     9.9237e-04
1.1310e-04     8.5460e-03     8.9601e-04
1.1310e-04     8.6370e-03     8.0800e-04
1.1310e-04     8.7280e-03     7.2774e-04
1.1310e-04     8.8180e-03     6.5542e-04
1.1310e-04     8.9090e-03     5.8890e-04
1.1310e-04     9.0000e-03     5.2851e-04
1.2800e-04     1.0000e-05     3.4667e-07
1.2800e-04     1.0080e-04     3.5207e-05
1.2800e-04     1.9160e-04     1.2704e-04
1.2800e-04     2.8240e-04     2.7542e-04
1.2800e-04     3.7320e-04     4.7963e-04
1.2800e-04     4.6400e-04     7.3871e-04
1.2800e-04     5.5480e-04     1.0514e-03
1.2800e-04     6.4570e-04     1.4166e-03
1.2800e-04     7.3650e-04     1.8317e-03
1.2800e-04     8.2730e-04     2.2949e-03
1.2800e-04     9.1810e-04     2.8040e-03
1.2800e-04     1.0090e-03     3.3568e-03
1.2800e-04     1.1000e-03     3.9506e-03
1.2800e-04     1.1910e-03     4.5816e-03
1.2800e-04     1.2810e-03     5.2387e-03
1.2800e-04     1.3720e-03     5.9329e-03
1.2800e-04     1.4630e-03     6.6531e-03
1.2800e-04     1.5540e-03     7.3949e-03
1.2800e-04     1.6450e-03     8.1540e-03
1.2800e-04     1.7350e-03     8.9172e-03
1.2800e-04     1.8260e-03     9.6968e-03
1.2800e-04     1.9170e-03     1.0479e-02
1.2800e-04     2.0080e-03     1.1260e-02
1.2800e-04     2.0990e-03     1.2034e-02
1.2800e-04     2.1890e-03     1.2788e-02
1.2800e-04     2.2800e-03     1.3533e-02
1.2800e-04     2.3710e-03     1.4257e-02
1.2800e-04     2.4620e-03     1.4954e-02
1.2800e-04     2.5530e-03     1.5621e-02
1.2800e-04     2.6430e-03     1.6245e-02
1.2800e-04     2.7340e-03     1.6837e-02
1.2800e-04     2.8250e-03     1.7387e-02
1.2800e-04     2.9160e-03     1.7890e-02
1.2800e-04     3.0070e-03     1.8343e-02
1.2800e-04     3.0970e-03     1.8741e-02
1.2800e-04     3.1880e-03     1.9089e-02
1.2800e-04     3.2790e-03     1.9382e-02
1.2800e-04     3.3700e-03     1.9617e-02
1.2800e-04     3.4610e-03     1.9795e-02
1.2800e-04     3.5520e-03     1.9914e-02
1.2800e-04     3.6420e-03     1.9975e-02
1.2800e-04     3.7330e-03     1.9980e-02
1.2800e-04     3.8240e-03     1.9928e-02
1.2800e-04     3.9150e-03     1.9822e-02
1.2800e-04     4.0060e-03     1.9663e-02
1.2800e-04     4.0960e-03     1.9455e-02
1.2800e-04     4.1870e-03     1.9197e-02
1.2800e-04     4.2780e-03     1.8893e-02
1.2800e-04     4.3690e-03     1.8547e-02
1.2800e-04     4.4600e-03     1.8162e-02
1.2800e-04     4.5500e-03     1.7745e-02
1.2800e-04     4.6410e-03     1.7292e-02
1.2800e-04     4.7320e-03     1.6810e-02
