 Element: Ar
 Maximum L = 10
 Maximum kappa = 12
 No. of transitions =  1
 No. of channels =    46
 No. of energies = 100
 No. of velocities = 100
------------------------------------

e energy (keV) v/c            dP/dE
1.0000e-04     1.0000e-05     3.4774e-07
1.0000e-04     1.0710e-05     3.9887e-07
1.0000e-04     1.1470e-05     4.5748e-07
1.0000e-04     1.2290e-05     5.2523e-07
1.0000e-04     1.3160e-05     6.0223e-07
1.0000e-04     1.4100e-05     6.9133e-07
1.0000e-04     1.5100e-05     7.9287e-07
1.0000e-04     1.6180e-05     9.1034e-07
1.0000e-04     1.7330e-05     1.0443e-06
1.0000e-04     1.8560e-05     1.1978e-06
1.0000e-04     1.9880e-05     1.3743e-06
1.0000e-04     2.1290e-05     1.5761e-06
1.0000e-04     2.2810e-05     1.8092e-06
1.0000e-04     2.4430e-05     2.0753e-06
1.0000e-04     2.6170e-05     2.3815e-06
1.0000e-04     2.8030e-05     2.7320e-06
1.0000e-04     3.0020e-05     3.1337e-06
1.0000e-04     3.2160e-05     3.5963e-06
1.0000e-04     3.4450e-05     4.1267e-06
1.0000e-04     3.6900e-05     4.7345e-06
1.0000e-04     3.9520e-05     5.4307e-06
1.0000e-04     4.2330e-05     6.2303e-06
1.0000e-04     4.5340e-05     7.1478e-06
1.0000e-04     4.8570e-05     8.2024e-06
1.0000e-04     5.2020e-05     9.4088e-06
1.0000e-04     5.5720e-05     1.0795e-05
1.0000e-04     5.9680e-05     1.2383e-05
1.0000e-04     6.3930e-05     1.4209e-05
1.0000e-04     6.8480e-05     1.6304e-05
1.0000e-04     7.3350e-05     1.8704e-05
1.0000e-04     7.8560e-05     2.1455e-05
1.0000e-04     8.4150e-05     2.4616e-05
1.0000e-04     9.0140e-05     2.8244e-05
1.0000e-04     9.6550e-05     3.2401e-05
1.0000e-04     1.0340e-04     3.7160e-05
1.0000e-04     1.1080e-04     4.2666e-05
1.0000e-04     1.1870e-04     4.8963e-05
1.0000e-04     1.2710e-04     5.6132e-05
1.0000e-04     1.3610e-04     6.4356e-05
1.0000e-04     1.4580e-04     7.3847e-05
1.0000e-04     1.5620e-04     8.4745e-05
1.0000e-04     1.6730e-04     9.7201e-05
1.0000e-04     1.7920e-04     1.1150e-04
1.0000e-04     1.9190e-04     1.2783e-04
1.0000e-04     2.0560e-04     1.4670e-04
1.0000e-04     2.2020e-04     1.6823e-04
1.0000e-04     2.3590e-04     1.9300e-04
1.0000e-04     2.5260e-04     2.2121e-04
1.0000e-04     2.7060e-04     2.5375e-04
1.0000e-04     2.8990e-04     2.9109e-04
1.0000e-04     3.1050e-04     3.3373e-04
1.0000e-04     3.3260e-04     3.8267e-04
1.0000e-04     3.5620e-04     4.3857e-04
1.0000e-04     3.8160e-04     5.0290e-04
1.0000e-04     4.0870e-04     5.7627e-04
1.0000e-04     4.3780e-04     6.6048e-04
1.0000e-04     4.6890e-04     7.5663e-04
1.0000e-04     5.0230e-04     8.6692e-04
1.0000e-04     5.3800e-04     9.9276e-04
1.0000e-04     5.7620e-04     1.1364e-03
1.0000e-04     6.1720e-04     1.3008e-03
1.0000e-04     6.6110e-04     1.4884e-03
1.0000e-04     7.0820e-04     1.7027e-03
