 Element: Ar
 Maximum L =  1
 Maximum kappa = 20
 No. of transitions =  1
 No. of channels =    10
 No. of energies = 100
 No. of velocities =   1
------------------------------------

e energy (keV) v/c            dP/dE
1.0000e-04     1.0000e-03     3.4774e-03
1.1310e-04     1.0000e-03     3.4724e-03
1.2800e-04     1.0000e-03     3.4667e-03
1.4480e-04     1.0000e-03     3.4603e-03
1.6380e-04     1.0000e-03     3.4532e-03
1.8520e-04     1.0000e-03     3.4452e-03
2.0950e-04     1.0000e-03     3.4362e-03
2.3700e-04     1.0000e-03     3.4261e-03
2.6810e-04     1.0000e-03     3.4148e-03
3.0330e-04     1.0000e-03     3.4022e-03
3.4310e-04     1.0000e-03     3.3882e-03
3.8820e-04     1.0000e-03     3.3724e-03
4.3910e-04     1.0000e-03     3.3550e-03
4.9670e-04     1.0000e-03     3.3356e-03
5.6190e-04     1.0000e-03     3.3142e-03
6.3560e-04     1.0000e-03     3.2905e-03
7.1900e-04     1.0000e-03     3.2645e-03
8.1340e-04     1.0000e-03     3.2358e-03
9.2010e-04     1.0000e-03     3.2046e-03
1.0410e-03     1.0000e-03     3.1705e-03
1.1770e-03     1.0000e-03     3.1337e-03
1.3320e-03     1.0000e-03     3.0937e-03
1.5070e-03     1.0000e-03     3.0508e-03
1.7040e-03     1.0000e-03     3.0053e-03
1.9280e-03     1.0000e-03     2.9567e-03
2.1810e-03     1.0000e-03     2.9055e-03
2.4670e-03     1.0000e-03     2.8520e-03
2.7910e-03     1.0000e-03     2.7962e-03
3.1570e-03     1.0000e-03     2.7388e-03
3.5710e-03     1.0000e-03     2.6799e-03
4.0400e-03     1.0000e-03     2.6200e-03
4.5700e-03     1.0000e-03     2.5597e-03
5.1700e-03     1.0000e-03     2.4993e-03
5.8480e-03     1.0000e-03     2.4394e-03
6.6150e-03     1.0000e-03     2.3804e-03
7.4830e-03     1.0000e-03     2.3226e-03
8.4650e-03     1.0000e-03     2.2663e-03
9.5760e-03     1.0000e-03     2.2120e-03
1.0830e-02     1.0000e-03     2.1597e-03
1.2250e-02     1.0000e-03     2.1095e-03
1.3860e-02     1.0000e-03     2.0611e-03
1.5680e-02     1.0000e-03     2.0148e-03
1.7740e-02     1.0000e-03     1.9703e-03
2.0070e-02     1.0000e-03     1.9272e-03
2.2700e-02     1.0000e-03     1.8852e-03
2.5680e-02     1.0000e-03     1.8439e-03
2.9050e-02     1.0000e-03     1.8028e-03
3.2860e-02     1.0000e-03     1.7613e-03
3.7170e-02     1.0000e-03     1.7189e-03
4.2050e-02     1.0000e-03     1.6748e-03
4.7570e-02     1.0000e-03     1.6286e-03
5.3810e-02     1.0000e-03     1.5797e-03
6.0870e-02     1.0000e-03     1.5276e-03
6.8850e-02     1.0000e-03     1.4716e-03
7.7890e-02     1.0000e-03     1.4115e-03
8.8110e-02     1.0000e-03     1.3469e-03
9.9670e-02     1.0000e-03     1.2780e-03
1.1270e-01     1.0000e-03     1.2049e-03
1.2750e-01     1.0000e-03     1.1275e-03
1.4430e-01     1.0000e-03     1.0462e-03
1.6320e-01     1.0000e-03     9.6254e-04
1.8460e-01     1.0000e-03     8.7702e-04
2.0890e-01     1.0000e-03     7.9057e-04
2.3630e-01     1.0000e-03     7.0493e-04
2.6730e-01     1.0000e-03     6.2102e-04
3.0230e-01     1.0000e-03     5.4050e-04
3.4200e-01     1.0000e-03     4.6418e-04
3.8690e-01     1.0000e-03     3.9307e-04
4.3760e-01     1.0000e-03     3.2855e-04
4.9510e-01     1.0000e-03     2.7050e-04
5.6000e-01     1.0000e-03     2.1958e-04
6.3350e-01     1.0000e-03     1.7553e-04
7.1660e-01     1.0000e-03     1.3843e-04
8.1070e-01     1.0000e-03     1.0754e-04
9.1700e-01     1.0000e-03     8.2348e-05
1.0370e+00     1.0000e-03     6.2288e-05
1.1730e+00     1.0000e-03     4.6426e-05
1.3270e+00     1.0000e-03     3.4131e-05
1.5020e+00     1.0000e-03     2.4747e-05
1.6990e+00     1.0000e-03     1.7780e-05
1.9220e+00     1.0000e-03     1.2601e-05
2.1740e+00     1.0000e-03     8.8550e-06
2.4590e+00     1.0000e-03     6.1456e-06
2.7820e+00     1.0000e-03     4.2346e-06
3.1470e+00     1.0000e-03     2.8847e-06
3.5600e+00     1.0000e-03     1.9459e-06
4.0270e+00     1.0000e-03     1.3032e-06
4.5550e+00     1.0000e-03     8.6599e-07
5.1530e+00     1.0000e-03     5.7142e-07
5.8290e+00     1.0000e-03     3.7557e-07
6.5940e+00     1.0000e-03     2.4299e-07
7.4590e+00     1.0000e-03     1.5735e-07
8.4370e+00     1.0000e-03     1.0113e-07
9.5450e+00     1.0000e-03     6.4107e-08
1.0800e+01     1.0000e-03     4.0604e-08
1.2210e+01     1.0000e-03     2.5802e-08
1.3820e+01     1.0000e-03     1.5983e-08
1.5630e+01     1.0000e-03     9.9960e-09
1.7680e+01     1.0000e-03     6.1962e-09
2.0000e+01     1.0000e-03     3.7527e-09
