 Element: Ar
 Maximum L =  1
 Maximum kappa = 20
 No. of transitions =  1
 No. of channels =    16
 No. of energies = 100
 No. of velocities =   1
------------------------------------

e energy (keV) v/c            dP/dE
1.0000e-04     1.0000e-03     9.8558e+00
1.1310e-04     1.0000e-03     9.8063e+00
1.2800e-04     1.0000e-03     9.7501e+00
1.4480e-04     1.0000e-03     9.6869e+00
1.6380e-04     1.0000e-03     9.6157e+00
1.8520e-04     1.0000e-03     9.5359e+00
2.0950e-04     1.0000e-03     9.4456e+00
2.3700e-04     1.0000e-03     9.3441e+00
2.6810e-04     1.0000e-03     9.2300e+00
3.0330e-04     1.0000e-03     9.1020e+00
3.4310e-04     1.0000e-03     8.9586e+00
3.8820e-04     1.0000e-03     8.7980e+00
4.3910e-04     1.0000e-03     8.6193e+00
4.9670e-04     1.0000e-03     8.4204e+00
5.6190e-04     1.0000e-03     8.1995e+00
6.3560e-04     1.0000e-03     7.9557e+00
7.1900e-04     1.0000e-03     7.6872e+00
8.1340e-04     1.0000e-03     7.3932e+00
9.2010e-04     1.0000e-03     7.0733e+00
1.0410e-03     1.0000e-03     6.7270e+00
1.1770e-03     1.0000e-03     6.3575e+00
1.3320e-03     1.0000e-03     5.9616e+00
1.5070e-03     1.0000e-03     5.5455e+00
1.7040e-03     1.0000e-03     5.1141e+00
1.9280e-03     1.0000e-03     4.6678e+00
2.1810e-03     1.0000e-03     4.2152e+00
2.4670e-03     1.0000e-03     3.7621e+00
2.7910e-03     1.0000e-03     3.3147e+00
3.1570e-03     1.0000e-03     2.8811e+00
3.5710e-03     1.0000e-03     2.4673e+00
4.0400e-03     1.0000e-03     2.0791e+00
4.5700e-03     1.0000e-03     1.7225e+00
5.1700e-03     1.0000e-03     1.4007e+00
5.8480e-03     1.0000e-03     1.1168e+00
6.6150e-03     1.0000e-03     8.7146e-01
7.4830e-03     1.0000e-03     6.6425e-01
8.4650e-03     1.0000e-03     4.9366e-01
9.5760e-03     1.0000e-03     3.5700e-01
1.0830e-02     1.0000e-03     2.5105e-01
1.2250e-02     1.0000e-03     1.7145e-01
1.3860e-02     1.0000e-03     1.1400e-01
1.5680e-02     1.0000e-03     7.4690e-02
1.7740e-02     1.0000e-03     4.9404e-02
2.0070e-02     1.0000e-03     3.4496e-02
2.2700e-02     1.0000e-03     2.6794e-02
2.5680e-02     1.0000e-03     2.3656e-02
2.9050e-02     1.0000e-03     2.3069e-02
3.2860e-02     1.0000e-03     2.3557e-02
3.7170e-02     1.0000e-03     2.4140e-02
4.2050e-02     1.0000e-03     2.4254e-02
4.7570e-02     1.0000e-03     2.3656e-02
5.3810e-02     1.0000e-03     2.2331e-02
6.0870e-02     1.0000e-03     2.0405e-02
6.8850e-02     1.0000e-03     1.8076e-02
7.7890e-02     1.0000e-03     1.5548e-02
8.8110e-02     1.0000e-03     1.3014e-02
9.9670e-02     1.0000e-03     1.0622e-02
1.1270e-01     1.0000e-03     8.4748e-03
1.2750e-01     1.0000e-03     6.6099e-03
1.4430e-01     1.0000e-03     5.0484e-03
1.6320e-01     1.0000e-03     3.7905e-03
1.8460e-01     1.0000e-03     2.7972e-03
2.0890e-01     1.0000e-03     2.0299e-03
2.3630e-01     1.0000e-03     1.4534e-03
2.6730e-01     1.0000e-03     1.0265e-03
3.0230e-01     1.0000e-03     7.1671e-04
3.4200e-01     1.0000e-03     4.9419e-04
3.8690e-01     1.0000e-03     3.3695e-04
4.3760e-01     1.0000e-03     2.2770e-04
4.9510e-01     1.0000e-03     1.5219e-04
5.6000e-01     1.0000e-03     1.0082e-04
6.3350e-01     1.0000e-03     6.6148e-05
7.1660e-01     1.0000e-03     4.3017e-05
8.1070e-01     1.0000e-03     2.7713e-05
9.1700e-01     1.0000e-03     1.7711e-05
1.0370e+00     1.0000e-03     1.1221e-05
1.1730e+00     1.0000e-03     7.0413e-06
1.3270e+00     1.0000e-03     4.3824e-06
1.5020e+00     1.0000e-03     2.6948e-06
1.6990e+00     1.0000e-03     1.6488e-06
1.9220e+00     1.0000e-03     9.9915e-07
2.1740e+00     1.0000e-03     6.0163e-07
2.4590e+00     1.0000e-03     3.5919e-07
2.7820e+00     1.0000e-03     2.1283e-07
3.1470e+00     1.0000e-03     1.2537e-07
3.5600e+00     1.0000e-03     7.3231e-08
4.0270e+00     1.0000e-03     4.2679e-08
4.5550e+00     1.0000e-03     2.4691e-08
5.1530e+00     1.0000e-03     1.4164e-08
5.8290e+00     1.0000e-03     8.1032e-09
6.5940e+00     1.0000e-03     4.6160e-09
7.4590e+00     1.0000e-03     2.6180e-09
8.4370e+00     1.0000e-03     1.4690e-09
9.5450e+00     1.0000e-03     8.2913e-10
1.0800e+01     1.0000e-03     4.5998e-10
1.2210e+01     1.0000e-03     2.5496e-10
1.3820e+01     1.0000e-03     1.4104e-10
1.5630e+01     1.0000e-03     7.7666e-11
1.7680e+01     1.0000e-03     4.2371e-11
2.0000e+01     1.0000e-03     2.3292e-11
