 Element: Ar
 Maximum L = 10
 Maximum kappa = 20
 No. of transitions = 7
 No. of channels = 406
 No. of energies = 100
 No. of velocities = 100
------------------------------------

e energy (keV) v/c            dP/dE
1.0000e-04     1.0000e-05     1.4970e-03
1.0000e-04     1.0080e-04     1.5194e-01
1.0000e-04     1.9160e-04     5.4739e-01
1.0000e-04     2.8240e-04     1.1837e+00
1.0000e-04     3.7320e-04     2.0542e+00
1.0000e-04     4.6400e-04     3.1496e+00
1.0000e-04     5.5480e-04     4.4587e+00
1.0000e-04     6.4570e-04     5.9694e+00
1.0000e-04     7.3650e-04     7.6629e+00
1.0000e-04     8.2730e-04     9.5233e+00
1.0000e-04     9.1810e-04     1.1532e+01
1.0000e-04     1.0090e-03     1.3670e+01
1.0000e-04     1.1000e-03     1.5917e+01
1.0000e-04     1.1910e-03     1.8249e+01
1.0000e-04     1.2810e-03     2.0616e+01
1.0000e-04     1.3720e-03     2.3048e+01
1.0000e-04     1.4630e-03     2.5495e+01
1.0000e-04     1.5540e-03     2.7935e+01
1.0000e-04     1.6450e-03     3.0346e+01
1.0000e-04     1.7350e-03     3.2680e+01
1.0000e-04     1.8260e-03     3.4969e+01
1.0000e-04     1.9170e-03     3.7168e+01
1.0000e-04     2.0080e-03     3.9259e+01
1.0000e-04     2.0990e-03     4.1225e+01
1.0000e-04     2.1890e-03     4.3032e+01
1.0000e-04     2.2800e-03     4.4709e+01
1.0000e-04     2.3710e-03     4.6222e+01
1.0000e-04     2.4620e-03     4.7564e+01
1.0000e-04     2.5530e-03     4.8727e+01
1.0000e-04     2.6430e-03     4.9696e+01
1.0000e-04     2.7340e-03     5.0490e+01
1.0000e-04     2.8250e-03     5.1095e+01
1.0000e-04     2.9160e-03     5.1513e+01
1.0000e-04     3.0070e-03     5.1745e+01
1.0000e-04     3.0970e-03     5.1795e+01
1.0000e-04     3.1880e-03     5.1670e+01
1.0000e-04     3.2790e-03     5.1375e+01
1.0000e-04     3.3700e-03     5.0918e+01
1.0000e-04     3.4610e-03     5.0308e+01
1.0000e-04     3.5520e-03     4.9554e+01
1.0000e-04     3.6420e-03     4.8678e+01
1.0000e-04     3.7330e-03     4.7670e+01
1.0000e-04     3.8240e-03     4.6552e+01
1.0000e-04     3.9150e-03     4.5336e+01
1.0000e-04     4.0060e-03     4.4032e+01
1.0000e-04     4.0960e-03     4.2669e+01
1.0000e-04     4.1870e-03     4.1228e+01
1.0000e-04     4.2780e-03     3.9736e+01
1.0000e-04     4.3690e-03     3.8202e+01
1.0000e-04     4.4600e-03     3.6639e+01
1.0000e-04     4.5500e-03     3.5074e+01
1.0000e-04     4.6410e-03     3.3482e+01
1.0000e-04     4.7320e-03     3.1889e+01
1.0000e-04     4.8230e-03     3.0303e+01
1.0000e-04     4.9140e-03     2.8733e+01
1.0000e-04     5.0040e-03     2.7202e+01
1.0000e-04     5.0950e-03     2.5682e+01
1.0000e-04     5.1860e-03     2.4197e+01
1.0000e-04     5.2770e-03     2.2750e+01
1.0000e-04     5.3680e-03     2.1346e+01
1.0000e-04     5.4580e-03     2.0004e+01
1.0000e-04     5.5490e-03     1.8696e+01
1.0000e-04     5.6400e-03     1.7440e+01
1.0000e-04     5.7310e-03     1.6238e+01
1.0000e-04     5.8220e-03     1.5090e+01
1.0000e-04     5.9130e-03     1.3997e+01
1.0000e-04     6.0030e-03     1.2972e+01
1.0000e-04     6.0940e-03     1.1990e+01
1.0000e-04     6.1850e-03     1.1062e+01
1.0000e-04     6.2760e-03     1.0189e+01
1.0000e-04     6.3670e-03     9.3690e+00
1.0000e-04     6.4570e-03     8.6085e+00
1.0000e-04     6.5480e-03     7.8894e+00
1.0000e-04     6.6390e-03     7.2186e+00
1.0000e-04     6.7300e-03     6.5942e+00
1.0000e-04     6.8210e-03     6.0144e+00
1.0000e-04     6.9110e-03     5.4827e+00
1.0000e-04     7.0020e-03     4.9852e+00
1.0000e-04     7.0930e-03     4.5260e+00
1.0000e-04     7.1840e-03     4.1031e+00
1.0000e-04     7.2750e-03     3.7142e+00
1.0000e-04     7.3650e-03     3.3610e+00
1.0000e-04     7.4560e-03     3.0338e+00
1.0000e-04     7.5470e-03     2.7346e+00
1.0000e-04     7.6380e-03     2.4615e+00
1.0000e-04     7.7290e-03     2.2126e+00
1.0000e-04     7.8190e-03     1.9886e+00
1.0000e-04     7.9100e-03     1.7829e+00
1.0000e-04     8.0010e-03     1.5963e+00
1.0000e-04     8.0920e-03     1.4274e+00
1.0000e-04     8.1830e-03     1.2748e+00
1.0000e-04     8.2740e-03     1.1370e+00
1.0000e-04     8.3640e-03     1.0142e+00
1.0000e-04     8.4550e-03     9.0241e-01
1.0000e-04     8.5460e-03     8.0199e-01
1.0000e-04     8.6370e-03     7.1189e-01
1.0000e-04     8.7280e-03     6.3118e-01
1.0000e-04     8.8180e-03     5.5973e-01
1.0000e-04     8.9090e-03     4.9514e-01
1.0000e-04     9.0000e-03     4.3752e-01
1.1310e-04     1.0000e-05     1.4905e-03
1.1310e-04     1.0080e-04     1.5128e-01
1.1310e-04     1.9160e-04     5.4502e-01
1.1310e-04     2.8240e-04     1.1786e+00
1.1310e-04     3.7320e-04     2.0453e+00
1.1310e-04     4.6400e-04     3.1360e+00
1.1310e-04     5.5480e-04     4.4395e+00
1.1310e-04     6.4570e-04     5.9438e+00
1.1310e-04     7.3650e-04     7.6301e+00
1.1310e-04     8.2730e-04     9.4828e+00
1.1310e-04     9.1810e-04     1.1483e+01
1.1310e-04     1.0090e-03     1.3612e+01
1.1310e-04     1.1000e-03     1.5851e+01
1.1310e-04     1.1910e-03     1.8173e+01
1.1310e-04     1.2810e-03     2.0531e+01
1.1310e-04     1.3720e-03     2.2953e+01
1.1310e-04     1.4630e-03     2.5391e+01
1.1310e-04     1.5540e-03     2.7822e+01
1.1310e-04     1.6450e-03     3.0224e+01
1.1310e-04     1.7350e-03     3.2550e+01
1.1310e-04     1.8260e-03     3.4832e+01
1.1310e-04     1.9170e-03     3.7023e+01
1.1310e-04     2.0080e-03     3.9107e+01
1.1310e-04     2.0990e-03     4.1067e+01
1.1310e-04     2.1890e-03     4.2870e+01
1.1310e-04     2.2800e-03     4.4542e+01
1.1310e-04     2.3710e-03     4.6052e+01
1.1310e-04     2.4620e-03     4.7391e+01
1.1310e-04     2.5530e-03     4.8552e+01
1.1310e-04     2.6430e-03     4.9520e+01
1.1310e-04     2.7340e-03     5.0313e+01
1.1310e-04     2.8250e-03     5.0919e+01
1.1310e-04     2.9160e-03     5.1337e+01
1.1310e-04     3.0070e-03     5.1571e+01
1.1310e-04     3.0970e-03     5.1623e+01
1.1310e-04     3.1880e-03     5.1502e+01
1.1310e-04     3.2790e-03     5.1210e+01
1.1310e-04     3.3700e-03     5.0757e+01
1.1310e-04     3.4610e-03     5.0152e+01
1.1310e-04     3.5520e-03     4.9403e+01
1.1310e-04     3.6420e-03     4.8532e+01
1.1310e-04     3.7330e-03     4.7530e+01
1.1310e-04     3.8240e-03     4.6418e+01
1.1310e-04     3.9150e-03     4.5207e+01
1.1310e-04     4.0060e-03     4.3909e+01
1.1310e-04     4.0960e-03     4.2552e+01
1.1310e-04     4.1870e-03     4.1118e+01
1.1310e-04     4.2780e-03     3.9631e+01
1.1310e-04     4.3690e-03     3.8104e+01
1.1310e-04     4.4600e-03     3.6547e+01
1.1310e-04     4.5500e-03     3.4987e+01
1.1310e-04     4.6410e-03     3.3401e+01
1.1310e-04     4.7320e-03     3.1813e+01
1.1310e-04     4.8230e-03     3.0233e+01
1.1310e-04     4.9140e-03     2.8667e+01
1.1310e-04     5.0040e-03     2.7141e+01
1.1310e-04     5.0950e-03     2.5626e+01
1.1310e-04     5.1860e-03     2.4145e+01
1.1310e-04     5.2770e-03     2.2702e+01
1.1310e-04     5.3680e-03     2.1303e+01
1.1310e-04     5.4580e-03     1.9964e+01
1.1310e-04     5.5490e-03     1.8660e+01
1.1310e-04     5.6400e-03     1.7407e+01
1.1310e-04     5.7310e-03     1.6207e+01
1.1310e-04     5.8220e-03     1.5062e+01
1.1310e-04     5.9130e-03     1.3972e+01
1.1310e-04     6.0030e-03     1.2949e+01
1.1310e-04     6.0940e-03     1.1969e+01
1.1310e-04     6.1850e-03     1.1044e+01
1.1310e-04     6.2760e-03     1.0172e+01
1.1310e-04     6.3670e-03     9.3540e+00
1.1310e-04     6.4570e-03     8.5950e+00
1.1310e-04     6.5480e-03     7.8773e+00
1.1310e-04     6.6390e-03     7.2078e+00
1.1310e-04     6.7300e-03     6.5846e+00
1.1310e-04     6.8210e-03     6.0058e+00
1.1310e-04     6.9110e-03     5.4750e+00
1.1310e-04     7.0020e-03     4.9784e+00
1.1310e-04     7.0930e-03     4.5200e+00
