 Element: Ar
 Maximum L = 10
 Maximum kappa = 12
 No. of transitions = 7
 No. of channels = 406
 No. of energies = 100
 No. of velocities = 100
------------------------------------

e energy (keV) v/c            dP/dE
1.0000e-04     1.0000e-05     1.4970e-03
1.0000e-04     1.0710e-05     1.7171e-03
1.0000e-04     1.1470e-05     1.9694e-03
1.0000e-04     1.2290e-05     2.2610e-03
1.0000e-04     1.3160e-05     2.5925e-03
1.0000e-04     1.4100e-05     2.9761e-03
1.0000e-04     1.5100e-05     3.4132e-03
1.0000e-04     1.6180e-05     3.9188e-03
1.0000e-04     1.7330e-05     4.4957e-03
1.0000e-04     1.8560e-05     5.1565e-03
1.0000e-04     1.9880e-05     5.9160e-03
1.0000e-04     2.1290e-05     6.7849e-03
1.0000e-04     2.2810e-05     7.7882e-03
1.0000e-04     2.4430e-05     8.9337e-03
1.0000e-04     2.6170e-05     1.0252e-02
1.0000e-04     2.8030e-05     1.1760e-02
1.0000e-04     3.0020e-05     1.3489e-02
1.0000e-04     3.2160e-05     1.5481e-02
1.0000e-04     3.4450e-05     1.7764e-02
1.0000e-04     3.6900e-05     2.0380e-02
1.0000e-04     3.9520e-05     2.3376e-02
1.0000e-04     4.2330e-05     2.6818e-02
1.0000e-04     4.5340e-05     3.0767e-02
1.0000e-04     4.8570e-05     3.5305e-02
1.0000e-04     5.2020e-05     4.0497e-02
1.0000e-04     5.5720e-05     4.6461e-02
1.0000e-04     5.9680e-05     5.3297e-02
1.0000e-04     6.3930e-05     6.1155e-02
1.0000e-04     6.8480e-05     7.0165e-02
1.0000e-04     7.3350e-05     8.0494e-02
1.0000e-04     7.8560e-05     9.2327e-02
1.0000e-04     8.4150e-05     1.0592e-01
1.0000e-04     9.0140e-05     1.2153e-01
1.0000e-04     9.6550e-05     1.3941e-01
1.0000e-04     1.0340e-04     1.5987e-01
1.0000e-04     1.1080e-04     1.8354e-01
1.0000e-04     1.1870e-04     2.1060e-01
1.0000e-04     1.2710e-04     2.4141e-01
1.0000e-04     1.3610e-04     2.7674e-01
1.0000e-04     1.4580e-04     3.1750e-01
1.0000e-04     1.5620e-04     3.6429e-01
1.0000e-04     1.6730e-04     4.1774e-01
1.0000e-04     1.7920e-04     4.7907e-01
1.0000e-04     1.9190e-04     5.4910e-01
1.0000e-04     2.0560e-04     6.2994e-01
1.0000e-04     2.2020e-04     7.2210e-01
1.0000e-04     2.3590e-04     8.2811e-01
1.0000e-04     2.5260e-04     9.4868e-01
1.0000e-04     2.7060e-04     1.0876e+00
1.0000e-04     2.8990e-04     1.2468e+00
1.0000e-04     3.1050e-04     1.4284e+00
1.0000e-04     3.3260e-04     1.6365e+00
1.0000e-04     3.5620e-04     1.8738e+00
1.0000e-04     3.8160e-04     2.1462e+00
1.0000e-04     4.0870e-04     2.4562e+00
1.0000e-04     4.3780e-04     2.8111e+00
1.0000e-04     4.6890e-04     3.2149e+00
1.0000e-04     5.0230e-04     3.6765e+00
1.0000e-04     5.3800e-04     4.2010e+00
1.0000e-04     5.7620e-04     4.7968e+00
1.0000e-04     6.1720e-04     5.4751e+00
1.0000e-04     6.6110e-04     6.2441e+00
1.0000e-04     7.0820e-04     7.1163e+00
1.0000e-04     7.5850e-04     8.0990e+00
1.0000e-04     8.1250e-04     9.2094e+00
1.0000e-04     8.7030e-04     1.0457e+01
1.0000e-04     9.3220e-04     1.1855e+01
1.0000e-04     9.9850e-04     1.3417e+01
1.0000e-04     1.0690e-03     1.5141e+01
1.0000e-04     1.1460e-03     1.7087e+01
1.0000e-04     1.2270e-03     1.9190e+01
1.0000e-04     1.3140e-03     2.1495e+01
1.0000e-04     1.4080e-03     2.4015e+01
1.0000e-04     1.5080e-03     2.6704e+01
1.0000e-04     1.6150e-03     2.9556e+01
1.0000e-04     1.7300e-03     3.2552e+01
1.0000e-04     1.8530e-03     3.5632e+01
1.0000e-04     1.9850e-03     3.8742e+01
1.0000e-04     2.1260e-03     4.1782e+01
1.0000e-04     2.2770e-03     4.4656e+01
1.0000e-04     2.4390e-03     4.7242e+01
1.0000e-04     2.6130e-03     4.9393e+01
1.0000e-04     2.7990e-03     5.0942e+01
1.0000e-04     2.9980e-03     5.1730e+01
1.0000e-04     3.2110e-03     5.1611e+01
1.0000e-04     3.4390e-03     5.0469e+01
1.0000e-04     3.6840e-03     4.8227e+01
1.0000e-04     3.9460e-03     4.4901e+01
1.0000e-04     4.2270e-03     4.0578e+01
1.0000e-04     4.5270e-03     3.5476e+01
1.0000e-04     4.8490e-03     2.9853e+01
1.0000e-04     5.1940e-03     2.4068e+01
1.0000e-04     5.5640e-03     1.8486e+01
1.0000e-04     5.9590e-03     1.3466e+01
1.0000e-04     6.3830e-03     9.2301e+00
1.0000e-04     6.8370e-03     5.9169e+00
1.0000e-04     7.3240e-03     3.5182e+00
1.0000e-04     7.8440e-03     1.9301e+00
1.0000e-04     8.4020e-03     9.6607e-01
1.0000e-04     9.0000e-03     4.3752e-01
1.1310e-04     1.0000e-05     1.4905e-03
1.1310e-04     1.0710e-05     1.7096e-03
1.1310e-04     1.1470e-05     1.9608e-03
1.1310e-04     1.2290e-05     2.2512e-03
1.1310e-04     1.3160e-05     2.5812e-03
1.1310e-04     1.4100e-05     2.9631e-03
1.1310e-04     1.5100e-05     3.3983e-03
1.1310e-04     1.6180e-05     3.9018e-03
1.1310e-04     1.7330e-05     4.4762e-03
1.1310e-04     1.8560e-05     5.1341e-03
1.1310e-04     1.9880e-05     5.8903e-03
1.1310e-04     2.1290e-05     6.7554e-03
1.1310e-04     2.2810e-05     7.7544e-03
1.1310e-04     2.4430e-05     8.8949e-03
1.1310e-04     2.6170e-05     1.0207e-02
1.1310e-04     2.8030e-05     1.1709e-02
1.1310e-04     3.0020e-05     1.3431e-02
1.1310e-04     3.2160e-05     1.5414e-02
1.1310e-04     3.4450e-05     1.7687e-02
1.1310e-04     3.6900e-05     2.0291e-02
1.1310e-04     3.9520e-05     2.3275e-02
1.1310e-04     4.2330e-05     2.6702e-02
1.1310e-04     4.5340e-05     3.0633e-02
1.1310e-04     4.8570e-05     3.5152e-02
1.1310e-04     5.2020e-05     4.0322e-02
1.1310e-04     5.5720e-05     4.6260e-02
1.1310e-04     5.9680e-05     5.3066e-02
1.1310e-04     6.3930e-05     6.0890e-02
1.1310e-04     6.8480e-05     6.9861e-02
1.1310e-04     7.3350e-05     8.0144e-02
1.1310e-04     7.8560e-05     9.1926e-02
1.1310e-04     8.4150e-05     1.0546e-01
1.1310e-04     9.0140e-05     1.2100e-01
1.1310e-04     9.6550e-05     1.3880e-01
1.1310e-04     1.0340e-04     1.5917e-01
1.1310e-04     1.1080e-04     1.8274e-01
1.1310e-04     1.1870e-04     2.0969e-01
1.1310e-04     1.2710e-04     2.4036e-01
1.1310e-04     1.3610e-04     2.7554e-01
1.1310e-04     1.4580e-04     3.1612e-01
1.1310e-04     1.5620e-04     3.6271e-01
1.1310e-04     1.6730e-04     4.1593e-01
1.1310e-04     1.7920e-04     4.7699e-01
1.1310e-04     1.9190e-04     5.4672e-01
1.1310e-04     2.0560e-04     6.2721e-01
1.1310e-04     2.2020e-04     7.1897e-01
1.1310e-04     2.3590e-04     8.2452e-01
1.1310e-04     2.5260e-04     9.4457e-01
1.1310e-04     2.7060e-04     1.0829e+00
1.1310e-04     2.8990e-04     1.2414e+00
1.1310e-04     3.1050e-04     1.4223e+00
1.1310e-04     3.3260e-04     1.6294e+00
1.1310e-04     3.5620e-04     1.8657e+00
1.1310e-04     3.8160e-04     2.1369e+00
1.1310e-04     4.0870e-04     2.4456e+00
1.1310e-04     4.3780e-04     2.7989e+00
1.1310e-04     4.6890e-04     3.2011e+00
1.1310e-04     5.0230e-04     3.6606e+00
1.1310e-04     5.3800e-04     4.1829e+00
1.1310e-04     5.7620e-04     4.7762e+00
1.1310e-04     6.1720e-04     5.4516e+00
1.1310e-04     6.6110e-04     6.2173e+00
1.1310e-04     7.0820e-04     7.0859e+00
1.1310e-04     7.5850e-04     8.0644e+00
1.1310e-04     8.1250e-04     9.1702e+00
1.1310e-04     8.7030e-04     1.0413e+01
1.1310e-04     9.3220e-04     1.1805e+01
1.1310e-04     9.9850e-04     1.3361e+01
1.1310e-04     1.0690e-03     1.5078e+01
1.1310e-04     1.1460e-03     1.7016e+01
1.1310e-04     1.2270e-03     1.9110e+01
1.1310e-04     1.3140e-03     2.1406e+01
1.1310e-04     1.4080e-03     2.3917e+01
1.1310e-04     1.5080e-03     2.6595e+01
1.1310e-04     1.6150e-03     2.9437e+01
1.1310e-04     1.7300e-03     3.2422e+01
1.1310e-04     1.8530e-03     3.5492e+01
