 Element: Ar
 Maximum L =  1
 Maximum kappa = 20
 No. of transitions = 7
 No. of channels = 82
 No. of energies = 100
 No. of velocities =   1
------------------------------------

e energy (keV) v/c            dP/dE
1.0000e-04     1.0000e-03     1.4970e+01
1.1310e-04     1.0000e-03     1.4905e+01
1.2800e-04     1.0000e-03     1.4831e+01
1.4480e-04     1.0000e-03     1.4748e+01
1.6380e-04     1.0000e-03     1.4653e+01
1.8520e-04     1.0000e-03     1.4548e+01
2.0950e-04     1.0000e-03     1.4428e+01
2.3700e-04     1.0000e-03     1.4292e+01
2.6810e-04     1.0000e-03     1.4139e+01
3.0330e-04     1.0000e-03     1.3967e+01
3.4310e-04     1.0000e-03     1.3773e+01
3.8820e-04     1.0000e-03     1.3555e+01
4.3910e-04     1.0000e-03     1.3311e+01
4.9670e-04     1.0000e-03     1.3037e+01
5.6190e-04     1.0000e-03     1.2732e+01
6.3560e-04     1.0000e-03     1.2391e+01
7.1900e-04     1.0000e-03     1.2014e+01
8.1340e-04     1.0000e-03     1.1597e+01
9.2010e-04     1.0000e-03     1.1139e+01
1.0410e-03     1.0000e-03     1.0638e+01
1.1770e-03     1.0000e-03     1.0098e+01
1.3320e-03     1.0000e-03     9.5140e+00
1.5070e-03     1.0000e-03     8.8932e+00
1.7040e-03     1.0000e-03     8.2426e+00
1.9280e-03     1.0000e-03     7.5621e+00
2.1810e-03     1.0000e-03     6.8645e+00
2.4670e-03     1.0000e-03     6.1590e+00
2.7910e-03     1.0000e-03     5.4553e+00
3.1570e-03     1.0000e-03     4.7670e+00
3.5710e-03     1.0000e-03     4.1047e+00
4.0400e-03     1.0000e-03     3.4785e+00
4.5700e-03     1.0000e-03     2.8993e+00
5.1700e-03     1.0000e-03     2.3736e+00
5.8480e-03     1.0000e-03     1.9074e+00
6.6150e-03     1.0000e-03     1.5027e+00
7.4830e-03     1.0000e-03     1.1595e+00
8.4650e-03     1.0000e-03     8.7581e-01
9.5760e-03     1.0000e-03     6.4764e-01
1.0830e-02     1.0000e-03     4.6994e-01
1.2250e-02     1.0000e-03     3.3566e-01
1.3860e-02     1.0000e-03     2.3800e-01
1.5680e-02     1.0000e-03     1.7039e-01
1.7740e-02     1.0000e-03     1.2608e-01
2.0070e-02     1.0000e-03     9.9054e-02
2.2700e-02     1.0000e-03     8.4086e-02
2.5680e-02     1.0000e-03     7.6797e-02
2.9050e-02     1.0000e-03     7.3849e-02
3.2860e-02     1.0000e-03     7.2780e-02
3.7170e-02     1.0000e-03     7.1947e-02
4.2050e-02     1.0000e-03     7.0385e-02
4.7570e-02     1.0000e-03     6.7666e-02
5.3810e-02     1.0000e-03     6.3744e-02
6.0870e-02     1.0000e-03     5.8808e-02
6.8850e-02     1.0000e-03     5.3173e-02
7.7890e-02     1.0000e-03     4.7173e-02
8.8110e-02     1.0000e-03     4.1135e-02
9.9670e-02     1.0000e-03     3.5320e-02
1.1270e-01     1.0000e-03     2.9920e-02
1.2750e-01     1.0000e-03     2.5010e-02
1.4430e-01     1.0000e-03     2.0652e-02
1.6320e-01     1.0000e-03     1.6889e-02
1.8460e-01     1.0000e-03     1.3668e-02
2.0890e-01     1.0000e-03     1.0944e-02
2.3630e-01     1.0000e-03     8.6813e-03
2.6730e-01     1.0000e-03     6.8155e-03
3.0230e-01     1.0000e-03     5.2983e-03
3.4200e-01     1.0000e-03     4.0725e-03
3.8690e-01     1.0000e-03     3.0950e-03
4.3760e-01     1.0000e-03     2.3291e-03
4.9510e-01     1.0000e-03     1.7320e-03
5.6000e-01     1.0000e-03     1.2749e-03
6.3350e-01     1.0000e-03     9.2851e-04
7.1660e-01     1.0000e-03     6.7019e-04
8.1070e-01     1.0000e-03     4.7952e-04
9.1700e-01     1.0000e-03     3.4084e-04
1.0370e+00     1.0000e-03     2.4107e-04
1.1730e+00     1.0000e-03     1.6971e-04
1.3270e+00     1.0000e-03     1.1923e-04
1.5020e+00     1.0000e-03     8.3559e-05
1.6990e+00     1.0000e-03     5.8819e-05
1.9220e+00     1.0000e-03     4.1440e-05
2.1740e+00     1.0000e-03     2.9359e-05
2.4590e+00     1.0000e-03     2.0840e-05
2.7820e+00     1.0000e-03     1.4871e-05
3.1470e+00     1.0000e-03     1.0620e-05
3.5600e+00     1.0000e-03     7.5817e-06
4.0270e+00     1.0000e-03     5.4153e-06
4.5550e+00     1.0000e-03     3.8567e-06
5.1530e+00     1.0000e-03     2.7351e-06
5.8290e+00     1.0000e-03     1.9345e-06
6.5940e+00     1.0000e-03     1.3474e-06
7.4590e+00     1.0000e-03     9.3718e-07
8.4370e+00     1.0000e-03     6.4513e-07
9.5450e+00     1.0000e-03     4.3695e-07
1.0800e+01     1.0000e-03     2.9437e-07
1.2210e+01     1.0000e-03     1.9806e-07
1.3820e+01     1.0000e-03     1.2952e-07
1.5630e+01     1.0000e-03     8.5083e-08
1.7680e+01     1.0000e-03     5.5178e-08
2.0000e+01     1.0000e-03     3.4842e-08
