 Element: C
 Maximum L = 10
 No. of velocities = 100
------------------------------------

   v               |<i|e^(ivz)|i>|^2
   0.1000000E-03   0.9993577E+00
   0.3717000E-03   0.9911645E+00
   0.6434000E-03   0.9737739E+00
   0.9152000E-03   0.9476908E+00
   0.1187000E-02   0.9136801E+00
   0.1459000E-02   0.8726744E+00
   0.1730000E-02   0.8260017E+00
   0.2002000E-02   0.7745418E+00
   0.2274000E-02   0.7197332E+00
   0.2545000E-02   0.6630587E+00
   0.2817000E-02   0.6053138E+00
   0.3089000E-02   0.5478276E+00
   0.3361000E-02   0.4915959E+00
   0.3632000E-02   0.4376595E+00
   0.3904000E-02   0.3863034E+00
   0.4176000E-02   0.3382515E+00
   0.4447000E-02   0.2940210E+00
   0.4719000E-02   0.2534976E+00
   0.4991000E-02   0.2169325E+00
   0.5263000E-02   0.1842940E+00
   0.5534000E-02   0.1555577E+00
   0.5806000E-02   0.1303173E+00
   0.6078000E-02   0.1084398E+00
   0.6349000E-02   0.8970958E-01
   0.6621000E-02   0.7369220E-01
   0.6893000E-02   0.6016043E-01
   0.7165000E-02   0.4881807E-01
   0.7436000E-02   0.3941389E-01
   0.7708000E-02   0.3161549E-01
   0.7980000E-02   0.2521954E-01
   0.8252000E-02   0.2000896E-01
   0.8523000E-02   0.1580538E-01
   0.8795000E-02   0.1241023E-01
   0.9067000E-02   0.9695667E-02
   0.9338000E-02   0.7544932E-02
   0.9610000E-02   0.5837900E-02
   0.9882000E-02   0.4495974E-02
   0.1015000E-01   0.3460264E-02
   0.1043000E-01   0.2619835E-02
   0.1070000E-01   0.1994450E-02
   0.1097000E-01   0.1511838E-02
   0.1124000E-01   0.1141152E-02
   0.1151000E-01   0.8577434E-03
   0.1178000E-01   0.6420391E-03
   0.1206000E-01   0.4733748E-03
   0.1233000E-01   0.3513553E-03
   0.1260000E-01   0.2597110E-03
   0.1287000E-01   0.1911739E-03
   0.1314000E-01   0.1401349E-03
   0.1341000E-01   0.1022872E-03
   0.1369000E-01   0.7346046E-04
   0.1396000E-01   0.5314602E-04
   0.1423000E-01   0.3827565E-04
   0.1450000E-01   0.2743762E-04
   0.1477000E-01   0.1957340E-04
   0.1504000E-01   0.1389283E-04
   0.1532000E-01   0.9681975E-05
   0.1559000E-01   0.6795983E-05
   0.1586000E-01   0.4741769E-05
   0.1613000E-01   0.3287301E-05
   0.1640000E-01   0.2263205E-05
   0.1667000E-01   0.1546400E-05
   0.1695000E-01   0.1032692E-05
   0.1722000E-01   0.6930762E-06
   0.1749000E-01   0.4603239E-06
   0.1776000E-01   0.3021349E-06
   0.1803000E-01   0.1956204E-06
   0.1831000E-01   0.1225483E-06
   0.1858000E-01   0.7656530E-07
   0.1885000E-01   0.4674097E-07
   0.1912000E-01   0.2772368E-07
   0.1939000E-01   0.1584759E-07
   0.1966000E-01   0.8623881E-08
   0.1994000E-01   0.4263994E-08
   0.2021000E-01   0.1941693E-08
   0.2048000E-01   0.7383212E-09
   0.2075000E-01   0.1922896E-09
   0.2102000E-01   0.1234749E-10
   0.2129000E-01   0.1953622E-10
   0.2157000E-01   0.1117094E-09
   0.2184000E-01   0.2213546E-09
   0.2211000E-01   0.3206986E-09
   0.2238000E-01   0.3966286E-09
   0.2265000E-01   0.4457289E-09
   0.2292000E-01   0.4697187E-09
   0.2320000E-01   0.4724416E-09
   0.2347000E-01   0.4586642E-09
   0.2374000E-01   0.4334850E-09
   0.2401000E-01   0.4009528E-09
   0.2428000E-01   0.3643675E-09
   0.2455000E-01   0.3262763E-09
   0.2483000E-01   0.2871733E-09
   0.2510000E-01   0.2511726E-09
   0.2537000E-01   0.2176724E-09
   0.2564000E-01   0.1871296E-09
   0.2591000E-01   0.1597377E-09
   0.2618000E-01   0.1355027E-09
   0.2646000E-01   0.1135743E-09
   0.2673000E-01   0.9531033E-10
   0.2700000E-01   0.7962489E-10
