 Element: C
 Info: 6s,6p,6d
 Maximum L = 10
 No. of velocities = 100
------------------------------------

v/c            P
1.0000e-04     9.5888e-06
3.7170e-04     1.3107e-04
6.4340e-04     3.8381e-04
9.1520e-04     7.4979e-04
1.1870e-03     1.2033e-03
1.4590e-03     1.7143e-03
1.7300e-03     2.2476e-03
2.0020e-03     2.7753e-03
2.2740e-03     3.2664e-03
2.5450e-03     3.6954e-03
2.8170e-03     4.0473e-03
3.0890e-03     4.3086e-03
3.3610e-03     4.4738e-03
3.6320e-03     4.5431e-03
3.9040e-03     4.5221e-03
4.1760e-03     4.4193e-03
4.4470e-03     4.2470e-03
4.7190e-03     4.0174e-03
4.9910e-03     3.7447e-03
5.2630e-03     3.4429e-03
5.5340e-03     3.1259e-03
5.8060e-03     2.8029e-03
6.0780e-03     2.4848e-03
6.3490e-03     2.1803e-03
6.6210e-03     1.8930e-03
6.8930e-03     1.6281e-03
7.1650e-03     1.3879e-03
7.4360e-03     1.1741e-03
7.7080e-03     9.8494e-04
7.9800e-03     8.2028e-04
8.2520e-03     6.7851e-04
8.5230e-03     5.5810e-04
8.7950e-03     4.5600e-04
9.0670e-03     3.7049e-04
9.3380e-03     2.9967e-04
9.6100e-03     2.4099e-04
9.8820e-03     1.9288e-04
1.0150e-02     1.5419e-04
1.0430e-02     1.2149e-04
1.0700e-02     9.6131e-05
1.0970e-02     7.5761e-05
1.1240e-02     5.9472e-05
1.1510e-02     4.6504e-05
1.1780e-02     3.6224e-05
1.2060e-02     2.7844e-05
1.2330e-02     2.1520e-05
1.2600e-02     1.6568e-05
1.2870e-02     1.2706e-05
1.3140e-02     9.7053e-06
1.3410e-02     7.3831e-06
1.3690e-02     5.5355e-06
1.3960e-02     4.1747e-06
1.4230e-02     3.1344e-06
1.4500e-02     2.3424e-06
1.4770e-02     1.7421e-06
1.5040e-02     1.2890e-06
1.5320e-02     9.3777e-07
1.5590e-02     6.8604e-07
1.5860e-02     4.9882e-07
1.6130e-02     3.6031e-07
1.6400e-02     2.5842e-07
1.6670e-02     1.8391e-07
1.6950e-02     1.2809e-07
1.7220e-02     8.9509e-08
1.7490e-02     6.1889e-08
1.7760e-02     4.2283e-08
1.8030e-02     2.8495e-08
1.8310e-02     1.8608e-08
1.8580e-02     1.2103e-08
1.8850e-02     7.6953e-09
1.9120e-02     4.7573e-09
1.9390e-02     2.8384e-09
1.9660e-02     1.6164e-09
1.9940e-02     8.4238e-10
2.0210e-02     4.0824e-10
2.0480e-02     1.7026e-10
2.0750e-02     5.4464e-11
2.1020e-02     1.1414e-11
2.1290e-02     8.7646e-12
2.1570e-02     2.6799e-11
2.1840e-02     5.1402e-11
2.2110e-02     7.5883e-11
2.2380e-02     9.6568e-11
2.2650e-02     1.1192e-10
2.2920e-02     1.2167e-10
2.3200e-02     1.2635e-10
2.3470e-02     1.2645e-10
2.3740e-02     1.2311e-10
2.4010e-02     1.1725e-10
2.4280e-02     1.0965e-10
2.4550e-02     1.0098e-10
2.4830e-02     9.1455e-11
2.5100e-02     8.2180e-11
2.5370e-02     7.3132e-11
2.5640e-02     6.4526e-11
2.5910e-02     5.6504e-11
2.6180e-02     4.9146e-11
2.6460e-02     4.2254e-11
2.6730e-02     3.6322e-11
2.7000e-02     3.1069e-11
