 Element: C
 Info: 6s,6p,6d
 Maximum L = 10
 No. of velocities = 100
------------------------------------

v/c            P
1.0000e-04     7.3253e-05
3.7170e-04     1.0002e-03
6.4340e-04     2.9216e-03
9.1520e-04     5.6859e-03
1.1870e-03     9.0777e-03
1.4590e-03     1.2845e-02
1.7300e-03     1.6702e-02
2.0020e-03     2.0418e-02
2.2740e-03     2.3749e-02
2.5450e-03     2.6504e-02
2.8170e-03     2.8578e-02
3.0890e-03     2.9894e-02
3.3610e-03     3.0442e-02
3.6320e-03     3.0265e-02
3.9040e-03     2.9440e-02
4.1760e-03     2.8072e-02
4.4470e-03     2.6290e-02
4.7190e-03     2.4204e-02
4.9910e-03     2.1938e-02
5.2630e-03     1.9598e-02
5.5340e-03     1.7283e-02
5.8060e-03     1.5047e-02
6.0780e-03     1.2949e-02
6.3490e-03     1.1033e-02
6.6210e-03     9.3015e-03
6.8930e-03     7.7704e-03
7.1650e-03     6.4364e-03
7.4360e-03     5.2934e-03
7.7080e-03     4.3187e-03
7.9800e-03     3.4997e-03
8.2520e-03     2.8182e-03
8.5230e-03     2.2580e-03
8.7950e-03     1.7977e-03
9.0670e-03     1.4240e-03
9.3380e-03     1.1235e-03
9.6100e-03     8.8156e-04
9.8820e-03     6.8873e-04
1.0150e-02     5.3784e-04
1.0430e-02     4.1367e-04
1.0700e-02     3.1992e-04
1.0970e-02     2.4650e-04
1.1240e-02     1.8925e-04
1.1510e-02     1.4478e-04
1.1780e-02     1.1037e-04
1.2060e-02     8.2995e-05
1.2330e-02     6.2823e-05
1.2600e-02     4.7389e-05
1.2870e-02     3.5620e-05
1.3140e-02     2.6678e-05
1.3410e-02     1.9908e-05
1.3690e-02     1.4637e-05
1.3960e-02     1.0838e-05
1.4230e-02     7.9923e-06
1.4500e-02     5.8692e-06
1.4770e-02     4.2912e-06
1.5040e-02     3.1229e-06
1.5320e-02     2.2345e-06
1.5590e-02     1.6094e-06
1.5860e-02     1.1526e-06
1.6130e-02     8.2052e-07
1.6400e-02     5.8025e-07
1.6670e-02     4.0738e-07
1.6950e-02     2.7992e-07
1.7220e-02     1.9319e-07
1.7490e-02     1.3200e-07
1.7760e-02     8.9187e-08
1.8030e-02     5.9486e-08
1.8310e-02     3.8473e-08
1.8580e-02     2.4825e-08
1.8850e-02     1.5687e-08
1.9120e-02     9.6648e-09
1.9390e-02     5.7725e-09
1.9660e-02     3.3168e-09
1.9940e-02     1.7731e-09
2.0210e-02     9.1129e-10
2.0480e-02     4.3814e-10
2.0750e-02     2.0419e-10
2.1020e-02     1.1101e-10
2.1290e-02     9.5194e-11
2.1570e-02     1.1829e-10
2.1840e-02     1.5431e-10
2.2110e-02     1.9044e-10
2.2380e-02     2.2002e-10
2.2650e-02     2.4039e-10
2.2920e-02     2.5119e-10
2.3200e-02     2.5328e-10
2.3470e-02     2.4807e-10
2.3740e-02     2.3742e-10
2.4010e-02     2.2293e-10
2.4280e-02     2.0600e-10
2.4550e-02     1.8776e-10
2.4830e-02     1.6844e-10
2.5100e-02     1.5014e-10
2.5370e-02     1.3263e-10
2.5640e-02     1.1624e-10
2.5910e-02     1.0117e-10
2.6180e-02     8.7493e-11
2.6460e-02     7.4813e-11
2.6730e-02     6.3995e-11
2.7000e-02     5.4488e-11
