 Element: C
 Info: 6s,6p,6d
 Maximum L = 10
 No. of velocities = 100
------------------------------------

v/c            P
1.0000e-04     4.6123e-06
3.7170e-04     6.4690e-05
6.4340e-04     1.9979e-04
9.1520e-04     4.2143e-04
1.1870e-03     7.4376e-04
1.4590e-03     1.1806e-03
1.7300e-03     1.7384e-03
2.0020e-03     2.4225e-03
2.2740e-03     3.2225e-03
2.5450e-03     4.1157e-03
2.8170e-03     5.0796e-03
3.0890e-03     6.0738e-03
3.3610e-03     7.0565e-03
3.6320e-03     7.9812e-03
3.9040e-03     8.8140e-03
4.1760e-03     9.5162e-03
4.4470e-03     1.0059e-02
4.7190e-03     1.0428e-02
4.9910e-03     1.0615e-02
5.2630e-03     1.0620e-02
5.5340e-03     1.0456e-02
5.8060e-03     1.0139e-02
6.0780e-03     9.6911e-03
6.3490e-03     9.1406e-03
6.6210e-03     8.5098e-03
6.8930e-03     7.8268e-03
7.1650e-03     7.1161e-03
7.4360e-03     6.4020e-03
7.7080e-03     5.6978e-03
7.9800e-03     5.0210e-03
8.2520e-03     4.3831e-03
8.5230e-03     3.7940e-03
8.7950e-03     3.2544e-03
9.0670e-03     2.7689e-03
9.3380e-03     2.3390e-03
9.6100e-03     1.9602e-03
9.8820e-03     1.6311e-03
1.0150e-02     1.3521e-03
1.0430e-02     1.1041e-03
1.0700e-02     9.0269e-04
1.0970e-02     7.3385e-04
1.1240e-02     5.9341e-04
1.1510e-02     4.7742e-04
1.1780e-02     3.8227e-04
1.2060e-02     3.0213e-04
1.2330e-02     2.3977e-04
1.2600e-02     1.8952e-04
1.2870e-02     1.4924e-04
1.3140e-02     1.1711e-04
1.3410e-02     9.1598e-05
1.3690e-02     7.0767e-05
1.3960e-02     5.5021e-05
1.4230e-02     4.2667e-05
1.4500e-02     3.3009e-05
1.4770e-02     2.5481e-05
1.5040e-02     1.9631e-05
1.5320e-02     1.4950e-05
1.5590e-02     1.1478e-05
1.5860e-02     8.8004e-06
1.6130e-02     6.7391e-06
1.6400e-02     5.1553e-06
1.6670e-02     3.9403e-06
1.6950e-02     2.9797e-06
1.7220e-02     2.2747e-06
1.7490e-02     1.7358e-06
1.7760e-02     1.3244e-06
1.8030e-02     1.0104e-06
1.8310e-02     7.6323e-07
1.8580e-02     5.8247e-07
1.8850e-02     4.4467e-07
1.9120e-02     3.3964e-07
1.9390e-02     2.5956e-07
1.9660e-02     1.9850e-07
1.9940e-02     1.5042e-07
2.0210e-02     1.1523e-07
2.0480e-02     8.8349e-08
2.0750e-02     6.7807e-08
2.1020e-02     5.2095e-08
2.1290e-02     4.0067e-08
2.1570e-02     3.0554e-08
2.1840e-02     2.3553e-08
2.2110e-02     1.8177e-08
2.2380e-02     1.4045e-08
2.2650e-02     1.0864e-08
2.2920e-02     8.4130e-09
2.3200e-02     6.4612e-09
2.3470e-02     5.0148e-09
2.3740e-02     3.8963e-09
2.4010e-02     3.0304e-09
2.4280e-02     2.3593e-09
2.4550e-02     1.8385e-09
2.4830e-02     1.4209e-09
2.5100e-02     1.1093e-09
2.5370e-02     8.6670e-10
2.5640e-02     6.7771e-10
2.5910e-02     5.3031e-10
2.6180e-02     4.1527e-10
2.6460e-02     3.2247e-10
2.6730e-02     2.5284e-10
2.7000e-02     1.9836e-10
