 Element: C
 Info: 6s,6p,6d
 Maximum L = 10
 No. of velocities = 100
------------------------------------

v/c            P
1.0000e-04     2.9401e-08
3.7170e-04     5.5530e-06
6.4340e-04     4.8731e-05
9.1520e-04     1.9269e-04
1.1870e-03     5.2044e-04
1.4590e-03     1.1208e-03
1.7300e-03     2.0677e-03
2.0020e-03     3.4222e-03
2.2740e-03     5.2021e-03
2.5450e-03     7.3800e-03
2.8170e-03     9.9152e-03
3.0890e-03     1.2709e-02
3.3610e-03     1.5646e-02
3.6320e-03     1.8584e-02
3.9040e-03     2.1412e-02
4.1760e-03     2.3991e-02
4.4470e-03     2.6207e-02
4.7190e-03     2.7991e-02
4.9910e-03     2.9279e-02
5.2630e-03     3.0043e-02
5.5340e-03     3.0287e-02
5.8060e-03     3.0038e-02
6.0780e-03     2.9342e-02
6.3490e-03     2.8264e-02
6.6210e-03     2.6865e-02
6.8930e-03     2.5223e-02
7.1650e-03     2.3410e-02
7.4360e-03     2.1501e-02
7.7080e-03     1.9543e-02
7.9800e-03     1.7595e-02
8.2520e-03     1.5698e-02
8.5230e-03     1.3895e-02
8.7950e-03     1.2194e-02
9.0670e-03     1.0621e-02
9.3380e-03     9.1891e-03
9.6100e-03     7.8918e-03
9.8820e-03     6.7335e-03
1.0150e-02     5.7237e-03
1.0430e-02     4.8004e-03
1.0700e-02     4.0285e-03
1.0970e-02     3.3627e-03
1.1240e-02     2.7928e-03
1.1510e-02     2.3081e-03
1.1780e-02     1.8987e-03
1.2060e-02     1.5434e-03
1.2330e-02     1.2584e-03
1.2600e-02     1.0219e-03
1.2870e-02     8.2658e-04
1.3140e-02     6.6611e-04
1.3410e-02     5.3488e-04
1.3690e-02     4.2450e-04
1.3960e-02     3.3856e-04
1.4230e-02     2.6918e-04
1.4500e-02     2.1337e-04
1.4770e-02     1.6866e-04
1.5040e-02     1.3295e-04
1.5320e-02     1.0359e-04
1.5590e-02     8.1235e-05
1.5860e-02     6.3550e-05
1.6130e-02     4.9603e-05
1.6400e-02     3.8632e-05
1.6670e-02     3.0025e-05
1.6950e-02     2.3070e-05
1.7220e-02     1.7859e-05
1.7490e-02     1.3800e-05
1.7760e-02     1.0645e-05
1.8030e-02     8.1975e-06
1.8310e-02     6.2416e-06
1.8580e-02     4.7914e-06
1.8850e-02     3.6729e-06
1.9120e-02     2.8116e-06
1.9390e-02     2.1495e-06
1.9660e-02     1.6412e-06
1.9940e-02     1.2391e-06
2.0210e-02     9.4383e-07
2.0480e-02     7.1815e-07
2.0750e-02     5.4587e-07
2.1020e-02     4.1450e-07
2.1290e-02     3.1446e-07
2.1570e-02     2.3591e-07
2.1840e-02     1.7866e-07
2.2110e-02     1.3519e-07
2.2380e-02     1.0222e-07
2.2650e-02     7.7238e-08
2.2920e-02     5.8321e-08
2.3200e-02     4.3552e-08
2.3470e-02     3.2844e-08
2.3740e-02     2.4755e-08
2.4010e-02     1.8649e-08
2.4280e-02     1.4042e-08
2.4550e-02     1.0569e-08
2.4830e-02     7.8679e-09
2.5100e-02     5.9171e-09
2.5370e-02     4.4486e-09
2.5640e-02     3.3435e-09
2.5910e-02     2.5123e-09
2.6180e-02     1.8874e-09
2.6460e-02     1.4027e-09
2.6730e-02     1.0534e-09
2.7000e-02     7.9106e-10
