 Element: C
 Info: 6s,6p,6d
 Maximum L = 10
 Maximum kappa = 12
 No. of transitions =   792
 No. of channels = 80064
 No. of energies =  50
 No. of velocities =  50
------------------------------------

e energy (keV) v/c            dP/dE
1.0000e-04     1.0000e-04     1.1683e-05
1.0000e-04     6.4900e-04     1.1499e-02
1.0000e-04     1.1980e-03     1.2189e-01
1.0000e-04     1.7470e-03     4.8463e-01
1.0000e-04     2.2960e-03     1.2131e+00
1.0000e-04     2.8450e-03     2.2869e+00
1.0000e-04     3.3940e-03     3.5345e+00
1.0000e-04     3.9430e-03     4.7005e+00
1.0000e-04     4.4920e-03     5.5505e+00
1.0000e-04     5.0410e-03     5.9500e+00
1.0000e-04     5.5900e-03     5.8871e+00
1.0000e-04     6.1390e-03     5.4455e+00
1.0000e-04     6.6880e-03     4.7570e+00
1.0000e-04     7.2370e-03     3.9568e+00
1.0000e-04     7.7860e-03     3.1550e+00
1.0000e-04     8.3350e-03     2.4251e+00
1.0000e-04     8.8840e-03     1.8054e+00
1.0000e-04     9.4330e-03     1.3067e+00
1.0000e-04     9.9820e-03     9.2259e-01
1.0000e-04     1.0530e-02     6.3758e-01
1.0000e-04     1.1080e-02     4.3140e-01
1.0000e-04     1.1630e-02     2.8674e-01
1.0000e-04     1.2180e-02     1.8756e-01
1.0000e-04     1.2730e-02     1.2093e-01
1.0000e-04     1.3280e-02     7.6959e-02
1.0000e-04     1.3820e-02     4.8822e-02
1.0000e-04     1.4370e-02     3.0394e-02
1.0000e-04     1.4920e-02     1.8744e-02
1.0000e-04     1.5470e-02     1.1463e-02
1.0000e-04     1.6020e-02     6.9574e-03
1.0000e-04     1.6570e-02     4.1950e-03
1.0000e-04     1.7120e-02     2.5146e-03
1.0000e-04     1.7670e-02     1.4996e-03
1.0000e-04     1.8220e-02     8.9025e-04
1.0000e-04     1.8770e-02     5.2646e-04
1.0000e-04     1.9310e-02     3.1329e-04
1.0000e-04     1.9860e-02     1.8412e-04
1.0000e-04     2.0410e-02     1.0795e-04
1.0000e-04     2.0960e-02     6.3162e-05
1.0000e-04     2.1510e-02     3.6896e-05
1.0000e-04     2.2060e-02     2.1525e-05
1.0000e-04     2.2610e-02     1.2545e-05
1.0000e-04     2.3160e-02     7.3063e-06
1.0000e-04     2.3710e-02     4.2534e-06
1.0000e-04     2.4260e-02     2.4757e-06
1.0000e-04     2.4800e-02     1.4552e-06
1.0000e-04     2.5350e-02     8.4725e-07
1.0000e-04     2.5900e-02     4.9349e-07
1.0000e-04     2.6450e-02     2.8762e-07
1.0000e-04     2.7000e-02     1.6777e-07
1.2830e-04     1.0000e-04     1.1631e-05
1.2830e-04     6.4900e-04     1.1478e-02
