 Element: C
 Info: 6s,6p,6d
 Maximum L = 10
 No. of velocities = 100
------------------------------------

v/c            P
1.0000e-04     8.7668e-05
3.7170e-04     1.1988e-03
6.4340e-04     3.5137e-03
9.1520e-04     6.8736e-03
1.1870e-03     1.1051e-02
1.4590e-03     1.5777e-02
1.7300e-03     2.0736e-02
2.0020e-03     2.5673e-02
2.2740e-03     3.0303e-02
2.5450e-03     3.4386e-02
2.8170e-03     3.7778e-02
3.0890e-03     4.0350e-02
3.3610e-03     4.2042e-02
3.6320e-03     4.2853e-02
3.9040e-03     4.2831e-02
4.1760e-03     4.2052e-02
4.4470e-03     4.0628e-02
4.7190e-03     3.8669e-02
4.9910e-03     3.6303e-02
5.2630e-03     3.3654e-02
5.5340e-03     3.0846e-02
5.8060e-03     2.7958e-02
6.0780e-03     2.5085e-02
6.3490e-03     2.2305e-02
6.6210e-03     1.9650e-02
6.8930e-03     1.7166e-02
7.1650e-03     1.4879e-02
7.4360e-03     1.2807e-02
7.7080e-03     1.0940e-02
7.9800e-03     9.2808e-03
8.2520e-03     7.8222e-03
8.5230e-03     6.5560e-03
8.7950e-03     5.4580e-03
9.0670e-03     4.5175e-03
9.3380e-03     3.7208e-03
9.6100e-03     3.0458e-03
9.8820e-03     2.4801e-03
1.0150e-02     2.0156e-03
1.0430e-02     1.6147e-03
1.0700e-02     1.2977e-03
1.0970e-02     1.0382e-03
1.1240e-02     8.2704e-04
1.1510e-02     6.5610e-04
1.1780e-02     5.1841e-04
1.2060e-02     4.0444e-04
1.2330e-02     3.1715e-04
1.2600e-02     2.4784e-04
1.2870e-02     1.9303e-04
1.3140e-02     1.4988e-04
1.3410e-02     1.1602e-04
1.3690e-02     8.8704e-05
1.3960e-02     6.8289e-05
1.4230e-02     5.2442e-05
1.4500e-02     4.0180e-05
1.4770e-02     3.0720e-05
1.5040e-02     2.3441e-05
1.5320e-02     1.7676e-05
1.5590e-02     1.3441e-05
1.5860e-02     1.0207e-05
1.6130e-02     7.7408e-06
1.6400e-02     5.8645e-06
1.6670e-02     4.4391e-06
1.6950e-02     3.3234e-06
1.7220e-02     2.5128e-06
1.7490e-02     1.8993e-06
1.7760e-02     1.4356e-06
1.8030e-02     1.0852e-06
1.8310e-02     8.1226e-07
1.8580e-02     6.1463e-07
1.8850e-02     4.6545e-07
1.9120e-02     3.5284e-07
1.9390e-02     2.6780e-07
1.9660e-02     2.0354e-07
1.9940e-02     1.5340e-07
2.0210e-02     1.1700e-07
2.0480e-02     8.9406e-08
2.0750e-02     6.8465e-08
2.1020e-02     5.2546e-08
2.1290e-02     4.0421e-08
2.1570e-02     3.0872e-08
2.1840e-02     2.3866e-08
2.2110e-02     1.8496e-08
2.2380e-02     1.4370e-08
2.2650e-02     1.1191e-08
2.2920e-02     8.7371e-09
2.3200e-02     6.7755e-09
2.3470e-02     5.3144e-09
2.3740e-02     4.1773e-09
2.4010e-02     3.2902e-09
2.4280e-02     2.5965e-09
2.4550e-02     2.0526e-09
2.4830e-02     1.6115e-09
2.5100e-02     1.2780e-09
2.5370e-02     1.0150e-09
2.5640e-02     8.0705e-10
2.5910e-02     6.4243e-10
2.6180e-02     5.1189e-10
2.6460e-02     4.0483e-10
2.6730e-02     3.2309e-10
2.7000e-02     2.5803e-10
