 Element: C
 Maximum L = 10
 Maximum kappa = 12
 No. of energies = 30
 No. of velocities = 100


------------------------------------

e energy (keV) v/c            dP/dE
5.6000e-01     1.0000e-04     1.3067e-08
5.6000e-01     3.7170e-04     1.8064e-07
5.6000e-01     6.4340e-04     5.4194e-07
5.6000e-01     9.1520e-04     1.0987e-06
5.6000e-01     1.1870e-03     1.8531e-06
5.6000e-01     1.4590e-03     2.8089e-06
5.6000e-01     1.7300e-03     3.9651e-06
5.6000e-01     2.0020e-03     5.3348e-06
5.6000e-01     2.2740e-03     6.9198e-06
5.6000e-01     2.5450e-03     8.7197e-06
5.6000e-01     2.8170e-03     1.0755e-05
5.6000e-01     3.0890e-03     1.3028e-05
5.6000e-01     3.3610e-03     1.5548e-05
5.6000e-01     3.6320e-03     1.8316e-05
5.6000e-01     3.9040e-03     2.1362e-05
5.6000e-01     4.1760e-03     2.4690e-05
5.6000e-01     4.4470e-03     2.8300e-05
5.6000e-01     4.7190e-03     3.2233e-05
5.6000e-01     4.9910e-03     3.6495e-05
5.6000e-01     5.2630e-03     4.1102e-05
5.6000e-01     5.5340e-03     4.6055e-05
5.6000e-01     5.8060e-03     5.1413e-05
5.6000e-01     6.0780e-03     5.7180e-05
5.6000e-01     6.3490e-03     6.3359e-05
5.6000e-01     6.6210e-03     7.0020e-05
5.6000e-01     6.8930e-03     7.7172e-05
5.6000e-01     7.1650e-03     8.4846e-05
5.6000e-01     7.4360e-03     9.3044e-05
5.6000e-01     7.7080e-03     1.0186e-04
5.6000e-01     7.9800e-03     1.1131e-04
5.6000e-01     8.2520e-03     1.2144e-04
5.6000e-01     8.5230e-03     1.3224e-04
5.6000e-01     8.7950e-03     1.4385e-04
5.6000e-01     9.0670e-03     1.5629e-04
5.6000e-01     9.3380e-03     1.6955e-04
5.6000e-01     9.6100e-03     1.8380e-04
5.6000e-01     9.8820e-03     1.9906e-04
5.6000e-01     1.0150e-02     2.1515e-04
5.6000e-01     1.0430e-02     2.3316e-04
5.6000e-01     1.0700e-02     2.5177e-04
5.6000e-01     1.0970e-02     2.7170e-04
5.6000e-01     1.1240e-02     2.9304e-04
5.6000e-01     1.1510e-02     3.1589e-04
5.6000e-01     1.1780e-02     3.4036e-04
5.6000e-01     1.2060e-02     3.6758e-04
5.6000e-01     1.2330e-02     3.9574e-04
5.6000e-01     1.2600e-02     4.2591e-04
5.6000e-01     1.2870e-02     4.5826e-04
5.6000e-01     1.3140e-02     4.9294e-04
5.6000e-01     1.3410e-02     5.3013e-04
5.6000e-01     1.3690e-02     5.7155e-04
5.6000e-01     1.3960e-02     6.1446e-04
5.6000e-01     1.4230e-02     6.6051e-04
5.6000e-01     1.4500e-02     7.0995e-04
5.6000e-01     1.4770e-02     7.6303e-04
5.6000e-01     1.5040e-02     8.2005e-04
5.6000e-01     1.5320e-02     8.8366e-04
5.6000e-01     1.5590e-02     9.4966e-04
5.6000e-01     1.5860e-02     1.0206e-03
5.6000e-01     1.6130e-02     1.0969e-03
5.6000e-01     1.6400e-02     1.1790e-03
5.6000e-01     1.6670e-02     1.2673e-03
5.6000e-01     1.6950e-02     1.3660e-03
5.6000e-01     1.7220e-02     1.4686e-03
5.6000e-01     1.7490e-02     1.5791e-03
5.6000e-01     1.7760e-02     1.6981e-03
5.6000e-01     1.8030e-02     1.8264e-03
5.6000e-01     1.8310e-02     1.9700e-03
5.6000e-01     1.8580e-02     2.1195e-03
5.6000e-01     1.8850e-02     2.2808e-03
5.6000e-01     1.9120e-02     2.4548e-03
5.6000e-01     1.9390e-02     2.6427e-03
5.6000e-01     1.9660e-02     2.8455e-03
5.6000e-01     1.9940e-02     3.0730e-03
5.6000e-01     2.0210e-02     3.3103e-03
5.6000e-01     2.0480e-02     3.5669e-03
5.6000e-01     2.0750e-02     3.8442e-03
5.6000e-01     2.1020e-02     4.1442e-03
5.6000e-01     2.1290e-02     4.4687e-03
5.6000e-01     2.1570e-02     4.8334e-03
5.6000e-01     2.1840e-02     5.2147e-03
5.6000e-01     2.2110e-02     5.6277e-03
5.6000e-01     2.2380e-02     6.0751e-03
5.6000e-01     2.2650e-02     6.5599e-03
5.6000e-01     2.2920e-02     7.0854e-03
