 Element: C
 Maximum L = 10
 Maximum kappa = 12
 No. of energies = 30
 No. of velocities = 100


------------------------------------

e energy (keV) v/c            dP/dE
5.6000e-01     1.0000e-04     1.5883e-08
5.6000e-01     3.7170e-04     1.0147e-07
5.6000e-01     6.4340e-04     2.8599e-07
5.6000e-01     9.1520e-04     5.7030e-07
5.6000e-01     1.1870e-03     9.5551e-07
5.6000e-01     1.4590e-03     1.4435e-06
5.6000e-01     1.7300e-03     2.0338e-06
5.6000e-01     2.0020e-03     2.7329e-06
5.6000e-01     2.2740e-03     3.5418e-06
5.6000e-01     2.5450e-03     4.4601e-06
5.6000e-01     2.8170e-03     5.4984e-06
5.6000e-01     3.0890e-03     6.6576e-06
5.6000e-01     3.3610e-03     7.9426e-06
5.6000e-01     3.6320e-03     9.3531e-06
5.6000e-01     3.9040e-03     1.0905e-05
5.6000e-01     4.1760e-03     1.2601e-05
5.6000e-01     4.4470e-03     1.4439e-05
5.6000e-01     4.7190e-03     1.6442e-05
5.6000e-01     4.9910e-03     1.8611e-05
5.6000e-01     5.2630e-03     2.0955e-05
5.6000e-01     5.5340e-03     2.3474e-05
5.6000e-01     5.8060e-03     2.6198e-05
5.6000e-01     6.0780e-03     2.9129e-05
5.6000e-01     6.3490e-03     3.2269e-05
5.6000e-01     6.6210e-03     3.5652e-05
5.6000e-01     6.8930e-03     3.9284e-05
5.6000e-01     7.1650e-03     4.3179e-05
5.6000e-01     7.4360e-03     4.7339e-05
5.6000e-01     7.7080e-03     5.1813e-05
5.6000e-01     7.9800e-03     5.6606e-05
5.6000e-01     8.2520e-03     6.1739e-05
5.6000e-01     8.5230e-03     6.7214e-05
5.6000e-01     8.7950e-03     7.3097e-05
5.6000e-01     9.0670e-03     7.9395e-05
5.6000e-01     9.3380e-03     8.6111e-05
5.6000e-01     9.6100e-03     9.3325e-05
5.6000e-01     9.8820e-03     1.0105e-04
5.6000e-01     1.0150e-02     1.0919e-04
5.6000e-01     1.0430e-02     1.1830e-04
5.6000e-01     1.0700e-02     1.2772e-04
5.6000e-01     1.0970e-02     1.3779e-04
5.6000e-01     1.1240e-02     1.4858e-04
5.6000e-01     1.1510e-02     1.6013e-04
5.6000e-01     1.1780e-02     1.7249e-04
5.6000e-01     1.2060e-02     1.8624e-04
5.6000e-01     1.2330e-02     2.0046e-04
5.6000e-01     1.2600e-02     2.1570e-04
5.6000e-01     1.2870e-02     2.3203e-04
5.6000e-01     1.3140e-02     2.4954e-04
5.6000e-01     1.3410e-02     2.6830e-04
5.6000e-01     1.3690e-02     2.8921e-04
5.6000e-01     1.3960e-02     3.1085e-04
5.6000e-01     1.4230e-02     3.3408e-04
5.6000e-01     1.4500e-02     3.5901e-04
5.6000e-01     1.4770e-02     3.8578e-04
5.6000e-01     1.5040e-02     4.1452e-04
5.6000e-01     1.5320e-02     4.4658e-04
5.6000e-01     1.5590e-02     4.7985e-04
5.6000e-01     1.5860e-02     5.1560e-04
5.6000e-01     1.6130e-02     5.5404e-04
5.6000e-01     1.6400e-02     5.9538e-04
5.6000e-01     1.6670e-02     6.3985e-04
5.6000e-01     1.6950e-02     6.8955e-04
5.6000e-01     1.7220e-02     7.4121e-04
5.6000e-01     1.7490e-02     7.9683e-04
5.6000e-01     1.7760e-02     8.5675e-04
5.6000e-01     1.8030e-02     9.2130e-04
5.6000e-01     1.8310e-02     9.9356e-04
5.6000e-01     1.8580e-02     1.0688e-03
5.6000e-01     1.8850e-02     1.1499e-03
5.6000e-01     1.9120e-02     1.2374e-03
5.6000e-01     1.9390e-02     1.3319e-03
5.6000e-01     1.9660e-02     1.4339e-03
5.6000e-01     1.9940e-02     1.5483e-03
5.6000e-01     2.0210e-02     1.6676e-03
5.6000e-01     2.0480e-02     1.7965e-03
5.6000e-01     2.0750e-02     1.9358e-03
5.6000e-01     2.1020e-02     2.0866e-03
5.6000e-01     2.1290e-02     2.2496e-03
5.6000e-01     2.1570e-02     2.4328e-03
5.6000e-01     2.1840e-02     2.6243e-03
5.6000e-01     2.2110e-02     2.8316e-03
5.6000e-01     2.2380e-02     3.0562e-03
5.6000e-01     2.2650e-02     3.2996e-03
5.6000e-01     2.2920e-02     3.5634e-03
5.6000e-01     2.3200e-02     3.8604e-03
5.6000e-01     2.3470e-02     4.1715e-03
5.6000e-01     2.3740e-02     4.5091e-03
5.6000e-01     2.4010e-02     4.8754e-03
5.6000e-01     2.4280e-02     5.2731e-03
5.6000e-01     2.4550e-02     5.7051e-03
5.6000e-01     2.4830e-02     6.1925e-03
5.6000e-01     2.5100e-02     6.7040e-03
5.6000e-01     2.5370e-02     7.2601e-03
5.6000e-01     2.5640e-02     7.8648e-03
5.6000e-01     2.5910e-02     8.5225e-03
5.6000e-01     2.6180e-02     9.2382e-03
5.6000e-01     2.6460e-02     1.0047e-02
5.6000e-01     2.6730e-02     1.0898e-02
5.6000e-01     2.7000e-02     1.1825e-02
6.3350e-01     1.0000e-04     8.3301e-09
6.3350e-01     3.7170e-04     5.8367e-08
6.3350e-01     6.4340e-04     1.6622e-07
6.3350e-01     9.1520e-04     3.3235e-07
6.3350e-01     1.1870e-03     5.5732e-07
6.3350e-01     1.4590e-03     8.4216e-07
6.3350e-01     1.7300e-03     1.1864e-06
6.3350e-01     2.0020e-03     1.5937e-06
6.3350e-01     2.2740e-03     2.0645e-06
6.3350e-01     2.5450e-03     2.5983e-06
6.3350e-01     2.8170e-03     3.2011e-06
6.3350e-01     3.0890e-03     3.8731e-06
6.3350e-01     3.3610e-03     4.6167e-06
6.3350e-01     3.6320e-03     5.4316e-06
6.3350e-01     3.9040e-03     6.3267e-06
6.3350e-01     4.1760e-03     7.3024e-06
6.3350e-01     4.4470e-03     8.3582e-06
6.3350e-01     4.7190e-03     9.5058e-06
6.3350e-01     4.9910e-03     1.0746e-05
6.3350e-01     5.2630e-03     1.2082e-05
6.3350e-01     5.5340e-03     1.3516e-05
6.3350e-01     5.8060e-03     1.5061e-05
6.3350e-01     6.0780e-03     1.6720e-05
6.3350e-01     6.3490e-03     1.8491e-05
6.3350e-01     6.6210e-03     2.0394e-05
6.3350e-01     6.8930e-03     2.2431e-05
6.3350e-01     7.1650e-03     2.4609e-05
6.3350e-01     7.4360e-03     2.6927e-05
6.3350e-01     7.7080e-03     2.9413e-05
6.3350e-01     7.9800e-03     3.2066e-05
6.3350e-01     8.2520e-03     3.4898e-05
6.3350e-01     8.5230e-03     3.7909e-05
6.3350e-01     8.7950e-03     4.1132e-05
6.3350e-01     9.0670e-03     4.4570e-05
6.3350e-01     9.3380e-03     4.8223e-05
6.3350e-01     9.6100e-03     5.2133e-05
6.3350e-01     9.8820e-03     5.6302e-05
6.3350e-01     1.0150e-02     6.0680e-05
6.3350e-01     1.0430e-02     6.5560e-05
6.3350e-01     1.0700e-02     7.0582e-05
6.3350e-01     1.0970e-02     7.5936e-05
6.3350e-01     1.1240e-02     8.1644e-05
6.3350e-01     1.1510e-02     8.7730e-05
6.3350e-01     1.1780e-02     9.4220e-05
6.3350e-01     1.2060e-02     1.0141e-04
6.3350e-01     1.2330e-02     1.0881e-04
6.3350e-01     1.2600e-02     1.1670e-04
6.3350e-01     1.2870e-02     1.2513e-04
6.3350e-01     1.3140e-02     1.3412e-04
6.3350e-01     1.3410e-02     1.4372e-04
6.3350e-01     1.3690e-02     1.5436e-04
6.3350e-01     1.3960e-02     1.6533e-04
6.3350e-01     1.4230e-02     1.7705e-04
6.3350e-01     1.4500e-02     1.8957e-04
6.3350e-01     1.4770e-02     2.0295e-04
6.3350e-01     1.5040e-02     2.1726e-04
6.3350e-01     1.5320e-02     2.3314e-04
6.3350e-01     1.5590e-02     2.4954e-04
6.3350e-01     1.5860e-02     2.6708e-04
6.3350e-01     1.6130e-02     2.8586e-04
6.3350e-01     1.6400e-02     3.0595e-04
6.3350e-01     1.6670e-02     3.2747e-04
6.3350e-01     1.6950e-02     3.5139e-04
6.3350e-01     1.7220e-02     3.7614e-04
6.3350e-01     1.7490e-02     4.0266e-04
6.3350e-01     1.7760e-02     4.3108e-04
6.3350e-01     1.8030e-02     4.6156e-04
6.3350e-01     1.8310e-02     4.9551e-04
6.3350e-01     1.8580e-02     5.3067e-04
6.3350e-01     1.8850e-02     5.6841e-04
6.3350e-01     1.9120e-02     6.0892e-04
6.3350e-01     1.9390e-02     6.5242e-04
6.3350e-01     1.9660e-02     6.9915e-04
6.3350e-01     1.9940e-02     7.5130e-04
6.3350e-01     2.0210e-02     8.0541e-04
6.3350e-01     2.0480e-02     8.6360e-04
6.3350e-01     2.0750e-02     9.2619e-04
6.3350e-01     2.1020e-02     9.9353e-04
6.3350e-01     2.1290e-02     1.0660e-03
6.3350e-01     2.1570e-02     1.1470e-03
6.3350e-01     2.1840e-02     1.2313e-03
6.3350e-01     2.2110e-02     1.3221e-03
6.3350e-01     2.2380e-02     1.4199e-03
6.3350e-01     2.2650e-02     1.5253e-03
6.3350e-01     2.2920e-02     1.6391e-03
6.3350e-01     2.3200e-02     1.7665e-03
6.3350e-01     2.3470e-02     1.8993e-03
6.3350e-01     2.3740e-02     2.0426e-03
6.3350e-01     2.4010e-02     2.1973e-03
6.3350e-01     2.4280e-02     2.3645e-03
6.3350e-01     2.4550e-02     2.5451e-03
6.3350e-01     2.4830e-02     2.7479e-03
6.3350e-01     2.5100e-02     2.9597e-03
6.3350e-01     2.5370e-02     3.1887e-03
6.3350e-01     2.5640e-02     3.4365e-03
6.3350e-01     2.5910e-02     3.7048e-03
6.3350e-01     2.6180e-02     3.9952e-03
6.3350e-01     2.6460e-02     4.3219e-03
6.3350e-01     2.6730e-02     4.6637e-03
6.3350e-01     2.7000e-02     5.0342e-03
7.1660e-01     1.0000e-04     4.3479e-09
7.1660e-01     3.7170e-04     3.3494e-08
7.1660e-01     6.4340e-04     9.6307e-08
7.1660e-01     9.1520e-04     1.9303e-07
7.1660e-01     1.1870e-03     3.2395e-07
7.1660e-01     1.4590e-03     4.8962e-07
7.1660e-01     1.7300e-03     6.8968e-07
7.1660e-01     2.0020e-03     9.2624e-07
7.1660e-01     2.2740e-03     1.1994e-06
7.1660e-01     2.5450e-03     1.5088e-06
7.1660e-01     2.8170e-03     1.8577e-06
7.1660e-01     3.0890e-03     2.2462e-06
7.1660e-01     3.3610e-03     2.6755e-06
7.1660e-01     3.6320e-03     3.1453e-06
7.1660e-01     3.9040e-03     3.6604e-06
7.1660e-01     4.1760e-03     4.2209e-06
7.1660e-01     4.4470e-03     4.8263e-06
7.1660e-01     4.7190e-03     5.4830e-06
7.1660e-01     4.9910e-03     6.1911e-06
7.1660e-01     5.2630e-03     6.9529e-06
7.1660e-01     5.5340e-03     7.7677e-06
7.1660e-01     5.8060e-03     8.6444e-06
7.1660e-01     6.0780e-03     9.5828e-06
7.1660e-01     6.3490e-03     1.0582e-05
7.1660e-01     6.6210e-03     1.1654e-05
7.1660e-01     6.8930e-03     1.2797e-05
7.1660e-01     7.1650e-03     1.4016e-05
7.1660e-01     7.4360e-03     1.5311e-05
7.1660e-01     7.7080e-03     1.6694e-05
7.1660e-01     7.9800e-03     1.8166e-05
7.1660e-01     8.2520e-03     1.9733e-05
7.1660e-01     8.5230e-03     2.1393e-05
7.1660e-01     8.7950e-03     2.3165e-05
7.1660e-01     9.0670e-03     2.5049e-05
7.1660e-01     9.3380e-03     2.7043e-05
7.1660e-01     9.6100e-03     2.9170e-05
7.1660e-01     9.8820e-03     3.1431e-05
7.1660e-01     1.0150e-02     3.3797e-05
7.1660e-01     1.0430e-02     3.6424e-05
7.1660e-01     1.0700e-02     3.9118e-05
7.1660e-01     1.0970e-02     4.1979e-05
7.1660e-01     1.1240e-02     4.5018e-05
7.1660e-01     1.1510e-02     4.8247e-05
7.1660e-01     1.1780e-02     5.1676e-05
7.1660e-01     1.2060e-02     5.5458e-05
7.1660e-01     1.2330e-02     5.9337e-05
7.1660e-01     1.2600e-02     6.3460e-05
7.1660e-01     1.2870e-02     6.7841e-05
7.1660e-01     1.3140e-02     7.2498e-05
7.1660e-01     1.3410e-02     7.7449e-05
7.1660e-01     1.3690e-02     8.2914e-05
7.1660e-01     1.3960e-02     8.8525e-05
7.1660e-01     1.4230e-02     9.4494e-05
7.1660e-01     1.4500e-02     1.0084e-04
7.1660e-01     1.4770e-02     1.0760e-04
7.1660e-01     1.5040e-02     1.1479e-04
