 Element: C
 Maximum L = 10
 Maximum kappa = 12
 No. of energies = 30
 No. of velocities = 100


------------------------------------

e energy (keV) v/c            dP/dE
5.6000e-01     1.0000e-04     2.8955e-07
5.6000e-01     3.7170e-04     4.0018e-06
5.6000e-01     6.4340e-04     1.1999e-05
5.6000e-01     9.1520e-04     2.4303e-05
5.6000e-01     1.1870e-03     4.0941e-05
5.6000e-01     1.4590e-03     6.1966e-05
5.6000e-01     1.7300e-03     8.7313e-05
5.6000e-01     2.0020e-03     1.1722e-04
5.6000e-01     2.2740e-03     1.5168e-04
5.6000e-01     2.5450e-03     1.9061e-04
5.6000e-01     2.8170e-03     2.3439e-04
5.6000e-01     3.0890e-03     2.8297e-04
5.6000e-01     3.3610e-03     3.3647e-04
5.6000e-01     3.6320e-03     3.9477e-04
5.6000e-01     3.9040e-03     4.5845e-04
5.6000e-01     4.1760e-03     5.2742e-04
5.6000e-01     4.4470e-03     6.0157e-04
5.6000e-01     4.7190e-03     6.8159e-04
5.6000e-01     4.9910e-03     7.6741e-04
5.6000e-01     5.2630e-03     8.5921e-04
5.6000e-01     5.5340e-03     9.5681e-04
5.6000e-01     5.8060e-03     1.0612e-03
5.6000e-01     6.0780e-03     1.1721e-03
5.6000e-01     6.3490e-03     1.2895e-03
5.6000e-01     6.6210e-03     1.4144e-03
5.6000e-01     6.8930e-03     1.5467e-03
5.6000e-01     7.1650e-03     1.6867e-03
5.6000e-01     7.4360e-03     1.8340e-03
5.6000e-01     7.7080e-03     1.9902e-03
5.6000e-01     7.9800e-03     2.1550e-03
5.6000e-01     8.2520e-03     2.3287e-03
5.6000e-01     8.5230e-03     2.5111e-03
5.6000e-01     8.7950e-03     2.7039e-03
5.6000e-01     9.0670e-03     2.9068e-03
5.6000e-01     9.3380e-03     3.1195e-03
5.6000e-01     9.6100e-03     3.3439e-03
5.6000e-01     9.8820e-03     3.5798e-03
5.6000e-01     1.0150e-02     3.8239e-03
5.6000e-01     1.0430e-02     4.0919e-03
5.6000e-01     1.0700e-02     4.3634e-03
5.6000e-01     1.0970e-02     4.6482e-03
5.6000e-01     1.1240e-02     4.9471e-03
5.6000e-01     1.1510e-02     5.2605e-03
5.6000e-01     1.1780e-02     5.5891e-03
5.6000e-01     1.2060e-02     5.9466e-03
5.6000e-01     1.2330e-02     6.3083e-03
5.6000e-01     1.2600e-02     6.6872e-03
5.6000e-01     1.2870e-02     7.0842e-03
5.6000e-01     1.3140e-02     7.5000e-03
5.6000e-01     1.3410e-02     7.9355e-03
5.6000e-01     1.3690e-02     8.4087e-03
5.6000e-01     1.3960e-02     8.8869e-03
5.6000e-01     1.4230e-02     9.3873e-03
5.6000e-01     1.4500e-02     9.9111e-03
5.6000e-01     1.4770e-02     1.0459e-02
5.6000e-01     1.5040e-02     1.1033e-02
5.6000e-01     1.5320e-02     1.1655e-02
5.6000e-01     1.5590e-02     1.2283e-02
5.6000e-01     1.5860e-02     1.2941e-02
5.6000e-01     1.6130e-02     1.3628e-02
5.6000e-01     1.6400e-02     1.4346e-02
5.6000e-01     1.6670e-02     1.5097e-02
5.6000e-01     1.6950e-02     1.5911e-02
5.6000e-01     1.7220e-02     1.6732e-02
5.6000e-01     1.7490e-02     1.7590e-02
5.6000e-01     1.7760e-02     1.8486e-02
5.6000e-01     1.8030e-02     1.9421e-02
5.6000e-01     1.8310e-02     2.0435e-02
5.6000e-01     1.8580e-02     2.1457e-02
5.6000e-01     1.8850e-02     2.2523e-02
5.6000e-01     1.9120e-02     2.3635e-02
5.6000e-01     1.9390e-02     2.4796e-02
5.6000e-01     1.9660e-02     2.6006e-02
5.6000e-01     1.9940e-02     2.7316e-02
5.6000e-01     2.0210e-02     2.8634e-02
5.6000e-01     2.0480e-02     3.0008e-02
5.6000e-01     2.0750e-02     3.1439e-02
5.6000e-01     2.1020e-02     3.2929e-02
5.6000e-01     2.1290e-02     3.4481e-02
5.6000e-01     2.1570e-02     3.6158e-02
5.6000e-01     2.1840e-02     3.7842e-02
5.6000e-01     2.2110e-02     3.9593e-02
5.6000e-01     2.2380e-02     4.1414e-02
5.6000e-01     2.2650e-02     4.3307e-02
5.6000e-01     2.2920e-02     4.5275e-02
5.6000e-01     2.3200e-02     4.7395e-02
5.6000e-01     2.3470e-02     4.9519e-02
5.6000e-01     2.3740e-02     5.1723e-02
5.6000e-01     2.4010e-02     5.4009e-02
5.6000e-01     2.4280e-02     5.6379e-02
5.6000e-01     2.4550e-02     5.8834e-02
5.6000e-01     2.4830e-02     6.1473e-02
5.6000e-01     2.5100e-02     6.4108e-02
5.6000e-01     2.5370e-02     6.6833e-02
5.6000e-01     2.5640e-02     6.9651e-02
5.6000e-01     2.5910e-02     7.2561e-02
5.6000e-01     2.6180e-02     7.5566e-02
5.6000e-01     2.6460e-02     7.8782e-02
5.6000e-01     2.6730e-02     8.1980e-02
5.6000e-01     2.7000e-02     8.5275e-02
6.3350e-01     1.0000e-04     1.9026e-07
6.3350e-01     3.7170e-04     2.6294e-06
6.3350e-01     6.4340e-04     7.8834e-06
6.3350e-01     9.1520e-04     1.5966e-05
6.3350e-01     1.1870e-03     2.6894e-05
6.3350e-01     1.4590e-03     4.0699e-05
6.3350e-01     1.7300e-03     5.7337e-05
6.3350e-01     2.0020e-03     7.6964e-05
6.3350e-01     2.2740e-03     9.9565e-05
6.3350e-01     2.5450e-03     1.2509e-04
6.3350e-01     2.8170e-03     1.5377e-04
6.3350e-01     3.0890e-03     1.8558e-04
6.3350e-01     3.3610e-03     2.2059e-04
6.3350e-01     3.6320e-03     2.5872e-04
6.3350e-01     3.9040e-03     3.0033e-04
6.3350e-01     4.1760e-03     3.4537e-04
6.3350e-01     4.4470e-03     3.9374e-04
6.3350e-01     4.7190e-03     4.4590e-04
6.3350e-01     4.9910e-03     5.0179e-04
6.3350e-01     5.2630e-03     5.6152e-04
6.3350e-01     5.5340e-03     6.2497e-04
6.3350e-01     5.8060e-03     6.9272e-04
6.3350e-01     6.0780e-03     7.6470e-04
6.3350e-01     6.3490e-03     8.4076e-04
6.3350e-01     6.6210e-03     9.2161e-04
6.3350e-01     6.8930e-03     1.0071e-03
6.3350e-01     7.1650e-03     1.0975e-03
6.3350e-01     7.4360e-03     1.1926e-03
6.3350e-01     7.7080e-03     1.2932e-03
6.3350e-01     7.9800e-03     1.3992e-03
6.3350e-01     8.2520e-03     1.5109e-03
6.3350e-01     8.5230e-03     1.6280e-03
6.3350e-01     8.7950e-03     1.7516e-03
6.3350e-01     9.0670e-03     1.8815e-03
6.3350e-01     9.3380e-03     2.0175e-03
6.3350e-01     9.6100e-03     2.1608e-03
6.3350e-01     9.8820e-03     2.3113e-03
6.3350e-01     1.0150e-02     2.4668e-03
6.3350e-01     1.0430e-02     2.6373e-03
6.3350e-01     1.0700e-02     2.8099e-03
6.3350e-01     1.0970e-02     2.9907e-03
6.3350e-01     1.1240e-02     3.1801e-03
6.3350e-01     1.1510e-02     3.3785e-03
6.3350e-01     1.1780e-02     3.5863e-03
6.3350e-01     1.2060e-02     3.8121e-03
6.3350e-01     1.2330e-02     4.0403e-03
6.3350e-01     1.2600e-02     4.2790e-03
6.3350e-01     1.2870e-02     4.5289e-03
6.3350e-01     1.3140e-02     4.7903e-03
6.3350e-01     1.3410e-02     5.0637e-03
6.3350e-01     1.3690e-02     5.3606e-03
6.3350e-01     1.3960e-02     5.6602e-03
6.3350e-01     1.4230e-02     5.9735e-03
6.3350e-01     1.4500e-02     6.3011e-03
6.3350e-01     1.4770e-02     6.6435e-03
6.3350e-01     1.5040e-02     7.0015e-03
6.3350e-01     1.5320e-02     7.3898e-03
6.3350e-01     1.5590e-02     7.7814e-03
6.3350e-01     1.5860e-02     8.1905e-03
6.3350e-01     1.6130e-02     8.6181e-03
6.3350e-01     1.6400e-02     9.0647e-03
6.3350e-01     1.6670e-02     9.5313e-03
6.3350e-01     1.6950e-02     1.0037e-02
6.3350e-01     1.7220e-02     1.0547e-02
6.3350e-01     1.7490e-02     1.1079e-02
6.3350e-01     1.7760e-02     1.1635e-02
6.3350e-01     1.8030e-02     1.2215e-02
6.3350e-01     1.8310e-02     1.2844e-02
6.3350e-01     1.8580e-02     1.3477e-02
6.3350e-01     1.8850e-02     1.4138e-02
6.3350e-01     1.9120e-02     1.4828e-02
6.3350e-01     1.9390e-02     1.5547e-02
6.3350e-01     1.9660e-02     1.6298e-02
6.3350e-01     1.9940e-02     1.7110e-02
6.3350e-01     2.0210e-02     1.7928e-02
6.3350e-01     2.0480e-02     1.8781e-02
6.3350e-01     2.0750e-02     1.9670e-02
6.3350e-01     2.1020e-02     2.0597e-02
6.3350e-01     2.1290e-02     2.1563e-02
6.3350e-01     2.1570e-02     2.2607e-02
6.3350e-01     2.1840e-02     2.3657e-02
6.3350e-01     2.2110e-02     2.4751e-02
6.3350e-01     2.2380e-02     2.5890e-02
6.3350e-01     2.2650e-02     2.7075e-02
6.3350e-01     2.2920e-02     2.8310e-02
6.3350e-01     2.3200e-02     2.9643e-02
6.3350e-01     2.3470e-02     3.0981e-02
6.3350e-01     2.3740e-02     3.2372e-02
6.3350e-01     2.4010e-02     3.3819e-02
6.3350e-01     2.4280e-02     3.5323e-02
6.3350e-01     2.4550e-02     3.6886e-02
6.3350e-01     2.4830e-02     3.8570e-02
6.3350e-01     2.5100e-02     4.0258e-02
6.3350e-01     2.5370e-02     4.2009e-02
6.3350e-01     2.5640e-02     4.3827e-02
6.3350e-01     2.5910e-02     4.5712e-02
6.3350e-01     2.6180e-02     4.7666e-02
6.3350e-01     2.6460e-02     4.9767e-02
6.3350e-01     2.6730e-02     5.1866e-02
6.3350e-01     2.7000e-02     5.4040e-02
7.1660e-01     1.0000e-04     1.2409e-07
7.1660e-01     3.7170e-04     1.7149e-06
7.1660e-01     6.4340e-04     5.1414e-06
7.1660e-01     9.1520e-04     1.0412e-05
7.1660e-01     1.1870e-03     1.7536e-05
7.1660e-01     1.4590e-03     2.6534e-05
7.1660e-01     1.7300e-03     3.7375e-05
7.1660e-01     2.0020e-03     5.0160e-05
7.1660e-01     2.2740e-03     6.4876e-05
7.1660e-01     2.5450e-03     8.1485e-05
7.1660e-01     2.8170e-03     1.0014e-04
7.1660e-01     3.0890e-03     1.2082e-04
7.1660e-01     3.3610e-03     1.4357e-04
7.1660e-01     3.6320e-03     1.6833e-04
7.1660e-01     3.9040e-03     1.9532e-04
7.1660e-01     4.1760e-03     2.2452e-04
7.1660e-01     4.4470e-03     2.5586e-04
7.1660e-01     4.7190e-03     2.8963e-04
7.1660e-01     4.9910e-03     3.2577e-04
7.1660e-01     5.2630e-03     3.6436e-04
7.1660e-01     5.5340e-03     4.0532e-04
7.1660e-01     5.8060e-03     4.4901e-04
7.1660e-01     6.0780e-03     4.9538e-04
7.1660e-01     6.3490e-03     5.4433e-04
7.1660e-01     6.6210e-03     5.9630e-04
7.1660e-01     6.8930e-03     6.5122e-04
7.1660e-01     7.1650e-03     7.0920e-04
7.1660e-01     7.4360e-03     7.7009e-04
7.1660e-01     7.7080e-03     8.3448e-04
7.1660e-01     7.9800e-03     9.0225e-04
7.1660e-01     8.2520e-03     9.7354e-04
7.1660e-01     8.5230e-03     1.0482e-03
7.1660e-01     8.7950e-03     1.1269e-03
7.1660e-01     9.0670e-03     1.2095e-03
7.1660e-01     9.3380e-03     1.2959e-03
7.1660e-01     9.6100e-03     1.3868e-03
7.1660e-01     9.8820e-03     1.4821e-03
7.1660e-01     1.0150e-02     1.5805e-03
7.1660e-01     1.0430e-02     1.6882e-03
7.1660e-01     1.0700e-02     1.7971e-03
7.1660e-01     1.0970e-02     1.9110e-03
7.1660e-01     1.1240e-02     2.0302e-03
7.1660e-01     1.1510e-02     2.1549e-03
7.1660e-01     1.1780e-02     2.2853e-03
7.1660e-01     1.2060e-02     2.4269e-03
7.1660e-01     1.2330e-02     2.5697e-03
7.1660e-01     1.2600e-02     2.7189e-03
7.1660e-01     1.2870e-02     2.8749e-03
7.1660e-01     1.3140e-02     3.0379e-03
7.1660e-01     1.3410e-02     3.2082e-03
7.1660e-01     1.3690e-02     3.3928e-03
