 Element: C
 Maximum L = 10
 Maximum kappa = 12
 No. of energies = 30
 No. of velocities = 100


------------------------------------

e energy (keV) v/c            dP/dE
5.6000e-01     1.0000e-04     2.3567e-06
5.6000e-01     3.7170e-04     3.2448e-05
5.6000e-01     6.4340e-04     9.7241e-05
5.6000e-01     9.1520e-04     1.9686e-04
5.6000e-01     1.1870e-03     3.3141e-04
5.6000e-01     1.4590e-03     5.0120e-04
5.6000e-01     1.7300e-03     7.0552e-04
5.6000e-01     2.0020e-03     9.4615e-04
5.6000e-01     2.2740e-03     1.2227e-03
5.6000e-01     2.5450e-03     1.5343e-03
5.6000e-01     2.8170e-03     1.8836e-03
5.6000e-01     3.0890e-03     2.2699e-03
5.6000e-01     3.3610e-03     2.6939e-03
5.6000e-01     3.6320e-03     3.1541e-03
5.6000e-01     3.9040e-03     3.6546e-03
5.6000e-01     4.1760e-03     4.1943e-03
5.6000e-01     4.4470e-03     4.7717e-03
5.6000e-01     4.7190e-03     5.3919e-03
5.6000e-01     4.9910e-03     6.0534e-03
5.6000e-01     5.2630e-03     6.7570e-03
5.6000e-01     5.5340e-03     7.5009e-03
5.6000e-01     5.8060e-03     8.2914e-03
5.6000e-01     6.0780e-03     9.1268e-03
5.6000e-01     6.3490e-03     1.0005e-02
5.6000e-01     6.6210e-03     1.0933e-02
5.6000e-01     6.8930e-03     1.1909e-02
5.6000e-01     7.1650e-03     1.2934e-02
5.6000e-01     7.4360e-03     1.4006e-02
5.6000e-01     7.7080e-03     1.5134e-02
5.6000e-01     7.9800e-03     1.6314e-02
5.6000e-01     8.2520e-03     1.7550e-02
5.6000e-01     8.5230e-03     1.8836e-02
5.6000e-01     8.7950e-03     2.0184e-02
5.6000e-01     9.0670e-03     2.1591e-02
5.6000e-01     9.3380e-03     2.3054e-02
5.6000e-01     9.6100e-03     2.4584e-02
5.6000e-01     9.8820e-03     2.6179e-02
5.6000e-01     1.0150e-02     2.7815e-02
5.6000e-01     1.0430e-02     2.9594e-02
5.6000e-01     1.0700e-02     3.1380e-02
5.6000e-01     1.0970e-02     3.3238e-02
5.6000e-01     1.1240e-02     3.5168e-02
5.6000e-01     1.1510e-02     3.7174e-02
5.6000e-01     1.1780e-02     3.9257e-02
5.6000e-01     1.2060e-02     4.1501e-02
5.6000e-01     1.2330e-02     4.3750e-02
5.6000e-01     1.2600e-02     4.6083e-02
5.6000e-01     1.2870e-02     4.8504e-02
5.6000e-01     1.3140e-02     5.1015e-02
5.6000e-01     1.3410e-02     5.3619e-02
5.6000e-01     1.3690e-02     5.6421e-02
5.6000e-01     1.3960e-02     5.9223e-02
5.6000e-01     1.4230e-02     6.2127e-02
5.6000e-01     1.4500e-02     6.5137e-02
5.6000e-01     1.4770e-02     6.8254e-02
5.6000e-01     1.5040e-02     7.1484e-02
5.6000e-01     1.5320e-02     7.4955e-02
5.6000e-01     1.5590e-02     7.8422e-02
5.6000e-01     1.5860e-02     8.2013e-02
5.6000e-01     1.6130e-02     8.5730e-02
5.6000e-01     1.6400e-02     8.9578e-02
5.6000e-01     1.6670e-02     9.3560e-02
5.6000e-01     1.6950e-02     9.7836e-02
5.6000e-01     1.7220e-02     1.0211e-01
5.6000e-01     1.7490e-02     1.0652e-01
