 Element: C
 Maximum L = 10
 Maximum kappa = 12
 No. of transitions =     2
 No. of channels =    92
 No. of energies = 100
 No. of velocities = 100
------------------------------------

e energy (keV) v/c            dP/dE
1.0000e-04     1.0000e-04     7.4332e-05
1.0000e-04     1.0580e-04     8.3198e-05
1.0000e-04     1.1200e-04     9.3226e-05
1.0000e-04     1.1850e-04     1.0435e-04
1.0000e-04     1.2540e-04     1.1684e-04
1.0000e-04     1.3270e-04     1.3083e-04
1.0000e-04     1.4040e-04     1.4643e-04
1.0000e-04     1.4860e-04     1.6401e-04
1.0000e-04     1.5720e-04     1.8351e-04
1.0000e-04     1.6640e-04     2.0558e-04
1.0000e-04     1.7600e-04     2.2993e-04
1.0000e-04     1.8630e-04     2.5756e-04
1.0000e-04     1.9710e-04     2.8821e-04
1.0000e-04     2.0860e-04     3.2273e-04
1.0000e-04     2.2070e-04     3.6113e-04
1.0000e-04     2.3360e-04     4.0442e-04
1.0000e-04     2.4710e-04     4.5232e-04
1.0000e-04     2.6150e-04     5.0632e-04
1.0000e-04     2.7670e-04     5.6658e-04
1.0000e-04     2.9280e-04     6.3405e-04
1.0000e-04     3.0990e-04     7.0978e-04
1.0000e-04     3.2790e-04     7.9402e-04
1.0000e-04     3.4700e-04     8.8845e-04
1.0000e-04     3.6720e-04     9.9394e-04
1.0000e-04     3.8850e-04     1.1114e-03
1.0000e-04     4.1110e-04     1.2430e-03
1.0000e-04     4.3510e-04     1.3904e-03
1.0000e-04     4.6040e-04     1.5545e-03
1.0000e-04     4.8710e-04     1.7371e-03
1.0000e-04     5.1550e-04     1.9418e-03
1.0000e-04     5.4550e-04     2.1698e-03
1.0000e-04     5.7720e-04     2.4235e-03
1.0000e-04     6.1080e-04     2.7066e-03
1.0000e-04     6.4630e-04     3.0213e-03
1.0000e-04     6.8390e-04     3.3718e-03
1.0000e-04     7.2370e-04     3.7615e-03
1.0000e-04     7.6580e-04     4.1942e-03
1.0000e-04     8.1040e-04     4.6748e-03
1.0000e-04     8.5750e-04     5.2065e-03
1.0000e-04     9.0740e-04     5.7956e-03
1.0000e-04     9.6020e-04     6.4468e-03
1.0000e-04     1.0160e-03     7.1645e-03
1.0000e-04     1.0750e-03     7.9544e-03
1.0000e-04     1.1380e-03     8.8306e-03
1.0000e-04     1.2040e-03     9.7820e-03
1.0000e-04     1.2740e-03     1.0825e-02
1.0000e-04     1.3480e-03     1.1961e-02
1.0000e-04     1.4270e-03     1.3206e-02
1.0000e-04     1.5100e-03     1.4544e-02
1.0000e-04     1.5970e-03     1.5972e-02
1.0000e-04     1.6900e-03     1.7518e-02
1.0000e-04     1.7890e-03     1.9175e-02
