 Element: C
 Maximum L = 10
 Maximum kappa = 12
 No. of transitions =     1
 No. of channels =    46
 No. of energies = 100
 No. of velocities = 100
------------------------------------

e energy (keV) v/c            dP/dE
1.0000e-04     1.0000e-04     2.2061e-02
1.0000e-04     3.7170e-04     3.0127e-01
1.0000e-04     6.4340e-04     8.8037e-01
1.0000e-04     9.1520e-04     1.7141e+00
1.0000e-04     1.1870e-03     2.7375e+00
1.0000e-04     1.4590e-03     3.8741e+00
1.0000e-04     1.7300e-03     5.0356e+00
1.0000e-04     2.0020e-03     6.1501e+00
1.0000e-04     2.2740e-03     7.1415e+00
1.0000e-04     2.5450e-03     7.9504e+00
1.0000e-04     2.8170e-03     8.5445e+00
1.0000e-04     3.0890e-03     8.9015e+00
1.0000e-04     3.3610e-03     9.0217e+00
1.0000e-04     3.6320e-03     8.9218e+00
1.0000e-04     3.9040e-03     8.6293e+00
1.0000e-04     4.1760e-03     8.1803e+00
1.0000e-04     4.4470e-03     7.6162e+00
1.0000e-04     4.7190e-03     6.9722e+00
1.0000e-04     4.9910e-03     6.2860e+00
1.0000e-04     5.2630e-03     5.5889e+00
1.0000e-04     5.5340e-03     4.9083e+00
1.0000e-04     5.8060e-03     4.2584e+00
1.0000e-04     6.0780e-03     3.6549e+00
1.0000e-04     6.3490e-03     3.1078e+00
1.0000e-04     6.6210e-03     2.6170e+00
1.0000e-04     6.8930e-03     2.1850e+00
1.0000e-04     7.1650e-03     1.8100e+00
1.0000e-04     7.4360e-03     1.4896e+00
1.0000e-04     7.7080e-03     1.2166e+00
1.0000e-04     7.9800e-03     9.8734e-01
1.0000e-04     8.2520e-03     7.9644e-01
1.0000e-04     8.5230e-03     6.3932e-01
1.0000e-04     8.7950e-03     5.1002e-01
1.0000e-04     9.0670e-03     4.0476e-01
1.0000e-04     9.3380e-03     3.1991e-01
1.0000e-04     9.6100e-03     2.5142e-01
1.0000e-04     9.8820e-03     1.9667e-01
1.0000e-04     1.0150e-02     1.5372e-01
1.0000e-04     1.0430e-02     1.1828e-01
1.0000e-04     1.0700e-02     9.1468e-02
1.0000e-04     1.0970e-02     7.0434e-02
1.0000e-04     1.1240e-02     5.4010e-02
1.0000e-04     1.1510e-02     4.1243e-02
1.0000e-04     1.1780e-02     3.1364e-02
1.0000e-04     1.2060e-02     2.3507e-02
1.0000e-04     1.2330e-02     1.7726e-02
1.0000e-04     1.2600e-02     1.3310e-02
1.0000e-04     1.2870e-02     9.9526e-03
1.0000e-04     1.3140e-02     7.4103e-03
1.0000e-04     1.3410e-02     5.4936e-03
1.0000e-04     1.3690e-02     4.0090e-03
1.0000e-04     1.3960e-02     2.9451e-03
1.0000e-04     1.4230e-02     2.1534e-03
1.0000e-04     1.4500e-02     1.5671e-03
1.0000e-04     1.4770e-02     1.1347e-03
1.0000e-04     1.5040e-02     8.1733e-04
1.0000e-04     1.5320e-02     5.7829e-04
1.0000e-04     1.5590e-02     4.1181e-04
1.0000e-04     1.5860e-02     2.9146e-04
1.0000e-04     1.6130e-02     2.0494e-04
1.0000e-04     1.6400e-02     1.4308e-04
1.0000e-04     1.6670e-02     9.9123e-05
1.0000e-04     1.6950e-02     6.7140e-05
1.0000e-04     1.7220e-02     4.5675e-05
1.0000e-04     1.7490e-02     3.0747e-05
1.0000e-04     1.7760e-02     2.0452e-05
1.0000e-04     1.8030e-02     1.3419e-05
1.0000e-04     1.8310e-02     8.5226e-06
1.0000e-04     1.8580e-02     5.3958e-06
1.0000e-04     1.8850e-02     3.3383e-06
1.0000e-04     1.9120e-02     2.0071e-06
1.0000e-04     1.9390e-02     1.1634e-06
1.0000e-04     1.9660e-02     6.4244e-07
1.0000e-04     1.9940e-02     3.2295e-07
1.0000e-04     2.0210e-02     1.4983e-07
1.0000e-04     2.0480e-02     5.8401e-08
1.0000e-04     2.0750e-02     1.5896e-08
1.0000e-04     2.1020e-02     1.2465e-09
1.0000e-04     2.1290e-02     1.2424e-09
1.0000e-04     2.1570e-02     8.1764e-09
1.0000e-04     2.1840e-02     1.6822e-08
1.0000e-04     2.2110e-02     2.4918e-08
1.0000e-04     2.2380e-02     3.1335e-08
1.0000e-04     2.2650e-02     3.5712e-08
1.0000e-04     2.2920e-02     3.8108e-08
1.0000e-04     2.3200e-02     3.8790e-08
1.0000e-04     2.3470e-02     3.8070e-08
1.0000e-04     2.3740e-02     3.6354e-08
1.0000e-04     2.4010e-02     3.3962e-08
1.0000e-04     2.4280e-02     3.1161e-08
1.0000e-04     2.4550e-02     2.8164e-08
1.0000e-04     2.4830e-02     2.5023e-08
1.0000e-04     2.5100e-02     2.2080e-08
1.0000e-04     2.5370e-02     1.9301e-08
1.0000e-04     2.5640e-02     1.6733e-08
1.0000e-04     2.5910e-02     1.4402e-08
1.0000e-04     2.6180e-02     1.2316e-08
1.0000e-04     2.6460e-02     1.0408e-08
1.0000e-04     2.6730e-02     8.8024e-09
1.0000e-04     2.7000e-02     7.4099e-09
1.1310e-04     1.0000e-04     2.2040e-02
1.1310e-04     3.7170e-04     3.0099e-01
1.1310e-04     6.4340e-04     8.7959e-01
1.1310e-04     9.1520e-04     1.7127e+00
1.1310e-04     1.1870e-03     2.7356e+00
1.1310e-04     1.4590e-03     3.8718e+00
1.1310e-04     1.7300e-03     5.0335e+00
1.1310e-04     2.0020e-03     6.1485e+00
1.1310e-04     2.2740e-03     7.1410e+00
1.1310e-04     2.5450e-03     7.9513e+00
1.1310e-04     2.8170e-03     8.5471e+00
1.1310e-04     3.0890e-03     8.9060e+00
1.1310e-04     3.3610e-03     9.0281e+00
1.1310e-04     3.6320e-03     8.9298e+00
1.1310e-04     3.9040e-03     8.6387e+00
1.1310e-04     4.1760e-03     8.1906e+00
1.1310e-04     4.4470e-03     7.6272e+00
1.1310e-04     4.7190e-03     6.9832e+00
1.1310e-04     4.9910e-03     6.2969e+00
1.1310e-04     5.2630e-03     5.5992e+00
1.1310e-04     5.5340e-03     4.9180e+00
1.1310e-04     5.8060e-03     4.2673e+00
1.1310e-04     6.0780e-03     3.6628e+00
1.1310e-04     6.3490e-03     3.1147e+00
1.1310e-04     6.6210e-03     2.6229e+00
1.1310e-04     6.8930e-03     2.1901e+00
1.1310e-04     7.1650e-03     1.8143e+00
1.1310e-04     7.4360e-03     1.4931e+00
1.1310e-04     7.7080e-03     1.2195e+00
1.1310e-04     7.9800e-03     9.8968e-01
1.1310e-04     8.2520e-03     7.9833e-01
1.1310e-04     8.5230e-03     6.4083e-01
1.1310e-04     8.7950e-03     5.1120e-01
1.1310e-04     9.0670e-03     4.0569e-01
1.1310e-04     9.3380e-03     3.2063e-01
1.1310e-04     9.6100e-03     2.5197e-01
1.1310e-04     9.8820e-03     1.9710e-01
1.1310e-04     1.0150e-02     1.5405e-01
1.1310e-04     1.0430e-02     1.1853e-01
1.1310e-04     1.0700e-02     9.1655e-02
1.1310e-04     1.0970e-02     7.0574e-02
1.1310e-04     1.1240e-02     5.4115e-02
1.1310e-04     1.1510e-02     4.1321e-02
1.1310e-04     1.1780e-02     3.1422e-02
1.1310e-04     1.2060e-02     2.3549e-02
1.1310e-04     1.2330e-02     1.7756e-02
1.1310e-04     1.2600e-02     1.3333e-02
1.1310e-04     1.2870e-02     9.9690e-03
1.1310e-04     1.3140e-02     7.4222e-03
1.1310e-04     1.3410e-02     5.5021e-03
1.1310e-04     1.3690e-02     4.0150e-03
1.1310e-04     1.3960e-02     2.9494e-03
1.1310e-04     1.4230e-02     2.1565e-03
1.1310e-04     1.4500e-02     1.5692e-03
1.1310e-04     1.4770e-02     1.1362e-03
1.1310e-04     1.5040e-02     8.1841e-04
1.1310e-04     1.5320e-02     5.7902e-04
1.1310e-04     1.5590e-02     4.1232e-04
1.1310e-04     1.5860e-02     2.9181e-04
1.1310e-04     1.6130e-02     2.0517e-04
1.1310e-04     1.6400e-02     1.4324e-04
1.1310e-04     1.6670e-02     9.9231e-05
1.1310e-04     1.6950e-02     6.7212e-05
