 Element: C
 Maximum L = 10
 Maximum kappa = 12
 No. of transitions =     1
 No. of channels =    46
 No. of energies = 100
 No. of velocities = 100
------------------------------------

e energy (keV) v/c            dP/dE
1.0000e-04     1.0000e-04     2.2061e-02
1.0000e-04     1.0580e-04     2.4692e-02
1.0000e-04     1.1200e-04     2.7667e-02
1.0000e-04     1.1850e-04     3.0967e-02
1.0000e-04     1.2540e-04     3.4673e-02
1.0000e-04     1.3270e-04     3.8821e-02
1.0000e-04     1.4040e-04     4.3449e-02
1.0000e-04     1.4860e-04     4.8661e-02
1.0000e-04     1.5720e-04     5.4444e-02
1.0000e-04     1.6640e-04     6.0986e-02
1.0000e-04     1.7600e-04     6.8206e-02
1.0000e-04     1.8630e-04     7.6397e-02
1.0000e-04     1.9710e-04     8.5479e-02
1.0000e-04     2.0860e-04     9.5704e-02
1.0000e-04     2.2070e-04     1.0708e-01
1.0000e-04     2.3360e-04     1.1990e-01
1.0000e-04     2.4710e-04     1.3408e-01
1.0000e-04     2.6150e-04     1.5006e-01
1.0000e-04     2.7670e-04     1.6789e-01
1.0000e-04     2.9280e-04     1.8784e-01
1.0000e-04     3.0990e-04     2.1022e-01
1.0000e-04     3.2790e-04     2.3511e-01
1.0000e-04     3.4700e-04     2.6299e-01
1.0000e-04     3.6720e-04     2.9411e-01
1.0000e-04     3.8850e-04     3.2874e-01
1.0000e-04     4.1110e-04     3.6750e-01
1.0000e-04     4.3510e-04     4.1090e-01
1.0000e-04     4.6040e-04     4.5913e-01
1.0000e-04     4.8710e-04     5.1275e-01
1.0000e-04     5.1550e-04     5.7280e-01
1.0000e-04     5.4550e-04     6.3956e-01
1.0000e-04     5.7720e-04     7.1374e-01
1.0000e-04     6.1080e-04     7.9637e-01
1.0000e-04     6.4630e-04     8.8802e-01
1.0000e-04     6.8390e-04     9.8985e-01
1.0000e-04     7.2370e-04     1.1028e+00
1.0000e-04     7.6580e-04     1.2278e+00
1.0000e-04     8.1040e-04     1.3662e+00
1.0000e-04     8.5750e-04     1.5188e+00
1.0000e-04     9.0740e-04     1.6872e+00
1.0000e-04     9.6020e-04     1.8724e+00
1.0000e-04     1.0160e-03     2.0754e+00
1.0000e-04     1.0750e-03     2.2976e+00
1.0000e-04     1.1380e-03     2.5424e+00
1.0000e-04     1.2040e-03     2.8061e+00
1.0000e-04     1.2740e-03     3.0928e+00
1.0000e-04     1.3480e-03     3.4020e+00
1.0000e-04     1.4270e-03     3.7372e+00
1.0000e-04     1.5100e-03     4.0929e+00
1.0000e-04     1.5970e-03     4.4671e+00
1.0000e-04     1.6900e-03     4.8655e+00
1.0000e-04     1.7890e-03     5.2844e+00
1.0000e-04     1.8930e-03     5.7145e+00
1.0000e-04     2.0030e-03     6.1540e+00
1.0000e-04     2.1190e-03     6.5954e+00
1.0000e-04     2.2430e-03     7.0367e+00
1.0000e-04     2.3730e-03     7.4601e+00
1.0000e-04     2.5110e-03     7.8602e+00
1.0000e-04     2.6570e-03     8.2230e+00
1.0000e-04     2.8120e-03     8.5357e+00
1.0000e-04     2.9750e-03     8.7811e+00
1.0000e-04     3.1490e-03     8.9481e+00
1.0000e-04     3.3320e-03     9.0198e+00
1.0000e-04     3.5260e-03     8.9854e+00
1.0000e-04     3.7310e-03     8.8359e+00
1.0000e-04     3.9480e-03     8.5663e+00
1.0000e-04     4.1770e-03     8.1784e+00
1.0000e-04     4.4200e-03     7.6765e+00
1.0000e-04     4.6780e-03     7.0728e+00
1.0000e-04     4.9500e-03     6.3908e+00
1.0000e-04     5.2380e-03     5.6527e+00
1.0000e-04     5.5420e-03     4.8887e+00
1.0000e-04     5.8650e-03     4.1232e+00
1.0000e-04     6.2060e-03     3.3895e+00
1.0000e-04     6.5670e-03     2.7097e+00
1.0000e-04     6.9490e-03     2.1032e+00
1.0000e-04     7.3540e-03     1.5812e+00
1.0000e-04     7.7810e-03     1.1510e+00
1.0000e-04     8.2340e-03     8.0799e-01
1.0000e-04     8.7130e-03     5.4627e-01
1.0000e-04     9.2200e-03     3.5463e-01
1.0000e-04     9.7570e-03     2.2029e-01
1.0000e-04     1.0320e-02     1.3118e-01
1.0000e-04     1.0920e-02     7.3950e-02
1.0000e-04     1.1560e-02     3.9216e-02
1.0000e-04     1.2230e-02     1.9689e-02
1.0000e-04     1.2940e-02     9.2237e-03
1.0000e-04     1.3700e-02     3.9638e-03
1.0000e-04     1.4490e-02     1.5858e-03
1.0000e-04     1.5340e-02     5.6404e-04
1.0000e-04     1.6230e-02     1.7955e-04
1.0000e-04     1.7170e-02     4.9090e-05
1.0000e-04     1.8170e-02     1.0719e-05
1.0000e-04     1.9230e-02     1.6152e-06
1.0000e-04     2.0350e-02     9.4624e-08
1.0000e-04     2.1530e-02     6.9739e-09
1.0000e-04     2.2790e-02     3.7188e-08
1.0000e-04     2.4110e-02     3.2959e-08
1.0000e-04     2.5520e-02     1.7846e-08
1.0000e-04     2.7000e-02     7.4099e-09
1.1310e-04     1.0000e-04     2.2040e-02
1.1310e-04     1.0580e-04     2.4668e-02
1.1310e-04     1.1200e-04     2.7640e-02
1.1310e-04     1.1850e-04     3.0937e-02
1.1310e-04     1.2540e-04     3.4640e-02
1.1310e-04     1.3270e-04     3.8783e-02
1.1310e-04     1.4040e-04     4.3407e-02
1.1310e-04     1.4860e-04     4.8615e-02
1.1310e-04     1.5720e-04     5.4391e-02
1.1310e-04     1.6640e-04     6.0928e-02
1.1310e-04     1.7600e-04     6.8140e-02
1.1310e-04     1.8630e-04     7.6323e-02
1.1310e-04     1.9710e-04     8.5397e-02
1.1310e-04     2.0860e-04     9.5612e-02
1.1310e-04     2.2070e-04     1.0698e-01
1.1310e-04     2.3360e-04     1.1978e-01
1.1310e-04     2.4710e-04     1.3395e-01
1.1310e-04     2.6150e-04     1.4992e-01
1.1310e-04     2.7670e-04     1.6773e-01
1.1310e-04     2.9280e-04     1.8766e-01
1.1310e-04     3.0990e-04     2.1002e-01
1.1310e-04     3.2790e-04     2.3488e-01
1.1310e-04     3.4700e-04     2.6274e-01
1.1310e-04     3.6720e-04     2.9383e-01
1.1310e-04     3.8850e-04     3.2843e-01
1.1310e-04     4.1110e-04     3.6715e-01
1.1310e-04     4.3510e-04     4.1052e-01
1.1310e-04     4.6040e-04     4.5870e-01
1.1310e-04     4.8710e-04     5.1228e-01
1.1310e-04     5.1550e-04     5.7228e-01
1.1310e-04     5.4550e-04     6.3898e-01
1.1310e-04     5.7720e-04     7.1310e-01
1.1310e-04     6.1080e-04     7.9565e-01
1.1310e-04     6.4630e-04     8.8724e-01
1.1310e-04     6.8390e-04     9.8898e-01
1.1310e-04     7.2370e-04     1.1018e+00
1.1310e-04     7.6580e-04     1.2268e+00
1.1310e-04     8.1040e-04     1.3651e+00
1.1310e-04     8.5750e-04     1.5175e+00
1.1310e-04     9.0740e-04     1.6858e+00
1.1310e-04     9.6020e-04     1.8709e+00
1.1310e-04     1.0160e-03     2.0738e+00
1.1310e-04     1.0750e-03     2.2959e+00
1.1310e-04     1.1380e-03     2.5405e+00
1.1310e-04     1.2040e-03     2.8042e+00
1.1310e-04     1.2740e-03     3.0907e+00
1.1310e-04     1.3480e-03     3.3998e+00
1.1310e-04     1.4270e-03     3.7350e+00
1.1310e-04     1.5100e-03     4.0907e+00
