 Element: C
 Maximum L =  1
 Maximum kappa =  3
 No. of transitions =     1
 No. of channels =    10
 No. of energies = 100
 No. of velocities =   1
------------------------------------

e energy (keV) v/c            dP/dE
1.0000e-04     1.0000e-03     2.2081e+00
1.1310e-04     1.0000e-03     2.2060e+00
1.2800e-04     1.0000e-03     2.2035e+00
1.4480e-04     1.0000e-03     2.2007e+00
1.6380e-04     1.0000e-03     2.1975e+00
1.8520e-04     1.0000e-03     2.1938e+00
2.0950e-04     1.0000e-03     2.1895e+00
2.3700e-04     1.0000e-03     2.1846e+00
2.6810e-04     1.0000e-03     2.1790e+00
3.0330e-04     1.0000e-03     2.1724e+00
3.4310e-04     1.0000e-03     2.1649e+00
3.8820e-04     1.0000e-03     2.1561e+00
4.3910e-04     1.0000e-03     2.1460e+00
4.9670e-04     1.0000e-03     2.1343e+00
5.6190e-04     1.0000e-03     2.1206e+00
6.3560e-04     1.0000e-03     2.1048e+00
7.1900e-04     1.0000e-03     2.0864e+00
8.1340e-04     1.0000e-03     2.0650e+00
9.2010e-04     1.0000e-03     2.0403e+00
1.0410e-03     1.0000e-03     2.0115e+00
1.1770e-03     1.0000e-03     1.9785e+00
1.3320e-03     1.0000e-03     1.9402e+00
1.5070e-03     1.0000e-03     1.8963e+00
1.7040e-03     1.0000e-03     1.8464e+00
1.9280e-03     1.0000e-03     1.7895e+00
2.1810e-03     1.0000e-03     1.7254e+00
2.4670e-03     1.0000e-03     1.6538e+00
2.7910e-03     1.0000e-03     1.5744e+00
3.1570e-03     1.0000e-03     1.4875e+00
3.5710e-03     1.0000e-03     1.3936e+00
4.0400e-03     1.0000e-03     1.2931e+00
4.5700e-03     1.0000e-03     1.1875e+00
5.1700e-03     1.0000e-03     1.0782e+00
5.8480e-03     1.0000e-03     9.6708e-01
6.6150e-03     1.0000e-03     8.5611e-01
7.4830e-03     1.0000e-03     7.4736e-01
8.4650e-03     1.0000e-03     6.4296e-01
9.5760e-03     1.0000e-03     5.4480e-01
1.0830e-02     1.0000e-03     4.5463e-01
1.2250e-02     1.0000e-03     3.7329e-01
1.3860e-02     1.0000e-03     3.0144e-01
1.5680e-02     1.0000e-03     2.3950e-01
1.7740e-02     1.0000e-03     1.8718e-01
2.0070e-02     1.0000e-03     1.4394e-01
2.2700e-02     1.0000e-03     1.0898e-01
2.5680e-02     1.0000e-03     8.1178e-02
2.9050e-02     1.0000e-03     5.9542e-02
3.2860e-02     1.0000e-03     4.3021e-02
3.7170e-02     1.0000e-03     3.0627e-02
4.2050e-02     1.0000e-03     2.1487e-02
4.7570e-02     1.0000e-03     1.4868e-02
5.3810e-02     1.0000e-03     1.0153e-02
6.0870e-02     1.0000e-03     6.8457e-03
6.8850e-02     1.0000e-03     4.5614e-03
7.7890e-02     1.0000e-03     3.0027e-03
8.8110e-02     1.0000e-03     1.9559e-03
9.9670e-02     1.0000e-03     1.2612e-03
1.1270e-01     1.0000e-03     8.0689e-04
1.2750e-01     1.0000e-03     5.1081e-04
1.4430e-01     1.0000e-03     3.2033e-04
1.6320e-01     1.0000e-03     1.9995e-04
1.8460e-01     1.0000e-03     1.2391e-04
2.0890e-01     1.0000e-03     7.6182e-05
2.3630e-01     1.0000e-03     4.6643e-05
2.6730e-01     1.0000e-03     2.8405e-05
3.0230e-01     1.0000e-03     1.7225e-05
3.4200e-01     1.0000e-03     1.0381e-05
3.8690e-01     1.0000e-03     6.2267e-06
4.3760e-01     1.0000e-03     3.7212e-06
4.9510e-01     1.0000e-03     2.2093e-06
5.6000e-01     1.0000e-03     1.3067e-06
6.3350e-01     1.0000e-03     7.6797e-07
7.1660e-01     1.0000e-03     4.4930e-07
8.1070e-01     1.0000e-03     2.6108e-07
9.1700e-01     1.0000e-03     1.5086e-07
1.0370e+00     1.0000e-03     8.6747e-08
1.1730e+00     1.0000e-03     4.9555e-08
1.3270e+00     1.0000e-03     2.8071e-08
1.5020e+00     1.0000e-03     1.5781e-08
1.6990e+00     1.0000e-03     8.8314e-09
1.9220e+00     1.0000e-03     4.9039e-09
2.1740e+00     1.0000e-03     2.7096e-09
2.4590e+00     1.0000e-03     1.4908e-09
2.7820e+00     1.0000e-03     8.1163e-10
3.1470e+00     1.0000e-03     4.4029e-10
3.5600e+00     1.0000e-03     2.3792e-10
4.0270e+00     1.0000e-03     1.2813e-10
4.5550e+00     1.0000e-03     6.8286e-11
5.1530e+00     1.0000e-03     3.6523e-11
5.8290e+00     1.0000e-03     1.9281e-11
6.5940e+00     1.0000e-03     1.0245e-11
7.4590e+00     1.0000e-03     5.3931e-12
8.4370e+00     1.0000e-03     2.8292e-12
9.5450e+00     1.0000e-03     1.4890e-12
1.0800e+01     1.0000e-03     7.7099e-13
1.2210e+01     1.0000e-03     4.0282e-13
1.3820e+01     1.0000e-03     2.0842e-13
1.5630e+01     1.0000e-03     1.0911e-13
1.7680e+01     1.0000e-03     5.6892e-14
2.0000e+01     1.0000e-03     2.9290e-14
