 Element: C
 Maximum L = 10
 Maximum kappa = 12
 No. of transitions =     1
 No. of channels =    88
 No. of energies = 100
 No. of velocities = 100
------------------------------------

e energy (keV) v/c            dP/dE
1.0000e-04     1.0000e-04     5.3259e-02
1.0000e-04     3.7170e-04     1.7352e-01
1.0000e-04     6.4340e-04     4.2338e-01
1.0000e-04     9.1520e-04     7.8419e-01
1.0000e-04     1.1870e-03     1.2292e+00
1.0000e-04     1.4590e-03     1.7269e+00
1.0000e-04     1.7300e-03     2.2405e+00
1.0000e-04     2.0020e-03     2.7403e+00
1.0000e-04     2.2740e-03     3.1940e+00
1.0000e-04     2.5450e-03     3.5758e+00
1.0000e-04     2.8170e-03     3.8712e+00
1.0000e-04     3.0890e-03     4.0687e+00
1.0000e-04     3.3610e-03     4.1661e+00
1.0000e-04     3.6320e-03     4.1675e+00
1.0000e-04     3.9040e-03     4.0822e+00
1.0000e-04     4.1760e-03     3.9228e+00
1.0000e-04     4.4470e-03     3.7049e+00
1.0000e-04     4.7190e-03     3.4422e+00
1.0000e-04     4.9910e-03     3.1504e+00
1.0000e-04     5.2630e-03     2.8433e+00
1.0000e-04     5.5340e-03     2.5337e+00
1.0000e-04     5.8060e-03     2.2292e+00
1.0000e-04     6.0780e-03     1.9387e+00
1.0000e-04     6.3490e-03     1.6685e+00
1.0000e-04     6.6210e-03     1.4203e+00
1.0000e-04     6.8930e-03     1.1972e+00
1.0000e-04     7.1650e-03     9.9979e-01
1.0000e-04     7.4360e-03     8.2822e-01
1.0000e-04     7.7080e-03     6.7994e-01
1.0000e-04     7.9800e-03     5.5385e-01
1.0000e-04     8.2520e-03     4.4782e-01
1.0000e-04     8.5230e-03     3.5986e-01
1.0000e-04     8.7950e-03     2.8706e-01
1.0000e-04     9.0670e-03     2.2757e-01
1.0000e-04     9.3380e-03     1.7952e-01
1.0000e-04     9.6100e-03     1.4072e-01
1.0000e-04     9.8820e-03     1.0973e-01
1.0000e-04     1.0150e-02     8.5464e-02
1.0000e-04     1.0430e-02     6.5506e-02
1.0000e-04     1.0700e-02     5.0461e-02
1.0000e-04     1.0970e-02     3.8709e-02
1.0000e-04     1.1240e-02     2.9574e-02
1.0000e-04     1.1510e-02     2.2507e-02
1.0000e-04     1.1780e-02     1.7064e-02
1.0000e-04     1.2060e-02     1.2755e-02
1.0000e-04     1.2330e-02     9.5986e-03
1.0000e-04     1.2600e-02     7.1972e-03
1.0000e-04     1.2870e-02     5.3773e-03
1.0000e-04     1.3140e-02     4.0032e-03
1.0000e-04     1.3410e-02     2.9695e-03
1.0000e-04     1.3690e-02     2.1699e-03
1.0000e-04     1.3960e-02     1.5973e-03
1.0000e-04     1.4230e-02     1.1712e-03
1.0000e-04     1.4500e-02     8.5532e-04
1.0000e-04     1.4770e-02     6.2196e-04
1.0000e-04     1.5040e-02     4.5023e-04
1.0000e-04     1.5320e-02     3.2042e-04
1.0000e-04     1.5590e-02     2.2963e-04
1.0000e-04     1.5860e-02     1.6365e-04
1.0000e-04     1.6130e-02     1.1594e-04
1.0000e-04     1.6400e-02     8.1600e-05
1.0000e-04     1.6670e-02     5.7020e-05
1.0000e-04     1.6950e-02     3.8988e-05
1.0000e-04     1.7220e-02     2.6776e-05
1.0000e-04     1.7490e-02     1.8203e-05
1.0000e-04     1.7760e-02     1.2232e-05
1.0000e-04     1.8030e-02     8.1088e-06
1.0000e-04     1.8310e-02     5.2063e-06
1.0000e-04     1.8580e-02     3.3308e-06
1.0000e-04     1.8850e-02     2.0819e-06
1.0000e-04     1.9120e-02     1.2640e-06
1.0000e-04     1.9390e-02     7.3932e-07
1.0000e-04     1.9660e-02     4.1135e-07
1.0000e-04     1.9940e-02     2.0784e-07
1.0000e-04     2.0210e-02     9.6387e-08
1.0000e-04     2.0480e-02     3.7113e-08
1.0000e-04     2.0750e-02     9.6205e-09
1.0000e-04     2.1020e-02     5.5069e-10
1.0000e-04     2.1290e-02     1.3566e-09
1.0000e-04     2.1570e-02     6.9773e-09
1.0000e-04     2.1840e-02     1.3796e-08
1.0000e-04     2.2110e-02     2.0248e-08
1.0000e-04     2.2380e-02     2.5499e-08
1.0000e-04     2.2650e-02     2.9247e-08
1.0000e-04     2.2920e-02     3.1493e-08
1.0000e-04     2.3200e-02     3.2413e-08
1.0000e-04     2.3470e-02     3.2186e-08
1.0000e-04     2.3740e-02     3.1117e-08
1.0000e-04     2.4010e-02     2.9445e-08
1.0000e-04     2.4280e-02     2.7373e-08
1.0000e-04     2.4550e-02     2.5073e-08
1.0000e-04     2.4830e-02     2.2590e-08
1.0000e-04     2.5100e-02     2.0206e-08
1.0000e-04     2.5370e-02     1.7904e-08
1.0000e-04     2.5640e-02     1.5734e-08
1.0000e-04     2.5910e-02     1.3727e-08
1.0000e-04     2.6180e-02     1.1898e-08
1.0000e-04     2.6460e-02     1.0196e-08
1.0000e-04     2.6730e-02     8.7384e-09
1.0000e-04     2.7000e-02     7.4538e-09
1.1310e-04     1.0000e-04     5.3099e-02
1.1310e-04     3.7170e-04     1.7330e-01
1.1310e-04     6.4340e-04     4.2305e-01
1.1310e-04     9.1520e-04     7.8375e-01
1.1310e-04     1.1870e-03     1.2287e+00
1.1310e-04     1.4590e-03     1.7264e+00
1.1310e-04     1.7300e-03     2.2401e+00
1.1310e-04     2.0020e-03     2.7402e+00
1.1310e-04     2.2740e-03     3.1943e+00
1.1310e-04     2.5450e-03     3.5766e+00
1.1310e-04     2.8170e-03     3.8724e+00
1.1310e-04     3.0890e-03     4.0705e+00
1.1310e-04     3.3610e-03     4.1683e+00
1.1310e-04     3.6320e-03     4.1701e+00
1.1310e-04     3.9040e-03     4.0851e+00
1.1310e-04     4.1760e-03     3.9258e+00
1.1310e-04     4.4470e-03     3.7080e+00
1.1310e-04     4.7190e-03     3.4452e+00
1.1310e-04     4.9910e-03     3.1533e+00
1.1310e-04     5.2630e-03     2.8459e+00
1.1310e-04     5.5340e-03     2.5361e+00
1.1310e-04     5.8060e-03     2.2314e+00
1.1310e-04     6.0780e-03     1.9405e+00
1.1310e-04     6.3490e-03     1.6701e+00
1.1310e-04     6.6210e-03     1.4217e+00
1.1310e-04     6.8930e-03     1.1983e+00
1.1310e-04     7.1650e-03     1.0007e+00
1.1310e-04     7.4360e-03     8.2900e-01
1.1310e-04     7.7080e-03     6.8057e-01
1.1310e-04     7.9800e-03     5.5436e-01
1.1310e-04     8.2520e-03     4.4822e-01
1.1310e-04     8.5230e-03     3.6018e-01
1.1310e-04     8.7950e-03     2.8731e-01
1.1310e-04     9.0670e-03     2.2777e-01
1.1310e-04     9.3380e-03     1.7968e-01
1.1310e-04     9.6100e-03     1.4084e-01
1.1310e-04     9.8820e-03     1.0982e-01
1.1310e-04     1.0150e-02     8.5533e-02
1.1310e-04     1.0430e-02     6.5558e-02
1.1310e-04     1.0700e-02     5.0500e-02
