 Element: C
 Maximum L = 10
 Maximum kappa = 12
 No. of transitions =     1
 No. of channels =    88
 No. of energies = 100
 No. of velocities = 100
------------------------------------

e energy (keV) v/c            dP/dE
1.0000e-04     1.0000e-04     5.3259e-02
1.0000e-04     1.0580e-04     5.4392e-02
1.0000e-04     1.1200e-04     5.5673e-02
1.0000e-04     1.1850e-04     5.7094e-02
1.0000e-04     1.2540e-04     5.8689e-02
1.0000e-04     1.3270e-04     6.0475e-02
1.0000e-04     1.4040e-04     6.2467e-02
1.0000e-04     1.4860e-04     6.4712e-02
1.0000e-04     1.5720e-04     6.7201e-02
1.0000e-04     1.6640e-04     7.0018e-02
1.0000e-04     1.7600e-04     7.3127e-02
1.0000e-04     1.8630e-04     7.6654e-02
1.0000e-04     1.9710e-04     8.0565e-02
1.0000e-04     2.0860e-04     8.4968e-02
1.0000e-04     2.2070e-04     8.9866e-02
1.0000e-04     2.3360e-04     9.5387e-02
1.0000e-04     2.4710e-04     1.0149e-01
1.0000e-04     2.6150e-04     1.0838e-01
1.0000e-04     2.7670e-04     1.1606e-01
1.0000e-04     2.9280e-04     1.2465e-01
1.0000e-04     3.0990e-04     1.3429e-01
1.0000e-04     3.2790e-04     1.4501e-01
1.0000e-04     3.4700e-04     1.5703e-01
1.0000e-04     3.6720e-04     1.7044e-01
1.0000e-04     3.8850e-04     1.8536e-01
1.0000e-04     4.1110e-04     2.0207e-01
1.0000e-04     4.3510e-04     2.2078e-01
1.0000e-04     4.6040e-04     2.4158e-01
1.0000e-04     4.8710e-04     2.6470e-01
1.0000e-04     5.1550e-04     2.9060e-01
1.0000e-04     5.4550e-04     3.1941e-01
1.0000e-04     5.7720e-04     3.5143e-01
1.0000e-04     6.1080e-04     3.8710e-01
1.0000e-04     6.4630e-04     4.2669e-01
1.0000e-04     6.8390e-04     4.7068e-01
1.0000e-04     7.2370e-04     5.1950e-01
1.0000e-04     7.6580e-04     5.7358e-01
1.0000e-04     8.1040e-04     6.3349e-01
1.0000e-04     8.5750e-04     6.9956e-01
1.0000e-04     9.0740e-04     7.7252e-01
1.0000e-04     9.6020e-04     8.5287e-01
1.0000e-04     1.0160e-03     9.4104e-01
1.0000e-04     1.0750e-03     1.0376e+00
1.0000e-04     1.1380e-03     1.1442e+00
1.0000e-04     1.2040e-03     1.2592e+00
1.0000e-04     1.2740e-03     1.3844e+00
1.0000e-04     1.3480e-03     1.5197e+00
1.0000e-04     1.4270e-03     1.6667e+00
1.0000e-04     1.5100e-03     1.8232e+00
1.0000e-04     1.5970e-03     1.9884e+00
1.0000e-04     1.6900e-03     2.1649e+00
1.0000e-04     1.7890e-03     2.3514e+00
1.0000e-04     1.8930e-03     2.5440e+00
1.0000e-04     2.0030e-03     2.7421e+00
1.0000e-04     2.1190e-03     2.9427e+00
1.0000e-04     2.2430e-03     3.1455e+00
1.0000e-04     2.3730e-03     3.3427e+00
1.0000e-04     2.5110e-03     3.5324e+00
1.0000e-04     2.6570e-03     3.7088e+00
1.0000e-04     2.8120e-03     3.8666e+00
1.0000e-04     2.9750e-03     3.9982e+00
1.0000e-04     3.1490e-03     4.0988e+00
1.0000e-04     3.3320e-03     4.1604e+00
1.0000e-04     3.5260e-03     4.1778e+00
1.0000e-04     3.7310e-03     4.1459e+00
1.0000e-04     3.9480e-03     4.0611e+00
1.0000e-04     4.1770e-03     3.9221e+00
1.0000e-04     4.4200e-03     3.7288e+00
1.0000e-04     4.6780e-03     3.4840e+00
1.0000e-04     4.9500e-03     3.1957e+00
1.0000e-04     5.2380e-03     2.8718e+00
1.0000e-04     5.5420e-03     2.5246e+00
1.0000e-04     5.8650e-03     2.1648e+00
1.0000e-04     6.2060e-03     1.8084e+00
1.0000e-04     6.5670e-03     1.4676e+00
1.0000e-04     6.9490e-03     1.1545e+00
1.0000e-04     7.3540e-03     8.7755e-01
1.0000e-04     7.7810e-03     6.4401e-01
1.0000e-04     8.2340e-03     4.5426e-01
1.0000e-04     8.7130e-03     3.0751e-01
1.0000e-04     9.2200e-03     1.9919e-01
1.0000e-04     9.7570e-03     1.2310e-01
1.0000e-04     1.0320e-02     7.2763e-02
1.0000e-04     1.0920e-02     4.0669e-02
1.0000e-04     1.1560e-02     2.1388e-02
1.0000e-04     1.2230e-02     1.0669e-02
1.0000e-04     1.2940e-02     4.9830e-03
1.0000e-04     1.3700e-02     2.1456e-03
1.0000e-04     1.4490e-02     8.6541e-04
1.0000e-04     1.5340e-02     3.1267e-04
1.0000e-04     1.6230e-02     1.0188e-04
1.0000e-04     1.7170e-02     2.8727e-05
1.0000e-04     1.8170e-02     6.5126e-06
1.0000e-04     1.9230e-02     1.0211e-06
1.0000e-04     2.0350e-02     6.0624e-08
1.0000e-04     2.1530e-02     6.0250e-09
1.0000e-04     2.2790e-02     3.0591e-08
1.0000e-04     2.4110e-02     2.8714e-08
1.0000e-04     2.5520e-02     1.6680e-08
1.0000e-04     2.7000e-02     7.4538e-09
1.1310e-04     1.0000e-04     5.3099e-02
1.1310e-04     1.0580e-04     5.4231e-02
1.1310e-04     1.1200e-04     5.5511e-02
1.1310e-04     1.1850e-04     5.6931e-02
1.1310e-04     1.2540e-04     5.8526e-02
1.1310e-04     1.3270e-04     6.0310e-02
1.1310e-04     1.4040e-04     6.2302e-02
1.1310e-04     1.4860e-04     6.4545e-02
1.1310e-04     1.5720e-04     6.7033e-02
1.1310e-04     1.6640e-04     6.9849e-02
1.1310e-04     1.7600e-04     7.2956e-02
1.1310e-04     1.8630e-04     7.6481e-02
1.1310e-04     1.9710e-04     8.0390e-02
1.1310e-04     2.0860e-04     8.4791e-02
1.1310e-04     2.2070e-04     8.9687e-02
1.1310e-04     2.3360e-04     9.5205e-02
1.1310e-04     2.4710e-04     1.0131e-01
1.1310e-04     2.6150e-04     1.0819e-01
1.1310e-04     2.7670e-04     1.1586e-01
1.1310e-04     2.9280e-04     1.2445e-01
1.1310e-04     3.0990e-04     1.3409e-01
1.1310e-04     3.2790e-04     1.4481e-01
1.1310e-04     3.4700e-04     1.5681e-01
1.1310e-04     3.6720e-04     1.7022e-01
1.1310e-04     3.8850e-04     1.8514e-01
1.1310e-04     4.1110e-04     2.0184e-01
1.1310e-04     4.3510e-04     2.2054e-01
1.1310e-04     4.6040e-04     2.4132e-01
1.1310e-04     4.8710e-04     2.6444e-01
1.1310e-04     5.1550e-04     2.9033e-01
1.1310e-04     5.4550e-04     3.1912e-01
1.1310e-04     5.7720e-04     3.5113e-01
1.1310e-04     6.1080e-04     3.8679e-01
1.1310e-04     6.4630e-04     4.2636e-01
1.1310e-04     6.8390e-04     4.7034e-01
1.1310e-04     7.2370e-04     5.1914e-01
1.1310e-04     7.6580e-04     5.7320e-01
1.1310e-04     8.1040e-04     6.3309e-01
1.1310e-04     8.5750e-04     6.9914e-01
1.1310e-04     9.0740e-04     7.7208e-01
1.1310e-04     9.6020e-04     8.5241e-01
1.1310e-04     1.0160e-03     9.4056e-01
1.1310e-04     1.0750e-03     1.0371e+00
1.1310e-04     1.1380e-03     1.1437e+00
1.1310e-04     1.2040e-03     1.2586e+00
1.1310e-04     1.2740e-03     1.3838e+00
1.1310e-04     1.3480e-03     1.5191e+00
1.1310e-04     1.4270e-03     1.6662e+00
1.1310e-04     1.5100e-03     1.8227e+00
1.1310e-04     1.5970e-03     1.9879e+00
1.1310e-04     1.6900e-03     2.1645e+00
1.1310e-04     1.7890e-03     2.3510e+00
1.1310e-04     1.8930e-03     2.5437e+00
1.1310e-04     2.0030e-03     2.7419e+00
1.1310e-04     2.1190e-03     2.9427e+00
1.1310e-04     2.2430e-03     3.1457e+00
1.1310e-04     2.3730e-03     3.3431e+00
1.1310e-04     2.5110e-03     3.5331e+00
1.1310e-04     2.6570e-03     3.7098e+00
1.1310e-04     2.8120e-03     3.8679e+00
1.1310e-04     2.9750e-03     3.9997e+00
1.1310e-04     3.1490e-03     4.1006e+00
1.1310e-04     3.3320e-03     4.1626e+00
1.1310e-04     3.5260e-03     4.1803e+00
1.1310e-04     3.7310e-03     4.1487e+00
1.1310e-04     3.9480e-03     4.0640e+00
1.1310e-04     4.1770e-03     3.9251e+00
1.1310e-04     4.4200e-03     3.7319e+00
1.1310e-04     4.6780e-03     3.4870e+00
1.1310e-04     4.9500e-03     3.1986e+00
1.1310e-04     5.2380e-03     2.8745e+00
1.1310e-04     5.5420e-03     2.5270e+00
1.1310e-04     5.8650e-03     2.1669e+00
1.1310e-04     6.2060e-03     1.8101e+00
1.1310e-04     6.5670e-03     1.4690e+00
1.1310e-04     6.9490e-03     1.1556e+00
1.1310e-04     7.3540e-03     8.7838e-01
1.1310e-04     7.7810e-03     6.4460e-01
