 Element: C
 Maximum L =  1
 Maximum kappa =  3
 No. of transitions =     1
 No. of channels =    16
 No. of energies = 100
 No. of velocities =   1
------------------------------------

e energy (keV) v/c            dP/dE
1.0000e-04     1.0000e-03     9.5851e-01
1.1310e-04     1.0000e-03     9.5801e-01
1.2800e-04     1.0000e-03     9.5744e-01
1.4480e-04     1.0000e-03     9.5678e-01
1.6380e-04     1.0000e-03     9.5601e-01
1.8520e-04     1.0000e-03     9.5513e-01
2.0950e-04     1.0000e-03     9.5409e-01
2.3700e-04     1.0000e-03     9.5289e-01
2.6810e-04     1.0000e-03     9.5148e-01
3.0330e-04     1.0000e-03     9.4983e-01
3.4310e-04     1.0000e-03     9.4790e-01
3.8820e-04     1.0000e-03     9.4563e-01
4.3910e-04     1.0000e-03     9.4296e-01
4.9670e-04     1.0000e-03     9.3981e-01
5.6190e-04     1.0000e-03     9.3609e-01
6.3560e-04     1.0000e-03     9.3169e-01
7.1900e-04     1.0000e-03     9.2650e-01
8.1340e-04     1.0000e-03     9.2036e-01
9.2010e-04     1.0000e-03     9.1311e-01
1.0410e-03     1.0000e-03     9.0453e-01
1.1770e-03     1.0000e-03     8.9450e-01
1.3320e-03     1.0000e-03     8.8261e-01
1.5070e-03     1.0000e-03     8.6872e-01
1.7040e-03     1.0000e-03     8.5260e-01
1.9280e-03     1.0000e-03     8.3380e-01
2.1810e-03     1.0000e-03     8.1216e-01
2.4670e-03     1.0000e-03     7.8741e-01
2.7910e-03     1.0000e-03     7.5925e-01
3.1570e-03     1.0000e-03     7.2764e-01
3.5710e-03     1.0000e-03     6.9245e-01
4.0400e-03     1.0000e-03     6.5369e-01
4.5700e-03     1.0000e-03     6.1166e-01
5.1700e-03     1.0000e-03     5.6663e-01
5.8480e-03     1.0000e-03     5.1924e-01
6.6150e-03     1.0000e-03     4.7012e-01
7.4830e-03     1.0000e-03     4.2009e-01
8.4650e-03     1.0000e-03     3.7013e-01
9.5760e-03     1.0000e-03     3.2122e-01
1.0830e-02     1.0000e-03     2.7444e-01
1.2250e-02     1.0000e-03     2.3054e-01
1.3860e-02     1.0000e-03     1.9023e-01
1.5680e-02     1.0000e-03     1.5417e-01
1.7740e-02     1.0000e-03     1.2265e-01
2.0070e-02     1.0000e-03     9.5756e-02
2.2700e-02     1.0000e-03     7.3407e-02
2.5680e-02     1.0000e-03     5.5200e-02
2.9050e-02     1.0000e-03     4.0747e-02
3.2860e-02     1.0000e-03     2.9538e-02
3.7170e-02     1.0000e-03     2.1033e-02
4.2050e-02     1.0000e-03     1.4717e-02
4.7570e-02     1.0000e-03     1.0129e-02
5.3810e-02     1.0000e-03     6.8638e-03
6.0870e-02     1.0000e-03     4.5821e-03
6.8850e-02     1.0000e-03     3.0176e-03
7.7890e-02     1.0000e-03     1.9604e-03
8.8110e-02     1.0000e-03     1.2587e-03
9.9670e-02     1.0000e-03     7.9937e-04
1.1270e-01     1.0000e-03     5.0337e-04
1.2750e-01     1.0000e-03     3.1351e-04
1.4430e-01     1.0000e-03     1.9338e-04
1.6320e-01     1.0000e-03     1.1874e-04
1.8460e-01     1.0000e-03     7.2384e-05
2.0890e-01     1.0000e-03     4.3788e-05
2.3630e-01     1.0000e-03     2.6391e-05
2.6730e-01     1.0000e-03     1.5829e-05
3.0230e-01     1.0000e-03     9.4608e-06
3.4200e-01     1.0000e-03     5.6243e-06
3.8690e-01     1.0000e-03     3.3312e-06
4.3760e-01     1.0000e-03     1.9680e-06
4.9510e-01     1.0000e-03     1.1564e-06
5.6000e-01     1.0000e-03     6.7780e-07
6.3350e-01     1.0000e-03     3.9526e-07
7.1660e-01     1.0000e-03     2.2970e-07
8.1070e-01     1.0000e-03     1.3273e-07
9.1700e-01     1.0000e-03     7.6333e-08
1.0370e+00     1.0000e-03     4.3723e-08
1.1730e+00     1.0000e-03     2.4897e-08
1.3270e+00     1.0000e-03     1.4066e-08
1.5020e+00     1.0000e-03     7.8904e-09
1.6990e+00     1.0000e-03     4.4078e-09
1.9220e+00     1.0000e-03     2.4439e-09
2.1740e+00     1.0000e-03     1.3486e-09
2.4590e+00     1.0000e-03     7.4118e-10
2.7820e+00     1.0000e-03     4.0313e-10
3.1470e+00     1.0000e-03     2.1850e-10
3.5600e+00     1.0000e-03     1.1798e-10
4.0270e+00     1.0000e-03     6.3492e-11
4.5550e+00     1.0000e-03     3.3816e-11
5.1530e+00     1.0000e-03     1.8075e-11
5.8290e+00     1.0000e-03     9.5361e-12
6.5940e+00     1.0000e-03     5.0644e-12
7.4590e+00     1.0000e-03     2.6643e-12
8.4370e+00     1.0000e-03     1.3969e-12
9.5450e+00     1.0000e-03     7.3473e-13
1.0800e+01     1.0000e-03     3.8020e-13
1.2210e+01     1.0000e-03     1.9852e-13
1.3820e+01     1.0000e-03     1.0265e-13
1.5630e+01     1.0000e-03     5.3698e-14
1.7680e+01     1.0000e-03     2.7978e-14
2.0000e+01     1.0000e-03     1.4393e-14
