 Element: C
 Maximum L = 10
 Maximum kappa = 12
 No. of transitions =     2
 No. of channels =    92
 No. of energies = 100
 No. of velocities = 100
------------------------------------

e energy (keV) v/c            dP/dE
1.0000e-04     1.0000e-04     1.6219e-03
1.0000e-04     3.7170e-04     2.2433e-02
1.0000e-04     6.4340e-04     6.7351e-02
1.0000e-04     9.1520e-04     1.3658e-01
1.0000e-04     1.1870e-03     2.3009e-01
1.0000e-04     1.4590e-03     3.4743e-01
1.0000e-04     1.7300e-03     4.8662e-01
1.0000e-04     2.0020e-03     6.4619e-01
1.0000e-04     2.2740e-03     8.2185e-01
1.0000e-04     2.5450e-03     1.0078e+00
1.0000e-04     2.8170e-03     1.1991e+00
1.0000e-04     3.0890e-03     1.3880e+00
1.0000e-04     3.3610e-03     1.5670e+00
1.0000e-04     3.6320e-03     1.7281e+00
1.0000e-04     3.9040e-03     1.8661e+00
1.0000e-04     4.1760e-03     1.9749e+00
1.0000e-04     4.4470e-03     2.0506e+00
1.0000e-04     4.7190e-03     2.0918e+00
1.0000e-04     4.9910e-03     2.0981e+00
1.0000e-04     5.2630e-03     2.0712e+00
1.0000e-04     5.5340e-03     2.0146e+00
1.0000e-04     5.8060e-03     1.9320e+00
1.0000e-04     6.0780e-03     1.8285e+00
1.0000e-04     6.3490e-03     1.7098e+00
1.0000e-04     6.6210e-03     1.5801e+00
1.0000e-04     6.8930e-03     1.4445e+00
1.0000e-04     7.1650e-03     1.3073e+00
1.0000e-04     7.4360e-03     1.1725e+00
1.0000e-04     7.7080e-03     1.0419e+00
1.0000e-04     7.9800e-03     9.1821e-01
1.0000e-04     8.2520e-03     8.0283e-01
1.0000e-04     8.5230e-03     6.9712e-01
1.0000e-04     8.7950e-03     6.0074e-01
1.0000e-04     9.0670e-03     5.1421e-01
1.0000e-04     9.3380e-03     4.3757e-01
1.0000e-04     9.6100e-03     3.6984e-01
1.0000e-04     9.8820e-03     3.1073e-01
1.0000e-04     1.0150e-02     2.6028e-01
1.0000e-04     1.0430e-02     2.1506e-01
1.0000e-04     1.0700e-02     1.7796e-01
1.0000e-04     1.0970e-02     1.4652e-01
1.0000e-04     1.1240e-02     1.2005e-01
1.0000e-04     1.1510e-02     9.7898e-02
1.0000e-04     1.1780e-02     7.9478e-02
1.0000e-04     1.2060e-02     6.3737e-02
1.0000e-04     1.2330e-02     5.1302e-02
1.0000e-04     1.2600e-02     4.1130e-02
1.0000e-04     1.2870e-02     3.2852e-02
1.0000e-04     1.3140e-02     2.6146e-02
1.0000e-04     1.3410e-02     2.0738e-02
1.0000e-04     1.3690e-02     1.6253e-02
1.0000e-04     1.3960e-02     1.2810e-02
1.0000e-04     1.4230e-02     1.0067e-02
1.0000e-04     1.4500e-02     7.8898e-03
1.0000e-04     1.4770e-02     6.1679e-03
1.0000e-04     1.5040e-02     4.8104e-03
1.0000e-04     1.5320e-02     3.7086e-03
1.0000e-04     1.5590e-02     2.8798e-03
1.0000e-04     1.5860e-02     2.2319e-03
1.0000e-04     1.6130e-02     1.7268e-03
1.0000e-04     1.6400e-02     1.3338e-03
1.0000e-04     1.6670e-02     1.0287e-03
1.0000e-04     1.6950e-02     7.8471e-04
1.0000e-04     1.7220e-02     6.0365e-04
1.0000e-04     1.7490e-02     4.6385e-04
1.0000e-04     1.7760e-02     3.5608e-04
1.0000e-04     1.8030e-02     2.7312e-04
1.0000e-04     1.8310e-02     2.0727e-04
1.0000e-04     1.8580e-02     1.5875e-04
1.0000e-04     1.8850e-02     1.2152e-04
1.0000e-04     1.9120e-02     9.2984e-05
1.0000e-04     1.9390e-02     7.1122e-05
1.0000e-04     1.9660e-02     5.4386e-05
1.0000e-04     1.9940e-02     4.1168e-05
1.0000e-04     2.0210e-02     3.1471e-05
1.0000e-04     2.0480e-02     2.4057e-05
1.0000e-04     2.0750e-02     1.8390e-05
1.0000e-04     2.1020e-02     1.4060e-05
1.0000e-04     2.1290e-02     1.0750e-05
1.0000e-04     2.1570e-02     8.1406e-06
1.0000e-04     2.1840e-02     6.2275e-06
1.0000e-04     2.2110e-02     4.7654e-06
1.0000e-04     2.2380e-02     3.6478e-06
1.0000e-04     2.2650e-02     2.7934e-06
1.0000e-04     2.2920e-02     2.1399e-06
1.0000e-04     2.3200e-02     1.6240e-06
1.0000e-04     2.3470e-02     1.2453e-06
1.0000e-04     2.3740e-02     9.5532e-07
1.0000e-04     2.4010e-02     7.3325e-07
1.0000e-04     2.4280e-02     5.6309e-07
1.0000e-04     2.4550e-02     4.3264e-07
1.0000e-04     2.4830e-02     3.2938e-07
1.0000e-04     2.5100e-02     2.5335e-07
1.0000e-04     2.5370e-02     1.9498e-07
1.0000e-04     2.5640e-02     1.5015e-07
1.0000e-04     2.5910e-02     1.1568e-07
1.0000e-04     2.6180e-02     8.9178e-08
1.0000e-04     2.6460e-02     6.8127e-08
1.0000e-04     2.6730e-02     5.2577e-08
1.0000e-04     2.7000e-02     4.0599e-08
1.1310e-04     1.0000e-04     1.6228e-03
1.1310e-04     3.7170e-04     2.2445e-02
1.1310e-04     6.4340e-04     6.7387e-02
1.1310e-04     9.1520e-04     1.3665e-01
1.1310e-04     1.1870e-03     2.3021e-01
1.1310e-04     1.4590e-03     3.4761e-01
1.1310e-04     1.7300e-03     4.8688e-01
1.1310e-04     2.0020e-03     6.4653e-01
1.1310e-04     2.2740e-03     8.2229e-01
1.1310e-04     2.5450e-03     1.0084e+00
1.1310e-04     2.8170e-03     1.1998e+00
1.1310e-04     3.0890e-03     1.3889e+00
1.1310e-04     3.3610e-03     1.5681e+00
1.1310e-04     3.6320e-03     1.7295e+00
1.1310e-04     3.9040e-03     1.8677e+00
1.1310e-04     4.1760e-03     1.9767e+00
1.1310e-04     4.4470e-03     2.0526e+00
1.1310e-04     4.7190e-03     2.0940e+00
1.1310e-04     4.9910e-03     2.1005e+00
1.1310e-04     5.2630e-03     2.0737e+00
1.1310e-04     5.5340e-03     2.0171e+00
1.1310e-04     5.8060e-03     1.9346e+00
1.1310e-04     6.0780e-03     1.8310e+00
1.1310e-04     6.3490e-03     1.7122e+00
1.1310e-04     6.6210e-03     1.5823e+00
1.1310e-04     6.8930e-03     1.4466e+00
1.1310e-04     7.1650e-03     1.3092e+00
1.1310e-04     7.4360e-03     1.1742e+00
1.1310e-04     7.7080e-03     1.0434e+00
1.1310e-04     7.9800e-03     9.1951e-01
1.1310e-04     8.2520e-03     8.0395e-01
1.1310e-04     8.5230e-03     6.9806e-01
