 Element: C
 Maximum L =  1
 Maximum kappa =  3
 No. of transitions =     2
 No. of channels =    20
 No. of energies = 100
 No. of velocities =   1
------------------------------------

e energy (keV) v/c            dP/dE
1.0000e-04     1.0000e-03     1.5806e-01
1.1310e-04     1.0000e-03     1.5815e-01
1.2800e-04     1.0000e-03     1.5826e-01
1.4480e-04     1.0000e-03     1.5838e-01
1.6380e-04     1.0000e-03     1.5851e-01
1.8520e-04     1.0000e-03     1.5865e-01
2.0950e-04     1.0000e-03     1.5881e-01
2.3700e-04     1.0000e-03     1.5898e-01
2.6810e-04     1.0000e-03     1.5917e-01
3.0330e-04     1.0000e-03     1.5937e-01
3.4310e-04     1.0000e-03     1.5959e-01
3.8820e-04     1.0000e-03     1.5982e-01
4.3910e-04     1.0000e-03     1.6007e-01
4.9670e-04     1.0000e-03     1.6032e-01
5.6190e-04     1.0000e-03     1.6058e-01
6.3560e-04     1.0000e-03     1.6083e-01
7.1900e-04     1.0000e-03     1.6108e-01
8.1340e-04     1.0000e-03     1.6131e-01
9.2010e-04     1.0000e-03     1.6151e-01
1.0410e-03     1.0000e-03     1.6166e-01
1.1770e-03     1.0000e-03     1.6175e-01
1.3320e-03     1.0000e-03     1.6174e-01
1.5070e-03     1.0000e-03     1.6163e-01
1.7040e-03     1.0000e-03     1.6137e-01
1.9280e-03     1.0000e-03     1.6093e-01
2.1810e-03     1.0000e-03     1.6027e-01
2.4670e-03     1.0000e-03     1.5936e-01
2.7910e-03     1.0000e-03     1.5814e-01
3.1570e-03     1.0000e-03     1.5657e-01
3.5710e-03     1.0000e-03     1.5460e-01
4.0400e-03     1.0000e-03     1.5218e-01
4.5700e-03     1.0000e-03     1.4926e-01
5.1700e-03     1.0000e-03     1.4579e-01
5.8480e-03     1.0000e-03     1.4172e-01
6.6150e-03     1.0000e-03     1.3703e-01
7.4830e-03     1.0000e-03     1.3169e-01
8.4650e-03     1.0000e-03     1.2568e-01
9.5760e-03     1.0000e-03     1.1904e-01
1.0830e-02     1.0000e-03     1.1181e-01
1.2250e-02     1.0000e-03     1.0405e-01
1.3860e-02     1.0000e-03     9.5834e-02
1.5680e-02     1.0000e-03     8.7322e-02
1.7740e-02     1.0000e-03     7.8646e-02
2.0070e-02     1.0000e-03     6.9976e-02
2.2700e-02     1.0000e-03     6.1492e-02
2.5680e-02     1.0000e-03     5.3318e-02
2.9050e-02     1.0000e-03     4.5613e-02
3.2860e-02     1.0000e-03     3.8494e-02
3.7170e-02     1.0000e-03     3.2039e-02
4.2050e-02     1.0000e-03     2.6294e-02
4.7570e-02     1.0000e-03     2.1286e-02
5.3810e-02     1.0000e-03     1.7000e-02
6.0870e-02     1.0000e-03     1.3397e-02
6.8850e-02     1.0000e-03     1.0422e-02
7.7890e-02     1.0000e-03     8.0024e-03
8.8110e-02     1.0000e-03     6.0701e-03
9.9670e-02     1.0000e-03     4.5501e-03
1.1270e-01     1.0000e-03     3.3752e-03
1.2750e-01     1.0000e-03     2.4727e-03
1.4430e-01     1.0000e-03     1.7909e-03
1.6320e-01     1.0000e-03     1.2860e-03
1.8460e-01     1.0000e-03     9.1417e-04
2.0890e-01     1.0000e-03     6.4305e-04
2.3630e-01     1.0000e-03     4.4888e-04
2.6730e-01     1.0000e-03     3.1053e-04
3.0230e-01     1.0000e-03     2.1330e-04
3.4200e-01     1.0000e-03     1.4517e-04
3.8690e-01     1.0000e-03     9.8046e-05
4.3760e-01     1.0000e-03     6.5783e-05
4.9510e-01     1.0000e-03     4.3771e-05
5.6000e-01     1.0000e-03     2.8954e-05
6.3350e-01     1.0000e-03     1.9025e-05
7.1660e-01     1.0000e-03     1.2409e-05
8.1070e-01     1.0000e-03     8.0435e-06
9.1700e-01     1.0000e-03     5.1837e-06
1.0370e+00     1.0000e-03     3.3235e-06
1.1730e+00     1.0000e-03     2.1134e-06
1.3270e+00     1.0000e-03     1.3374e-06
1.5020e+00     1.0000e-03     8.3891e-07
1.6990e+00     1.0000e-03     5.2472e-07
1.9220e+00     1.0000e-03     3.2691e-07
2.1740e+00     1.0000e-03     2.0245e-07
2.4590e+00     1.0000e-03     1.2451e-07
2.7820e+00     1.0000e-03     7.6475e-08
3.1470e+00     1.0000e-03     4.6704e-08
3.5600e+00     1.0000e-03     2.8368e-08
4.0270e+00     1.0000e-03     1.7132e-08
4.5550e+00     1.0000e-03     1.0382e-08
5.1530e+00     1.0000e-03     6.2126e-09
5.8290e+00     1.0000e-03     3.7422e-09
6.5940e+00     1.0000e-03     2.2247e-09
7.4590e+00     1.0000e-03     1.3257e-09
8.4370e+00     1.0000e-03     7.8930e-10
9.5450e+00     1.0000e-03     4.6528e-10
1.0800e+01     1.0000e-03     2.7672e-10
1.2210e+01     1.0000e-03     1.6363e-10
1.3820e+01     1.0000e-03     9.6248e-11
1.5630e+01     1.0000e-03     5.5990e-11
1.7680e+01     1.0000e-03     3.2564e-11
2.0000e+01     1.0000e-03     1.9083e-11
