 Element: C
 Maximum L = 10
 Maximum kappa = 12
 No. of transitions = 6
 No. of channels = 318
 No. of energies = 100
 No. of velocities = 100
------------------------------------

e energy (keV) v/c            dP/dE
1.0000e-04     1.0000e-04     7.7017e-02
1.0000e-04     3.7170e-04     4.9825e-01
1.0000e-04     6.4340e-04     1.3741e+00
1.0000e-04     9.1520e-04     2.6407e+00
1.0000e-04     1.1870e-03     4.2064e+00
1.0000e-04     1.4590e-03     5.9621e+00
1.0000e-04     1.7300e-03     7.7810e+00
1.0000e-04     2.0020e-03     9.5593e+00
1.0000e-04     2.2740e-03     1.1184e+01
1.0000e-04     2.5450e-03     1.2565e+01
1.0000e-04     2.8170e-03     1.3649e+01
1.0000e-04     3.0890e-03     1.4395e+01
1.0000e-04     3.3610e-03     1.4793e+01
1.0000e-04     3.6320e-03     1.4857e+01
1.0000e-04     3.9040e-03     1.4617e+01
1.0000e-04     4.1760e-03     1.4117e+01
1.0000e-04     4.4470e-03     1.3409e+01
1.0000e-04     4.7190e-03     1.2542e+01
1.0000e-04     4.9910e-03     1.1568e+01
1.0000e-04     5.2630e-03     1.0534e+01
1.0000e-04     5.5340e-03     9.4848e+00
1.0000e-04     5.8060e-03     8.4451e+00
1.0000e-04     6.0780e-03     7.4448e+00
1.0000e-04     6.3490e-03     6.5061e+00
1.0000e-04     6.6210e-03     5.6349e+00
1.0000e-04     6.8930e-03     4.8420e+00
1.0000e-04     7.1650e-03     4.1303e+00
1.0000e-04     7.4360e-03     3.5016e+00
1.0000e-04     7.7080e-03     2.9481e+00
1.0000e-04     7.9800e-03     2.4675e+00
1.0000e-04     8.2520e-03     2.0539e+00
1.0000e-04     8.5230e-03     1.7021e+00
1.0000e-04     8.7950e-03     1.4026e+00
1.0000e-04     9.0670e-03     1.1505e+00
1.0000e-04     9.3380e-03     9.4030e-01
1.0000e-04     9.6100e-03     7.6470e-01
1.0000e-04     9.8820e-03     6.1937e-01
1.0000e-04     1.0150e-02     5.0130e-01
1.0000e-04     1.0430e-02     4.0034e-01
1.0000e-04     1.0700e-02     3.2110e-01
1.0000e-04     1.0970e-02     2.5665e-01
1.0000e-04     1.1240e-02     2.0443e-01
1.0000e-04     1.1510e-02     1.6229e-01
1.0000e-04     1.1780e-02     1.2842e-01
1.0000e-04     1.2060e-02     1.0041e-01
1.0000e-04     1.2330e-02     7.8957e-02
1.0000e-04     1.2600e-02     6.1902e-02
1.0000e-04     1.2870e-02     4.8393e-02
1.0000e-04     1.3140e-02     3.7727e-02
1.0000e-04     1.3410e-02     2.9334e-02
1.0000e-04     1.3690e-02     2.2536e-02
1.0000e-04     1.3960e-02     1.7434e-02
1.0000e-04     1.4230e-02     1.3456e-02
1.0000e-04     1.4500e-02     1.0363e-02
1.0000e-04     1.4770e-02     7.9644e-03
1.0000e-04     1.5040e-02     6.1091e-03
1.0000e-04     1.5320e-02     4.6314e-03
1.0000e-04     1.5590e-02     3.5400e-03
1.0000e-04     1.5860e-02     2.7017e-03
1.0000e-04     1.6130e-02     2.0590e-03
1.0000e-04     1.6400e-02     1.5673e-03
1.0000e-04     1.6670e-02     1.1917e-03
1.0000e-04     1.6950e-02     8.9605e-04
1.0000e-04     1.7220e-02     6.8012e-04
1.0000e-04     1.7490e-02     5.1589e-04
1.0000e-04     1.7760e-02     3.9114e-04
1.0000e-04     1.8030e-02     2.9647e-04
1.0000e-04     1.8310e-02     2.2238e-04
1.0000e-04     1.8580e-02     1.6854e-04
1.0000e-04     1.8850e-02     1.2775e-04
1.0000e-04     1.9120e-02     9.6874e-05
1.0000e-04     1.9390e-02     7.3496e-05
1.0000e-04     1.9660e-02     5.5798e-05
1.0000e-04     1.9940e-02     4.1969e-05
1.0000e-04     2.0210e-02     3.1922e-05
1.0000e-04     2.0480e-02     2.4308e-05
1.0000e-04     2.0750e-02     1.8533e-05
1.0000e-04     2.1020e-02     1.4150e-05
1.0000e-04     2.1290e-02     1.0820e-05
1.0000e-04     2.1570e-02     8.2058e-06
1.0000e-04     2.1840e-02     6.2958e-06
1.0000e-04     2.2110e-02     4.8389e-06
1.0000e-04     2.2380e-02     3.7259e-06
1.0000e-04     2.2650e-02     2.8743e-06
1.0000e-04     2.2920e-02     2.2215e-06
1.0000e-04     2.3200e-02     1.7041e-06
1.0000e-04     2.3470e-02     1.3222e-06
1.0000e-04     2.3740e-02     1.0277e-06
1.0000e-04     2.4010e-02     8.0033e-07
1.0000e-04     2.4280e-02     6.2436e-07
1.0000e-04     2.4550e-02     4.8791e-07
