 Element: C
 Maximum L = 10
 Maximum kappa = 12
 No. of transitions = 6
 No. of channels = 318
 No. of energies = 100
 No. of velocities = 100
------------------------------------

e energy (keV) v/c            dP/dE
1.0000e-04     1.0000e-04     7.7017e-02
1.0000e-04     1.0580e-04     8.0982e-02
1.0000e-04     1.1200e-04     8.5467e-02
1.0000e-04     1.1850e-04     9.0443e-02
1.0000e-04     1.2540e-04     9.6030e-02
1.0000e-04     1.3270e-04     1.0228e-01
1.0000e-04     1.4040e-04     1.0926e-01
1.0000e-04     1.4860e-04     1.1712e-01
1.0000e-04     1.5720e-04     1.2584e-01
1.0000e-04     1.6640e-04     1.3570e-01
1.0000e-04     1.7600e-04     1.4659e-01
1.0000e-04     1.8630e-04     1.5894e-01
1.0000e-04     1.9710e-04     1.7263e-01
1.0000e-04     2.0860e-04     1.8805e-01
1.0000e-04     2.2070e-04     2.0521e-01
1.0000e-04     2.3360e-04     2.2454e-01
1.0000e-04     2.4710e-04     2.4593e-01
1.0000e-04     2.6150e-04     2.7004e-01
1.0000e-04     2.7670e-04     2.9694e-01
1.0000e-04     2.9280e-04     3.2703e-01
1.0000e-04     3.0990e-04     3.6081e-01
1.0000e-04     3.2790e-04     3.9837e-01
1.0000e-04     3.4700e-04     4.4045e-01
1.0000e-04     3.6720e-04     4.8743e-01
1.0000e-04     3.8850e-04     5.3972e-01
1.0000e-04     4.1110e-04     5.9826e-01
1.0000e-04     4.3510e-04     6.6382e-01
1.0000e-04     4.6040e-04     7.3670e-01
1.0000e-04     4.8710e-04     8.1774e-01
1.0000e-04     5.1550e-04     9.0854e-01
1.0000e-04     5.4550e-04     1.0095e+00
1.0000e-04     5.7720e-04     1.1218e+00
1.0000e-04     6.1080e-04     1.2469e+00
1.0000e-04     6.4630e-04     1.3857e+00
1.0000e-04     6.8390e-04     1.5400e+00
1.0000e-04     7.2370e-04     1.7113e+00
1.0000e-04     7.6580e-04     1.9011e+00
1.0000e-04     8.1040e-04     2.1114e+00
1.0000e-04     8.5750e-04     2.3434e+00
1.0000e-04     9.0740e-04     2.5997e+00
1.0000e-04     9.6020e-04     2.8821e+00
1.0000e-04     1.0160e-03     3.1921e+00
1.0000e-04     1.0750e-03     3.5318e+00
1.0000e-04     1.1380e-03     3.9068e+00
1.0000e-04     1.2040e-03     4.3118e+00
1.0000e-04     1.2740e-03     4.7530e+00
1.0000e-04     1.3480e-03     5.2304e+00
1.0000e-04     1.4270e-03     5.7496e+00
1.0000e-04     1.5100e-03     6.3027e+00
1.0000e-04     1.5970e-03     6.8871e+00
1.0000e-04     1.6900e-03     7.5127e+00
1.0000e-04     1.7890e-03     8.1746e+00
1.0000e-04     1.8930e-03     8.8595e+00
1.0000e-04     2.0030e-03     9.5656e+00
1.0000e-04     2.1190e-03     1.0283e+01
1.0000e-04     2.2430e-03     1.1010e+01
1.0000e-04     2.3730e-03     1.1720e+01
1.0000e-04     2.5110e-03     1.2407e+01
1.0000e-04     2.6570e-03     1.3051e+01
1.0000e-04     2.8120e-03     1.3632e+01
1.0000e-04     2.9750e-03     1.4125e+01
1.0000e-04     3.1490e-03     1.4513e+01
1.0000e-04     3.3320e-03     1.4767e+01
1.0000e-04     3.5260e-03     1.4870e+01
1.0000e-04     3.7310e-03     1.4803e+01
1.0000e-04     3.9480e-03     1.4553e+01
1.0000e-04     4.1770e-03     1.4115e+01
1.0000e-04     4.4200e-03     1.3488e+01
1.0000e-04     4.6780e-03     1.2681e+01
1.0000e-04     4.9500e-03     1.1720e+01
1.0000e-04     5.2380e-03     1.0631e+01
1.0000e-04     5.5420e-03     9.4539e+00
1.0000e-04     5.8650e-03     8.2240e+00
1.0000e-04     6.2060e-03     6.9933e+00
1.0000e-04     6.5670e-03     5.8018e+00
1.0000e-04     6.9490e-03     4.6888e+00
1.0000e-04     7.3540e-03     3.6835e+00
1.0000e-04     7.7810e-03     2.8122e+00
1.0000e-04     8.2340e-03     2.0794e+00
1.0000e-04     8.7130e-03     1.4876e+00
1.0000e-04     9.2200e-03     1.0272e+00
1.0000e-04     9.7570e-03     6.8270e-01
1.0000e-04     1.0320e-02     4.3752e-01
1.0000e-04     1.0920e-02     2.6759e-01
1.0000e-04     1.1560e-02     1.5545e-01
1.0000e-04     1.2230e-02     8.6339e-02
1.0000e-04     1.2940e-02     4.5380e-02
1.0000e-04     1.3700e-02     2.2324e-02
1.0000e-04     1.4490e-02     1.0464e-02
1.0000e-04     1.5340e-02     4.5404e-03
1.0000e-04     1.6230e-02     1.8613e-03
1.0000e-04     1.7170e-02     7.1578e-04
1.0000e-04     1.8170e-02     2.5677e-04
1.0000e-04     1.9230e-02     8.6558e-05
1.0000e-04     2.0350e-02     2.7712e-05
1.0000e-04     2.1530e-02     8.5356e-06
1.0000e-04     2.2790e-02     2.5143e-06
1.0000e-04     2.4110e-02     7.2986e-07
1.0000e-04     2.5520e-02     2.0384e-07
1.0000e-04     2.7000e-02     5.5590e-08
1.1310e-04     1.0000e-04     7.6835e-02
1.1310e-04     1.0580e-04     8.0798e-02
1.1310e-04     1.1200e-04     8.5280e-02
1.1310e-04     1.1850e-04     9.0251e-02
1.1310e-04     1.2540e-04     9.5834e-02
1.1310e-04     1.3270e-04     1.0208e-01
1.1310e-04     1.4040e-04     1.0905e-01
1.1310e-04     1.4860e-04     1.1691e-01
1.1310e-04     1.5720e-04     1.2562e-01
1.1310e-04     1.6640e-04     1.3548e-01
1.1310e-04     1.7600e-04     1.4635e-01
1.1310e-04     1.8630e-04     1.5870e-01
1.1310e-04     1.9710e-04     1.7238e-01
1.1310e-04     2.0860e-04     1.8779e-01
1.1310e-04     2.2070e-04     2.0493e-01
1.1310e-04     2.3360e-04     2.2425e-01
1.1310e-04     2.4710e-04     2.4562e-01
1.1310e-04     2.6150e-04     2.6971e-01
1.1310e-04     2.7670e-04     2.9659e-01
1.1310e-04     2.9280e-04     3.2667e-01
1.1310e-04     3.0990e-04     3.6042e-01
1.1310e-04     3.2790e-04     3.9795e-01
1.1310e-04     3.4700e-04     4.4000e-01
1.1310e-04     3.6720e-04     4.8695e-01
1.1310e-04     3.8850e-04     5.3920e-01
