 Element: C
 Maximum L =  1
 Maximum kappa =  3
 No. of transitions = 6
 No. of channels = 66
 No. of energies = 100
 No. of velocities =   1
------------------------------------

e energy (keV) v/c            dP/dE
1.0000e-04     1.0000e-03     3.3322e+00
1.1310e-04     1.0000e-03     3.3296e+00
1.2800e-04     1.0000e-03     3.3267e+00
1.4480e-04     1.0000e-03     3.3233e+00
1.6380e-04     1.0000e-03     3.3195e+00
1.8520e-04     1.0000e-03     3.3151e+00
2.0950e-04     1.0000e-03     3.3099e+00
2.3700e-04     1.0000e-03     3.3040e+00
2.6810e-04     1.0000e-03     3.2971e+00
3.0330e-04     1.0000e-03     3.2892e+00
3.4310e-04     1.0000e-03     3.2799e+00
3.8820e-04     1.0000e-03     3.2691e+00
4.3910e-04     1.0000e-03     3.2566e+00
4.9670e-04     1.0000e-03     3.2419e+00
5.6190e-04     1.0000e-03     3.2248e+00
6.3560e-04     1.0000e-03     3.2049e+00
7.1900e-04     1.0000e-03     3.1815e+00
8.1340e-04     1.0000e-03     3.1542e+00
9.2010e-04     1.0000e-03     3.1224e+00
1.0410e-03     1.0000e-03     3.0852e+00
1.1770e-03     1.0000e-03     3.0423e+00
1.3320e-03     1.0000e-03     2.9920e+00
1.5070e-03     1.0000e-03     2.9341e+00
1.7040e-03     1.0000e-03     2.8678e+00
1.9280e-03     1.0000e-03     2.7916e+00
2.1810e-03     1.0000e-03     2.7052e+00
2.4670e-03     1.0000e-03     2.6079e+00
2.7910e-03     1.0000e-03     2.4991e+00
3.1570e-03     1.0000e-03     2.3790e+00
3.5710e-03     1.0000e-03     2.2478e+00
4.0400e-03     1.0000e-03     2.1061e+00
4.5700e-03     1.0000e-03     1.9555e+00
5.1700e-03     1.0000e-03     1.7976e+00
5.8480e-03     1.0000e-03     1.6350e+00
6.6150e-03     1.0000e-03     1.4701e+00
7.4830e-03     1.0000e-03     1.3059e+00
8.4650e-03     1.0000e-03     1.1455e+00
9.5760e-03     1.0000e-03     9.9168e-01
1.0830e-02     1.0000e-03     8.4741e-01
1.2250e-02     1.0000e-03     7.1431e-01
1.3860e-02     1.0000e-03     5.9382e-01
1.5680e-02     1.0000e-03     4.8721e-01
1.7740e-02     1.0000e-03     3.9456e-01
2.0070e-02     1.0000e-03     3.1563e-01
2.2700e-02     1.0000e-03     2.4970e-01
2.5680e-02     1.0000e-03     1.9536e-01
2.9050e-02     1.0000e-03     1.5140e-01
3.2860e-02     1.0000e-03     1.1638e-01
3.7170e-02     1.0000e-03     8.8828e-02
4.2050e-02     1.0000e-03     6.7416e-02
4.7570e-02     1.0000e-03     5.0975e-02
5.3810e-02     1.0000e-03     3.8467e-02
6.0870e-02     1.0000e-03     2.9019e-02
6.8850e-02     1.0000e-03     2.1925e-02
7.7890e-02     1.0000e-03     1.6607e-02
8.8110e-02     1.0000e-03     1.2634e-02
9.9670e-02     1.0000e-03     9.6630e-03
1.1270e-01     1.0000e-03     7.4390e-03
1.2750e-01     1.0000e-03     5.7518e-03
1.4430e-01     1.0000e-03     4.4665e-03
1.6320e-01     1.0000e-03     3.4854e-03
1.8460e-01     1.0000e-03     2.7244e-03
2.0890e-01     1.0000e-03     2.1278e-03
2.3630e-01     1.0000e-03     1.6597e-03
2.6730e-01     1.0000e-03     1.2885e-03
3.0230e-01     1.0000e-03     9.9498e-04
3.4200e-01     1.0000e-03     7.6142e-04
3.8690e-01     1.0000e-03     5.7705e-04
4.3760e-01     1.0000e-03     4.3287e-04
4.9510e-01     1.0000e-03     3.2063e-04
5.6000e-01     1.0000e-03     2.3476e-04
6.3350e-01     1.0000e-03     1.6972e-04
7.1660e-01     1.0000e-03     1.2101e-04
8.1070e-01     1.0000e-03     8.5186e-05
9.1700e-01     1.0000e-03     5.9226e-05
1.0370e+00     1.0000e-03     4.0700e-05
1.1730e+00     1.0000e-03     2.7575e-05
1.3270e+00     1.0000e-03     1.8484e-05
1.5020e+00     1.0000e-03     1.2219e-05
1.6990e+00     1.0000e-03     8.0111e-06
1.9220e+00     1.0000e-03     5.2078e-06
2.1740e+00     1.0000e-03     3.3510e-06
2.4590e+00     1.0000e-03     2.1332e-06
2.7820e+00     1.0000e-03     1.3516e-06
3.1470e+00     1.0000e-03     8.4880e-07
3.5600e+00     1.0000e-03     5.2868e-07
4.0270e+00     1.0000e-03     3.2657e-07
4.5550e+00     1.0000e-03     2.0195e-07
5.1530e+00     1.0000e-03     1.2306e-07
5.8290e+00     1.0000e-03     7.5347e-08
6.5940e+00     1.0000e-03     4.5453e-08
7.4590e+00     1.0000e-03     2.7444e-08
8.4370e+00     1.0000e-03     1.6531e-08
9.5450e+00     1.0000e-03     9.8478e-09
1.0800e+01     1.0000e-03     5.9118e-09
1.2210e+01     1.0000e-03     3.5248e-09
1.3820e+01     1.0000e-03     2.0889e-09
1.5630e+01     1.0000e-03     1.2232e-09
1.7680e+01     1.0000e-03     7.1563e-10
2.0000e+01     1.0000e-03     4.2156e-10
