 Element: F
 Maximum L = 10
 No. of velocities = 100
------------------------------------

   v               |<i|e^(ivz)|i>|^2
   0.1000000E-04   0.9999958E+00
   0.1917000E-03   0.9984443E+00
   0.3734000E-03   0.9941112E+00
   0.5552000E-03   0.9870307E+00
   0.7369000E-03   0.9772735E+00
   0.9186000E-03   0.9649229E+00
   0.1100000E-02   0.9501134E+00
   0.1282000E-02   0.9328939E+00
   0.1464000E-02   0.9134566E+00
   0.1645000E-02   0.8920885E+00
   0.1827000E-02   0.8687296E+00
   0.2009000E-02   0.8436809E+00
   0.2191000E-02   0.8171389E+00
   0.2372000E-02   0.7894626E+00
   0.2554000E-02   0.7605507E+00
   0.2736000E-02   0.7307594E+00
   0.2917000E-02   0.7004619E+00
   0.3099000E-02   0.6695228E+00
   0.3281000E-02   0.6383018E+00
   0.3463000E-02   0.6069848E+00
   0.3644000E-02   0.5759186E+00
   0.3826000E-02   0.5449238E+00
   0.4008000E-02   0.5143246E+00
   0.4189000E-02   0.4844231E+00
   0.4371000E-02   0.4550135E+00
   0.4553000E-02   0.4263728E+00
   0.4735000E-02   0.3985973E+00
   0.4916000E-02   0.3719133E+00
   0.5098000E-02   0.3460932E+00
   0.5280000E-02   0.3213412E+00
   0.5462000E-02   0.2976982E+00
   0.5643000E-02   0.2753133E+00
   0.5825000E-02   0.2539564E+00
   0.6007000E-02   0.2337608E+00
   0.6188000E-02   0.2148251E+00
   0.6370000E-02   0.1969286E+00
   0.6552000E-02   0.1801599E+00
   0.6734000E-02   0.1644933E+00
   0.6915000E-02   0.1499746E+00
   0.7097000E-02   0.1364076E+00
   0.7279000E-02   0.1238354E+00
   0.7460000E-02   0.1122765E+00
   0.7642000E-02   0.1015582E+00
   0.7824000E-02   0.9170033E-01
   0.8006000E-02   0.8265537E-01
   0.8187000E-02   0.7441899E-01
   0.8369000E-02   0.6685280E-01
   0.8551000E-02   0.5995735E-01
   0.8732000E-02   0.5371948E-01
   0.8914000E-02   0.4802575E-01
   0.9096000E-02   0.4286914E-01
   0.9278000E-02   0.3820826E-01
   0.9459000E-02   0.3402551E-01
   0.9641000E-02   0.3023733E-01
   0.9823000E-02   0.2683262E-01
   0.1000000E-01   0.2385756E-01
   0.1019000E-01   0.2099979E-01
   0.1037000E-01   0.1858382E-01
   0.1055000E-01   0.1642471E-01
   0.1073000E-01   0.1449821E-01
   0.1091000E-01   0.1278191E-01
   0.1109000E-01   0.1125520E-01
   0.1128000E-01   0.9828458E-02
   0.1146000E-01   0.8633750E-02
   0.1164000E-01   0.7575684E-02
   0.1182000E-01   0.6639917E-02
   0.1200000E-01   0.5813421E-02
   0.1219000E-01   0.5046530E-02
   0.1237000E-01   0.4408827E-02
   0.1255000E-01   0.3847785E-02
   0.1273000E-01   0.3354790E-02
   0.1291000E-01   0.2922104E-02
   0.1309000E-01   0.2542791E-02
   0.1328000E-01   0.2193460E-02
   0.1346000E-01   0.1905100E-02
   0.1364000E-01   0.1653166E-02
   0.1382000E-01   0.1433288E-02
   0.1400000E-01   0.1241587E-02
   0.1418000E-01   0.1074621E-02
   0.1437000E-01   0.9218511E-03
   0.1455000E-01   0.7965468E-03
   0.1473000E-01   0.6877319E-03
   0.1491000E-01   0.5933236E-03
   0.1509000E-01   0.5114884E-03
   0.1527000E-01   0.4406142E-03
   0.1546000E-01   0.3761329E-03
   0.1564000E-01   0.3235375E-03
   0.1582000E-01   0.2781038E-03
   0.1600000E-01   0.2388882E-03
   0.1618000E-01   0.2050663E-03
   0.1636000E-01   0.1759186E-03
   0.1655000E-01   0.1495310E-03
   0.1673000E-01   0.1281115E-03
   0.1691000E-01   0.1096936E-03
   0.1709000E-01   0.9386771E-04
   0.1727000E-01   0.8027846E-04
   0.1745000E-01   0.6861753E-04
   0.1764000E-01   0.5810621E-04
   0.1782000E-01   0.4960991E-04
   0.1800000E-01   0.4233348E-04
