 Element: F
 Info: 6s,6p,6d
 Maximum L = 10
 No. of velocities = 100
------------------------------------

v/c            P
1.0000e-05     1.6508e-07
1.9170e-04     6.0520e-05
3.7340e-04     2.2807e-04
5.5520e-04     4.9865e-04
7.3690e-04     8.6500e-04
9.1860e-04     1.3179e-03
1.1000e-03     1.8449e-03
1.2820e-03     2.4357e-03
1.4640e-03     3.0742e-03
1.6450e-03     3.7414e-03
1.8270e-03     4.4289e-03
2.0090e-03     5.1177e-03
2.1910e-03     5.7925e-03
2.3720e-03     6.4360e-03
2.5540e-03     7.0425e-03
2.7360e-03     7.5970e-03
2.9170e-03     8.0876e-03
3.0990e-03     8.5123e-03
3.2810e-03     8.8625e-03
3.4630e-03     9.1348e-03
3.6440e-03     9.3268e-03
3.8260e-03     9.4409e-03
4.0080e-03     9.4779e-03
4.1890e-03     9.4415e-03
4.3710e-03     9.3360e-03
4.5530e-03     9.1672e-03
4.7350e-03     8.9416e-03
4.9160e-03     8.6679e-03
5.0980e-03     8.3504e-03
5.2800e-03     7.9979e-03
5.4620e-03     7.6179e-03
5.6430e-03     7.2196e-03
5.8250e-03     6.8054e-03
6.0070e-03     6.3836e-03
6.1880e-03     5.9623e-03
6.3700e-03     5.5418e-03
6.5520e-03     5.1287e-03
6.7340e-03     4.7269e-03
6.9150e-03     4.3414e-03
7.0970e-03     3.9704e-03
7.2790e-03     3.6180e-03
7.4600e-03     3.2873e-03
7.6420e-03     2.9754e-03
7.8240e-03     2.6846e-03
8.0060e-03     2.4150e-03
8.1870e-03     2.1676e-03
8.3690e-03     1.9391e-03
8.5510e-03     1.7303e-03
8.7320e-03     1.5413e-03
8.9140e-03     1.3689e-03
9.0960e-03     1.2132e-03
9.2780e-03     1.0731e-03
9.4590e-03     9.4808e-04
9.6410e-03     8.3559e-04
9.8230e-03     7.3527e-04
1.0000e-02     6.4836e-04
1.0190e-02     5.6566e-04
1.0370e-02     4.9646e-04
1.0550e-02     4.3525e-04
1.0730e-02     3.8121e-04
1.0910e-02     3.3360e-04
1.1090e-02     2.9171e-04
1.1280e-02     2.5300e-04
1.1460e-02     2.2096e-04
1.1640e-02     1.9288e-04
1.1820e-02     1.6830e-04
1.2000e-02     1.4681e-04
1.2190e-02     1.2706e-04
1.2370e-02     1.1079e-04
1.2550e-02     9.6587e-05
1.2730e-02     8.4203e-05
1.2910e-02     7.3407e-05
1.3090e-02     6.3998e-05
1.3280e-02     5.5375e-05
1.3460e-02     4.8286e-05
1.3640e-02     4.2109e-05
1.3820e-02     3.6729e-05
1.4000e-02     3.2041e-05
1.4180e-02     2.7956e-05
1.4370e-02     2.4212e-05
1.4550e-02     2.1133e-05
1.4730e-02     1.8448e-05
1.4910e-02     1.6108e-05
1.5090e-02     1.4066e-05
1.5270e-02     1.2284e-05
1.5460e-02     1.0650e-05
1.5640e-02     9.3029e-06
1.5820e-02     8.1272e-06
1.6000e-02     7.1004e-06
1.6180e-02     6.2035e-06
1.6360e-02     5.4200e-06
1.6550e-02     4.6999e-06
1.6730e-02     4.1060e-06
1.6910e-02     3.5869e-06
1.7090e-02     3.1331e-06
1.7270e-02     2.7364e-06
1.7450e-02     2.3896e-06
1.7640e-02     2.0707e-06
1.7820e-02     1.8076e-06
1.8000e-02     1.5777e-06
