 Element: F
 Info: 6s,6p,6d
 Maximum L = 10
 No. of velocities = 100
------------------------------------

v/c            P
1.0000e-05     8.9895e-08
1.9170e-04     3.3004e-05
3.7340e-04     1.2488e-04
5.5520e-04     2.7487e-04
7.3690e-04     4.8124e-04
9.1860e-04     7.4185e-04
1.1000e-03     1.0533e-03
1.2820e-03     1.4139e-03
1.4640e-03     1.8186e-03
1.6450e-03     2.2601e-03
1.8270e-03     2.7380e-03
2.0090e-03     3.2443e-03
2.1910e-03     3.7726e-03
2.3720e-03     4.3131e-03
2.5540e-03     4.8650e-03
2.7360e-03     5.4178e-03
2.9170e-03     5.9614e-03
3.0990e-03     6.4944e-03
3.2810e-03     7.0067e-03
3.4630e-03     7.4914e-03
3.6440e-03     7.9397e-03
3.8260e-03     8.3509e-03
4.0080e-03     8.7173e-03
4.1890e-03     9.0328e-03
4.3710e-03     9.2977e-03
4.5530e-03     9.5075e-03
4.7350e-03     9.6607e-03
4.9160e-03     9.7563e-03
5.0980e-03     9.7957e-03
5.2800e-03     9.7796e-03
5.4620e-03     9.7100e-03
5.6430e-03     9.5905e-03
5.8250e-03     9.4233e-03
6.0070e-03     9.2130e-03
6.1880e-03     8.9652e-03
6.3700e-03     8.6822e-03
6.5520e-03     8.3698e-03
6.7340e-03     8.0332e-03
6.9150e-03     7.6792e-03
7.0970e-03     7.3087e-03
7.2790e-03     6.9281e-03
7.4600e-03     6.5439e-03
7.6420e-03     6.1558e-03
7.8240e-03     5.7696e-03
8.0060e-03     5.3884e-03
8.1870e-03     5.0172e-03
8.3690e-03     4.6542e-03
8.5510e-03     4.3035e-03
8.7320e-03     3.9687e-03
8.9140e-03     3.6473e-03
9.0960e-03     3.3421e-03
9.2780e-03     3.0537e-03
9.4590e-03     2.7840e-03
9.6410e-03     2.5302e-03
9.8230e-03     2.2935e-03
1.0000e-02     2.0796e-03
1.0190e-02     1.8674e-03
1.0370e-02     1.6825e-03
1.0550e-02     1.5125e-03
1.0730e-02     1.3567e-03
1.0910e-02     1.2145e-03
1.1090e-02     1.0850e-03
1.1280e-02     9.6116e-04
1.1460e-02     8.5527e-04
1.1640e-02     7.5966e-04
1.1820e-02     6.7353e-04
1.2000e-02     5.9613e-04
1.2190e-02     5.2312e-04
1.2370e-02     4.6144e-04
1.2550e-02     4.0639e-04
1.2730e-02     3.5737e-04
1.2910e-02     3.1379e-04
1.3090e-02     2.7513e-04
1.3280e-02     2.3911e-04
1.3460e-02     2.0905e-04
1.3640e-02     1.8253e-04
1.3820e-02     1.5917e-04
1.4000e-02     1.3863e-04
1.4180e-02     1.2059e-04
1.4370e-02     1.0395e-04
1.4550e-02     9.0210e-05
1.4730e-02     7.8195e-05
1.4910e-02     6.7707e-05
1.5090e-02     5.8564e-05
1.5270e-02     5.0603e-05
1.5460e-02     4.3323e-05
1.5640e-02     3.7358e-05
1.5820e-02     3.2184e-05
1.6000e-02     2.7700e-05
1.6180e-02     2.3820e-05
1.6360e-02     2.0465e-05
1.6550e-02     1.7419e-05
1.6730e-02     1.4940e-05
1.6910e-02     1.2803e-05
1.7090e-02     1.0963e-05
1.7270e-02     9.3807e-06
1.7450e-02     8.0206e-06
1.7640e-02     6.7929e-06
1.7820e-02     5.7995e-06
1.8000e-02     4.9480e-06
