 Element: F
 Info: 6s,6p,6d
 Maximum L = 10
 No. of velocities = 100
------------------------------------

v/c            P
1.0000e-05     6.5528e-09
1.9170e-04     2.4192e-06
3.7340e-04     9.2960e-06
5.5520e-04     2.0971e-05
7.3690e-04     3.7945e-05
9.1860e-04     6.0891e-05
1.1000e-03     9.0539e-05
1.2820e-03     1.2790e-04
1.4640e-03     1.7375e-04
1.6450e-03     2.2857e-04
1.8270e-03     2.9366e-04
2.0090e-03     3.6932e-04
2.1910e-03     4.5586e-04
2.3720e-03     5.5283e-04
2.5540e-03     6.6112e-04
2.7360e-03     7.7973e-04
2.9170e-03     9.0715e-04
3.0990e-03     1.0437e-03
3.2810e-03     1.1874e-03
3.4630e-03     1.3367e-03
3.6440e-03     1.4888e-03
3.8260e-03     1.6434e-03
4.0080e-03     1.7977e-03
4.1890e-03     1.9487e-03
4.3710e-03     2.0960e-03
4.5530e-03     2.2365e-03
4.7350e-03     2.3684e-03
4.9160e-03     2.4891e-03
5.0980e-03     2.5985e-03
5.2800e-03     2.6944e-03
5.4620e-03     2.7758e-03
5.6430e-03     2.8415e-03
5.8250e-03     2.8917e-03
6.0070e-03     2.9258e-03
6.1880e-03     2.9437e-03
6.3700e-03     2.9458e-03
6.5520e-03     2.9326e-03
6.7340e-03     2.9049e-03
6.9150e-03     2.8637e-03
7.0970e-03     2.8097e-03
7.2790e-03     2.7443e-03
7.4600e-03     2.6691e-03
7.6420e-03     2.5847e-03
7.8240e-03     2.4928e-03
8.0060e-03     2.3947e-03
8.1870e-03     2.2923e-03
8.3690e-03     2.1857e-03
8.5510e-03     2.0767e-03
8.7320e-03     1.9669e-03
8.9140e-03     1.8562e-03
9.0960e-03     1.7461e-03
9.2780e-03     1.6374e-03
9.4590e-03     1.5315e-03
9.6410e-03     1.4277e-03
9.8230e-03     1.3272e-03
1.0000e-02     1.2330e-03
1.0190e-02     1.1361e-03
1.0370e-02     1.0486e-03
1.0550e-02     9.6547e-04
1.0730e-02     8.8684e-04
1.0910e-02     8.1272e-04
1.1090e-02     7.4313e-04
1.1280e-02     6.7452e-04
1.1460e-02     6.1404e-04
1.1640e-02     5.5782e-04
1.1820e-02     5.0573e-04
1.2000e-02     4.5760e-04
1.2190e-02     4.1091e-04
1.2370e-02     3.7036e-04
1.2550e-02     3.3321e-04
1.2730e-02     2.9925e-04
1.2910e-02     2.6829e-04
1.3090e-02     2.4012e-04
1.3280e-02     2.1321e-04
1.3460e-02     1.9019e-04
1.3640e-02     1.6938e-04
1.3820e-02     1.5062e-04
1.4000e-02     1.3374e-04
1.4180e-02     1.1857e-04
1.4370e-02     1.0426e-04
1.4550e-02     9.2163e-05
1.4730e-02     8.1359e-05
1.4910e-02     7.1724e-05
1.5090e-02     6.3148e-05
1.5270e-02     5.5525e-05
1.5460e-02     4.8408e-05
1.5640e-02     4.2455e-05
1.5820e-02     3.7189e-05
1.6000e-02     3.2538e-05
1.6180e-02     2.8435e-05
1.6360e-02     2.4822e-05
1.6550e-02     2.1479e-05
1.6730e-02     1.8707e-05
1.6910e-02     1.6276e-05
1.7090e-02     1.4146e-05
1.7270e-02     1.2283e-05
1.7450e-02     1.0654e-05
1.7640e-02     9.1587e-06
1.7820e-02     7.9285e-06
1.8000e-02     6.8572e-06
