 Element: F
 Info: 6s,6p,6d
 Maximum L = 10
 No. of velocities = 100
------------------------------------

v/c            P
1.0000e-05     9.9646e-14
1.9170e-04     1.3416e-08
3.7340e-04     1.9150e-07
5.5520e-04     9.2312e-07
7.3690e-04     2.8103e-06
9.1860e-04     6.6220e-06
1.1000e-03     1.3218e-05
1.2820e-03     2.3551e-05
1.4640e-03     3.8485e-05
1.6450e-03     5.8676e-05
1.8270e-03     8.4967e-05
2.0090e-03     1.1769e-04
2.1910e-03     1.5702e-04
2.3720e-03     2.0264e-04
2.5540e-03     2.5476e-04
2.7360e-03     3.1261e-04
2.9170e-03     3.7509e-04
3.0990e-03     4.4202e-04
3.2810e-03     5.1204e-04
3.4630e-03     5.8404e-04
3.6440e-03     6.5648e-04
3.8260e-03     7.2904e-04
4.0080e-03     8.0021e-04
4.1890e-03     8.6856e-04
4.3710e-03     9.3391e-04
4.5530e-03     9.9501e-04
4.7350e-03     1.0511e-03
4.9160e-03     1.1013e-03
5.0980e-03     1.1457e-03
5.2800e-03     1.1835e-03
5.4620e-03     1.2146e-03
5.6430e-03     1.2385e-03
5.8250e-03     1.2557e-03
6.0070e-03     1.2658e-03
6.1880e-03     1.2691e-03
6.3700e-03     1.2659e-03
6.5520e-03     1.2563e-03
6.7340e-03     1.2408e-03
6.9150e-03     1.2199e-03
7.0970e-03     1.1938e-03
7.2790e-03     1.1631e-03
7.4600e-03     1.1285e-03
7.6420e-03     1.0903e-03
7.8240e-03     1.0491e-03
8.0060e-03     1.0055e-03
8.1870e-03     9.6028e-04
8.3690e-03     9.1343e-04
8.5510e-03     8.6570e-04
8.7320e-03     8.1783e-04
8.9140e-03     7.6970e-04
9.0960e-03     7.2196e-04
9.2780e-03     6.7498e-04
9.4590e-03     6.2929e-04
9.6410e-03     5.8465e-04
9.8230e-03     5.4154e-04
1.0000e-02     5.0125e-04
1.0190e-02     4.5995e-04
1.0370e-02     4.2279e-04
1.0550e-02     3.8761e-04
1.0730e-02     3.5444e-04
1.0910e-02     3.2331e-04
1.1090e-02     2.9420e-04
1.1280e-02     2.6564e-04
1.1460e-02     2.4058e-04
1.1640e-02     2.1740e-04
1.1820e-02     1.9604e-04
1.2000e-02     1.7641e-04
1.2190e-02     1.5747e-04
1.2370e-02     1.4112e-04
1.2550e-02     1.2623e-04
1.2730e-02     1.1270e-04
1.2910e-02     1.0045e-04
1.3090e-02     8.9370e-05
1.3280e-02     7.8854e-05
1.3460e-02     6.9919e-05
1.3640e-02     6.1898e-05
1.3820e-02     5.4713e-05
1.4000e-02     4.8290e-05
1.4180e-02     4.2560e-05
1.4370e-02     3.7191e-05
1.4550e-02     3.2685e-05
1.4730e-02     2.8687e-05
1.4910e-02     2.5145e-05
1.5090e-02     2.2014e-05
1.5270e-02     1.9249e-05
1.5460e-02     1.6686e-05
1.5640e-02     1.4556e-05
1.5820e-02     1.2684e-05
1.6000e-02     1.1041e-05
1.6180e-02     9.6005e-06
1.6360e-02     8.3399e-06
1.6550e-02     7.1808e-06
1.6730e-02     6.2256e-06
1.6910e-02     5.3926e-06
1.7090e-02     4.6669e-06
1.7270e-02     4.0354e-06
1.7450e-02     3.4865e-06
1.7640e-02     2.9852e-06
1.7820e-02     2.5749e-06
1.8000e-02     2.2194e-06
