 Element: F
 Info: 6s,6p,6d
 Maximum L = 10
 Maximum kappa = 12
 No. of transitions =  1373
 No. of channels = 138515
 No. of energies =  50
 No. of velocities =  50
------------------------------------

e energy (keV) v/c            dP/dE
1.0000e-04     1.0000e-05     5.8481e-11
1.0000e-04     3.7710e-04     1.1710e-04
1.0000e-04     7.4430e-04     1.7272e-03
1.0000e-04     1.1110e-03     8.1819e-03
1.0000e-04     1.4790e-03     2.4077e-02
1.0000e-04     1.8460e-03     5.3809e-02
1.0000e-04     2.2130e-03     1.0064e-01
1.0000e-04     2.5800e-03     1.6568e-01
1.0000e-04     2.9470e-03     2.4758e-01
1.0000e-04     3.3140e-03     3.4267e-01
1.0000e-04     3.6810e-03     4.4561e-01
1.0000e-04     4.0490e-03     5.5042e-01
1.0000e-04     4.4160e-03     6.5024e-01
1.0000e-04     4.7830e-03     7.3976e-01
1.0000e-04     5.1500e-03     8.1451e-01
1.0000e-04     5.5170e-03     8.7140e-01
1.0000e-04     5.8840e-03     9.0878e-01
1.0000e-04     6.2510e-03     9.2627e-01
1.0000e-04     6.6190e-03     9.2460e-01
1.0000e-04     6.9860e-03     9.0544e-01
1.0000e-04     7.3530e-03     8.7110e-01
1.0000e-04     7.7200e-03     8.2433e-01
1.0000e-04     8.0870e-03     7.6805e-01
1.0000e-04     8.4540e-03     7.0524e-01
1.0000e-04     8.8210e-03     6.3868e-01
1.0000e-04     9.1890e-03     5.7072e-01
1.0000e-04     9.5560e-03     5.0388e-01
1.0000e-04     9.9230e-03     4.3971e-01
1.0000e-04     1.0290e-02     3.7950e-01
1.0000e-04     1.0660e-02     3.2371e-01
1.0000e-04     1.1020e-02     2.7466e-01
1.0000e-04     1.1390e-02     2.2984e-01
1.0000e-04     1.1760e-02     1.9062e-01
1.0000e-04     1.2130e-02     1.5677e-01
1.0000e-04     1.2490e-02     1.2863e-01
1.0000e-04     1.2860e-02     1.0418e-01
1.0000e-04     1.3230e-02     8.3789e-02
1.0000e-04     1.3590e-02     6.7347e-02
1.0000e-04     1.3960e-02     5.3466e-02
1.0000e-04     1.4330e-02     4.2190e-02
1.0000e-04     1.4700e-02     3.3101e-02
1.0000e-04     1.5060e-02     2.6004e-02
1.0000e-04     1.5430e-02     2.0187e-02
1.0000e-04     1.5800e-02     1.5594e-02
1.0000e-04     1.6160e-02     1.2076e-02
1.0000e-04     1.6530e-02     9.2433e-03
1.0000e-04     1.6900e-02     7.0447e-03
1.0000e-04     1.7270e-02     5.3469e-03
1.0000e-04     1.7630e-02     4.0732e-03
1.0000e-04     1.8000e-02     3.0681e-03
1.2830e-04     1.0000e-05     5.8656e-11
1.2830e-04     3.7710e-04     1.1745e-04
1.2830e-04     7.4430e-04     1.7324e-03
1.2830e-04     1.1110e-03     8.2071e-03
1.2830e-04     1.4790e-03     2.4152e-02
1.2830e-04     1.8460e-03     5.3982e-02
1.2830e-04     2.2130e-03     1.0097e-01
1.2830e-04     2.5800e-03     1.6624e-01
1.2830e-04     2.9470e-03     2.4843e-01
1.2830e-04     3.3140e-03     3.4386e-01
1.2830e-04     3.6810e-03     4.4716e-01
1.2830e-04     4.0490e-03     5.5233e-01
1.2830e-04     4.4160e-03     6.5247e-01
1.2830e-04     4.7830e-03     7.4224e-01
1.2830e-04     5.1500e-03     8.1715e-01
1.2830e-04     5.5170e-03     8.7412e-01
1.2830e-04     5.8840e-03     9.1148e-01
1.2830e-04     6.2510e-03     9.2887e-01
1.2830e-04     6.6190e-03     9.2703e-01
1.2830e-04     6.9860e-03     9.0765e-01
1.2830e-04     7.3530e-03     8.7307e-01
1.2830e-04     7.7200e-03     8.2604e-01
1.2830e-04     8.0870e-03     7.6951e-01
1.2830e-04     8.4540e-03     7.0645e-01
1.2830e-04     8.8210e-03     6.3968e-01
1.2830e-04     9.1890e-03     5.7152e-01
1.2830e-04     9.5560e-03     5.0452e-01
1.2830e-04     9.9230e-03     4.4020e-01
1.2830e-04     1.0290e-02     3.7988e-01
1.2830e-04     1.0660e-02     3.2399e-01
1.2830e-04     1.1020e-02     2.7487e-01
1.2830e-04     1.1390e-02     2.2998e-01
1.2830e-04     1.1760e-02     1.9072e-01
1.2830e-04     1.2130e-02     1.5684e-01
1.2830e-04     1.2490e-02     1.2867e-01
1.2830e-04     1.2860e-02     1.0421e-01
1.2830e-04     1.3230e-02     8.3802e-02
1.2830e-04     1.3590e-02     6.7352e-02
1.2830e-04     1.3960e-02     5.3466e-02
1.2830e-04     1.4330e-02     4.2187e-02
1.2830e-04     1.4700e-02     3.3096e-02
1.2830e-04     1.5060e-02     2.5998e-02
1.2830e-04     1.5430e-02     2.0182e-02
1.2830e-04     1.5800e-02     1.5589e-02
1.2830e-04     1.6160e-02     1.2071e-02
1.2830e-04     1.6530e-02     9.2391e-03
1.2830e-04     1.6900e-02     7.0412e-03
1.2830e-04     1.7270e-02     5.3440e-03
1.2830e-04     1.7630e-02     4.0708e-03
1.2830e-04     1.8000e-02     3.0661e-03
1.6460e-04     1.0000e-05     5.8877e-11
1.6460e-04     3.7710e-04     1.1790e-04
1.6460e-04     7.4430e-04     1.7391e-03
1.6460e-04     1.1110e-03     8.2390e-03
1.6460e-04     1.4790e-03     2.4248e-02
1.6460e-04     1.8460e-03     5.4202e-02
1.6460e-04     2.2130e-03     1.0139e-01
1.6460e-04     2.5800e-03     1.6695e-01
1.6460e-04     2.9470e-03     2.4950e-01
1.6460e-04     3.3140e-03     3.4537e-01
1.6460e-04     3.6810e-03     4.4914e-01
1.6460e-04     4.0490e-03     5.5476e-01
1.6460e-04     4.4160e-03     6.5531e-01
1.6460e-04     4.7830e-03     7.4540e-01
1.6460e-04     5.1500e-03     8.2053e-01
1.6460e-04     5.5170e-03     8.7759e-01
1.6460e-04     5.8840e-03     9.1492e-01
1.6460e-04     6.2510e-03     9.3218e-01
1.6460e-04     6.6190e-03     9.3012e-01
1.6460e-04     6.9860e-03     9.1046e-01
1.6460e-04     7.3530e-03     8.7557e-01
1.6460e-04     7.7200e-03     8.2821e-01
1.6460e-04     8.0870e-03     7.7137e-01
1.6460e-04     8.4540e-03     7.0800e-01
1.6460e-04     8.8210e-03     6.4095e-01
1.6460e-04     9.1890e-03     5.7254e-01
1.6460e-04     9.5560e-03     5.0532e-01
1.6460e-04     9.9230e-03     4.4083e-01
1.6460e-04     1.0290e-02     3.8035e-01
1.6460e-04     1.0660e-02     3.2434e-01
1.6460e-04     1.1020e-02     2.7513e-01
1.6460e-04     1.1390e-02     2.3017e-01
1.6460e-04     1.1760e-02     1.9085e-01
