 Element: F
 Info: 6s,6p,6d
 Maximum L = 10
 No. of velocities = 100
------------------------------------

v/c            P
1.0000e-05     2.5316e-07
1.9170e-04     9.2857e-05
3.7340e-04     3.5044e-04
5.5520e-04     7.6802e-04
7.3690e-04     1.3367e-03
9.1860e-04     2.0451e-03
1.1000e-03     2.8778e-03
1.2820e-03     3.8227e-03
1.4640e-03     4.8587e-03
1.6450e-03     5.9600e-03
1.8270e-03     7.1178e-03
2.0090e-03     8.3053e-03
2.1910e-03     9.5011e-03
2.3720e-03     1.0678e-02
2.5540e-03     1.1830e-02
2.7360e-03     1.2932e-02
2.9170e-03     1.3961e-02
3.0990e-03     1.4915e-02
3.2810e-03     1.5775e-02
3.4630e-03     1.6531e-02
3.6440e-03     1.7171e-02
3.8260e-03     1.7697e-02
4.0080e-03     1.8103e-02
4.1890e-03     1.8385e-02
4.3710e-03     1.8549e-02
4.5530e-03     1.8595e-02
4.7350e-03     1.8529e-02
4.9160e-03     1.8358e-02
5.0980e-03     1.8088e-02
5.2800e-03     1.7727e-02
5.4620e-03     1.7286e-02
5.6430e-03     1.6777e-02
5.8250e-03     1.6204e-02
6.0070e-03     1.5580e-02
6.1880e-03     1.4919e-02
6.3700e-03     1.4223e-02
6.5520e-03     1.3505e-02
6.7340e-03     1.2773e-02
6.9150e-03     1.2039e-02
7.0970e-03     1.1303e-02
7.2790e-03     1.0575e-02
7.4600e-03     9.8643e-03
7.6420e-03     9.1677e-03
7.8240e-03     8.4935e-03
8.0060e-03     7.8448e-03
8.1870e-03     7.2277e-03
8.3690e-03     6.6372e-03
8.5510e-03     6.0782e-03
8.7320e-03     5.5544e-03
8.9140e-03     5.0601e-03
9.0960e-03     4.5984e-03
9.2780e-03     4.1689e-03
9.4590e-03     3.7728e-03
9.6410e-03     3.4049e-03
9.8230e-03     3.0662e-03
1.0000e-02     2.7636e-03
1.0190e-02     2.4666e-03
1.0370e-02     2.2105e-03
1.0550e-02     1.9773e-03
1.0730e-02     1.7655e-03
1.0910e-02     1.5737e-03
1.1090e-02     1.4004e-03
1.1280e-02     1.2360e-03
1.1460e-02     1.0963e-03
1.1640e-02     9.7087e-04
1.1820e-02     8.5856e-04
1.2000e-02     7.5817e-04
1.2190e-02     6.6392e-04
1.2370e-02     5.8466e-04
1.2550e-02     5.1419e-04
1.2730e-02     4.5166e-04
1.2910e-02     3.9625e-04
1.3090e-02     3.4723e-04
1.3280e-02     3.0168e-04
1.3460e-02     2.6375e-04
1.3640e-02     2.3034e-04
1.3820e-02     2.0096e-04
1.4000e-02     1.7515e-04
1.4180e-02     1.5250e-04
1.4370e-02     1.3163e-04
1.4550e-02     1.1439e-04
1.4730e-02     9.9325e-05
1.4910e-02     8.6167e-05
1.5090e-02     7.4689e-05
1.5270e-02     6.4688e-05
1.5460e-02     5.5533e-05
1.5640e-02     4.8020e-05
1.5820e-02     4.1493e-05
1.6000e-02     3.5828e-05
1.6180e-02     3.0915e-05
1.6360e-02     2.6658e-05
1.6550e-02     2.2782e-05
1.6730e-02     1.9619e-05
1.6910e-02     1.6885e-05
1.7090e-02     1.4523e-05
1.7270e-02     1.2484e-05
1.7450e-02     1.0726e-05
1.7640e-02     9.1327e-06
1.7820e-02     7.8379e-06
1.8000e-02     6.7234e-06
