 Element: F
 Maximum L = 10
 Maximum kappa = 12
 No. of energies = 30
 No. of velocities = 100


------------------------------------

e energy (keV) v/c            dP/dE
5.6000e-01     1.0000e-05     1.8958e-09
5.6000e-01     1.9170e-04     6.9680e-07
5.6000e-01     3.7340e-04     2.6449e-06
5.6000e-01     5.5520e-04     5.8517e-06
5.6000e-01     7.3690e-04     1.0319e-05
5.6000e-01     9.1860e-04     1.6057e-05
5.6000e-01     1.1000e-03     2.3062e-05
5.6000e-01     1.2820e-03     3.1385e-05
5.6000e-01     1.4640e-03     4.1020e-05
5.6000e-01     1.6450e-03     5.1919e-05
5.6000e-01     1.8270e-03     6.4222e-05
5.6000e-01     2.0090e-03     7.7894e-05
5.6000e-01     2.1910e-03     9.2959e-05
5.6000e-01     2.3720e-03     1.0935e-04
5.6000e-01     2.5540e-03     1.2728e-04
5.6000e-01     2.7360e-03     1.4668e-04
5.6000e-01     2.9170e-03     1.6748e-04
5.6000e-01     3.0990e-03     1.8994e-04
5.6000e-01     3.2810e-03     2.1400e-04
5.6000e-01     3.4630e-03     2.3968e-04
5.6000e-01     3.6440e-03     2.6689e-04
5.6000e-01     3.8260e-03     2.9597e-04
5.6000e-01     4.0080e-03     3.2682e-04
5.6000e-01     4.1890e-03     3.5932e-04
5.6000e-01     4.3710e-03     3.9388e-04
5.6000e-01     4.5530e-03     4.3039e-04
5.6000e-01     4.7350e-03     4.6891e-04
5.6000e-01     4.9160e-03     5.0928e-04
5.6000e-01     5.0980e-03     5.5202e-04
5.6000e-01     5.2800e-03     5.9699e-04
5.6000e-01     5.4620e-03     6.4425e-04
5.6000e-01     5.6430e-03     6.9363e-04
5.6000e-01     5.8250e-03     7.4574e-04
5.6000e-01     6.0070e-03     8.0041e-04
5.6000e-01     6.1880e-03     8.5743e-04
5.6000e-01     6.3700e-03     9.1750e-04
5.6000e-01     6.5520e-03     9.8045e-04
5.6000e-01     6.7340e-03     1.0464e-03
5.6000e-01     6.9150e-03     1.1150e-03
5.6000e-01     7.0970e-03     1.1872e-03
5.6000e-01     7.2790e-03     1.2627e-03
5.6000e-01     7.4600e-03     1.3412e-03
5.6000e-01     7.6420e-03     1.4238e-03
5.6000e-01     7.8240e-03     1.5101e-03
5.6000e-01     8.0060e-03     1.6004e-03
5.6000e-01     8.1870e-03     1.6941e-03
5.6000e-01     8.3690e-03     1.7926e-03
5.6000e-01     8.5510e-03     1.8954e-03
5.6000e-01     8.7320e-03     2.0022e-03
5.6000e-01     8.9140e-03     2.1144e-03
5.6000e-01     9.0960e-03     2.2315e-03
5.6000e-01     9.2780e-03     2.3537e-03
5.6000e-01     9.4590e-03     2.4806e-03
5.6000e-01     9.6410e-03     2.6137e-03
5.6000e-01     9.8230e-03     2.7527e-03
5.6000e-01     1.0000e-02     2.8937e-03
5.6000e-01     1.0190e-02     3.0516e-03
5.6000e-01     1.0370e-02     3.2079e-03
5.6000e-01     1.0550e-02     3.3708e-03
5.6000e-01     1.0730e-02     3.5407e-03
5.6000e-01     1.0910e-02     3.7179e-03
5.6000e-01     1.1090e-02     3.9026e-03
5.6000e-01     1.1280e-02     4.1061e-03
5.6000e-01     1.1460e-02     4.3074e-03
5.6000e-01     1.1640e-02     4.5173e-03
5.6000e-01     1.1820e-02     4.7360e-03
5.6000e-01     1.2000e-02     4.9640e-03
5.6000e-01     1.2190e-02     5.2153e-03
5.6000e-01     1.2370e-02     5.4636e-03
5.6000e-01     1.2550e-02     5.7225e-03
5.6000e-01     1.2730e-02     5.9924e-03
5.6000e-01     1.2910e-02     6.2736e-03
5.6000e-01     1.3090e-02     6.5668e-03
5.6000e-01     1.3280e-02     6.8897e-03
5.6000e-01     1.3460e-02     7.2089e-03
5.6000e-01     1.3640e-02     7.5416e-03
5.6000e-01     1.3820e-02     7.8883e-03
5.6000e-01     1.4000e-02     8.2497e-03
5.6000e-01     1.4180e-02     8.6263e-03
5.6000e-01     1.4370e-02     9.0411e-03
5.6000e-01     1.4550e-02     9.4511e-03
5.6000e-01     1.4730e-02     9.8783e-03
5.6000e-01     1.4910e-02     1.0324e-02
5.6000e-01     1.5090e-02     1.0788e-02
5.6000e-01     1.5270e-02     1.1271e-02
5.6000e-01     1.5460e-02     1.1804e-02
5.6000e-01     1.5640e-02     1.2330e-02
5.6000e-01     1.5820e-02     1.2879e-02
5.6000e-01     1.6000e-02     1.3450e-02
5.6000e-01     1.6180e-02     1.4046e-02
5.6000e-01     1.6360e-02     1.4667e-02
5.6000e-01     1.6550e-02     1.5351e-02
5.6000e-01     1.6730e-02     1.6026e-02
5.6000e-01     1.6910e-02     1.6730e-02
5.6000e-01     1.7090e-02     1.7464e-02
5.6000e-01     1.7270e-02     1.8229e-02
5.6000e-01     1.7450e-02     1.9026e-02
5.6000e-01     1.7640e-02     1.9903e-02
