 Element: F
 Maximum L = 10
 Maximum kappa = 12
 No. of energies = 30
 No. of velocities = 100


------------------------------------

e energy (keV) v/c            dP/dE
5.6000e-01     1.0000e-05     2.8210e-09
5.6000e-01     1.9170e-04     1.0369e-06
5.6000e-01     3.7340e-04     3.9357e-06
5.6000e-01     5.5520e-04     8.7076e-06
5.6000e-01     7.3690e-04     1.5356e-05
5.6000e-01     9.1860e-04     2.3894e-05
5.6000e-01     1.1000e-03     3.4318e-05
5.6000e-01     1.2820e-03     4.6703e-05
5.6000e-01     1.4640e-03     6.1039e-05
5.6000e-01     1.6450e-03     7.7257e-05
5.6000e-01     1.8270e-03     9.5565e-05
5.6000e-01     2.0090e-03     1.1591e-04
5.6000e-01     2.1910e-03     1.3833e-04
5.6000e-01     2.3720e-03     1.6272e-04
5.6000e-01     2.5540e-03     1.8939e-04
5.6000e-01     2.7360e-03     2.1827e-04
5.6000e-01     2.9170e-03     2.4922e-04
5.6000e-01     3.0990e-03     2.8265e-04
5.6000e-01     3.2810e-03     3.1844e-04
5.6000e-01     3.4630e-03     3.5666e-04
5.6000e-01     3.6440e-03     3.9715e-04
5.6000e-01     3.8260e-03     4.4042e-04
5.6000e-01     4.0080e-03     4.8634e-04
5.6000e-01     4.1890e-03     5.3470e-04
5.6000e-01     4.3710e-03     5.8614e-04
5.6000e-01     4.5530e-03     6.4047e-04
5.6000e-01     4.7350e-03     6.9780e-04
5.6000e-01     4.9160e-03     7.5788e-04
5.6000e-01     5.0980e-03     8.2148e-04
5.6000e-01     5.2800e-03     8.8840e-04
5.6000e-01     5.4620e-03     9.5875e-04
5.6000e-01     5.6430e-03     1.0322e-03
5.6000e-01     5.8250e-03     1.1098e-03
5.6000e-01     6.0070e-03     1.1912e-03
5.6000e-01     6.1880e-03     1.2760e-03
5.6000e-01     6.3700e-03     1.3654e-03
5.6000e-01     6.5520e-03     1.4591e-03
5.6000e-01     6.7340e-03     1.5572e-03
5.6000e-01     6.9150e-03     1.6594e-03
5.6000e-01     7.0970e-03     1.7668e-03
5.6000e-01     7.2790e-03     1.8793e-03
5.6000e-01     7.4600e-03     1.9962e-03
5.6000e-01     7.6420e-03     2.1191e-03
5.6000e-01     7.8240e-03     2.2476e-03
5.6000e-01     8.0060e-03     2.3819e-03
5.6000e-01     8.1870e-03     2.5215e-03
5.6000e-01     8.3690e-03     2.6681e-03
5.6000e-01     8.5510e-03     2.8212e-03
5.6000e-01     8.7320e-03     2.9802e-03
5.6000e-01     8.9140e-03     3.1472e-03
5.6000e-01     9.0960e-03     3.3216e-03
5.6000e-01     9.2780e-03     3.5036e-03
5.6000e-01     9.4590e-03     3.6925e-03
5.6000e-01     9.6410e-03     3.8908e-03
5.6000e-01     9.8230e-03     4.0978e-03
5.6000e-01     1.0000e-02     4.3077e-03
5.6000e-01     1.0190e-02     4.5430e-03
5.6000e-01     1.0370e-02     4.7757e-03
5.6000e-01     1.0550e-02     5.0184e-03
5.6000e-01     1.0730e-02     5.2715e-03
5.6000e-01     1.0910e-02     5.5355e-03
5.6000e-01     1.1090e-02     5.8107e-03
5.6000e-01     1.1280e-02     6.1139e-03
5.6000e-01     1.1460e-02     6.4138e-03
5.6000e-01     1.1640e-02     6.7265e-03
5.6000e-01     1.1820e-02     7.0525e-03
5.6000e-01     1.2000e-02     7.3923e-03
5.6000e-01     1.2190e-02     7.7667e-03
5.6000e-01     1.2370e-02     8.1369e-03
5.6000e-01     1.2550e-02     8.5228e-03
5.6000e-01     1.2730e-02     8.9250e-03
5.6000e-01     1.2910e-02     9.3444e-03
5.6000e-01     1.3090e-02     9.7814e-03
5.6000e-01     1.3280e-02     1.0263e-02
5.6000e-01     1.3460e-02     1.0739e-02
5.6000e-01     1.3640e-02     1.1235e-02
5.6000e-01     1.3820e-02     1.1752e-02
5.6000e-01     1.4000e-02     1.2291e-02
5.6000e-01     1.4180e-02     1.2853e-02
5.6000e-01     1.4370e-02     1.3471e-02
5.6000e-01     1.4550e-02     1.4083e-02
5.6000e-01     1.4730e-02     1.4721e-02
5.6000e-01     1.4910e-02     1.5385e-02
5.6000e-01     1.5090e-02     1.6077e-02
5.6000e-01     1.5270e-02     1.6799e-02
5.6000e-01     1.5460e-02     1.7594e-02
5.6000e-01     1.5640e-02     1.8380e-02
5.6000e-01     1.5820e-02     1.9199e-02
5.6000e-01     1.6000e-02     2.0052e-02
5.6000e-01     1.6180e-02     2.0941e-02
5.6000e-01     1.6360e-02     2.1868e-02
5.6000e-01     1.6550e-02     2.2889e-02
5.6000e-01     1.6730e-02     2.3899e-02
5.6000e-01     1.6910e-02     2.4950e-02
5.6000e-01     1.7090e-02     2.6047e-02
5.6000e-01     1.7270e-02     2.7189e-02
5.6000e-01     1.7450e-02     2.8379e-02
5.6000e-01     1.7640e-02     2.9691e-02
5.6000e-01     1.7820e-02     3.0987e-02
5.6000e-01     1.8000e-02     3.2338e-02
6.3350e-01     1.0000e-05     1.7050e-09
6.3350e-01     1.9170e-04     6.2667e-07
6.3350e-01     3.7340e-04     2.3786e-06
6.3350e-01     5.5520e-04     5.2622e-06
6.3350e-01     7.3690e-04     9.2788e-06
6.3350e-01     9.1860e-04     1.4436e-05
6.3350e-01     1.1000e-03     2.0731e-05
6.3350e-01     1.2820e-03     2.8208e-05
6.3350e-01     1.4640e-03     3.6859e-05
6.3350e-01     1.6450e-03     4.6641e-05
6.3350e-01     1.8270e-03     5.7678e-05
6.3350e-01     2.0090e-03     6.9937e-05
6.3350e-01     2.1910e-03     8.3437e-05
6.3350e-01     2.3720e-03     9.8115e-05
6.3350e-01     2.5540e-03     1.1416e-04
6.3350e-01     2.7360e-03     1.3151e-04
6.3350e-01     2.9170e-03     1.5010e-04
6.3350e-01     3.0990e-03     1.7015e-04
6.3350e-01     3.2810e-03     1.9161e-04
6.3350e-01     3.4630e-03     2.1450e-04
6.3350e-01     3.6440e-03     2.3872e-04
