 Element: F
 Maximum L = 10
 Maximum kappa = 12
 No. of energies = 30
 No. of velocities = 100


------------------------------------

e energy (keV) v/c            dP/dE
5.6000e-01     1.0000e-05     9.2604e-09
5.6000e-01     1.9170e-04     3.4033e-06
5.6000e-01     3.7340e-04     1.2915e-05
5.6000e-01     5.5520e-04     2.8560e-05
5.6000e-01     7.3690e-04     5.0332e-05
5.6000e-01     9.1860e-04     7.8252e-05
5.6000e-01     1.1000e-03     1.1228e-04
5.6000e-01     1.2820e-03     1.5262e-04
5.6000e-01     1.4640e-03     1.9919e-04
5.6000e-01     1.6450e-03     2.5172e-04
5.6000e-01     1.8270e-03     3.1083e-04
5.6000e-01     2.0090e-03     3.7628e-04
5.6000e-01     2.1910e-03     4.4812e-04
5.6000e-01     2.3720e-03     5.2593e-04
5.6000e-01     2.5540e-03     6.1064e-04
5.6000e-01     2.7360e-03     7.0189e-04
5.6000e-01     2.9170e-03     7.9918e-04
5.6000e-01     3.0990e-03     9.0365e-04
5.6000e-01     3.2810e-03     1.0148e-03
5.6000e-01     3.4630e-03     1.1328e-03
5.6000e-01     3.6440e-03     1.2570e-03
5.6000e-01     3.8260e-03     1.3888e-03
5.6000e-01     4.0080e-03     1.5276e-03
5.6000e-01     4.1890e-03     1.6727e-03
5.6000e-01     4.3710e-03     1.8259e-03
5.6000e-01     4.5530e-03     1.9863e-03
5.6000e-01     4.7350e-03     2.1542e-03
5.6000e-01     4.9160e-03     2.3285e-03
5.6000e-01     5.0980e-03     2.5115e-03
5.6000e-01     5.2800e-03     2.7022e-03
5.6000e-01     5.4620e-03     2.9007e-03
5.6000e-01     5.6430e-03     3.1061e-03
5.6000e-01     5.8250e-03     3.3207e-03
5.6000e-01     6.0070e-03     3.5435e-03
5.6000e-01     6.1880e-03     3.7734e-03
5.6000e-01     6.3700e-03     4.0130e-03
5.6000e-01     6.5520e-03     4.2613e-03
5.6000e-01     6.7340e-03     4.5183e-03
5.6000e-01     6.9150e-03     4.7828e-03
5.6000e-01     7.0970e-03     5.0578e-03
5.6000e-01     7.2790e-03     5.3421e-03
5.6000e-01     7.4600e-03     5.6341e-03
5.6000e-01     7.6420e-03     5.9373e-03
5.6000e-01     7.8240e-03     6.2502e-03
5.6000e-01     8.0060e-03     6.5731e-03
5.6000e-01     8.1870e-03     6.9041e-03
5.6000e-01     8.3690e-03     7.2473e-03
5.6000e-01     8.5510e-03     7.6009e-03
5.6000e-01     8.7320e-03     7.9631e-03
5.6000e-01     8.9140e-03     8.3381e-03
5.6000e-01     9.0960e-03     8.7241e-03
5.6000e-01     9.2780e-03     9.1214e-03
5.6000e-01     9.4590e-03     9.5278e-03
5.6000e-01     9.6410e-03     9.9481e-03
5.6000e-01     9.8230e-03     1.0380e-02
5.6000e-01     1.0000e-02     1.0812e-02
5.6000e-01     1.0190e-02     1.1289e-02
5.6000e-01     1.0370e-02     1.1753e-02
5.6000e-01     1.0550e-02     1.2229e-02
5.6000e-01     1.0730e-02     1.2718e-02
5.6000e-01     1.0910e-02     1.3220e-02
5.6000e-01     1.1090e-02     1.3736e-02
5.6000e-01     1.1280e-02     1.4294e-02
5.6000e-01     1.1460e-02     1.4837e-02
5.6000e-01     1.1640e-02     1.5394e-02
5.6000e-01     1.1820e-02     1.5964e-02
5.6000e-01     1.2000e-02     1.6550e-02
5.6000e-01     1.2190e-02     1.7183e-02
5.6000e-01     1.2370e-02     1.7799e-02
5.6000e-01     1.2550e-02     1.8429e-02
5.6000e-01     1.2730e-02     1.9075e-02
5.6000e-01     1.2910e-02     1.9737e-02
5.6000e-01     1.3090e-02     2.0414e-02
5.6000e-01     1.3280e-02     2.1147e-02
5.6000e-01     1.3460e-02     2.1858e-02
5.6000e-01     1.3640e-02     2.2585e-02
5.6000e-01     1.3820e-02     2.3330e-02
5.6000e-01     1.4000e-02     2.4092e-02
5.6000e-01     1.4180e-02     2.4871e-02
5.6000e-01     1.4370e-02     2.5713e-02
5.6000e-01     1.4550e-02     2.6529e-02
5.6000e-01     1.4730e-02     2.7363e-02
5.6000e-01     1.4910e-02     2.8216e-02
5.6000e-01     1.5090e-02     2.9088e-02
5.6000e-01     1.5270e-02     2.9979e-02
5.6000e-01     1.5460e-02     3.0940e-02
5.6000e-01     1.5640e-02     3.1871e-02
5.6000e-01     1.5820e-02     3.2822e-02
5.6000e-01     1.6000e-02     3.3794e-02
5.6000e-01     1.6180e-02     3.4786e-02
5.6000e-01     1.6360e-02     3.5799e-02
5.6000e-01     1.6550e-02     3.6891e-02
5.6000e-01     1.6730e-02     3.7947e-02
5.6000e-01     1.6910e-02     3.9025e-02
5.6000e-01     1.7090e-02     4.0125e-02
5.6000e-01     1.7270e-02     4.1248e-02
5.6000e-01     1.7450e-02     4.2392e-02
5.6000e-01     1.7640e-02     4.3625e-02
5.6000e-01     1.7820e-02     4.4817e-02
5.6000e-01     1.8000e-02     4.6032e-02
6.3350e-01     1.0000e-05     6.3768e-09
6.3350e-01     1.9170e-04     2.3435e-06
6.3350e-01     3.7340e-04     8.8930e-06
6.3350e-01     5.5520e-04     1.9666e-05
6.3350e-01     7.3690e-04     3.4658e-05
6.3350e-01     9.1860e-04     5.3883e-05
6.3350e-01     1.1000e-03     7.7310e-05
6.3350e-01     1.2820e-03     1.0508e-04
6.3350e-01     1.4640e-03     1.3715e-04
6.3350e-01     1.6450e-03     1.7331e-04
6.3350e-01     1.8270e-03     2.1400e-04
6.3350e-01     2.0090e-03     2.5905e-04
6.3350e-01     2.1910e-03     3.0849e-04
6.3350e-01     2.3720e-03     3.6205e-04
6.3350e-01     2.5540e-03     4.2034e-04
6.3350e-01     2.7360e-03     4.8313e-04
6.3350e-01     2.9170e-03     5.5006e-04
6.3350e-01     3.0990e-03     6.2193e-04
6.3350e-01     3.2810e-03     6.9842e-04
6.3350e-01     3.4630e-03     7.7957e-04
6.3350e-01     3.6440e-03     8.6496e-04
6.3350e-01     3.8260e-03     9.5558e-04
6.3350e-01     4.0080e-03     1.0510e-03
6.3350e-01     4.1890e-03     1.1508e-03
6.3350e-01     4.3710e-03     1.2560e-03
6.3350e-01     4.5530e-03     1.3663e-03
6.3350e-01     4.7350e-03     1.4816e-03
6.3350e-01     4.9160e-03     1.6015e-03
6.3350e-01     5.0980e-03     1.7271e-03
6.3350e-01     5.2800e-03     1.8581e-03
6.3350e-01     5.4620e-03     1.9945e-03
6.3350e-01     5.6430e-03     2.1355e-03
6.3350e-01     5.8250e-03     2.2828e-03
6.3350e-01     6.0070e-03     2.4358e-03
6.3350e-01     6.1880e-03     2.5936e-03
6.3350e-01     6.3700e-03     2.7581e-03
6.3350e-01     6.5520e-03     2.9284e-03
6.3350e-01     6.7340e-03     3.1048e-03
6.3350e-01     6.9150e-03     3.2863e-03
6.3350e-01     7.0970e-03     3.4749e-03
6.3350e-01     7.2790e-03     3.6699e-03
6.3350e-01     7.4600e-03     3.8702e-03
6.3350e-01     7.6420e-03     4.0781e-03
6.3350e-01     7.8240e-03     4.2927e-03
6.3350e-01     8.0060e-03     4.5141e-03
6.3350e-01     8.1870e-03     4.7410e-03
6.3350e-01     8.3690e-03     4.9763e-03
6.3350e-01     8.5510e-03     5.2187e-03
6.3350e-01     8.7320e-03     5.4670e-03
6.3350e-01     8.9140e-03     5.7241e-03
6.3350e-01     9.0960e-03     5.9887e-03
6.3350e-01     9.2780e-03     6.2610e-03
6.3350e-01     9.4590e-03     6.5396e-03
6.3350e-01     9.6410e-03     6.8277e-03
6.3350e-01     9.8230e-03     7.1239e-03
6.3350e-01     1.0000e-02     7.4199e-03
6.3350e-01     1.0190e-02     7.7466e-03
6.3350e-01     1.0370e-02     8.0647e-03
6.3350e-01     1.0550e-02     8.3913e-03
6.3350e-01     1.0730e-02     8.7267e-03
6.3350e-01     1.0910e-02     9.0710e-03
6.3350e-01     1.1090e-02     9.4243e-03
6.3350e-01     1.1280e-02     9.8073e-03
6.3350e-01     1.1460e-02     1.0180e-02
6.3350e-01     1.1640e-02     1.0562e-02
6.3350e-01     1.1820e-02     1.0954e-02
6.3350e-01     1.2000e-02     1.1355e-02
6.3350e-01     1.2190e-02     1.1790e-02
6.3350e-01     1.2370e-02     1.2213e-02
6.3350e-01     1.2550e-02     1.2646e-02
6.3350e-01     1.2730e-02     1.3090e-02
6.3350e-01     1.2910e-02     1.3544e-02
6.3350e-01     1.3090e-02     1.4010e-02
6.3350e-01     1.3280e-02     1.4514e-02
6.3350e-01     1.3460e-02     1.5003e-02
6.3350e-01     1.3640e-02     1.5503e-02
6.3350e-01     1.3820e-02     1.6016e-02
6.3350e-01     1.4000e-02     1.6541e-02
6.3350e-01     1.4180e-02     1.7077e-02
6.3350e-01     1.4370e-02     1.7658e-02
6.3350e-01     1.4550e-02     1.8220e-02
6.3350e-01     1.4730e-02     1.8796e-02
6.3350e-01     1.4910e-02     1.9385e-02
6.3350e-01     1.5090e-02     1.9987e-02
6.3350e-01     1.5270e-02     2.0602e-02
6.3350e-01     1.5460e-02     2.1267e-02
6.3350e-01     1.5640e-02     2.1911e-02
6.3350e-01     1.5820e-02     2.2570e-02
6.3350e-01     1.6000e-02     2.3242e-02
6.3350e-01     1.6180e-02     2.3930e-02
6.3350e-01     1.6360e-02     2.4632e-02
6.3350e-01     1.6550e-02     2.5390e-02
6.3350e-01     1.6730e-02     2.6124e-02
6.3350e-01     1.6910e-02     2.6873e-02
6.3350e-01     1.7090e-02     2.7638e-02
6.3350e-01     1.7270e-02     2.8420e-02
6.3350e-01     1.7450e-02     2.9217e-02
6.3350e-01     1.7640e-02     3.0077e-02
6.3350e-01     1.7820e-02     3.0908e-02
6.3350e-01     1.8000e-02     3.1757e-02
7.1660e-01     1.0000e-05     4.3530e-09
7.1660e-01     1.9170e-04     1.5998e-06
7.1660e-01     3.7340e-04     6.0706e-06
7.1660e-01     5.5520e-04     1.3424e-05
7.1660e-01     7.3690e-04     2.3658e-05
7.1660e-01     9.1860e-04     3.6780e-05
7.1660e-01     1.1000e-03     5.2770e-05
7.1660e-01     1.2820e-03     7.1724e-05
7.1660e-01     1.4640e-03     9.3607e-05
7.1660e-01     1.6450e-03     1.1829e-04
7.1660e-01     1.8270e-03     1.4605e-04
7.1660e-01     2.0090e-03     1.7679e-04
7.1660e-01     2.1910e-03     2.1052e-04
7.1660e-01     2.3720e-03     2.4705e-04
7.1660e-01     2.5540e-03     2.8681e-04
7.1660e-01     2.7360e-03     3.2963e-04
7.1660e-01     2.9170e-03     3.7527e-04
7.1660e-01     3.0990e-03     4.2427e-04
7.1660e-01     3.2810e-03     4.7641e-04
7.1660e-01     3.4630e-03     5.3172e-04
7.1660e-01     3.6440e-03     5.8991e-04
7.1660e-01     3.8260e-03     6.5166e-04
7.1660e-01     4.0080e-03     7.1668e-04
7.1660e-01     4.1890e-03     7.8463e-04
7.1660e-01     4.3710e-03     8.5631e-04
7.1660e-01     4.5530e-03     9.3139e-04
7.1660e-01     4.7350e-03     1.0099e-03
7.1660e-01     4.9160e-03     1.0915e-03
