 Element: F
 Maximum L = 10
 Maximum kappa = 12
 No. of energies = 30
 No. of velocities = 100


------------------------------------

e energy (keV) v/c            dP/dE
5.6000e-01     1.0000e-05     3.2703e-08
5.6000e-01     1.9170e-04     1.2019e-05
5.6000e-01     3.7340e-04     4.5606e-05
5.6000e-01     5.5520e-04     1.0085e-04
5.6000e-01     7.3690e-04     1.7772e-04
5.6000e-01     9.1860e-04     2.7627e-04
5.6000e-01     1.1000e-03     3.9636e-04
5.6000e-01     1.2820e-03     5.3868e-04
5.6000e-01     1.4640e-03     7.0296e-04
5.6000e-01     1.6450e-03     8.8820e-04
5.6000e-01     1.8270e-03     1.0965e-03
5.6000e-01     2.0090e-03     1.3271e-03
5.6000e-01     2.1910e-03     1.5801e-03
5.6000e-01     2.3720e-03     1.8540e-03
5.6000e-01     2.5540e-03     2.1521e-03
5.6000e-01     2.7360e-03     2.4729e-03
5.6000e-01     2.9170e-03     2.8148e-03
5.6000e-01     3.0990e-03     3.1817e-03
5.6000e-01     3.2810e-03     3.5720e-03
5.6000e-01     3.4630e-03     3.9859e-03
5.6000e-01     3.6440e-03     4.4211e-03
5.6000e-01     3.8260e-03     4.8827e-03
5.6000e-01     4.0080e-03     5.3686e-03
5.6000e-01     4.1890e-03     5.8763e-03
5.6000e-01     4.3710e-03     6.4115e-03
5.6000e-01     4.5530e-03     6.9718e-03
5.6000e-01     4.7350e-03     7.5576e-03
5.6000e-01     4.9160e-03     8.1657e-03
5.6000e-01     5.0980e-03     8.8033e-03
5.6000e-01     5.2800e-03     9.4672e-03
5.6000e-01     5.4620e-03     1.0158e-02
5.6000e-01     5.6430e-03     1.0872e-02
5.6000e-01     5.8250e-03     1.1618e-02
5.6000e-01     6.0070e-03     1.2391e-02
5.6000e-01     6.1880e-03     1.3188e-02
5.6000e-01     6.3700e-03     1.4019e-02
5.6000e-01     6.5520e-03     1.4879e-02
5.6000e-01     6.7340e-03     1.5769e-02
5.6000e-01     6.9150e-03     1.6684e-02
5.6000e-01     7.0970e-03     1.7635e-02
5.6000e-01     7.2790e-03     1.8618e-02
5.6000e-01     7.4600e-03     1.9627e-02
5.6000e-01     7.6420e-03     2.0673e-02
5.6000e-01     7.8240e-03     2.1753e-02
5.6000e-01     8.0060e-03     2.2867e-02
5.6000e-01     8.1870e-03     2.4009e-02
5.6000e-01     8.3690e-03     2.5192e-02
5.6000e-01     8.5510e-03     2.6411e-02
5.6000e-01     8.7320e-03     2.7660e-02
5.6000e-01     8.9140e-03     2.8952e-02
5.6000e-01     9.0960e-03     3.0283e-02
5.6000e-01     9.2780e-03     3.1652e-02
5.6000e-01     9.4590e-03     3.3053e-02
5.6000e-01     9.6410e-03     3.4503e-02
5.6000e-01     9.8230e-03     3.5993e-02
5.6000e-01     1.0000e-02     3.7484e-02
5.6000e-01     1.0190e-02     3.9129e-02
5.6000e-01     1.0370e-02     4.0732e-02
5.6000e-01     1.0550e-02     4.2380e-02
5.6000e-01     1.0730e-02     4.4072e-02
5.6000e-01     1.0910e-02     4.5811e-02
5.6000e-01     1.1090e-02     4.7597e-02
5.6000e-01     1.1280e-02     4.9536e-02
5.6000e-01     1.1460e-02     5.1423e-02
5.6000e-01     1.1640e-02     5.3361e-02
5.6000e-01     1.1820e-02     5.5351e-02
5.6000e-01     1.2000e-02     5.7394e-02
5.6000e-01     1.2190e-02     5.9610e-02
5.6000e-01     1.2370e-02     6.1768e-02
5.6000e-01     1.2550e-02     6.3982e-02
5.6000e-01     1.2730e-02     6.6256e-02
5.6000e-01     1.2910e-02     6.8590e-02
5.6000e-01     1.3090e-02     7.0986e-02
5.6000e-01     1.3280e-02     7.3585e-02
5.6000e-01     1.3460e-02     7.6113e-02
5.6000e-01     1.3640e-02     7.8709e-02
5.6000e-01     1.3820e-02     8.1374e-02
5.6000e-01     1.4000e-02     8.4110e-02
5.6000e-01     1.4180e-02     8.6918e-02
5.6000e-01     1.4370e-02     8.9963e-02
5.6000e-01     1.4550e-02     9.2926e-02
5.6000e-01     1.4730e-02     9.5969e-02
5.6000e-01     1.4910e-02     9.9092e-02
5.6000e-01     1.5090e-02     1.0230e-01
5.6000e-01     1.5270e-02     1.0559e-01
5.6000e-01     1.5460e-02     1.0916e-01
5.6000e-01     1.5640e-02     1.1264e-01
5.6000e-01     1.5820e-02     1.1621e-01
5.6000e-01     1.6000e-02     1.1987e-01
5.6000e-01     1.6180e-02     1.2364e-01
5.6000e-01     1.6360e-02     1.2751e-01
5.6000e-01     1.6550e-02     1.3170e-01
5.6000e-01     1.6730e-02     1.3579e-01
5.6000e-01     1.6910e-02     1.3998e-01
5.6000e-01     1.7090e-02     1.4429e-01
5.6000e-01     1.7270e-02     1.4872e-01
5.6000e-01     1.7450e-02     1.5327e-01
5.6000e-01     1.7640e-02     1.5822e-01
5.6000e-01     1.7820e-02     1.6303e-01
5.6000e-01     1.8000e-02     1.6798e-01
6.3350e-01     1.0000e-05     2.4535e-08
6.3350e-01     1.9170e-04     9.0168e-06
6.3350e-01     3.7340e-04     3.4214e-05
6.3350e-01     5.5520e-04     7.5656e-05
6.3350e-01     7.3690e-04     1.3332e-04
6.3350e-01     9.1860e-04     2.0724e-04
6.3350e-01     1.1000e-03     2.9729e-04
6.3350e-01     1.2820e-03     4.0401e-04
6.3350e-01     1.4640e-03     5.2717e-04
6.3350e-01     1.6450e-03     6.6602e-04
6.3350e-01     1.8270e-03     8.2216e-04
6.3350e-01     2.0090e-03     9.9492e-04
6.3350e-01     2.1910e-03     1.1844e-03
6.3350e-01     2.3720e-03     1.3895e-03
6.3350e-01     2.5540e-03     1.6126e-03
6.3350e-01     2.7360e-03     1.8527e-03
6.3350e-01     2.9170e-03     2.1085e-03
6.3350e-01     3.0990e-03     2.3828e-03
6.3350e-01     3.2810e-03     2.6745e-03
6.3350e-01     3.4630e-03     2.9838e-03
6.3350e-01     3.6440e-03     3.3088e-03
6.3350e-01     3.8260e-03     3.6533e-03
6.3350e-01     4.0080e-03     4.0158e-03
6.3350e-01     4.1890e-03     4.3943e-03
6.3350e-01     4.3710e-03     4.7932e-03
6.3350e-01     4.5530e-03     5.2105e-03
6.3350e-01     4.7350e-03     5.6466e-03
6.3350e-01     4.9160e-03     6.0989e-03
6.3350e-01     5.0980e-03     6.5729e-03
6.3350e-01     5.2800e-03     7.0661e-03
6.3350e-01     5.4620e-03     7.5790e-03
6.3350e-01     5.6430e-03     8.1086e-03
6.3350e-01     5.8250e-03     8.6612e-03
6.3350e-01     6.0070e-03     9.2341e-03
6.3350e-01     6.1880e-03     9.8244e-03
6.3350e-01     6.3700e-03     1.0439e-02
6.3350e-01     6.5520e-03     1.1074e-02
6.3350e-01     6.7340e-03     1.1731e-02
6.3350e-01     6.9150e-03     1.2406e-02
6.3350e-01     7.0970e-03     1.3107e-02
6.3350e-01     7.2790e-03     1.3830e-02
6.3350e-01     7.4600e-03     1.4572e-02
6.3350e-01     7.6420e-03     1.5341e-02
6.3350e-01     7.8240e-03     1.6134e-02
6.3350e-01     8.0060e-03     1.6951e-02
6.3350e-01     8.1870e-03     1.7787e-02
6.3350e-01     8.3690e-03     1.8653e-02
6.3350e-01     8.5510e-03     1.9544e-02
6.3350e-01     8.7320e-03     2.0455e-02
6.3350e-01     8.9140e-03     2.1397e-02
6.3350e-01     9.0960e-03     2.2367e-02
6.3350e-01     9.2780e-03     2.3363e-02
6.3350e-01     9.4590e-03     2.4381e-02
6.3350e-01     9.6410e-03     2.5432e-02
6.3350e-01     9.8230e-03     2.6513e-02
6.3350e-01     1.0000e-02     2.7591e-02
6.3350e-01     1.0190e-02     2.8780e-02
6.3350e-01     1.0370e-02     2.9937e-02
6.3350e-01     1.0550e-02     3.1124e-02
6.3350e-01     1.0730e-02     3.2343e-02
6.3350e-01     1.0910e-02     3.3592e-02
6.3350e-01     1.1090e-02     3.4874e-02
6.3350e-01     1.1280e-02     3.6263e-02
6.3350e-01     1.1460e-02     3.7613e-02
6.3350e-01     1.1640e-02     3.8997e-02
6.3350e-01     1.1820e-02     4.0416e-02
6.3350e-01     1.2000e-02     4.1871e-02
6.3350e-01     1.2190e-02     4.3447e-02
6.3350e-01     1.2370e-02     4.4978e-02
6.3350e-01     1.2550e-02     4.6547e-02
6.3350e-01     1.2730e-02     4.8155e-02
6.3350e-01     1.2910e-02     4.9803e-02
6.3350e-01     1.3090e-02     5.1492e-02
6.3350e-01     1.3280e-02     5.3319e-02
6.3350e-01     1.3460e-02     5.5095e-02
6.3350e-01     1.3640e-02     5.6915e-02
6.3350e-01     1.3820e-02     5.8779e-02
6.3350e-01     1.4000e-02     6.0689e-02
6.3350e-01     1.4180e-02     6.2646e-02
6.3350e-01     1.4370e-02     6.4764e-02
6.3350e-01     1.4550e-02     6.6821e-02
6.3350e-01     1.4730e-02     6.8928e-02
6.3350e-01     1.4910e-02     7.1087e-02
6.3350e-01     1.5090e-02     7.3299e-02
6.3350e-01     1.5270e-02     7.5566e-02
6.3350e-01     1.5460e-02     7.8019e-02
6.3350e-01     1.5640e-02     8.0402e-02
6.3350e-01     1.5820e-02     8.2843e-02
6.3350e-01     1.6000e-02     8.5344e-02
6.3350e-01     1.6180e-02     8.7907e-02
6.3350e-01     1.6360e-02     9.0534e-02
6.3350e-01     1.6550e-02     9.3376e-02
6.3350e-01     1.6730e-02     9.6138e-02
6.3350e-01     1.6910e-02     9.8969e-02
6.3350e-01     1.7090e-02     1.0187e-01
6.3350e-01     1.7270e-02     1.0484e-01
6.3350e-01     1.7450e-02     1.0789e-01
6.3350e-01     1.7640e-02     1.1119e-01
6.3350e-01     1.7820e-02     1.1440e-01
6.3350e-01     1.8000e-02     1.1768e-01
7.1660e-01     1.0000e-05     1.8381e-08
7.1660e-01     1.9170e-04     6.7552e-06
7.1660e-01     3.7340e-04     2.5632e-05
7.1660e-01     5.5520e-04     5.6677e-05
7.1660e-01     7.3690e-04     9.9870e-05
7.1660e-01     9.1860e-04     1.5524e-04
7.1660e-01     1.1000e-03     2.2269e-04
7.1660e-01     1.2820e-03     3.0261e-04
7.1660e-01     1.4640e-03     3.9483e-04
7.1660e-01     1.6450e-03     4.9878e-04
7.1660e-01     1.8270e-03     6.1565e-04
7.1660e-01     2.0090e-03     7.4495e-04
7.1660e-01     2.1910e-03     8.8673e-04
7.1660e-01     2.3720e-03     1.0402e-03
7.1660e-01     2.5540e-03     1.2070e-03
7.1660e-01     2.7360e-03     1.3865e-03
7.1660e-01     2.9170e-03     1.5777e-03
7.1660e-01     3.0990e-03     1.7827e-03
7.1660e-01     3.2810e-03     2.0007e-03
7.1660e-01     3.4630e-03     2.2316e-03
7.1660e-01     3.6440e-03     2.4742e-03
7.1660e-01     3.8260e-03     2.7313e-03
7.1660e-01     4.0080e-03     3.0017e-03
7.1660e-01     4.1890e-03     3.2840e-03
7.1660e-01     4.3710e-03     3.5812e-03
7.1660e-01     4.5530e-03     3.8921e-03
7.1660e-01     4.7350e-03     4.2168e-03
7.1660e-01     4.9160e-03     4.5535e-03
7.1660e-01     5.0980e-03     4.9061e-03
7.1660e-01     5.2800e-03     5.2728e-03
7.1660e-01     5.4620e-03     5.6539e-03
7.1660e-01     5.6430e-03     6.0473e-03
7.1660e-01     5.8250e-03     6.4575e-03
7.1660e-01     6.0070e-03     6.8825e-03
7.1660e-01     6.1880e-03     7.3200e-03
