 Element: F
 Maximum L = 10
 Maximum kappa = 12
 No. of transitions =  2
 No. of channels =   174
 No. of energies = 100
 No. of velocities = 100
------------------------------------

e energy (keV) v/c            dP/dE
1.0000e-04     1.0000e-05     4.1412e-05
1.0000e-04     1.9170e-04     1.5181e-02
1.0000e-04     3.7340e-04     5.7197e-02
1.0000e-04     5.5520e-04     1.2501e-01
1.0000e-04     7.3690e-04     2.1676e-01
1.0000e-04     9.1860e-04     3.3009e-01
1.0000e-04     1.1000e-03     4.6183e-01
1.0000e-04     1.2820e-03     6.0939e-01
1.0000e-04     1.4640e-03     7.6873e-01
1.0000e-04     1.6450e-03     9.3512e-01
1.0000e-04     1.8270e-03     1.1066e+00
1.0000e-04     2.0090e-03     1.2785e+00
1.0000e-04     2.1910e-03     1.4473e+00
1.0000e-04     2.3720e-03     1.6089e+00
1.0000e-04     2.5540e-03     1.7621e+00
1.0000e-04     2.7360e-03     1.9035e+00
1.0000e-04     2.9170e-03     2.0304e+00
1.0000e-04     3.0990e-03     2.1427e+00
1.0000e-04     3.2810e-03     2.2386e+00
1.0000e-04     3.4630e-03     2.3173e+00
1.0000e-04     3.6440e-03     2.3784e+00
1.0000e-04     3.8260e-03     2.4226e+00
1.0000e-04     4.0080e-03     2.4501e+00
1.0000e-04     4.1890e-03     2.4616e+00
1.0000e-04     4.3710e-03     2.4582e+00
1.0000e-04     4.5530e-03     2.4408e+00
1.0000e-04     4.7350e-03     2.4107e+00
1.0000e-04     4.9160e-03     2.3695e+00
1.0000e-04     5.0980e-03     2.3180e+00
1.0000e-04     5.2800e-03     2.2577e+00
1.0000e-04     5.4620e-03     2.1900e+00
1.0000e-04     5.6430e-03     2.1165e+00
1.0000e-04     5.8250e-03     2.0375e+00
1.0000e-04     6.0070e-03     1.9546e+00
1.0000e-04     6.1880e-03     1.8693e+00
1.0000e-04     6.3700e-03     1.7815e+00
1.0000e-04     6.5520e-03     1.6925e+00
1.0000e-04     6.7340e-03     1.6032e+00
1.0000e-04     6.9150e-03     1.5147e+00
1.0000e-04     7.0970e-03     1.4266e+00
1.0000e-04     7.2790e-03     1.3399e+00
1.0000e-04     7.4600e-03     1.2556e+00
1.0000e-04     7.6420e-03     1.1731e+00
1.0000e-04     7.8240e-03     1.0932e+00
1.0000e-04     8.0060e-03     1.0162e+00
1.0000e-04     8.1870e-03     9.4275e-01
1.0000e-04     8.3690e-03     8.7212e-01
1.0000e-04     8.5510e-03     8.0489e-01
1.0000e-04     8.7320e-03     7.4146e-01
1.0000e-04     8.9140e-03     6.8118e-01
1.0000e-04     9.0960e-03     6.2442e-01
1.0000e-04     9.2780e-03     5.7115e-01
1.0000e-04     9.4590e-03     5.2157e-01
1.0000e-04     9.6410e-03     4.7508e-01
1.0000e-04     9.8230e-03     4.3184e-01
1.0000e-04     1.0000e-02     3.9283e-01
1.0000e-04     1.0190e-02     3.5414e-01
1.0000e-04     1.0370e-02     3.2039e-01
1.0000e-04     1.0550e-02     2.8934e-01
1.0000e-04     1.0730e-02     2.6083e-01
1.0000e-04     1.0910e-02     2.3473e-01
1.0000e-04     1.1090e-02     2.1089e-01
1.0000e-04     1.1280e-02     1.8801e-01
1.0000e-04     1.1460e-02     1.6835e-01
1.0000e-04     1.1640e-02     1.5052e-01
1.0000e-04     1.1820e-02     1.3437e-01
1.0000e-04     1.2000e-02     1.1977e-01
1.0000e-04     1.2190e-02     1.0592e-01
1.0000e-04     1.2370e-02     9.4145e-02
1.0000e-04     1.2550e-02     8.3563e-02
1.0000e-04     1.2730e-02     7.4073e-02
1.0000e-04     1.2910e-02     6.5576e-02
1.0000e-04     1.3090e-02     5.7982e-02
1.0000e-04     1.3280e-02     5.0850e-02
1.0000e-04     1.3460e-02     4.4850e-02
1.0000e-04     1.3640e-02     3.9512e-02
1.0000e-04     1.3820e-02     3.4770e-02
1.0000e-04     1.4000e-02     3.0564e-02
1.0000e-04     1.4180e-02     2.6838e-02
1.0000e-04     1.4370e-02     2.3370e-02
1.0000e-04     1.4550e-02     2.0478e-02
1.0000e-04     1.4730e-02     1.7926e-02
1.0000e-04     1.4910e-02     1.5677e-02
1.0000e-04     1.5090e-02     1.3697e-02
1.0000e-04     1.5270e-02     1.1956e-02
1.0000e-04     1.5460e-02     1.0348e-02
1.0000e-04     1.5640e-02     9.0169e-03
1.0000e-04     1.5820e-02     7.8501e-03
1.0000e-04     1.6000e-02     6.8287e-03
1.0000e-04     1.6180e-02     5.9354e-03
1.0000e-04     1.6360e-02     5.1550e-03
1.0000e-04     1.6550e-02     4.4385e-03
1.0000e-04     1.6730e-02     3.8489e-03
