 Element: F
 Maximum L = 10
 Maximum kappa = 12
 No. of transitions =  2
 No. of channels =   174
 No. of energies = 100
 No. of velocities = 100
------------------------------------

e energy (keV) v/c            dP/dE
1.0000e-04     1.0000e-05     4.1412e-05
1.0000e-04     1.0790e-05     4.8213e-05
1.0000e-04     1.1630e-05     5.6012e-05
1.0000e-04     1.2550e-05     6.5224e-05
1.0000e-04     1.3540e-05     7.5920e-05
1.0000e-04     1.4600e-05     8.8273e-05
1.0000e-04     1.5750e-05     1.0273e-04
1.0000e-04     1.6990e-05     1.1954e-04
1.0000e-04     1.8330e-05     1.3914e-04
1.0000e-04     1.9770e-05     1.6186e-04
1.0000e-04     2.1320e-05     1.8823e-04
1.0000e-04     2.3000e-05     2.1906e-04
1.0000e-04     2.4810e-05     2.5490e-04
1.0000e-04     2.6760e-05     2.9654e-04
1.0000e-04     2.8860e-05     3.4490e-04
1.0000e-04     3.1130e-05     4.0129e-04
1.0000e-04     3.3580e-05     4.6693e-04
1.0000e-04     3.6220e-05     5.4323e-04
1.0000e-04     3.9070e-05     6.3207e-04
1.0000e-04     4.2150e-05     7.3565e-04
1.0000e-04     4.5460e-05     8.5571e-04
1.0000e-04     4.9040e-05     9.9576e-04
1.0000e-04     5.2890e-05     1.1582e-03
1.0000e-04     5.7050e-05     1.3475e-03
1.0000e-04     6.1540e-05     1.5679e-03
1.0000e-04     6.6380e-05     1.8242e-03
1.0000e-04     7.1600e-05     2.1223e-03
1.0000e-04     7.7230e-05     2.4690e-03
1.0000e-04     8.3310e-05     2.8729e-03
1.0000e-04     8.9860e-05     3.3421e-03
1.0000e-04     9.6930e-05     3.8884e-03
1.0000e-04     1.0460e-04     4.5276e-03
1.0000e-04     1.1280e-04     5.2647e-03
1.0000e-04     1.2160e-04     6.1173e-03
1.0000e-04     1.3120e-04     7.1201e-03
1.0000e-04     1.4150e-04     8.2804e-03
1.0000e-04     1.5270e-04     9.6409e-03
1.0000e-04     1.6470e-04     1.1213e-02
1.0000e-04     1.7760e-04     1.3034e-02
1.0000e-04     1.9160e-04     1.5165e-02
1.0000e-04     2.0670e-04     1.7642e-02
1.0000e-04     2.2290e-04     2.0506e-02
1.0000e-04     2.4040e-04     2.3839e-02
1.0000e-04     2.5940e-04     2.7739e-02
1.0000e-04     2.7980e-04     3.2249e-02
1.0000e-04     3.0180e-04     3.7487e-02
1.0000e-04     3.2550e-04     4.3562e-02
1.0000e-04     3.5110e-04     5.0624e-02
1.0000e-04     3.7870e-04     5.8816e-02
1.0000e-04     4.0850e-04     6.8328e-02
1.0000e-04     4.4060e-04     7.9342e-02
1.0000e-04     4.7530e-04     9.2133e-02
1.0000e-04     5.1270e-04     1.0693e-01
1.0000e-04     5.5300e-04     1.2405e-01
1.0000e-04     5.9650e-04     1.4384e-01
1.0000e-04     6.4340e-04     1.6669e-01
1.0000e-04     6.9400e-04     1.9306e-01
1.0000e-04     7.4860e-04     2.2344e-01
1.0000e-04     8.0750e-04     2.5838e-01
1.0000e-04     8.7100e-04     2.9847e-01
1.0000e-04     9.3950e-04     3.4438e-01
1.0000e-04     1.0130e-03     3.9653e-01
1.0000e-04     1.0930e-03     4.5644e-01
1.0000e-04     1.1790e-03     5.2420e-01
1.0000e-04     1.2720e-03     6.0094e-01
1.0000e-04     1.3720e-03     6.8695e-01
1.0000e-04     1.4800e-03     7.8317e-01
1.0000e-04     1.5960e-03     8.8951e-01
1.0000e-04     1.7220e-03     1.0074e+00
1.0000e-04     1.8570e-03     1.1350e+00
1.0000e-04     2.0030e-03     1.2729e+00
1.0000e-04     2.1610e-03     1.4199e+00
1.0000e-04     2.3310e-03     1.5730e+00
1.0000e-04     2.5140e-03     1.7293e+00
1.0000e-04     2.7120e-03     1.8856e+00
1.0000e-04     2.9250e-03     2.0357e+00
1.0000e-04     3.1550e-03     2.1740e+00
1.0000e-04     3.4030e-03     2.2933e+00
1.0000e-04     3.6710e-03     2.3860e+00
1.0000e-04     3.9600e-03     2.4445e+00
1.0000e-04     4.2710e-03     2.4619e+00
1.0000e-04     4.6070e-03     2.4331e+00
1.0000e-04     4.9690e-03     2.3555e+00
1.0000e-04     5.3600e-03     2.2288e+00
1.0000e-04     5.7820e-03     2.0566e+00
1.0000e-04     6.2360e-03     1.8463e+00
1.0000e-04     6.7270e-03     1.6066e+00
1.0000e-04     7.2560e-03     1.3507e+00
1.0000e-04     7.8270e-03     1.0919e+00
1.0000e-04     8.4420e-03     8.4474e-01
1.0000e-04     9.1060e-03     6.2140e-01
1.0000e-04     9.8220e-03     4.3207e-01
1.0000e-04     1.0600e-02     2.8117e-01
1.0000e-04     1.1430e-02     1.7150e-01
1.0000e-04     1.2330e-02     9.6655e-02
1.0000e-04     1.3300e-02     5.0148e-02
1.0000e-04     1.4340e-02     2.3888e-02
1.0000e-04     1.5470e-02     1.0270e-02
1.0000e-04     1.6690e-02     3.9730e-03
1.0000e-04     1.8000e-02     1.3805e-03
1.1310e-04     1.0000e-05     4.1468e-05
1.1310e-04     1.0790e-05     4.8279e-05
1.1310e-04     1.1630e-05     5.6088e-05
1.1310e-04     1.2550e-05     6.5313e-05
1.1310e-04     1.3540e-05     7.6023e-05
1.1310e-04     1.4600e-05     8.8392e-05
1.1310e-04     1.5750e-05     1.0287e-04
1.1310e-04     1.6990e-05     1.1970e-04
1.1310e-04     1.8330e-05     1.3933e-04
1.1310e-04     1.9770e-05     1.6208e-04
1.1310e-04     2.1320e-05     1.8848e-04
1.1310e-04     2.3000e-05     2.1936e-04
1.1310e-04     2.4810e-05     2.5524e-04
1.1310e-04     2.6760e-05     2.9694e-04
1.1310e-04     2.8860e-05     3.4537e-04
1.1310e-04     3.1130e-05     4.0183e-04
1.1310e-04     3.3580e-05     4.6757e-04
1.1310e-04     3.6220e-05     5.4397e-04
1.1310e-04     3.9070e-05     6.3293e-04
1.1310e-04     4.2150e-05     7.3664e-04
1.1310e-04     4.5460e-05     8.5687e-04
1.1310e-04     4.9040e-05     9.9711e-04
1.1310e-04     5.2890e-05     1.1598e-03
1.1310e-04     5.7050e-05     1.3494e-03
1.1310e-04     6.1540e-05     1.5701e-03
1.1310e-04     6.6380e-05     1.8267e-03
1.1310e-04     7.1600e-05     2.1252e-03
1.1310e-04     7.7230e-05     2.4724e-03
1.1310e-04     8.3310e-05     2.8768e-03
1.1310e-04     8.9860e-05     3.3466e-03
1.1310e-04     9.6930e-05     3.8936e-03
1.1310e-04     1.0460e-04     4.5337e-03
1.1310e-04     1.1280e-04     5.2718e-03
1.1310e-04     1.2160e-04     6.1256e-03
1.1310e-04     1.3120e-04     7.1298e-03
1.1310e-04     1.4150e-04     8.2916e-03
1.1310e-04     1.5270e-04     9.6540e-03
1.1310e-04     1.6470e-04     1.1228e-02
1.1310e-04     1.7760e-04     1.3052e-02
1.1310e-04     1.9160e-04     1.5185e-02
1.1310e-04     2.0670e-04     1.7666e-02
1.1310e-04     2.2290e-04     2.0534e-02
1.1310e-04     2.4040e-04     2.3872e-02
1.1310e-04     2.5940e-04     2.7776e-02
1.1310e-04     2.7980e-04     3.2293e-02
1.1310e-04     3.0180e-04     3.7538e-02
1.1310e-04     3.2550e-04     4.3621e-02
1.1310e-04     3.5110e-04     5.0693e-02
1.1310e-04     3.7870e-04     5.8896e-02
1.1310e-04     4.0850e-04     6.8421e-02
1.1310e-04     4.4060e-04     7.9450e-02
1.1310e-04     4.7530e-04     9.2258e-02
1.1310e-04     5.1270e-04     1.0708e-01
1.1310e-04     5.5300e-04     1.2422e-01
1.1310e-04     5.9650e-04     1.4404e-01
1.1310e-04     6.4340e-04     1.6692e-01
1.1310e-04     6.9400e-04     1.9332e-01
1.1310e-04     7.4860e-04     2.2375e-01
1.1310e-04     8.0750e-04     2.5874e-01
1.1310e-04     8.7100e-04     2.9888e-01
1.1310e-04     9.3950e-04     3.4486e-01
1.1310e-04     1.0130e-03     3.9708e-01
1.1310e-04     1.0930e-03     4.5709e-01
1.1310e-04     1.1790e-03     5.2494e-01
1.1310e-04     1.2720e-03     6.0180e-01
1.1310e-04     1.3720e-03     6.8793e-01
1.1310e-04     1.4800e-03     7.8430e-01
1.1310e-04     1.5960e-03     8.9081e-01
1.1310e-04     1.7220e-03     1.0089e+00
1.1310e-04     1.8570e-03     1.1367e+00
1.1310e-04     2.0030e-03     1.2748e+00
1.1310e-04     2.1610e-03     1.4220e+00
1.1310e-04     2.3310e-03     1.5754e+00
1.1310e-04     2.5140e-03     1.7320e+00
1.1310e-04     2.7120e-03     1.8886e+00
1.1310e-04     2.9250e-03     2.0390e+00
1.1310e-04     3.1550e-03     2.1776e+00
1.1310e-04     3.4030e-03     2.2970e+00
1.1310e-04     3.6710e-03     2.3900e+00
1.1310e-04     3.9600e-03     2.4485e+00
1.1310e-04     4.2710e-03     2.4660e+00
1.1310e-04     4.6070e-03     2.4371e+00
1.1310e-04     4.9690e-03     2.3593e+00
1.1310e-04     5.3600e-03     2.2323e+00
1.1310e-04     5.7820e-03     2.0597e+00
1.1310e-04     6.2360e-03     1.8489e+00
1.1310e-04     6.7270e-03     1.6088e+00
1.1310e-04     7.2560e-03     1.3524e+00
1.1310e-04     7.8270e-03     1.0931e+00
1.1310e-04     8.4420e-03     8.4558e-01
1.1310e-04     9.1060e-03     6.2194e-01
1.1310e-04     9.8220e-03     4.3239e-01
1.1310e-04     1.0600e-02     2.8134e-01
1.1310e-04     1.1430e-02     1.7158e-01
1.1310e-04     1.2330e-02     9.6691e-02
1.1310e-04     1.3300e-02     5.0162e-02
1.1310e-04     1.4340e-02     2.3892e-02
1.1310e-04     1.5470e-02     1.0270e-02
1.1310e-04     1.6690e-02     3.9729e-03
1.1310e-04     1.8000e-02     1.3803e-03
1.2800e-04     1.0000e-05     4.1531e-05
1.2800e-04     1.0790e-05     4.8352e-05
1.2800e-04     1.1630e-05     5.6174e-05
1.2800e-04     1.2550e-05     6.5413e-05
1.2800e-04     1.3540e-05     7.6140e-05
1.2800e-04     1.4600e-05     8.8528e-05
1.2800e-04     1.5750e-05     1.0302e-04
1.2800e-04     1.6990e-05     1.1988e-04
1.2800e-04     1.8330e-05     1.3954e-04
1.2800e-04     1.9770e-05     1.6232e-04
1.2800e-04     2.1320e-05     1.8877e-04
1.2800e-04     2.3000e-05     2.1969e-04
1.2800e-04     2.4810e-05     2.5563e-04
1.2800e-04     2.6760e-05     2.9739e-04
1.2800e-04     2.8860e-05     3.4590e-04
1.2800e-04     3.1130e-05     4.0245e-04
1.2800e-04     3.3580e-05     4.6828e-04
1.2800e-04     3.6220e-05     5.4480e-04
1.2800e-04     3.9070e-05     6.3390e-04
1.2800e-04     4.2150e-05     7.3777e-04
1.2800e-04     4.5460e-05     8.5818e-04
1.2800e-04     4.9040e-05     9.9864e-04
1.2800e-04     5.2890e-05     1.1616e-03
1.2800e-04     5.7050e-05     1.3514e-03
1.2800e-04     6.1540e-05     1.5725e-03
1.2800e-04     6.6380e-05     1.8295e-03
1.2800e-04     7.1600e-05     2.1284e-03
1.2800e-04     7.7230e-05     2.4761e-03
1.2800e-04     8.3310e-05     2.8812e-03
1.2800e-04     8.9860e-05     3.3518e-03
1.2800e-04     9.6930e-05     3.8996e-03
1.2800e-04     1.0460e-04     4.5407e-03
1.2800e-04     1.1280e-04     5.2799e-03
1.2800e-04     1.2160e-04     6.1350e-03
1.2800e-04     1.3120e-04     7.1407e-03
1.2800e-04     1.4150e-04     8.3043e-03
1.2800e-04     1.5270e-04     9.6688e-03
1.2800e-04     1.6470e-04     1.1245e-02
1.2800e-04     1.7760e-04     1.3072e-02
1.2800e-04     1.9160e-04     1.5209e-02
1.2800e-04     2.0670e-04     1.7693e-02
1.2800e-04     2.2290e-04     2.0565e-02
1.2800e-04     2.4040e-04     2.3908e-02
1.2800e-04     2.5940e-04     2.7819e-02
1.2800e-04     2.7980e-04     3.2342e-02
1.2800e-04     3.0180e-04     3.7596e-02
1.2800e-04     3.2550e-04     4.3688e-02
1.2800e-04     3.5110e-04     5.0771e-02
1.2800e-04     3.7870e-04     5.8987e-02
1.2800e-04     4.0850e-04     6.8526e-02
1.2800e-04     4.4060e-04     7.9572e-02
1.2800e-04     4.7530e-04     9.2401e-02
1.2800e-04     5.1270e-04     1.0725e-01
1.2800e-04     5.5300e-04     1.2441e-01
1.2800e-04     5.9650e-04     1.4426e-01
1.2800e-04     6.4340e-04     1.6718e-01
1.2800e-04     6.9400e-04     1.9363e-01
1.2800e-04     7.4860e-04     2.2410e-01
1.2800e-04     8.0750e-04     2.5915e-01
1.2800e-04     8.7100e-04     2.9935e-01
1.2800e-04     9.3950e-04     3.4540e-01
1.2800e-04     1.0130e-03     3.9771e-01
1.2800e-04     1.0930e-03     4.5781e-01
1.2800e-04     1.1790e-03     5.2578e-01
1.2800e-04     1.2720e-03     6.0277e-01
1.2800e-04     1.3720e-03     6.8904e-01
1.2800e-04     1.4800e-03     7.8558e-01
1.2800e-04     1.5960e-03     8.9227e-01
1.2800e-04     1.7220e-03     1.0105e+00
1.2800e-04     1.8570e-03     1.1386e+00
1.2800e-04     2.0030e-03     1.2770e+00
1.2800e-04     2.1610e-03     1.4245e+00
1.2800e-04     2.3310e-03     1.5782e+00
1.2800e-04     2.5140e-03     1.7351e+00
1.2800e-04     2.7120e-03     1.8920e+00
1.2800e-04     2.9250e-03     2.0427e+00
1.2800e-04     3.1550e-03     2.1816e+00
1.2800e-04     3.4030e-03     2.3013e+00
1.2800e-04     3.6710e-03     2.3945e+00
