 Element: F
 Maximum L =  1
 Maximum kappa = 20
 No. of transitions =  2
 No. of channels =    30
 No. of energies = 100
 No. of velocities =   1
------------------------------------

e energy (keV) v/c            dP/dE
1.0000e-04     1.0000e-03     4.1412e-01
1.1310e-04     1.0000e-03     4.1468e-01
1.2800e-04     1.0000e-03     4.1532e-01
1.4480e-04     1.0000e-03     4.1603e-01
1.6380e-04     1.0000e-03     4.1683e-01
1.8520e-04     1.0000e-03     4.1772e-01
2.0950e-04     1.0000e-03     4.1872e-01
2.3700e-04     1.0000e-03     4.1985e-01
2.6810e-04     1.0000e-03     4.2110e-01
3.0330e-04     1.0000e-03     4.2250e-01
3.4310e-04     1.0000e-03     4.2406e-01
3.8820e-04     1.0000e-03     4.2579e-01
4.3910e-04     1.0000e-03     4.2771e-01
4.9670e-04     1.0000e-03     4.2983e-01
5.6190e-04     1.0000e-03     4.3216e-01
6.3560e-04     1.0000e-03     4.3472e-01
7.1900e-04     1.0000e-03     4.3751e-01
8.1340e-04     1.0000e-03     4.4054e-01
9.2010e-04     1.0000e-03     4.4381e-01
1.0410e-03     1.0000e-03     4.4731e-01
1.1770e-03     1.0000e-03     4.5101e-01
1.3320e-03     1.0000e-03     4.5491e-01
1.5070e-03     1.0000e-03     4.5894e-01
1.7040e-03     1.0000e-03     4.6302e-01
1.9280e-03     1.0000e-03     4.6709e-01
2.1810e-03     1.0000e-03     4.7101e-01
2.4670e-03     1.0000e-03     4.7463e-01
2.7910e-03     1.0000e-03     4.7776e-01
3.1570e-03     1.0000e-03     4.8017e-01
3.5710e-03     1.0000e-03     4.8157e-01
4.0400e-03     1.0000e-03     4.8165e-01
4.5700e-03     1.0000e-03     4.8007e-01
5.1700e-03     1.0000e-03     4.7644e-01
5.8480e-03     1.0000e-03     4.7038e-01
6.6150e-03     1.0000e-03     4.6153e-01
7.4830e-03     1.0000e-03     4.4954e-01
8.4650e-03     1.0000e-03     4.3416e-01
9.5760e-03     1.0000e-03     4.1528e-01
1.0830e-02     1.0000e-03     3.9295e-01
1.2250e-02     1.0000e-03     3.6733e-01
1.3860e-02     1.0000e-03     3.3875e-01
1.5680e-02     1.0000e-03     3.0792e-01
1.7740e-02     1.0000e-03     2.7555e-01
2.0070e-02     1.0000e-03     2.4253e-01
2.2700e-02     1.0000e-03     2.0988e-01
2.5680e-02     1.0000e-03     1.7835e-01
2.9050e-02     1.0000e-03     1.4882e-01
3.2860e-02     1.0000e-03     1.2190e-01
3.7170e-02     1.0000e-03     9.8009e-02
4.2050e-02     1.0000e-03     7.7339e-02
4.7570e-02     1.0000e-03     5.9925e-02
5.3810e-02     1.0000e-03     4.5618e-02
6.0870e-02     1.0000e-03     3.4127e-02
6.8850e-02     1.0000e-03     2.5112e-02
7.7890e-02     1.0000e-03     1.8172e-02
8.8110e-02     1.0000e-03     1.2949e-02
9.9670e-02     1.0000e-03     9.0908e-03
1.1270e-01     1.0000e-03     6.2998e-03
1.2750e-01     1.0000e-03     4.2992e-03
1.4430e-01     1.0000e-03     2.8922e-03
1.6320e-01     1.0000e-03     1.9260e-03
1.8460e-01     1.0000e-03     1.2671e-03
2.0890e-01     1.0000e-03     8.2289e-04
2.3630e-01     1.0000e-03     5.2968e-04
2.6730e-01     1.0000e-03     3.3749e-04
3.0230e-01     1.0000e-03     2.1327e-04
3.4200e-01     1.0000e-03     1.3342e-04
3.8690e-01     1.0000e-03     8.2778e-05
4.3760e-01     1.0000e-03     5.1030e-05
4.9510e-01     1.0000e-03     3.1185e-05
5.6000e-01     1.0000e-03     1.8958e-05
6.3350e-01     1.0000e-03     1.1442e-05
7.1660e-01     1.0000e-03     6.8657e-06
8.1070e-01     1.0000e-03     4.0956e-06
9.1700e-01     1.0000e-03     2.4312e-06
1.0370e+00     1.0000e-03     1.4358e-06
1.1730e+00     1.0000e-03     8.4335e-07
1.3270e+00     1.0000e-03     4.9205e-07
1.5020e+00     1.0000e-03     2.8501e-07
1.6990e+00     1.0000e-03     1.6457e-07
1.9220e+00     1.0000e-03     9.4531e-08
2.1740e+00     1.0000e-03     5.3910e-08
2.4590e+00     1.0000e-03     3.0623e-08
2.7820e+00     1.0000e-03     1.7309e-08
3.1470e+00     1.0000e-03     9.7075e-09
3.5600e+00     1.0000e-03     5.4268e-09
4.0270e+00     1.0000e-03     3.0048e-09
4.5550e+00     1.0000e-03     1.6586e-09
5.1530e+00     1.0000e-03     9.1284e-10
5.8290e+00     1.0000e-03     4.9589e-10
6.5940e+00     1.0000e-03     2.7021e-10
7.4590e+00     1.0000e-03     1.4637e-10
8.4370e+00     1.0000e-03     7.8816e-11
9.5450e+00     1.0000e-03     4.2194e-11
1.0800e+01     1.0000e-03     2.2424e-11
1.2210e+01     1.0000e-03     1.1892e-11
1.3820e+01     1.0000e-03     6.3024e-12
1.5630e+01     1.0000e-03     3.2931e-12
1.7680e+01     1.0000e-03     1.7298e-12
2.0000e+01     1.0000e-03     9.1916e-13
