 Element: F
 Maximum L = 10
 Maximum kappa = 12
 No. of transitions =  2
 No. of channels =   130
 No. of energies = 100
 No. of velocities = 100
------------------------------------

e energy (keV) v/c            dP/dE
1.0000e-04     1.0000e-05     6.1527e-05
1.0000e-04     1.9170e-04     2.2555e-02
1.0000e-04     3.7340e-04     8.4993e-02
1.0000e-04     5.5520e-04     1.8580e-01
1.0000e-04     7.3690e-04     3.2225e-01
1.0000e-04     9.1860e-04     4.9089e-01
1.0000e-04     1.1000e-03     6.8710e-01
1.0000e-04     1.2820e-03     9.0708e-01
1.0000e-04     1.4640e-03     1.1449e+00
1.0000e-04     1.6450e-03     1.3936e+00
1.0000e-04     1.8270e-03     1.6503e+00
1.0000e-04     2.0090e-03     1.9082e+00
1.0000e-04     2.1910e-03     2.1620e+00
1.0000e-04     2.3720e-03     2.4056e+00
1.0000e-04     2.5540e-03     2.6373e+00
1.0000e-04     2.7360e-03     2.8519e+00
1.0000e-04     2.9170e-03     3.0455e+00
1.0000e-04     3.0990e-03     3.2178e+00
1.0000e-04     3.2810e-03     3.3659e+00
1.0000e-04     3.4630e-03     3.4887e+00
1.0000e-04     3.6440e-03     3.5854e+00
1.0000e-04     3.8260e-03     3.6571e+00
1.0000e-04     4.0080e-03     3.7037e+00
1.0000e-04     4.1890e-03     3.7263e+00
1.0000e-04     4.3710e-03     3.7264e+00
1.0000e-04     4.5530e-03     3.7053e+00
1.0000e-04     4.7350e-03     3.6648e+00
1.0000e-04     4.9160e-03     3.6072e+00
1.0000e-04     5.0980e-03     3.5337e+00
1.0000e-04     5.2800e-03     3.4465e+00
1.0000e-04     5.4620e-03     3.3476e+00
1.0000e-04     5.6430e-03     3.2393e+00
1.0000e-04     5.8250e-03     3.1223e+00
1.0000e-04     6.0070e-03     2.9988e+00
1.0000e-04     6.1880e-03     2.8711e+00
1.0000e-04     6.3700e-03     2.7392e+00
1.0000e-04     6.5520e-03     2.6050e+00
1.0000e-04     6.7340e-03     2.4698e+00
1.0000e-04     6.9150e-03     2.3355e+00
1.0000e-04     7.0970e-03     2.2014e+00
1.0000e-04     7.2790e-03     2.0691e+00
1.0000e-04     7.4600e-03     1.9402e+00
