 Element: F
 Maximum L = 10
 Maximum kappa = 12
 No. of transitions =  2
 No. of channels =   130
 No. of energies = 100
 No. of velocities = 100
------------------------------------

e energy (keV) v/c            dP/dE
1.0000e-04     1.0000e-05     6.1527e-05
1.0000e-04     1.0790e-05     7.1632e-05
1.0000e-04     1.1630e-05     8.3220e-05
1.0000e-04     1.2550e-05     9.6906e-05
1.0000e-04     1.3540e-05     1.1280e-04
1.0000e-04     1.4600e-05     1.3115e-04
1.0000e-04     1.5750e-05     1.5262e-04
1.0000e-04     1.6990e-05     1.7760e-04
1.0000e-04     1.8330e-05     2.0672e-04
1.0000e-04     1.9770e-05     2.4048e-04
1.0000e-04     2.1320e-05     2.7966e-04
1.0000e-04     2.3000e-05     3.2547e-04
1.0000e-04     2.4810e-05     3.7871e-04
1.0000e-04     2.6760e-05     4.4058e-04
1.0000e-04     2.8860e-05     5.1243e-04
1.0000e-04     3.1130e-05     5.9621e-04
1.0000e-04     3.3580e-05     6.9374e-04
1.0000e-04     3.6220e-05     8.0710e-04
1.0000e-04     3.9070e-05     9.3910e-04
1.0000e-04     4.2150e-05     1.0930e-03
1.0000e-04     4.5460e-05     1.2714e-03
1.0000e-04     4.9040e-05     1.4795e-03
1.0000e-04     5.2890e-05     1.7208e-03
1.0000e-04     5.7050e-05     2.0021e-03
1.0000e-04     6.1540e-05     2.3296e-03
1.0000e-04     6.6380e-05     2.7103e-03
1.0000e-04     7.1600e-05     3.1532e-03
1.0000e-04     7.7230e-05     3.6683e-03
1.0000e-04     8.3310e-05     4.2684e-03
1.0000e-04     8.9860e-05     4.9656e-03
1.0000e-04     9.6930e-05     5.7772e-03
1.0000e-04     1.0460e-04     6.7269e-03
1.0000e-04     1.1280e-04     7.8220e-03
1.0000e-04     1.2160e-04     9.0888e-03
1.0000e-04     1.3120e-04     1.0579e-02
1.0000e-04     1.4150e-04     1.2303e-02
1.0000e-04     1.5270e-04     1.4324e-02
1.0000e-04     1.6470e-04     1.6660e-02
1.0000e-04     1.7760e-04     1.9366e-02
1.0000e-04     1.9160e-04     2.2532e-02
1.0000e-04     2.0670e-04     2.6213e-02
1.0000e-04     2.2290e-04     3.0468e-02
1.0000e-04     2.4040e-04     3.5421e-02
1.0000e-04     2.5940e-04     4.1215e-02
1.0000e-04     2.7980e-04     4.7918e-02
1.0000e-04     3.0180e-04     5.5702e-02
1.0000e-04     3.2550e-04     6.4730e-02
1.0000e-04     3.5110e-04     7.5225e-02
1.0000e-04     3.7870e-04     8.7399e-02
1.0000e-04     4.0850e-04     1.0154e-01
1.0000e-04     4.4060e-04     1.1791e-01
1.0000e-04     4.7530e-04     1.3692e-01
1.0000e-04     5.1270e-04     1.5892e-01
1.0000e-04     5.5300e-04     1.8436e-01
1.0000e-04     5.9650e-04     2.1380e-01
1.0000e-04     6.4340e-04     2.4778e-01
1.0000e-04     6.9400e-04     2.8699e-01
1.0000e-04     7.4860e-04     3.3218e-01
1.0000e-04     8.0750e-04     3.8417e-01
1.0000e-04     8.7100e-04     4.4383e-01
1.0000e-04     9.3950e-04     5.1216e-01
1.0000e-04     1.0130e-03     5.8982e-01
1.0000e-04     1.0930e-03     6.7907e-01
1.0000e-04     1.1790e-03     7.8005e-01
1.0000e-04     1.2720e-03     8.9448e-01
1.0000e-04     1.3720e-03     1.0228e+00
1.0000e-04     1.4800e-03     1.1665e+00
1.0000e-04     1.5960e-03     1.3254e+00
1.0000e-04     1.7220e-03     1.5017e+00
1.0000e-04     1.8570e-03     1.6929e+00
1.0000e-04     2.0030e-03     1.8998e+00
1.0000e-04     2.1610e-03     2.1207e+00
1.0000e-04     2.3310e-03     2.3514e+00
1.0000e-04     2.5140e-03     2.5877e+00
1.0000e-04     2.7120e-03     2.8247e+00
1.0000e-04     2.9250e-03     3.0536e+00
1.0000e-04     3.1550e-03     3.2660e+00
1.0000e-04     3.4030e-03     3.4510e+00
1.0000e-04     3.6710e-03     3.5976e+00
1.0000e-04     3.9600e-03     3.6938e+00
1.0000e-04     4.2710e-03     3.7291e+00
1.0000e-04     4.6070e-03     3.6952e+00
1.0000e-04     4.9690e-03     3.5873e+00
1.0000e-04     5.3600e-03     3.4044e+00
1.0000e-04     5.7820e-03     3.1506e+00
1.0000e-04     6.2360e-03     2.8366e+00
