 Element: F
 Maximum L =  1
 Maximum kappa = 20
 No. of transitions =  2
 No. of channels =    22
 No. of energies = 100
 No. of velocities =   1
------------------------------------

e energy (keV) v/c            dP/dE
1.0000e-04     1.0000e-03     6.1528e-01
1.1310e-04     1.0000e-03     6.1614e-01
1.2800e-04     1.0000e-03     6.1712e-01
1.4480e-04     1.0000e-03     6.1821e-01
1.6380e-04     1.0000e-03     6.1944e-01
1.8520e-04     1.0000e-03     6.2081e-01
2.0950e-04     1.0000e-03     6.2236e-01
2.3700e-04     1.0000e-03     6.2409e-01
2.6810e-04     1.0000e-03     6.2603e-01
3.0330e-04     1.0000e-03     6.2819e-01
3.4310e-04     1.0000e-03     6.3059e-01
3.8820e-04     1.0000e-03     6.3327e-01
4.3910e-04     1.0000e-03     6.3623e-01
4.9670e-04     1.0000e-03     6.3951e-01
5.6190e-04     1.0000e-03     6.4313e-01
6.3560e-04     1.0000e-03     6.4709e-01
7.1900e-04     1.0000e-03     6.5142e-01
8.1340e-04     1.0000e-03     6.5614e-01
9.2010e-04     1.0000e-03     6.6123e-01
1.0410e-03     1.0000e-03     6.6670e-01
1.1770e-03     1.0000e-03     6.7248e-01
1.3320e-03     1.0000e-03     6.7861e-01
1.5070e-03     1.0000e-03     6.8496e-01
1.7040e-03     1.0000e-03     6.9141e-01
1.9280e-03     1.0000e-03     6.9790e-01
2.1810e-03     1.0000e-03     7.0419e-01
2.4670e-03     1.0000e-03     7.1006e-01
2.7910e-03     1.0000e-03     7.1523e-01
3.1570e-03     1.0000e-03     7.1933e-01
3.5710e-03     1.0000e-03     7.2194e-01
4.0400e-03     1.0000e-03     7.2258e-01
4.5700e-03     1.0000e-03     7.2071e-01
5.1700e-03     1.0000e-03     7.1571e-01
5.8480e-03     1.0000e-03     7.0701e-01
6.6150e-03     1.0000e-03     6.9401e-01
7.4830e-03     1.0000e-03     6.7617e-01
8.4650e-03     1.0000e-03     6.5312e-01
9.5760e-03     1.0000e-03     6.2464e-01
1.0830e-02     1.0000e-03     5.9083e-01
1.2250e-02     1.0000e-03     5.5193e-01
1.3860e-02     1.0000e-03     5.0849e-01
1.5680e-02     1.0000e-03     4.6158e-01
1.7740e-02     1.0000e-03     4.1236e-01
2.0070e-02     1.0000e-03     3.6224e-01
2.2700e-02     1.0000e-03     3.1276e-01
2.5680e-02     1.0000e-03     2.6514e-01
2.9050e-02     1.0000e-03     2.2066e-01
3.2860e-02     1.0000e-03     1.8027e-01
3.7170e-02     1.0000e-03     1.4456e-01
4.2050e-02     1.0000e-03     1.1378e-01
4.7570e-02     1.0000e-03     8.7958e-02
5.3810e-02     1.0000e-03     6.6819e-02
6.0870e-02     1.0000e-03     4.9899e-02
6.8850e-02     1.0000e-03     3.6666e-02
7.7890e-02     1.0000e-03     2.6505e-02
8.8110e-02     1.0000e-03     1.8875e-02
9.9670e-02     1.0000e-03     1.3247e-02
1.1270e-01     1.0000e-03     9.1814e-03
1.2750e-01     1.0000e-03     6.2688e-03
1.4430e-01     1.0000e-03     4.2207e-03
1.6320e-01     1.0000e-03     2.8140e-03
1.8460e-01     1.0000e-03     1.8539e-03
2.0890e-01     1.0000e-03     1.2060e-03
2.3630e-01     1.0000e-03     7.7771e-04
2.6730e-01     1.0000e-03     4.9649e-04
3.0230e-01     1.0000e-03     3.1438e-04
3.4200e-01     1.0000e-03     1.9707e-04
3.8690e-01     1.0000e-03     1.2252e-04
4.3760e-01     1.0000e-03     7.5676e-05
4.9510e-01     1.0000e-03     4.6328e-05
5.6000e-01     1.0000e-03     2.8210e-05
6.3350e-01     1.0000e-03     1.7050e-05
7.1660e-01     1.0000e-03     1.0243e-05
8.1070e-01     1.0000e-03     6.1165e-06
9.1700e-01     1.0000e-03     3.6336e-06
1.0370e+00     1.0000e-03     2.1470e-06
1.1730e+00     1.0000e-03     1.2615e-06
1.3270e+00     1.0000e-03     7.3613e-07
1.5020e+00     1.0000e-03     4.2636e-07
1.6990e+00     1.0000e-03     2.4615e-07
1.9220e+00     1.0000e-03     1.4135e-07
2.1740e+00     1.0000e-03     8.0579e-08
2.4590e+00     1.0000e-03     4.5751e-08
2.7820e+00     1.0000e-03     2.5846e-08
3.1470e+00     1.0000e-03     1.4487e-08
3.5600e+00     1.0000e-03     8.0939e-09
4.0270e+00     1.0000e-03     4.4788e-09
4.5550e+00     1.0000e-03     2.4708e-09
5.1530e+00     1.0000e-03     1.3589e-09
5.8290e+00     1.0000e-03     7.3773e-10
6.5940e+00     1.0000e-03     4.0172e-10
7.4590e+00     1.0000e-03     2.1746e-10
8.4370e+00     1.0000e-03     1.1701e-10
9.5450e+00     1.0000e-03     6.2595e-11
1.0800e+01     1.0000e-03     3.3241e-11
1.2210e+01     1.0000e-03     1.7615e-11
1.3820e+01     1.0000e-03     9.3267e-12
1.5630e+01     1.0000e-03     4.8690e-12
1.7680e+01     1.0000e-03     2.5551e-12
2.0000e+01     1.0000e-03     1.3563e-12
