 Element: F
 Maximum L = 10
 Maximum kappa = 12
 No. of transitions =  2
 No. of channels =   174
 No. of energies = 100
 No. of velocities = 100
------------------------------------

e energy (keV) v/c            dP/dE
1.0000e-04     1.0000e-05     4.7552e-06
1.0000e-04     1.9170e-04     1.7479e-03
1.0000e-04     3.7340e-04     6.6366e-03
1.0000e-04     5.5520e-04     1.4689e-02
1.0000e-04     7.3690e-04     2.5911e-02
1.0000e-04     9.1860e-04     4.0323e-02
1.0000e-04     1.1000e-03     5.7897e-02
1.0000e-04     1.2820e-03     7.8717e-02
1.0000e-04     1.4640e-03     1.0269e-01
1.0000e-04     1.6450e-03     1.2960e-01
1.0000e-04     1.8270e-03     1.5963e-01
1.0000e-04     2.0090e-03     1.9248e-01
1.0000e-04     2.1910e-03     2.2795e-01
1.0000e-04     2.3720e-03     2.6558e-01
1.0000e-04     2.5540e-03     3.0549e-01
1.0000e-04     2.7360e-03     3.4713e-01
1.0000e-04     2.9170e-03     3.8989e-01
1.0000e-04     3.0990e-03     4.3383e-01
1.0000e-04     3.2810e-03     4.7828e-01
1.0000e-04     3.4630e-03     5.2279e-01
1.0000e-04     3.6440e-03     5.6666e-01
1.0000e-04     3.8260e-03     6.0991e-01
1.0000e-04     4.0080e-03     6.5185e-01
1.0000e-04     4.1890e-03     6.9183e-01
1.0000e-04     4.3710e-03     7.2986e-01
1.0000e-04     4.5530e-03     7.6533e-01
1.0000e-04     4.7350e-03     7.9789e-01
1.0000e-04     4.9160e-03     8.2704e-01
1.0000e-04     5.0980e-03     8.5283e-01
1.0000e-04     5.2800e-03     8.7484e-01
1.0000e-04     5.4620e-03     8.9289e-01
1.0000e-04     5.6430e-03     9.0675e-01
1.0000e-04     5.8250e-03     9.1649e-01
1.0000e-04     6.0070e-03     9.2197e-01
1.0000e-04     6.1880e-03     9.2321e-01
1.0000e-04     6.3700e-03     9.2028e-01
1.0000e-04     6.5520e-03     9.1329e-01
1.0000e-04     6.7340e-03     9.0238e-01
1.0000e-04     6.9150e-03     8.8787e-01
1.0000e-04     7.0970e-03     8.6983e-01
1.0000e-04     7.2790e-03     8.4863e-01
1.0000e-04     7.4600e-03     8.2469e-01
1.0000e-04     7.6420e-03     7.9811e-01
1.0000e-04     7.8240e-03     7.6934e-01
1.0000e-04     8.0060e-03     7.3876e-01
1.0000e-04     8.1870e-03     7.0688e-01
1.0000e-04     8.3690e-03     6.7373e-01
1.0000e-04     8.5510e-03     6.3980e-01
1.0000e-04     8.7320e-03     6.0563e-01
1.0000e-04     8.9140e-03     5.7114e-01
1.0000e-04     9.0960e-03     5.3680e-01
1.0000e-04     9.2780e-03     5.0287e-01
1.0000e-04     9.4590e-03     4.6976e-01
1.0000e-04     9.6410e-03     4.3731e-01
1.0000e-04     9.8230e-03     4.0588e-01
1.0000e-04     1.0000e-02     3.7641e-01
1.0000e-04     1.0190e-02     3.4612e-01
1.0000e-04     1.0370e-02     3.1880e-01
1.0000e-04     1.0550e-02     2.9286e-01
1.0000e-04     1.0730e-02     2.6835e-01
1.0000e-04     1.0910e-02     2.4529e-01
1.0000e-04     1.1090e-02     2.2368e-01
